name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
Polycab 0.205 Sq.mm X 1 Pair RS-485 Modbus Armoured FRLS PVC Cable 24 AWG 100 Mtr,Polycab,Industrial Wires & Cables,Cables,Armoured Cable,RS-485 Modbus Armoured FRLS PVC Cable 24 AWG,0.205,,0.205,,16100,Meter,Pack 100 Mtr,1,Polycab 0.205 Sq.mm X 1 Pair RS-485 Modbus Armoured FRLS PVC Cable 24 AWG,,,,,,Number of Pair,1 Pair,Size,0.205,Size In Guage,24 AWG,Voltage,300 Volts,Armouring,Galvanised Steel Round Wire,Conductor,Stranded Annealed Tinned Copper,,,,,,,,,,,1721987892-Product-armoured cable.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 0.32 Sq.mm X 1 Pair RS-485 Modbus Armoured FRLS PVC Cable 22 AWG 100 Mtr,Polycab,Industrial Wires & Cables,Cables,Armoured Cable,RS-485 Modbus Armoured FRLS PVC Cable 22 AWG,0.32,,0.32,,17600,Meter,Pack 100 Mtr,1,Polycab 0.32 Sq.mm X 1 Pair RS-485 Modbus Armoured FRLS PVC Cable 22 AWG,,,,,,Number of Pair,1 Pair,Size,0.32,Size In Guage,22 AWG,Voltage,300 Volts,Armouring,Galvanised Steel Round Wire,Conductor,Stranded Annealed Tinned Copper,,,,,,,,,,,1721987892-Product-armoured cable.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 0.50 Sq.mm X 1 Pair RS-485 Modbus Armoured FRLS PVC Cable 20 AWG 100 Mtr,Polycab,Industrial Wires & Cables,Cables,Armoured Cable,RS-485 Modbus Armoured FRLS PVC Cable 20 AWG,0.5,,0.5,,19600,Meter,Pack 100 Mtr,1,Polycab 0.50 Sq.mm X 1 Pair RS-485 Modbus Armoured FRLS PVC Cable 20 AWG,,,,,,Number of Pair,1 Pair,Size,0.5,Size In Guage,20 AWG,Voltage,300 Volts,Armouring,Galvanised Steel Round Wire,Conductor,Stranded Annealed Tinned Copper,,,,,,,,,,,1721987892-Product-armoured cable.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 0.80 Sq.mm X 1 Pair RS-485 Modbus Armoured FRLS PVC Cable 18 AWG 100 Mtr,Polycab,Industrial Wires & Cables,Cables,Armoured Cable,RS-485 Modbus Armoured FRLS PVC Cable 18 AWG,0.8,,0.8,,23100,Meter,Pack 100 Mtr,1,Polycab 0.80 Sq.mm X 1 Pair RS-485 Modbus Armoured FRLS PVC Cable 18 AWG,,,,,,Number of Pair,1 Pair,Size,0.8,Size In Guage,18 AWG,Voltage,300 Volts,Armouring,Galvanised Steel Round Wire,Conductor,Stranded Annealed Tinned Copper,,,,,,,,,,,1721987892-Product-armoured cable.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 1.00 Sq.mm X 1 Pair RS-485 Modbus Armoured FRLS PVC Cable 17 AWG 100 Mtr,Polycab,Industrial Wires & Cables,Cables,Armoured Cable,RS-485 Modbus Armoured FRLS PVC Cable 17 AWG,1,,1,,24900,Meter,Pack 100 Mtr,1,Polycab 1.00 Sq.mm X 1 Pair RS-485 Modbus Armoured FRLS PVC Cable 17 AWG,,,,,,Number of Pair,1 Pair,Size,1,Size In Guage,17 AWG,Voltage,300 Volts,Armouring,Galvanised Steel Round Wire,Conductor,Stranded Annealed Tinned Copper,,,,,,,,,,,1721987892-Product-armoured cable.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 0.205 Sq.mm X 2 Pair RS-485 Modbus Armoured FRLS PVC Cable 24 AWG 100 Mtr,Polycab,Industrial Wires & Cables,Cables,Armoured Cable,RS-485 Modbus Armoured FRLS PVC Cable 24 AWG,0.205,,0.205,,23100,Meter,Pack 100 Mtr,1,Polycab 0.205 Sq.mm X 2 Pair RS-485 Modbus Armoured FRLS PVC Cable 24 AWG,,,,,,Number of Pair,2 Pair,Size,0.205,Size In Guage,24 AWG,Voltage,300 Volts,Armouring,Galvanised Steel Round Wire,Conductor,Stranded Annealed Tinned Copper,,,,,,,,,,,1721987892-Product-armoured cable.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 0.32 Sq.mm X 2 Pair RS-485 Modbus Armoured FRLS PVC Cable 22 AWG 100 Mtr,Polycab,Industrial Wires & Cables,Cables,Armoured Cable,RS-485 Modbus Armoured FRLS PVC Cable 22 AWG,0.32,,0.32,,25900,Meter,Pack 100 Mtr,1,Polycab 0.32 Sq.mm X 2 Pair RS-485 Modbus Armoured FRLS PVC Cable 22 AWG,,,,,,Number of Pair,2 Pair,Size,0.32,Size In Guage,22 AWG,Voltage,300 Volts,Armouring,Galvanised Steel Round Wire,Conductor,Stranded Annealed Tinned Copper,,,,,,,,,,,1721987892-Product-armoured cable.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 0.50 Sq.mm X 2 Pair RS-485 Modbus Armoured FRLS PVC Cable 20 AWG 100 Mtr,Polycab,Industrial Wires & Cables,Cables,Armoured Cable,RS-485 Modbus Armoured FRLS PVC Cable 20 AWG,0.5,,0.5,,29300,Meter,Pack 100 Mtr,1,Polycab 0.50 Sq.mm X 2 Pair RS-485 Modbus Armoured FRLS PVC Cable 20 AWG,,,,,,Number of Pair,2 Pair,Size,0.5,Size In Guage,20 AWG,Voltage,300 Volts,Armouring,Galvanised Steel Round Wire,Conductor,Stranded Annealed Tinned Copper,,,,,,,,,,,1721987892-Product-armoured cable.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 0.80 Sq.mm X 2 Pair RS-485 Modbus Armoured FRLS PVC Cable 18 AWG 100 Mtr,Polycab,Industrial Wires & Cables,Cables,Armoured Cable,RS-485 Modbus Armoured FRLS PVC Cable 18 AWG,0.8,,0.8,,35900,Meter,Pack 100 Mtr,1,Polycab 0.80 Sq.mm X 2 Pair RS-485 Modbus Armoured FRLS PVC Cable 18 AWG,,,,,,Number of Pair,2 Pair,Size,0.8,Size In Guage,18 AWG,Voltage,300 Volts,Armouring,Galvanised Steel Round Wire,Conductor,Stranded Annealed Tinned Copper,,,,,,,,,,,1721987892-Product-armoured cable.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 1.00 Sq.mm X 2 Pair RS-485 Modbus Armoured FRLS PVC Cable 17 AWG 100 Mtr,Polycab,Industrial Wires & Cables,Cables,Armoured Cable,RS-485 Modbus Armoured FRLS PVC Cable 17 AWG,1,,1,,39200,Meter,Pack 100 Mtr,1,Polycab 1.00 Sq.mm X 2 Pair RS-485 Modbus Armoured FRLS PVC Cable 17 AWG,,,,,,Number of Pair,2 Pair,Size,1,Size In Guage,17 AWG,Voltage,300 Volts,Armouring,Galvanised Steel Round Wire,Conductor,Stranded Annealed Tinned Copper,,,,,,,,,,,1721987892-Product-armoured cable.PNG,,,18%,,,,,,,,,1,1-2 Days,
