name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
Dowell's ALS-XL01- Aluminium In-Line Connectors For AL.XLPE Conductors 25 mm²-E,Dowell's,Panel & Panel Accessories,Thimbles,Aluminium In-Line Connectors For AL.XLPE Conductors,25 mm²-E Aluminium In-Line Connectors For AL.XLPE Conductors,ALS-XL01,,ALS-XL01,1031,670.15,,( Pack of 100),1,Dowell's ALS-XL01 Aluminium In-Line Connectors For AL.XLPE Conductors 25 mm²-E,,,,,,Size,25 mm²-E,Type of Product,Aluminium In-Line Connectors For AL.XLPE Conductors,,,,,,,,,,,,,,,,,,,1721972892-Product-Aluminium In-Line Connectors For AL.XLPE Conductors.PNG,,,18%,,,,,,,,,1,1-2 Days,
Dowell's ALS-XL02- Aluminium In-Line Connectors For AL.XLPE Conductors 35 mm²-E,Dowell's,Panel & Panel Accessories,Thimbles,Aluminium In-Line Connectors For AL.XLPE Conductors,35 mm²-E Aluminium In-Line Connectors For AL.XLPE Conductors,ALS-XL02,,ALS-XL02,804.5,522.925,,( Pack of 50),1,Dowell's ALS-XL02 Aluminium In-Line Connectors For AL.XLPE Conductors 35 mm²-E,,,,,,Size,35 mm²-E,Type of Product,Aluminium In-Line Connectors For AL.XLPE Conductors,,,,,,,,,,,,,,,,,,,1721972892-Product-Aluminium In-Line Connectors For AL.XLPE Conductors.PNG,,,18%,,,,,,,,,1,1-2 Days,
Dowell's ALS-XL03- Aluminium In-Line Connectors For AL.XLPE Conductors 50 mm²-E,Dowell's,Panel & Panel Accessories,Thimbles,Aluminium In-Line Connectors For AL.XLPE Conductors,50 mm²-E Aluminium In-Line Connectors For AL.XLPE Conductors,ALS-XL03,,ALS-XL03,1274,828.1,,( Pack of 50),1,Dowell's ALS-XL03 Aluminium In-Line Connectors For AL.XLPE Conductors 50 mm²-E,,,,,,Size,50 mm²-E,Type of Product,Aluminium In-Line Connectors For AL.XLPE Conductors,,,,,,,,,,,,,,,,,,,1721972892-Product-Aluminium In-Line Connectors For AL.XLPE Conductors.PNG,,,18%,,,,,,,,,1,1-2 Days,
Dowell's ALS-XL04- Aluminium In-Line Connectors For AL.XLPE Conductors 70 mm²-E,Dowell's,Panel & Panel Accessories,Thimbles,Aluminium In-Line Connectors For AL.XLPE Conductors,70 mm²-E Aluminium In-Line Connectors For AL.XLPE Conductors,ALS-XL04,,ALS-XL04,1766,1147.9,,( Pack of 50),1,Dowell's ALS-XL04 Aluminium In-Line Connectors For AL.XLPE Conductors 70 mm²-E,,,,,,Size,70 mm²-E,Type of Product,Aluminium In-Line Connectors For AL.XLPE Conductors,,,,,,,,,,,,,,,,,,,1721972892-Product-Aluminium In-Line Connectors For AL.XLPE Conductors.PNG,,,18%,,,,,,,,,1,1-2 Days,
Dowell's ALS-XL05- Aluminium In-Line Connectors For AL.XLPE Conductors 95 mm²-E,Dowell's,Panel & Panel Accessories,Thimbles,Aluminium In-Line Connectors For AL.XLPE Conductors,95 mm²-E Aluminium In-Line Connectors For AL.XLPE Conductors,ALS-XL05,,ALS-XL05,1227.25,797.7125,,( Pack of 25),1,Dowell's ALS-XL05 Aluminium In-Line Connectors For AL.XLPE Conductors 95 mm²-E,,,,,,Size,95 mm²-E,Type of Product,Aluminium In-Line Connectors For AL.XLPE Conductors,,,,,,,,,,,,,,,,,,,1721972892-Product-Aluminium In-Line Connectors For AL.XLPE Conductors.PNG,,,18%,,,,,,,,,1,1-2 Days,
Dowell's ALS-XL06- Aluminium In-Line Connectors For AL.XLPE Conductors 120 mm²-E,Dowell's,Panel & Panel Accessories,Thimbles,Aluminium In-Line Connectors For AL.XLPE Conductors,120 mm²-E Aluminium In-Line Connectors For AL.XLPE Conductors,ALS-XL06,,ALS-XL06,1248,811.2,,( Pack of 20),1,Dowell's ALS-XL06 Aluminium In-Line Connectors For AL.XLPE Conductors 120 mm²-E,,,,,,Size,120 mm²-E,Type of Product,Aluminium In-Line Connectors For AL.XLPE Conductors,,,,,,,,,,,,,,,,,,,1721972892-Product-Aluminium In-Line Connectors For AL.XLPE Conductors.PNG,,,18%,,,,,,,,,1,1-2 Days,
Dowell's ALS-XL07- Aluminium In-Line Connectors For AL.XLPE Conductors 150 mm²-E,Dowell's,Panel & Panel Accessories,Thimbles,Aluminium In-Line Connectors For AL.XLPE Conductors,150 mm²-E Aluminium In-Line Connectors For AL.XLPE Conductors,ALS-XL07,,ALS-XL07,1667,1083.55,,( Pack of 20),1,Dowell's ALS-XL07 Aluminium In-Line Connectors For AL.XLPE Conductors 150 mm²-E,,,,,,Size,150 mm²-E,Type of Product,Aluminium In-Line Connectors For AL.XLPE Conductors,,,,,,,,,,,,,,,,,,,1721972892-Product-Aluminium In-Line Connectors For AL.XLPE Conductors.PNG,,,18%,,,,,,,,,1,1-2 Days,
Dowell's ALS-XL08- Aluminium In-Line Connectors For AL.XLPE Conductors 185 mm²-E,Dowell's,Panel & Panel Accessories,Thimbles,Aluminium In-Line Connectors For AL.XLPE Conductors,185 mm²-E Aluminium In-Line Connectors For AL.XLPE Conductors,ALS-XL08,,ALS-XL08,1250.3,812.695,,( Pack of 10),1,Dowell's ALS-XL08 Aluminium In-Line Connectors For AL.XLPE Conductors 185 mm²-E,,,,,,Size,185 mm²-E,Type of Product,Aluminium In-Line Connectors For AL.XLPE Conductors,,,,,,,,,,,,,,,,,,,1721972892-Product-Aluminium In-Line Connectors For AL.XLPE Conductors.PNG,,,18%,,,,,,,,,1,1-2 Days,
Dowell's ALS-XL09- Aluminium In-Line Connectors For AL.XLPE Conductors 225 mm²-E,Dowell's,Panel & Panel Accessories,Thimbles,Aluminium In-Line Connectors For AL.XLPE Conductors,225 mm²-E Aluminium In-Line Connectors For AL.XLPE Conductors,ALS-XL09,,ALS-XL09,1516.6,985.79,,( Pack of 10),1,Dowell's ALS-XL09 Aluminium In-Line Connectors For AL.XLPE Conductors 225 mm²-E,,,,,,Size,225 mm²-E,Type of Product,Aluminium In-Line Connectors For AL.XLPE Conductors,,,,,,,,,,,,,,,,,,,1721972892-Product-Aluminium In-Line Connectors For AL.XLPE Conductors.PNG,,,18%,,,,,,,,,1,1-2 Days,
Dowell's ALS-XL10- Aluminium In-Line Connectors For AL.XLPE Conductors 240 mm²-E,Dowell's,Panel & Panel Accessories,Thimbles,Aluminium In-Line Connectors For AL.XLPE Conductors,240 mm²-E Aluminium In-Line Connectors For AL.XLPE Conductors,ALS-XL10,,ALS-XL10,879.8,571.87,,( Pack of 5),1,Dowell's ALS-XL10 Aluminium In-Line Connectors For AL.XLPE Conductors 240 mm²-E,,,,,,Size,240 mm²-E,Type of Product,Aluminium In-Line Connectors For AL.XLPE Conductors,,,,,,,,,,,,,,,,,,,1721972892-Product-Aluminium In-Line Connectors For AL.XLPE Conductors.PNG,,,18%,,,,,,,,,1,1-2 Days,
