c1_category,c2_category,leaf_category
Electric Enclosure,Terminal Box,"WHD : 150x150x80, Sheet Steel, IP55"
Electric Enclosure,Terminal Box,"WHD : 300x150x80, Sheet Steel, IP55"
Electric Enclosure,Terminal Box,"WHD : 200x200x80, Sheet Steel, IP55"
Electric Enclosure,Terminal Box,"WHD : 300x200x80, Sheet Steel, IP55"
Electric Enclosure,Terminal Box,"WHD : 150x150x120, Sheet Steel, IP55"
Electric Enclosure,Terminal Box,"WHD : 300x150x120, Sheet Steel, IP55"
Electric Enclosure,Terminal Box,"WHD : 200x200x120, Sheet Steel, IP55"
Electric Enclosure,Terminal Box,"WHD : 300x200x120, Sheet Steel, IP55"
Electric Enclosure,Terminal Box,"WHD : 400x200x120, Sheet Steel, IP55"
Electric Enclosure,Terminal Box,"WHD : 300x300x120, Sheet Steel, IP55"
Electric Enclosure,Terminal Box,"WHD : 400x300x120, Sheet Steel, IP55"
Electric Enclosure,Terminal Box,"WHD : 400x400x120, Sheet Steel, IP55"
Electric Enclosure,Terminal Box,"WHD : 500x200x120, Sheet Steel, IP55"
Electric Enclosure,Terminal Box,"WHD : 500x300x120, Sheet Steel, IP55"
Electric Enclosure,Terminal Box,"WHD : 600x200x120, Sheet Steel, IP55"
Electric Enclosure,Terminal Box,"WHD : 600x300x120, Sheet Steel, IP55"
Electric Enclosure,Terminal Box,"WHD : 600x400x120, Sheet Steel, IP55"
Electric Enclosure,Terminal Box,"WHD : 800x200x120, Sheet Steel, IP55"
Electric Enclosure,Terminal Box,"WHD : 800x400x120, Sheet Steel, IP55"
Electric Enclosure,Terminal Box,"WHD : 150x150x80, Sheet Steel, IP66"
Electric Enclosure,Terminal Box,"WHD : 200x150x80, Sheet Steel, IP66"
Electric Enclosure,Terminal Box,"WHD : 300x150x80, Sheet Steel, IP66"
Electric Enclosure,Terminal Box,"WHD : 200x200x80, Sheet Steel, IP66"
Electric Enclosure,Terminal Box,"WHD : 300x200x80, Sheet Steel, IP66"
Electric Enclosure,Terminal Box,"WHD : 400x200x80, Sheet Steel, IP66"
Electric Enclosure,Terminal Box,"WHD : 600x200x80, Sheet Steel, IP66"
Electric Enclosure,Terminal Box,"WHD : 150x150x120, Sheet Steel, IP66"
Electric Enclosure,Terminal Box,"WHD : 200x150x120, Sheet Steel, IP66"
Electric Enclosure,Terminal Box,"WHD : 300x150x120, Sheet Steel, IP66"
Electric Enclosure,Terminal Box,"WHD : 200x200x120, Sheet Steel, IP66"
Electric Enclosure,Terminal Box,"WHD : 300x200x120, Sheet Steel, IP66"
Electric Enclosure,Terminal Box,"WHD : 400x200x120, Sheet Steel, IP66"
Electric Enclosure,Terminal Box,"WHD : 300x300x120, Sheet Steel, IP66"
Electric Enclosure,Terminal Box,"WHD : 400x150x120, Sheet Steel, IP66"
Electric Enclosure,Terminal Box,"WHD : 400x300x120, Sheet Steel, IP66"
Electric Enclosure,Terminal Box,"WHD : 400x400x120, Sheet Steel, IP66"
Electric Enclosure,Terminal Box,"WHD : 500x200x120, Sheet Steel, IP66"
Electric Enclosure,Terminal Box,"WHD : 500x300x120, Sheet Steel, IP66"
Electric Enclosure,Terminal Box,"WHD : 600x200x120, Sheet Steel, IP66"
Electric Enclosure,Terminal Box,"WHD : 600x300x120, Sheet Steel, IP66"
Electric Enclosure,Terminal Box,"WHD : 600x400x120, Sheet Steel, IP66"
Electric Enclosure,Terminal Box,"WHD : 800x200x120, Sheet Steel, IP66"
Electric Enclosure,Terminal Box,"WHD : 800x400x120, Sheet Steel, IP66"
Electric Enclosure,Techno Modular,"WHD : 600x1800x400, Version-002"
Electric Enclosure,Techno Modular,"WHD : 800X1800X400, Version-002"
Electric Enclosure,Techno Modular,"WHD : 1000X1800X400, Version-002"
Electric Enclosure,Techno Modular,"WHD : 1200X1800X400, Version-002"
Electric Enclosure,Techno Modular,"WHD : 600X1800X500, Version-002"
Electric Enclosure,Techno Modular,"WHD : 800X1800X500, Version-002"
Electric Enclosure,Techno Modular,"WHD : 1000X1800X500, Version-002"
Electric Enclosure,Techno Modular,"WHD : 1200X1800X500, Version-002"
Electric Enclosure,Techno Modular,"WHD : 800X1800X600, Version-002"
Electric Enclosure,Techno Modular,"WHD : 600X2000X400, Version-002"
Electric Enclosure,Techno Modular,"WHD : 800X2000X400, Version-002"
Electric Enclosure,Techno Modular,"WHD : 1000X2000X400, Version-002"
Electric Enclosure,Techno Modular,"WHD : 1200X2000X400, Version-002"
Electric Enclosure,Techno Modular,"WHD : 600X2000X500, Version-002"
Electric Enclosure,Techno Modular,"WHD : 800X2000X500, Version-002"
Electric Enclosure,Techno Modular,"WHD : 1000X2000X500, Version-002"
Electric Enclosure,Techno Modular,"WHD : 1200X2000X500, Version-002"
Electric Enclosure,Techno Modular,"WHD : 600X2000X600, Version-002"
Electric Enclosure,Techno Modular,"WHD : 800X2000X600, Version-002"
Electric Enclosure,Techno Modular,"WHD : 1000X2000X600, Version-002"
Electric Enclosure,Techno Modular,"WHD : 1200X2000X600, Version-002"
Electric Enclosure,Techno Modular,"WHD : 600X2000X800, Version-002"
Electric Enclosure,Techno Modular,"WHD : 800X2000X800, Version-002"
Electric Enclosure,Techno Modular,"WHD : 1000X2000X800, Version-002"
Electric Enclosure,Techno Modular,"WHD : 1200X2000X800, Version-002"
Electric Enclosure,Techno Modular,"WHD : 600X2200X600, Version-002"
Electric Enclosure,Techno Modular,"WHD : 800X2200X600, Version-002"
Electric Enclosure,Techno Modular,"WHD : 1000X2200X600, Version-002"
Electric Enclosure,Techno Modular,"WHD : 1200X2200X600, Version-002"
Electric Enclosure,Techno Modular,"WHD : 600X2200X800, Version-002"
Electric Enclosure,Techno Modular,"WHD : 800X2200X800, Version-002"
Electric Enclosure,Techno Modular,"WHD : 1000X2200X800, Version-002"
Electric Enclosure,Techno Modular,"WHD : 1200X2200X800, Version-002"
Electric Enclosure,Plinth,"WHD : 600x1800x400, Plinth"
Electric Enclosure,Plinth,"WHD : 800X1800X400, Plinth"
Electric Enclosure,Plinth,"WHD : 1000X1800X400, Plinth"
Electric Enclosure,Plinth,"WHD : 1200X1800X400, Plinth"
Electric Enclosure,Plinth,"WHD : 600X1800X500, Plinth"
Electric Enclosure,Plinth,"WHD : 800X1800X500, Plinth"
Electric Enclosure,Plinth,"WHD : 1000X1800X500, Plinth"
Electric Enclosure,Plinth,"WHD : 1200X1800X500, Plinth"
Electric Enclosure,Plinth,"WHD : 800X1800X600, Plinth"
Electric Enclosure,Plinth,"WHD : 600X2000X400, Plinth"
Electric Enclosure,Plinth,"WHD : 800X2000X400, Plinth"
Electric Enclosure,Plinth,"WHD : 1000X2000X400, Plinth"
Electric Enclosure,Plinth,"WHD : 1200X2000X400, Plinth"
Electric Enclosure,Plinth,"WHD : 600X2000X500, Plinth"
Electric Enclosure,Plinth,"WHD : 800X2000X500, Plinth"
Electric Enclosure,Plinth,"WHD : 1000X2000X500, Plinth"
Electric Enclosure,Plinth,"WHD : 1200X2000X500, Plinth"
Electric Enclosure,Plinth,"WHD : 600X2000X600, Plinth"
Electric Enclosure,Plinth,"WHD : 800X2000X600, Plinth"
Electric Enclosure,Plinth,"WHD : 1000X2000X600, Plinth"
Electric Enclosure,Plinth,"WHD : 1200X2000X600, Plinth"
Electric Enclosure,Plinth,"WHD : 600X2000X800, Plinth"
Electric Enclosure,Plinth,"WHD : 800X2000X800, Plinth"
Electric Enclosure,Plinth,"WHD : 1000X2000X800, Plinth"
Electric Enclosure,Plinth,"WHD : 1200X2000X800, Plinth"
Electric Enclosure,Plinth,"WHD : 600X2200X600, Plinth"
Electric Enclosure,Plinth,"WHD : 800X2200X600, Plinth"
Electric Enclosure,Plinth,"WHD : 1000X2200X600, Plinth"
Electric Enclosure,Plinth,"WHD : 1200X2200X600, Plinth"
Electric Enclosure,Plinth,"WHD : 600X2200X800, Plinth"
Electric Enclosure,Plinth,"WHD : 800X2200X800, Plinth"
Electric Enclosure,Plinth,"WHD : 1000X2200X800, Plinth"
Electric Enclosure,Plinth,"WHD : 1200X2200X800, Plinth"
Electric Enclosure,Side Covers,"WHD : 600x1800x400, Side Covers"
Electric Enclosure,Side Covers,"WHD : 800X1800X400, Side Covers"
