name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Dowell's CUS-2101 - 2 Core, Short Barrel Copper Sector Lugs , Size 25 Sq.mm (Pack of 25)",Dowell's,Panel & Panel Accessories,Thimbles,Copper Sector Lugs,25 Sq.mm Short Barrel Copper Sector Lugs,CUS-2101,,CUS-2101,1175,763.75,Piece,(Pack of 25),1,"Dowell's CUS-2101 - 2 Core, Short Barrel Copper Sector Lugs , Size 25 Sq.mm",,,,,,Type of Core,2 Core,Size,25 Sq.mm,E-Bolt Hole,8.4,Type of Product,Copper Sector Lugs - Short Barrel,Material,Copper,,,,,,,,,,,,,1722059547-Product-Short Barrel Copper.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's CUS-2102 - 2 Core, Short Barrel Copper Sector Lugs , Size 25 Sq.mm (Pack of 25)",Dowell's,Panel & Panel Accessories,Thimbles,Copper Sector Lugs,25 Sq.mm Short Barrel Copper Sector Lugs,CUS-2102,,CUS-2102,1175,763.75,Piece,(Pack of 25),1,"Dowell's CUS-2102 - 2 Core, Short Barrel Copper Sector Lugs , Size 25 Sq.mm",,,,,,Type of Core,2 Core,Size,25 Sq.mm,E-Bolt Hole,10.5,Type of Product,Copper Sector Lugs - Short Barrel,Material,Copper,,,,,,,,,,,,,1722059547-Product-Short Barrel Copper.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's CUS-2103 - 2 Core, Short Barrel Copper Sector Lugs , Size 25 Sq.mm (Pack of 25)",Dowell's,Panel & Panel Accessories,Thimbles,Copper Sector Lugs,25 Sq.mm Short Barrel Copper Sector Lugs,CUS-2103,,CUS-2103,1175,763.75,Piece,(Pack of 25),1,"Dowell's CUS-2103 - 2 Core, Short Barrel Copper Sector Lugs , Size 25 Sq.mm",,,,,,Type of Core,2 Core,Size,25 Sq.mm,E-Bolt Hole,13,Type of Product,Copper Sector Lugs - Short Barrel,Material,Copper,,,,,,,,,,,,,1722059547-Product-Short Barrel Copper.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's CUS-2104 - 2 Core, Short Barrel Copper Sector Lugs , Size 35 Sq.mm (Pack of 25)",Dowell's,Panel & Panel Accessories,Thimbles,Copper Sector Lugs,35 Sq.mm Short Barrel Copper Sector Lugs,CUS-2104,,CUS-2104,1707.75,1110.038,Piece,(Pack of 25),1,"Dowell's CUS-2104 - 2 Core, Short Barrel Copper Sector Lugs , Size 35 Sq.mm",,,,,,Type of Core,2 Core,Size,35 Sq.mm,E-Bolt Hole,8.4,Type of Product,Copper Sector Lugs - Short Barrel,Material,Copper,,,,,,,,,,,,,1722059547-Product-Short Barrel Copper.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's CUS-2105 - 2 Core, Short Barrel Copper Sector Lugs , Size 35 Sq.mm (Pack of 25)",Dowell's,Panel & Panel Accessories,Thimbles,Copper Sector Lugs,35 Sq.mm Short Barrel Copper Sector Lugs,CUS-2105,,CUS-2105,1707.75,1110.038,Piece,(Pack of 25),1,"Dowell's CUS-2105 - 2 Core, Short Barrel Copper Sector Lugs , Size 35 Sq.mm",,,,,,Type of Core,2 Core,Size,35 Sq.mm,E-Bolt Hole,10.5,Type of Product,Copper Sector Lugs - Short Barrel,Material,Copper,,,,,,,,,,,,,1722059547-Product-Short Barrel Copper.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's CUS-2106 - 2 Core, Short Barrel Copper Sector Lugs , Size 50 Sq.mm (Pack of 25)",Dowell's,Panel & Panel Accessories,Thimbles,Copper Sector Lugs,50 Sq.mm Short Barrel Copper Sector Lugs,CUS-2106,,CUS-2106,2651,1723.15,Piece,(Pack of 25),1,"Dowell's CUS-2106 - 2 Core, Short Barrel Copper Sector Lugs , Size 50 Sq.mm",,,,,,Type of Core,2 Core,Size,50 Sq.mm,E-Bolt Hole,8.4,Type of Product,Copper Sector Lugs - Short Barrel,Material,Copper,,,,,,,,,,,,,1722059547-Product-Short Barrel Copper.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's CUS-2107 - 2 Core, Short Barrel Copper Sector Lugs , Size 50 Sq.mm (Pack of 25)",Dowell's,Panel & Panel Accessories,Thimbles,Copper Sector Lugs,50 Sq.mm Short Barrel Copper Sector Lugs,CUS-2107,,CUS-2107,2651,1723.15,Piece,(Pack of 25),1,"Dowell's CUS-2107 - 2 Core, Short Barrel Copper Sector Lugs , Size 50 Sq.mm",,,,,,Type of Core,2 Core,Size,50 Sq.mm,E-Bolt Hole,10.5,Type of Product,Copper Sector Lugs - Short Barrel,Material,Copper,,,,,,,,,,,,,1722059547-Product-Short Barrel Copper.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's CUS-2108 - 2 Core, Short Barrel Copper Sector Lugs , Size 50 Sq.mm (Pack of 25)",Dowell's,Panel & Panel Accessories,Thimbles,Copper Sector Lugs,50 Sq.mm Short Barrel Copper Sector Lugs,CUS-2108,,CUS-2108,2651,1723.15,Piece,(Pack of 25),1,"Dowell's CUS-2108 - 2 Core, Short Barrel Copper Sector Lugs , Size 50 Sq.mm",,,,,,Type of Core,2 Core,Size,50 Sq.mm,E-Bolt Hole,13,Type of Product,Copper Sector Lugs - Short Barrel,Material,Copper,,,,,,,,,,,,,1722059547-Product-Short Barrel Copper.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's CUS-2109 - 2 Core, Short Barrel Copper Sector Lugs , Size 70 Sq.mm (Pack of 15)",Dowell's,Panel & Panel Accessories,Thimbles,Copper Sector Lugs,70 Sq.mm Short Barrel Copper Sector Lugs,CUS-2109,,CUS-2109,2535.3,1647.945,Piece,(Pack of 15),1,"Dowell's CUS-2109 - 2 Core, Short Barrel Copper Sector Lugs , Size 70 Sq.mm",,,,,,Type of Core,2 Core,Size,70 Sq.mm,E-Bolt Hole,8.4,Type of Product,Copper Sector Lugs - Short Barrel,Material,Copper,,,,,,,,,,,,,1722059547-Product-Short Barrel Copper.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's CUS-2110 - 2 Core, Short Barrel Copper Sector Lugs , Size 70 Sq.mm (Pack of 15)",Dowell's,Panel & Panel Accessories,Thimbles,Copper Sector Lugs,70 Sq.mm Short Barrel Copper Sector Lugs,CUS-2110,,CUS-2110,2535.3,1647.945,Piece,(Pack of 15),1,"Dowell's CUS-2110 - 2 Core, Short Barrel Copper Sector Lugs , Size 70 Sq.mm",,,,,,Type of Core,2 Core,Size,70 Sq.mm,E-Bolt Hole,10.5,Type of Product,Copper Sector Lugs - Short Barrel,Material,Copper,,,,,,,,,,,,,1722059547-Product-Short Barrel Copper.PNG,,,18%,,,,,,,,,1,1-2 Days,
