name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Dowell's 2S-CB-25 - 2 Core , Copper Sector Connectors, Size 25 Sq. mm ( 1 Pack of 50)",Dowell's,Panel & Panel Accessories,Thimbles,Copper Sector Connectors,25 Sq. mm Copper Sector Connectors,2S-CB-25,,2S-CB-25,1586.5,1031.225,Piece,( 1 Pack of 50),1,"Dowell's 2S-CB-25 - 2 Core , Copper Sector Connectors, Size 25 Sq. mm",,,,,,Type of Core,2 Core,Size,25 Sq. mm,Type of Product,Copper Sector Connector,Material,Copper,,,,,,,,,,,,,,,1722074959-Product-Copper Sector Connectors.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's 2S-CB-35 - 2 Core , Copper Sector Connectors, Size 35 Sq. mm ( 1 Pack of 50)",Dowell's,Panel & Panel Accessories,Thimbles,Copper Sector Connectors,35 Sq. mm Copper Sector Connectors,2S-CB-35,,2S-CB-35,2472,1606.8,Piece,( 1 Pack of 50),1,"Dowell's 2S-CB-35 - 2 Core , Copper Sector Connectors, Size 35 Sq. mm",,,,,,Type of Core,2 Core,Size,35 Sq. mm,Type of Product,Copper Sector Connector,Material,Copper,,,,,,,,,,,,,,,1722074959-Product-Copper Sector Connectors.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's 2S-CB-50 - 2 Core , Copper Sector Connectors, Size 50 Sq. mm ( 1 Pack of 50)",Dowell's,Panel & Panel Accessories,Thimbles,Copper Sector Connectors,50 Sq. mm Copper Sector Connectors,2S-CB-50,,2S-CB-50,4058,2637.7,Piece,( 1 Pack of 50),1,"Dowell's 2S-CB-50 - 2 Core , Copper Sector Connectors, Size 50 Sq. mm",,,,,,Type of Core,2 Core,Size,50 Sq. mm,Type of Product,Copper Sector Connector,Material,Copper,,,,,,,,,,,,,,,1722074959-Product-Copper Sector Connectors.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's 2S-CB-70 - 2 Core , Copper Sector Connectors, Size 70 Sq. mm ( 1 Pack of 50)",Dowell's,Panel & Panel Accessories,Thimbles,Copper Sector Connectors,70 Sq. mm Copper Sector Connectors,2S-CB-70,,2S-CB-70,6946,4514.9,Piece,( 1 Pack of 50),1,"Dowell's 2S-CB-70 - 2 Core , Copper Sector Connectors, Size 70 Sq. mm",,,,,,Type of Core,2 Core,Size,70 Sq. mm,Type of Product,Copper Sector Connector,Material,Copper,,,,,,,,,,,,,,,1722074959-Product-Copper Sector Connectors.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's 2S-CB-95 - 2 Core , Copper Sector Connectors, Size 95 Sq. mm ( 1 Pack of 25)",Dowell's,Panel & Panel Accessories,Thimbles,Copper Sector Connectors,95 Sq. mm Copper Sector Connectors,2S-CB-95,,2S-CB-95,5093.75,3310.938,Piece,( 1 Pack of 25),1,"Dowell's 2S-CB-95 - 2 Core , Copper Sector Connectors, Size 95 Sq. mm",,,,,,Type of Core,2 Core,Size,95 Sq. mm,Type of Product,Copper Sector Connector,Material,Copper,,,,,,,,,,,,,,,1722074959-Product-Copper Sector Connectors.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's 2S-CB-120 - 2 Core , Copper Sector Connectors, Size 120 Sq. mm ( 1 Pack of 20)",Dowell's,Panel & Panel Accessories,Thimbles,Copper Sector Connectors,120 Sq. mm Copper Sector Connectors,2S-CB-120,,2S-CB-120,5579.8,3626.87,Piece,( 1 Pack of 20),1,"Dowell's 2S-CB-120 - 2 Core , Copper Sector Connectors, Size 120 Sq. mm",,,,,,Type of Core,2 Core,Size,120 Sq. mm,Type of Product,Copper Sector Connector,Material,Copper,,,,,,,,,,,,,,,1722074959-Product-Copper Sector Connectors.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's 2S-CB-150 - 2 Core , Copper Sector Connectors, Size 150 Sq. mm ( 1 Pack of 25)",Dowell's,Panel & Panel Accessories,Thimbles,Copper Sector Connectors,150 Sq. mm Copper Sector Connectors,2S-CB-150,,2S-CB-150,9377,6095.05,Piece,( 1 Pack of 25),1,"Dowell's 2S-CB-150 - 2 Core , Copper Sector Connectors, Size 150 Sq. mm",,,,,,Type of Core,2 Core,Size,150 Sq. mm,Type of Product,Copper Sector Connector,Material,Copper,,,,,,,,,,,,,,,1722074959-Product-Copper Sector Connectors.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's 2S-CB-185 - 2 Core , Copper Sector Connectors, Size 185 Sq. mm ( 1 Pack of 25)",Dowell's,Panel & Panel Accessories,Thimbles,Copper Sector Connectors,185 Sq. mm Copper Sector Connectors,2S-CB-185,,2S-CB-185,12415.5,8070.075,Piece,( 1 Pack of 25),1,"Dowell's 2S-CB-185 - 2 Core , Copper Sector Connectors, Size 185 Sq. mm",,,,,,Type of Core,2 Core,Size,185 Sq. mm,Type of Product,Copper Sector Connector,Material,Copper,,,,,,,,,,,,,,,1722074959-Product-Copper Sector Connectors.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's 2S-CB-240 - 2 Core , Copper Sector Connectors, Size 240 Sq. mm ( 1 Pack of 20)",Dowell's,Panel & Panel Accessories,Thimbles,Copper Sector Connectors,240 Sq. mm Copper Sector Connectors,2S-CB-240,,2S-CB-240,15396.4,10007.66,Piece,( 1 Pack of 20),1,"Dowell's 2S-CB-240 - 2 Core , Copper Sector Connectors, Size 240 Sq. mm",,,,,,Type of Core,2 Core,Size,240 Sq. mm,Type of Product,Copper Sector Connector,Material,Copper,,,,,,,,,,,,,,,1722074959-Product-Copper Sector Connectors.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's 2S-CB-300 - 2 Core , Copper Sector Connectors, Size 300 Sq. mm ( 1 Pack of 10)",Dowell's,Panel & Panel Accessories,Thimbles,Copper Sector Connectors,300 Sq. mm Copper Sector Connectors,2S-CB-300,,2S-CB-300,10696.5,6952.725,Piece,( 1 Pack of 10),1,"Dowell's 2S-CB-300 - 2 Core , Copper Sector Connectors, Size 300 Sq. mm",,,,,,Type of Core,2 Core,Size,300 Sq. mm,Type of Product,Copper Sector Connector,Material,Copper,,,,,,,,,,,,,,,1722074959-Product-Copper Sector Connectors.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's 2S-CB-400 - 2 Core , Copper Sector Connectors, Size 400 Sq. mm ( 1 Pack of 8)",Dowell's,Panel & Panel Accessories,Thimbles,Copper Sector Connectors,400 Sq. mm Copper Sector Connectors,2S-CB-400,,2S-CB-400,13132.16,8535.904,Piece,( 1 Pack of 8),1,"Dowell's 2S-CB-400 - 2 Core , Copper Sector Connectors, Size 400 Sq. mm",,,,,,Type of Core,2 Core,Size,400 Sq. mm,Type of Product,Copper Sector Connector,Material,Copper,,,,,,,,,,,,,,,1722074959-Product-Copper Sector Connectors.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's 2S-CB-500 - 2 Core , Copper Sector Connectors, Size 500 Sq. mm ( 1 Pack of 5)",Dowell's,Panel & Panel Accessories,Thimbles,Copper Sector Connectors,500 Sq. mm Copper Sector Connectors,2S-CB-500,,2S-CB-500,9405.7,6113.705,Piece,( 1 Pack of 5),1,"Dowell's 2S-CB-500 - 2 Core , Copper Sector Connectors, Size 500 Sq. mm",,,,,,Type of Core,2 Core,Size,500 Sq. mm,Type of Product,Copper Sector Connector,Material,Copper,,,,,,,,,,,,,,,1722074959-Product-Copper Sector Connectors.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's 2S-CB-630 - 2 Core , Copper Sector Connectors, Size 630 Sq. mm ( 1 Pack of 5)",Dowell's,Panel & Panel Accessories,Thimbles,Copper Sector Connectors,630 Sq. mm Copper Sector Connectors,2S-CB-630,,2S-CB-630,12884.4,8374.86,Piece,( 1 Pack of 5),1,"Dowell's 2S-CB-630 - 2 Core , Copper Sector Connectors, Size 630 Sq. mm",,,,,,Type of Core,2 Core,Size,630 Sq. mm,Type of Product,Copper Sector Connector,Material,Copper,,,,,,,,,,,,,,,1722074959-Product-Copper Sector Connectors.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's 3S-CB-25 - 3 Core , Copper Sector Connectors, Size 25 Sq. mm ( 1 Pack of 50)",Dowell's,Panel & Panel Accessories,Thimbles,Copper Sector Connectors,25 Sq. mm Copper Sector Connectors,3S-CB-25,,3S-CB-25,1586.5,1031.225,Piece,( 1 Pack of 50),1,"Dowell's 3S-CB-25 - 3 Core , Copper Sector Connectors, Size 25 Sq. mm",,,,,,Type of Core,3 Core,Size,25 Sq. mm,Type of Product,Copper Sector Connector,Material,Copper,,,,,,,,,,,,,,,1722074959-Product-Copper Sector Connectors.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's 3S-CB-35 - 3 Core , Copper Sector Connectors, Size 35 Sq. mm ( 1 Pack of 50)",Dowell's,Panel & Panel Accessories,Thimbles,Copper Sector Connectors,35 Sq. mm Copper Sector Connectors,3S-CB-35,,3S-CB-35,2472,1606.8,Piece,( 1 Pack of 50),1,"Dowell's 3S-CB-35 - 3 Core , Copper Sector Connectors, Size 35 Sq. mm",,,,,,Type of Core,3 Core,Size,35 Sq. mm,Type of Product,Copper Sector Connector,Material,Copper,,,,,,,,,,,,,,,1722074959-Product-Copper Sector Connectors.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's 3S-CB-50 - 3 Core , Copper Sector Connectors, Size 50 Sq. mm ( 1 Pack of 50)",Dowell's,Panel & Panel Accessories,Thimbles,Copper Sector Connectors,50 Sq. mm Copper Sector Connectors,3S-CB-50,,3S-CB-50,4058,2637.7,Piece,( 1 Pack of 50),1,"Dowell's 3S-CB-50 - 3 Core , Copper Sector Connectors, Size 50 Sq. mm",,,,,,Type of Core,3 Core,Size,50 Sq. mm,Type of Product,Copper Sector Connector,Material,Copper,,,,,,,,,,,,,,,1722074959-Product-Copper Sector Connectors.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's 3S-CB-70 - 3 Core , Copper Sector Connectors, Size 70 Sq. mm ( 1 Pack of 50)",Dowell's,Panel & Panel Accessories,Thimbles,Copper Sector Connectors,70 Sq. mm Copper Sector Connectors,3S-CB-70,,3S-CB-70,6946,4514.9,Piece,( 1 Pack of 50),1,"Dowell's 3S-CB-70 - 3 Core , Copper Sector Connectors, Size 70 Sq. mm",,,,,,Type of Core,3 Core,Size,70 Sq. mm,Type of Product,Copper Sector Connector,Material,Copper,,,,,,,,,,,,,,,1722074959-Product-Copper Sector Connectors.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's 3S-CB-95 - 3 Core , Copper Sector Connectors, Size 95 Sq. mm ( 1 Pack of 25)",Dowell's,Panel & Panel Accessories,Thimbles,Copper Sector Connectors,95 Sq. mm Copper Sector Connectors,3S-CB-95,,3S-CB-95,5093.75,3310.938,Piece,( 1 Pack of 25),1,"Dowell's 3S-CB-95 - 3 Core , Copper Sector Connectors, Size 95 Sq. mm",,,,,,Type of Core,3 Core,Size,95 Sq. mm,Type of Product,Copper Sector Connector,Material,Copper,,,,,,,,,,,,,,,1722074959-Product-Copper Sector Connectors.PNG,,,18%,,,,,,,,,1,1-2 Days,
