c1_category,c2_category,leaf_category
Thimbles,Copper Reducer Terminal,2.5 Sq. mm Copper Reducer Terminal
Thimbles,Copper Reducer Terminal,2.5 Sq. mm Copper Reducer Terminal
Thimbles,Copper Reducer Terminal,4 Sq. mm Copper Reducer Terminal
Thimbles,Copper Reducer Terminal,4 Sq. mm Copper Reducer Terminal
Thimbles,Copper Reducer Terminal,6 Sq. mm Copper Reducer Terminal
Thimbles,Copper Reducer Terminal,6 Sq. mm Copper Reducer Terminal
Thimbles,Copper Reducer Terminal,10 Sq. mm Copper Reducer Terminal
Thimbles,Copper Reducer Terminal,10 Sq. mm Copper Reducer Terminal
Thimbles,Copper Reducer Terminal,10 Sq. mm Copper Reducer Terminal
Thimbles,Copper Reducer Terminal,10 Sq. mm Copper Reducer Terminal
Thimbles,Copper Reducer Terminal,16 Sq. mm Copper Reducer Terminal
Thimbles,Copper Reducer Terminal,16 Sq. mm Copper Reducer Terminal
Thimbles,Copper Reducer Terminal,16 Sq. mm Copper Reducer Terminal
Thimbles,Copper Reducer Terminal,25 Sq. mm Copper Reducer Terminal
Thimbles,Copper Reducer Terminal,25 Sq. mm Copper Reducer Terminal
Thimbles,Copper Reducer Terminal,35 Sq. mm Copper Reducer Terminal
Thimbles,Copper Reducer Terminal,50 Sq. mm Copper Reducer Terminal
Thimbles,Copper Reducer Terminal,50 Sq. mm Copper Reducer Terminal
Thimbles,Copper Reducer Terminal,70 Sq. mm Copper Reducer Terminal
Thimbles,Copper Reducer Terminal,70 Sq. mm Copper Reducer Terminal
Thimbles,Copper Reducer Terminal,70 Sq. mm Copper Reducer Terminal
Thimbles,Copper Reducer Terminal,95 Sq. mm Copper Reducer Terminal
Thimbles,Copper Reducer Terminal,95 Sq. mm Copper Reducer Terminal
Thimbles,Copper Reducer Terminal,95 Sq. mm Copper Reducer Terminal
Thimbles,Copper Reducer Terminal,95 Sq. mm Copper Reducer Terminal
Thimbles,Copper Reducer Terminal,120 Sq. mm Copper Reducer Terminal
Thimbles,Copper Reducer Terminal,120 Sq. mm Copper Reducer Terminal
Thimbles,Copper Reducer Terminal,120 Sq. mm Copper Reducer Terminal
Thimbles,Copper Reducer Terminal,120 Sq. mm Copper Reducer Terminal
Thimbles,Copper Reducer Terminal,150 Sq. mm Copper Reducer Terminal
Thimbles,Copper Reducer Terminal,150 Sq. mm Copper Reducer Terminal
Thimbles,Copper Reducer Terminal,185 Sq. mm Copper Reducer Terminal
Thimbles,Copper Reducer Terminal,185 Sq. mm Copper Reducer Terminal
Thimbles,Copper Reducer Terminal,225 Sq. mm Copper Reducer Terminal
Thimbles,Copper Reducer Terminal,225 Sq. mm Copper Reducer Terminal
Thimbles,Copper Reducer Terminal,225 Sq. mm Copper Reducer Terminal
Thimbles,Copper Reducer Terminal,240 Sq. mm Copper Reducer Terminal
Thimbles,Copper Reducer Terminal,240 Sq. mm Copper Reducer Terminal
Thimbles,Copper Reducer Terminal,300 Sq. mm Copper Reducer Terminal
Thimbles,Copper Reducer Terminal,300 Sq. mm Copper Reducer Terminal
Thimbles,Copper Reducer Terminal,400 Sq. mm Copper Reducer Terminal
Thimbles,Copper Tube Heavy Duty In-Line Connectors,1.5 Sq. mm Copper Tube Heavy Duty In Line Connectors
Thimbles,Copper Tube Heavy Duty In-Line Connectors,1.5 Sq. mm Copper Tube Heavy Duty In Line Connectors
Thimbles,Copper Tube Heavy Duty In-Line Connectors,2.5 Sq. mm Copper Tube Heavy Duty In Line Connectors
Thimbles,Copper Tube Heavy Duty In-Line Connectors,4 Sq. mm Copper Tube Heavy Duty In Line Connectors
Thimbles,Copper Tube Heavy Duty In-Line Connectors,4.6 Sq. mm Copper Tube Heavy Duty In Line Connectors
Thimbles,Copper Tube Heavy Duty In-Line Connectors,6 Sq. mm Copper Tube Heavy Duty In Line Connectors
Thimbles,Copper Tube Heavy Duty In-Line Connectors,10 Sq. mm Copper Tube Heavy Duty In Line Connectors
Thimbles,Copper Tube Heavy Duty In-Line Connectors,16 Sq. mm Copper Tube Heavy Duty In Line Connectors
Thimbles,Copper Tube Heavy Duty In-Line Connectors,20 Sq. mm Copper Tube Heavy Duty In Line Connectors
Thimbles,Copper Tube Heavy Duty In-Line Connectors,25 Sq. mm Copper Tube Heavy Duty In Line Connectors
Thimbles,Copper Tube Heavy Duty In-Line Connectors,35 Sq. mm Copper Tube Heavy Duty In Line Connectors
Thimbles,Copper Tube Heavy Duty In-Line Connectors,50 Sq. mm Copper Tube Heavy Duty In Line Connectors
Thimbles,Copper Tube Heavy Duty In-Line Connectors,70 Sq. mm Copper Tube Heavy Duty In Line Connectors
Thimbles,Copper Tube Heavy Duty In-Line Connectors,70 Sq. mm Copper Tube Heavy Duty In Line Connectors
Thimbles,Copper Tube Heavy Duty In-Line Connectors,95 Sq. mm Copper Tube Heavy Duty In Line Connectors
Thimbles,Copper Tube Heavy Duty In-Line Connectors,95 Sq. mm Copper Tube Heavy Duty In Line Connectors
Thimbles,Copper Tube Heavy Duty In-Line Connectors,120 Sq. mm Copper Tube Heavy Duty In Line Connectors
Thimbles,Copper Tube Heavy Duty In-Line Connectors,120 Sq. mm Copper Tube Heavy Duty In Line Connectors
Thimbles,Copper Tube Heavy Duty In-Line Connectors,150 Sq. mm Copper Tube Heavy Duty In Line Connectors
Thimbles,Copper Tube Heavy Duty In-Line Connectors,150 Sq. mm Copper Tube Heavy Duty In Line Connectors
Thimbles,Copper Tube Heavy Duty In-Line Connectors,185 Sq. mm Copper Tube Heavy Duty In Line Connectors
Thimbles,Copper Tube Heavy Duty In-Line Connectors,185 Sq. mm Copper Tube Heavy Duty In Line Connectors
Thimbles,Copper Tube Heavy Duty In-Line Connectors,240 Sq. mm Copper Tube Heavy Duty In Line Connectors
Thimbles,Copper Tube Heavy Duty In-Line Connectors,240 Sq. mm Copper Tube Heavy Duty In Line Connectors
Thimbles,Copper Tube Heavy Duty In-Line Connectors,300 Sq. mm Copper Tube Heavy Duty In Line Connectors
Thimbles,Copper Tube Heavy Duty In-Line Connectors,300 Sq. mm Copper Tube Heavy Duty In Line Connectors
Thimbles,Copper Tube Heavy Duty In-Line Connectors,400 Sq. mm Copper Tube Heavy Duty In Line Connectors
Thimbles,Copper Tube Heavy Duty In-Line Connectors,400 Sq. mm Copper Tube Heavy Duty In Line Connectors
Thimbles,Copper Tube Heavy Duty In-Line Connectors,500 Sq. mm Copper Tube Heavy Duty In Line Connectors
Thimbles,Copper Tube Heavy Duty In-Line Connectors,500 Sq. mm Copper Tube Heavy Duty In Line Connectors
Thimbles,Copper Tube Heavy Duty In-Line Connectors,550 Sq. mm Copper Tube Heavy Duty In Line Connectors
Thimbles,Copper Tube Heavy Duty In-Line Connectors,630 Sq. mm Copper Tube Heavy Duty In Line Connectors
Thimbles,Copper Tube Heavy Duty In-Line Connectors,630 Sq. mm Copper Tube Heavy Duty In Line Connectors
Thimbles,Copper Tube Heavy Duty In-Line Connectors,800 Sq. mm Copper Tube Heavy Duty In Line Connectors
Thimbles,Copper Tube Heavy Duty In-Line Connectors,1000 Sq. mm Copper Tube Heavy Duty In Line Connectors
Thimbles,Copper Tube Heavy Duty In-Line Connectors,Size 1.5 Sq. mm Heavy Duty In Line Connectors
Thimbles,Copper Tube Heavy Duty In-Line Connectors,Size 2.5 Sq. mm Heavy Duty In Line Connectors
Thimbles,Copper Tube Heavy Duty In-Line Connectors,Size 4-6 Sq. mm Heavy Duty In Line Connectors
