c1_category,c2_category,leaf_category
Thimbles,Aluminium Tube Terminal,2.5-3 Sq.mm-E Aluminium Tube Terminal
Thimbles,Aluminium Tube Terminal,2.5-3.5 Sq.mm-E Aluminium Tube Terminal
Thimbles,Aluminium Tube Terminal,(4-4) Sq.mm-E Aluminium Tube Terminal
Thimbles,Aluminium Tube Terminal,(4-5) Sq.mm-E Aluminium Tube Terminal
Thimbles,Aluminium Tube Terminal,(6-5) Sq.mm-E Aluminium Tube Terminal
Thimbles,Aluminium Tube Terminal,(6-6) Sq.mm-E Aluminium Tube Terminal
Thimbles,Aluminium Tube Terminal,(10-4) Sq.mm-E Aluminium Tube Terminal
Thimbles,Aluminium Tube Terminal,(10-6) Sq.mm-E Aluminium Tube Terminal
Thimbles,Aluminium Tube Terminal,(10-8) Sq.mm-E Aluminium Tube Terminal
Thimbles,Aluminium Tube Terminal,(16-6) Sq.mm-E Aluminium Tube Terminal
Thimbles,Aluminium Tube Terminal,(16-8) Sq.mm-E Aluminium Tube Terminal
Thimbles,Aluminium Tube Terminal,(16-10) Sq.mm-E Aluminium Tube Terminal
Thimbles,Aluminium Tube Terminal,(25-6) Sq.mm-E Aluminium Tube Terminal
Thimbles,Aluminium Tube Terminal,(25-8) Sq.mm-E Aluminium Tube Terminal
Thimbles,Aluminium Tube Terminal,(25-10) Sq.mm-E Aluminium Tube Terminal
Thimbles,Aluminium Tube Terminal,(25-12) Sq.mm-E Aluminium Tube Terminal
Thimbles,Aluminium Tube Terminal,35-6 Sq.mm-E Aluminium Tube Terminal
Thimbles,Aluminium Tube Terminal,35-8 Sq.mm-E Aluminium Tube Terminal
Thimbles,Aluminium Tube Terminal,35-10 Sq.mm-E Aluminium Tube Terminal
Thimbles,Aluminium Tube Terminal,50-8 Sq.mm-E Aluminium Tube Terminal
Thimbles,Aluminium Tube Terminal,50-10 Sq.mm-E Aluminium Tube Terminal
Thimbles,Aluminium Tube Terminal,50-12 Sq.mm-E Aluminium Tube Terminal
Thimbles,Aluminium Tube Terminal,70-8 Sq.mm-E Aluminium Tube Terminal
Thimbles,Aluminium Tube Terminal,70-10 Sq.mm-E Aluminium Tube Terminal
Thimbles,Aluminium Tube Terminal,70-12 Sq.mm-E Aluminium Tube Terminal
Thimbles,Aluminium Tube Terminal,95-10 Sq.mm-E Aluminium Tube Terminal
Thimbles,Aluminium Tube Terminal,95-12 Sq.mm-E Aluminium Tube Terminal
Thimbles,Aluminium Tube Terminal,95-16 Sq.mm-E Aluminium Tube Terminal
Thimbles,Aluminium Tube Terminal,120-10 Sq.mm-E Aluminium Tube Terminal
Thimbles,Aluminium Tube Terminal,120-12 Sq.mm-E Aluminium Tube Terminal
Thimbles,Aluminium Tube Terminal,120-16 Sq.mm-E Aluminium Tube Terminal
Thimbles,Aluminium Tube Terminal,150-10 Sq.mm-E Aluminium Tube Terminal
Thimbles,Aluminium Tube Terminal,150-12 Sq.mm-E Aluminium Tube Terminal
Thimbles,Aluminium Tube Terminal,150-16 Sq.mm-E Aluminium Tube Terminal
Thimbles,Aluminium Tube Terminal,185-10 Sq.mm-E Aluminium Tube Terminal
Thimbles,Aluminium Tube Terminal,185-12 Sq.mm-E Aluminium Tube Terminal
Thimbles,Aluminium Tube Terminal,185-16 Sq.mm-E Aluminium Tube Terminal
Thimbles,Aluminium Tube Terminal,225-12 Sq.mm-E Aluminium Tube Terminal
Thimbles,Aluminium Tube Terminal,240-12 Sq.mm-E Aluminium Tube Terminal
Thimbles,Aluminium Tube Terminal,240-16 Sq.mm-E Aluminium Tube Terminal
Thimbles,Aluminium Tube Terminal,300-16 Sq.mm-E Aluminium Tube Terminal
Thimbles,Aluminium Tube Terminal,300-20 Sq.mm-E Aluminium Tube Terminal
Thimbles,Aluminium Tube Terminal,400-20 Sq.mm-E Aluminium Tube Terminal
Thimbles,Aluminium Tube Terminal,500-20 Sq.mm-E Aluminium Tube Terminal
Thimbles,Aluminium Tube Terminal,630-20 Sq.mm-E Aluminium Tube Terminal
Thimbles,Aluminium Tube Terminal,800 Sq.mm-E Aluminium Tube Terminal
Thimbles,Aluminium Tube Terminal,1000 Sq.mm-E Aluminium Tube Terminal
