name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Dowell's ALS-151- Aluminium Tube Terminal, Size 2.5-3 Sq.mm-E (1 Pack of 300)",Dowell's,Panel & Panel Accessories,Thimbles,Aluminium Tube Terminal,2.5-3 Sq.mm-E Aluminium Tube Terminal,ALS-151,,ALS-151,939,610.35,Piece,(1 Pack of 300),1,"Dowell's ALS-151- Aluminium Tube Terminal, Size 2.5-3 Sq.mm-E",,,,,,Size,2.5-3 Sq.mm-E,Type of Product,Tube Terminal,Material,Electrolytic Aluminium,,,,,,,,,,,,,,,,,1722320862-Product-Aluminium Series Dowell's pic.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's ALS-309- Aluminium Tube Terminal, Size 2.5-3.5 Sq.mm-E (1 Pack of 300)",Dowell's,Panel & Panel Accessories,Thimbles,Aluminium Tube Terminal,2.5-3.5 Sq.mm-E Aluminium Tube Terminal,ALS-309,,ALS-309,939,610.35,Piece,(1 Pack of 300),1,"Dowell's ALS-309- Aluminium Tube Terminal, Size 2.5-3.5 Sq.mm-E",,,,,,Size,2.5-3.5 Sq.mm-E,Type of Product,Tube Terminal,Material,Electrolytic Aluminium,,,,,,,,,,,,,,,,,1722320862-Product-Aluminium Series Dowell's pic.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's ALS-155- Aluminium Tube Terminal, Size (4-4) Sq.mm-E (1 Pack of 300)",Dowell's,Panel & Panel Accessories,Thimbles,Aluminium Tube Terminal,(4-4) Sq.mm-E Aluminium Tube Terminal,ALS-155,,ALS-155,975,633.75,Piece,(1 Pack of 300),1,"Dowell's ALS-155- Aluminium Tube Terminal, Size (4-4) Sq.mm-E",,,,,,Size,(4-4) Sq.mm-E,Type of Product,Tube Terminal,Material,Electrolytic Aluminium,,,,,,,,,,,,,,,,,1722320862-Product-Aluminium Series Dowell's pic.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's ALS-317- Aluminium Tube Terminal, Size (4-5) Sq.mm-E (1 Pack of 300)",Dowell's,Panel & Panel Accessories,Thimbles,Aluminium Tube Terminal,(4-5) Sq.mm-E Aluminium Tube Terminal,ALS-317,,ALS-317,975,633.75,Piece,(1 Pack of 300),1,"Dowell's ALS-317- Aluminium Tube Terminal, Size (4-5) Sq.mm-E",,,,,,Size,(4-5) Sq.mm-E,Type of Product,Tube Terminal,Material,Electrolytic Aluminium,,,,,,,,,,,,,,,,,1722320862-Product-Aluminium Series Dowell's pic.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's ALS-158- Aluminium Tube Terminal, Size (6-5) Sq.mm-E (1 Pack of 300)",Dowell's,Panel & Panel Accessories,Thimbles,Aluminium Tube Terminal,(6-5) Sq.mm-E Aluminium Tube Terminal,ALS-158,,ALS-158,1113,723.45,Piece,(1 Pack of 300),1,"Dowell's ALS-158- Aluminium Tube Terminal, Size (6-5) Sq.mm-E",,,,,,Size,(6-5) Sq.mm-E,Type of Product,Tube Terminal,Material,Electrolytic Aluminium,,,,,,,,,,,,,,,,,1722320862-Product-Aluminium Series Dowell's pic.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's ALS-313- Aluminium Tube Terminal, Size (6-6) Sq.mm-E (1 Pack of 300)",Dowell's,Panel & Panel Accessories,Thimbles,Aluminium Tube Terminal,(6-6) Sq.mm-E Aluminium Tube Terminal,ALS-313,,ALS-313,1113,723.45,Piece,(1 Pack of 300),1,"Dowell's ALS-313- Aluminium Tube Terminal, Size (6-6) Sq.mm-E",,,,,,Size,(6-6) Sq.mm-E,Type of Product,Tube Terminal,Material,Electrolytic Aluminium,,,,,,,,,,,,,,,,,1722320862-Product-Aluminium Series Dowell's pic.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's ALS-159- Aluminium Tube Terminal, Size (10-4) Sq.mm-E (1 Pack of 200)",Dowell's,Panel & Panel Accessories,Thimbles,Aluminium Tube Terminal,(10-4) Sq.mm-E Aluminium Tube Terminal,ALS-159,,ALS-159,904,587.6,Piece,(1 Pack of 200),1,"Dowell's ALS-159- Aluminium Tube Terminal, Size (10-4) Sq.mm-E",,,,,,Size,(10-4) Sq.mm-E,Type of Product,Tube Terminal,Material,Electrolytic Aluminium,,,,,,,,,,,,,,,,,1722320862-Product-Aluminium Series Dowell's pic.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's ALS-214- Aluminium Tube Terminal, Size (10-6) Sq.mm-E (1 Pack of 200)",Dowell's,Panel & Panel Accessories,Thimbles,Aluminium Tube Terminal,(10-6) Sq.mm-E Aluminium Tube Terminal,ALS-214,,ALS-214,904,587.6,Piece,(1 Pack of 200),1,"Dowell's ALS-214- Aluminium Tube Terminal, Size (10-6) Sq.mm-E",,,,,,Size,(10-6) Sq.mm-E,Type of Product,Tube Terminal,Material,Electrolytic Aluminium,,,,,,,,,,,,,,,,,1722320862-Product-Aluminium Series Dowell's pic.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's ALS-215- Aluminium Tube Terminal, Size (10-8) Sq.mm-E (1 Pack of 200)",Dowell's,Panel & Panel Accessories,Thimbles,Aluminium Tube Terminal,(10-8) Sq.mm-E Aluminium Tube Terminal,ALS-215,,ALS-215,904,587.6,Piece,(1 Pack of 200),1,"Dowell's ALS-215- Aluminium Tube Terminal, Size (10-8) Sq.mm-E",,,,,,Size,(10-8) Sq.mm-E,Type of Product,Tube Terminal,Material,Electrolytic Aluminium,,,,,,,,,,,,,,,,,1722320862-Product-Aluminium Series Dowell's pic.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's ALS-252- Aluminium Tube Terminal, Size (16-6) Sq.mm-E (1 Pack of 100)",Dowell's,Panel & Panel Accessories,Thimbles,Aluminium Tube Terminal,(16-6) Sq.mm-E Aluminium Tube Terminal,ALS-252,,ALS-252,625,406.25,Piece,(1 Pack of 100),1,"Dowell's ALS-252- Aluminium Tube Terminal, Size (16-6) Sq.mm-E",,,,,,Size,(16-6) Sq.mm-E,Type of Product,Tube Terminal,Material,Electrolytic Aluminium,,,,,,,,,,,,,,,,,1722320862-Product-Aluminium Series Dowell's pic.PNG,,,18%,,,,,,,,,1,1-2 Days,
