c1_category,c2_category,leaf_category
Thimbles,Copper Twin Type Lugs,0.5-8 Sq.mm-E Twin Type Copper lugs
Thimbles,Copper Twin Type Lugs,0.5-10 Sq.mm-E Twin Type Copper lugs
Thimbles,Copper Twin Type Lugs,0.75-8 Sq.mm-E Twin Type Copper lugs
Thimbles,Copper Twin Type Lugs,0.75-10 Sq.mm-E Twin Type Copper lugs
Thimbles,Copper Twin Type Lugs,(1-8) Sq.mm-E Twin Type Copper lugs
Thimbles,Copper Twin Type Lugs,(1-10) Sq.mm-E Twin Type Copper lugs
Thimbles,Copper Twin Type Lugs,1.5-8 Sq.mm-E Twin Type Copper lugs
Thimbles,Copper Twin Type Lugs,1.5-10 Sq.mm-E Twin Type Copper lugs
Thimbles,Copper Twin Type Lugs,2.5-8 Sq.mm-E Twin Type Copper lugs
Thimbles,Copper Twin Type Lugs,2.5-10 Sq.mm-E Twin Type Copper lugs
Thimbles,Copper Twin Type Lugs,(4-12) Sq.mm-E Twin Type Copper lugs
Thimbles,Copper Twin Type Lugs,(6-12) Sq.mm-E Twin Type Copper lugs
Thimbles,Aluminium Tube Terminal Two Holes,150 Sq.mm-E Two Holes Aluminium Tube Terminal
Thimbles,Aluminium Tube Terminal Two Holes,240 Sq.mm-E Two Holes Aluminium Tube Terminal
Thimbles,Aluminium Tube Terminal Two Holes,300 Sq.mm-E Two Holes Aluminium Tube Terminal
Thimbles,Aluminium Tube Terminal Two Holes,630 Sq.mm-E Two Holes Aluminium Tube Terminal
Thimbles,Aluminium Tube Terminal Two Holes,300 Sq.mm-E Two Holes Aluminium Tube Terminal
Thimbles,Aluminium Tube Terminal Two Holes,300 Sq.mm-E Two Holes Aluminium Tube Terminal
