name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Dowell's TW-0.5-8- Twin Type Copper lugs, Size 0.5-8 Sq.mm-E, Length 8 mm (Pack of 300)",Dowell's,Panel & Panel Accessories,Thimbles,Copper Twin Type Lugs,0.5-8 Sq.mm-E Twin Type Copper lugs,TW-0.5-8,,TW-0.5-8,906,588.9,Piece,(Pack of 300),1,"Dowell's TW-0.5-8- Twin Type Copper lugs, Size 0.5-8 Sq.mm-E, Length 8 mm",,,,,,Natural Color,White,Size,0.5-8 Sq.mm-E,Type of Product,Twin Type Lug,Material,Copper,Length,8 mm,,,,,,,,,,,,,1722332896-Product-888888888888.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's TW-0.5-10- Twin Type Copper lugs, Size 0.5-10 Sq.mm-E, Length 10 mm (Pack of 300)",Dowell's,Panel & Panel Accessories,Thimbles,Copper Twin Type Lugs,0.5-10 Sq.mm-E Twin Type Copper lugs,TW-0.5-10,,TW-0.5-10,939,610.35,Piece,(Pack of 300),1,"Dowell's TW-0.5-10- Twin Type Copper lugs, Size 0.5-10 Sq.mm-E, Length 10 mm",,,,,,Natural Color,White,Size,0.5-10 Sq.mm-E,Type of Product,Twin Type Lug,Material,Copper,Length,10 mm,,,,,,,,,,,,,1722332896-Product-888888888888.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's TW-0.75-8- Twin Type Copper lugs, Size 0.75-8 Sq.mm-E, Length 8 mm (Pack of 300)",Dowell's,Panel & Panel Accessories,Thimbles,Copper Twin Type Lugs,0.75-8 Sq.mm-E Twin Type Copper lugs,TW-0.75-8,,TW-0.75-8,906,588.9,Piece,(Pack of 300),1,"Dowell's TW-0.75-8- Twin Type Copper lugs, Size 0.75-8 Sq.mm-E, Length 8 mm",,,,,,Natural Color,Grey,Size,0.75-8 Sq.mm-E,Type of Product,Twin Type Lug,Material,Copper,Length,8 mm,,,,,,,,,,,,,1722332896-Product-888888888888.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's TW-0.75-10- Twin Type Copper lugs, Size 0.75-10 Sq.mm-E, Length 10 mm (Pack of 300)",Dowell's,Panel & Panel Accessories,Thimbles,Copper Twin Type Lugs,0.75-10 Sq.mm-E Twin Type Copper lugs,TW-0.75-10,,TW-0.75-10,906,588.9,Piece,(Pack of 300),1,"Dowell's TW-0.75-10- Twin Type Copper lugs, Size 0.75-10 Sq.mm-E, Length 10 mm",,,,,,Natural Color,Grey,Size,0.75-10 Sq.mm-E,Type of Product,Twin Type Lug,Material,Copper,Length,10 mm,,,,,,,,,,,,,1722332896-Product-888888888888.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's TW-1-8- Twin Type Copper lugs, Size (1-8) Sq.mm-E, Length 8 mm (Pack of 300)",Dowell's,Panel & Panel Accessories,Thimbles,Copper Twin Type Lugs,(1-8) Sq.mm-E Twin Type Copper lugs,TW-1-8,,TW-1-8,939,610.35,Piece,(Pack of 300),1,"Dowell's TW-1-8- Twin Type Copper lugs, Size (1-8) Sq.mm-E, Length 8 mm",,,,,,Natural Color,Red,Size,(1-8) Sq.mm-E,Type of Product,Twin Type Lug,Material,Copper,Length,8 mm,,,,,,,,,,,,,1722332896-Product-888888888888.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's TW-1-10- Twin Type Copper lugs, Size (1-10) Sq.mm-E, Length 10 mm (Pack of 300)",Dowell's,Panel & Panel Accessories,Thimbles,Copper Twin Type Lugs,(1-10) Sq.mm-E Twin Type Copper lugs,TW-1-10,,TW-1-10,939,610.35,Piece,(Pack of 300),1,"Dowell's TW-1-10- Twin Type Copper lugs, Size (1-10) Sq.mm-E, Length 10 mm",,,,,,Natural Color,Red,Size,(1-10) Sq.mm-E,Type of Product,Twin Type Lug,Material,Copper,Length,10 mm,,,,,,,,,,,,,1722332896-Product-888888888888.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's TW-1.5-8- Twin Type Copper lugs, Size 1.5-8 Sq.mm-E, Length 8 mm (Pack of 300)",Dowell's,Panel & Panel Accessories,Thimbles,Copper Twin Type Lugs,1.5-8 Sq.mm-E Twin Type Copper lugs,TW-1.5-8,,TW-1.5-8,939,610.35,Piece,(Pack of 300),1,"Dowell's TW-1.5-8- Twin Type Copper lugs, Size 1.5-8 Sq.mm-E, Length 8 mm",,,,,,Natural Color,Black,Size,1.5-8 Sq.mm-E,Type of Product,Twin Type Lug,Material,Copper,Length,8 mm,,,,,,,,,,,,,1722332896-Product-888888888888.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's TW-1.5-10- Twin Type Copper lugs, Size 1.5-10 Sq.mm-E, Length 10 mm (Pack of 300)",Dowell's,Panel & Panel Accessories,Thimbles,Copper Twin Type Lugs,1.5-10 Sq.mm-E Twin Type Copper lugs,TW-1.5-10,,TW-1.5-10,939,610.35,Piece,(Pack of 300),1,"Dowell's TW-1.5-10- Twin Type Copper lugs, Size 1.5-10 Sq.mm-E, Length 10 mm",,,,,,Natural Color,Black,Size,1.5-10 Sq.mm-E,Type of Product,Twin Type Lug,Material,Copper,Length,10 mm,,,,,,,,,,,,,1722332896-Product-888888888888.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's TW-2.5-8- Twin Type Copper lugs, Size 2.5-8 Sq.mm-E, Length 8 mm (Pack of 300)",Dowell's,Panel & Panel Accessories,Thimbles,Copper Twin Type Lugs,2.5-8 Sq.mm-E Twin Type Copper lugs,TW-2.5-8,,TW-2.5-8,1008,655.2,Piece,(Pack of 300),1,"Dowell's TW-2.5-8- Twin Type Copper lugs, Size 2.5-8 Sq.mm-E, Length 8 mm",,,,,,Natural Color,Blue,Size,2.5-8 Sq.mm-E,Type of Product,Twin Type Lug,Material,Copper,Length,8 mm,,,,,,,,,,,,,1722332896-Product-888888888888.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's TW-2.5-10- Twin Type Copper lugs, Size 2.5-10 Sq.mm-E, Length 10 mm (Pack of 300)",Dowell's,Panel & Panel Accessories,Thimbles,Copper Twin Type Lugs,2.5-10 Sq.mm-E Twin Type Copper lugs,TW-2.5-10,,TW-2.5-10,1113,723.45,Piece,(Pack of 300),1,"Dowell's TW-2.5-10- Twin Type Copper lugs, Size 2.5-10 Sq.mm-E, Length 10 mm",,,,,,Natural Color,Blue,Size,2.5-10 Sq.mm-E,Type of Product,Twin Type Lug,Material,Copper,Length,10 mm,,,,,,,,,,,,,1722332896-Product-888888888888.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's TW-4-12- Twin Type Copper lugs, Size (4-12) Sq.mm-E, Length 12 mm (Pack of 250)",Dowell's,Panel & Panel Accessories,Thimbles,Copper Twin Type Lugs,(4-12) Sq.mm-E Twin Type Copper lugs,TW-4-12,,TW-4-12,1072.5,697.125,Piece,(Pack of 250),1,"Dowell's TW-4-12- Twin Type Copper lugs, Size (4-12) Sq.mm-E, Length 12 mm",,,,,,Natural Color,Grey,Size,(4-12) Sq.mm-E,Type of Product,Twin Type Lug,Material,Copper,Length,12 mm,,,,,,,,,,,,,1722332896-Product-888888888888.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's TW-6-12- Twin Type Copper lugs, Size (6-12) Sq.mm-E, Length 13 mm (Pack of 250)",Dowell's,Panel & Panel Accessories,Thimbles,Copper Twin Type Lugs,(6-12) Sq.mm-E Twin Type Copper lugs,TW-6-12,,TW-6-12,1072.5,697.125,Piece,(Pack of 250),1,"Dowell's TW-6-12- Twin Type Copper lugs, Size (6-12) Sq.mm-E, Length 13 mm",,,,,,Natural Color,Yellow,Size,(6-12) Sq.mm-E,Type of Product,Twin Type Lug,Material,Copper,Length,13 mm,,,,,,,,,,,,,1722332896-Product-888888888888.PNG,,,18%,,,,,,,,,1,1-2 Days,
