id,name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
9377,Ethernet Patch Cable 1 M,Reputed,IIOT/Industry 4.0,Communication Cable,PLC Programming Cable,Ethernet Patch Cable 1 M,,,,,,Meter,Pack of 1 Mtr,1,Ethernet Patch Cable 1 M,,,,,,Type,Molded,Color,White,Length,1 Meter,,,,,,,,,,,,,,,,,1721900464-Product-2 meter pacth.PNG,6937529101-Ethernet-Patc,,18%,,,,,,,,,1,4-5 Days,
9378,Ethernet Patch Cable 2 M,Reputed,IIOT/Industry 4.0,Communication Cable,PLC Programming Cable,Ethernet Patch Cable 2 M,,,,,,Meter,Pack of 2 Mtr,1,Ethernet Patch Cable 2 M,,,,,,Type,Molded,Color,White,Length,2 Meter,,,,,,,,,,,,,,,,,1721902016-Product-Pacth cable.PNG,4517699224-Ethernet-Patc,,18%,,,,,,,,,1,4-5 Days,
9379,Ethernet Patch Cable 3 M,Reputed,IIOT/Industry 4.0,Communication Cable,PLC Programming Cable,Ethernet Patch Cable 3 M,,,,,,Meter,Pack of 3 Mtr,1,Ethernet Patch Cable 3 M,,,,,,Type,Molded,Color,White,Length,3 Meter,,,,,,,,,,,,,,,,,1721902016-Product-Pacth cable.PNG,8972314510-Ethernet-Patc,,18%,,,,,,,,,1,4-5 Days,
9380,Ethernet Patch Cable 5 M,Reputed,IIOT/Industry 4.0,Communication Cable,PLC Programming Cable,Ethernet Patch Cable 5 M,,,,,,Meter,Pack of 5 Mtr,1,Ethernet Patch Cable 5 M,,,,,,Type,Molded,Color,White,Length,5 Meter,,,,,,,,,,,,,,,,,1721902016-Product-Pacth cable.PNG,4705129424-Ethernet-Patc,,18%,,,,,,,,,1,4-5 Days,
9381,Ethernet Patch Cable 10 M,Reputed,IIOT/Industry 4.0,Communication Cable,PLC Programming Cable,Ethernet Patch Cable 10 M,,,,,,Meter,Pack of 10 Mtr,1,Ethernet Patch Cable 10 M,,,,,,Type,Molded,Color,White,Length,10 Meter,,,,,,,,,,,,,,,,,1721902016-Product-Pacth cable.PNG,3473206153-Ethernet-Patc,,18%,,,,,,,,,1,4-5 Days,
9382,Ethernet Patch Cable 15 M,Reputed,IIOT/Industry 4.0,Communication Cable,PLC Programming Cable,Ethernet Patch Cable 15 M,,,,,,Meter,Pack of 15 Mtr,1,Ethernet Patch Cable 15 M,,,,,,Type,Molded,Color,White,Length,15 Meter,,,,,,,,,,,,,,,,,1721902016-Product-Pacth cable.PNG,8692784574-Ethernet-Patc,,18%,,,,,,,,,1,4-5 Days,
9383,Ethernet Patch Cable 30 M,Reputed,IIOT/Industry 4.0,Communication Cable,PLC Programming Cable,Ethernet Patch Cable 30 M,,,,,,Meter,Pack of 30 Mtr,1,Ethernet Patch Cable 30 M,,,,,,Type,Molded,Color,White,Length,30 Meter,,,,,,,,,,,,,,,,,1721902016-Product-Pacth cable.PNG,6912040974-Ethernet-Patc,,18%,,,,,,,,,1,4-5 Days,
10442,"Cat6 Patch Cable, Snagless, Blue, 1 Meter",Reputed,IIOT/Industry 4.0,Communication Cable,Ethernet Patch Cable,"Cat6 Patch Cable, Snagless, 1 Meter",,,,,,Meter,Each,1,"Cat6 Patch Cable, Snagless, Blue, 1 Meter",,,,,,Cable Type,Category 6,Length,1 Mtr,Conductor,"24 AWG Stranded Copper (7 x 32), Four Pairs",Shielded,UTP - Unshielded Twisted Pair,Temperature Rating,75Â°C,Connector,50 micron gold-plated RJ45RJ45 Male to Male,,,,,,,,,,,1722411673-Product-cable patch.PNG,3564784429-Cat6-Patch-Ca,,18%,,,,,,,,,1,2-4 days,
10443,"Cat6 Patch Cable, Snagless, Blue, 3 Meter",Reputed,IIOT/Industry 4.0,Communication Cable,Ethernet Patch Cable,"Cat6 Patch Cable, Snagless, 3 Meter",,,,,,Meter,Each,1,"Cat6 Patch Cable, Snagless, Blue, 3 Meter",,,,,,Cable Type,Category 6,Length,3 Mtr,Conductor,"24 AWG Stranded Copper (7 x 32), Four Pairs",Shielded,UTP - Unshielded Twisted Pair,Temperature Rating,75Â°C,Connector,50 micron gold-plated RJ45RJ45 Male to Male,,,,,,,,,,,1722411673-Product-3 metr patch cable.PNG,8953183211-Cat6-Patch-Ca,,18%,,,,,,,,,1,2-4 days,
10444,"Cat6 Patch Cable, Snagless, Blue, 5 Meter",Reputed,IIOT/Industry 4.0,Communication Cable,Ethernet Patch Cable,"Cat6 Patch Cable, Snagless, 5 Meter",,,,,,Meter,Each,1,"Cat6 Patch Cable, Snagless, Blue, 5 Meter",,,,,,Cable Type,Category 6,Length,5 Mtr,Conductor,"24 AWG Stranded Copper (7 x 32), Four Pairs",Shielded,UTP - Unshielded Twisted Pair,Temperature Rating,75Â°C,Connector,50 micron gold-plated RJ45RJ45 Male to Male,,,,,,,,,,,1722411673-Product-5 metr patch cable.PNG,8805932074-Cat6-Patch-Ca,,18%,,,,,,,,,1,2-4 days,
10445,"Cat6 Patch Cable, Snagless, Blue, 7 Meter",Reputed,IIOT/Industry 4.0,Communication Cable,Ethernet Patch Cable,"Cat6 Patch Cable, Snagless, 7 Meter",,,,,,Meter,Each,1,"Cat6 Patch Cable, Snagless, Blue, 7 Meter",,,,,,Cable Type,Category 6,Length,7 Mtr,Conductor,"24 AWG Stranded Copper (7 x 32), Four Pairs",Shielded,UTP - Unshielded Twisted Pair,Temperature Rating,75Â°C,Connector,50 micron gold-plated RJ45RJ45 Male to Male,,,,,,,,,,,1722420814-Product-10 mtr.PNG,5958796995-Cat6-Patch-Ca,,18%,,,,,,,,,1,2-4 days,
10446,"Cat6 Patch Cable, Snagless, Blue, 10 Meter",Reputed,IIOT/Industry 4.0,Communication Cable,Ethernet Patch Cable,"Cat6 Patch Cable, Snagless, 10 Meter",,,,,,Meter,Each,1,"Cat6 Patch Cable, Snagless, Blue, 10 Meter",,,,,,Cable Type,Category 6,Length,10 Mtr,Conductor,"24 AWG Stranded Copper (7 x 32), Four Pairs",Shielded,UTP - Unshielded Twisted Pair,Temperature Rating,75Â°C,Connector,50 micron gold-plated RJ45RJ45 Male to Male,,,,,,,,,,,1722420814-Product-10 mtr.PNG,6536887370-Cat6-Patch-Ca,,18%,,,,,,,,,1,2-4 days,
10447,"Cat6 Patch Cable, Snagless, Blue, 11 Meter",Reputed,IIOT/Industry 4.0,Communication Cable,Ethernet Patch Cable,"Cat6 Patch Cable, Snagless, 11 Meter",,,,,,Meter,Each,1,"Cat6 Patch Cable, Snagless, Blue, 11 Meter",,,,,,Cable Type,Category 6,Length,11 Mtr,Conductor,"24 AWG Stranded Copper (7 x 32), Four Pairs",Shielded,UTP - Unshielded Twisted Pair,Temperature Rating,75Â°C,Connector,50 micron gold-plated RJ45RJ45 Male to Male,,,,,,,,,,,1722420814-Product-10 mtr.PNG,8880303308-Cat6-Patch-Ca,,18%,,,,,,,,,1,2-4 days,
10448,"Cat6 Patch Cable, Snagless, Blue, 14 Meter",Reputed,IIOT/Industry 4.0,Communication Cable,Ethernet Patch Cable,"Cat6 Patch Cable, Snagless, 14 Meter",,,,,,Meter,Each,1,"Cat6 Patch Cable, Snagless, Blue, 14 Meter",,,,,,Cable Type,Category 6,Length,14 Mtr,Conductor,"24 AWG Stranded Copper (7 x 32), Four Pairs",Shielded,UTP - Unshielded Twisted Pair,Temperature Rating,75Â°C,Connector,50 micron gold-plated RJ45RJ45 Male to Male,,,,,,,,,,,1722420814-Product-10 mtr.PNG,9695250451-Cat6-Patch-Ca,,18%,,,,,,,,,1,2-4 days,
10449,"Cat6 Patch Cable, Snagless, Blue, 25 Meter",Reputed,IIOT/Industry 4.0,Communication Cable,Ethernet Patch Cable,"Cat6 Patch Cable, Snagless, 25 Meter",,,,,,Meter,Each,1,"Cat6 Patch Cable, Snagless, Blue, 25 Meter",,,,,,Cable Type,Category 6,Length,25 Mtr,Conductor,"24 AWG Stranded Copper (7 x 32), Four Pairs",Shielded,UTP - Unshielded Twisted Pair,Temperature Rating,75Â°C,Connector,50 micron gold-plated RJ45RJ45 Male to Male,,,,,,,,,,,1722420814-Product-10 mtr.PNG,5524138928-Cat6-Patch-Ca,,18%,,,,,,,,,1,2-4 days,
