id,name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
246,"BHW-T10 4P B6, MCB, Four Pole Type B Miniature Circuit Breakers",Mitsubishi Electric,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,Four Pole Type B Miniature Circuit Breakers,BHW-T10 4P B6,BHW,BHW-T10 4P B6,--,2194,Piece,Each,1,"All models fully comply with IEC regulations,Compliance with IP2X protection rating (front surface) ,All models are compatible with reverse connection,Rated currents up to 125A for MCBs, 100A for RCCBs",--,--,--,--,--,No. of poles,FP,Instantaneous tripping,Type B,Rated current In [A],6A,Type of overcurrent release,Thermal-magnetic,Mounting,IEC 35mm rail,Rated insulation voltage,660,--,--,--,--,--,--,--,--,--,--,1710330912-Product-BHW-Four Pole.png,6152643983-BHW-T10-4P-B6,85362030,18%,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,--,--,--,72mm,92.6mm,44mm,0.52kg,1,24hrs,
247,"BHW-T10 4P B10, MCB, Four Pole Type B Miniature Circuit Breakers",Mitsubishi Electric,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,Four Pole Type B Miniature Circuit Breakers,BHW-T10 4P B10,BHW,BHW-T10 4P B10,--,2194,Piece,Each,1,"All models fully comply with IEC regulations,Compliance with IP2X protection rating (front surface) ,All models are compatible with reverse connection,Rated currents up to 125A for MCBs, 100A for RCCBs",--,--,--,--,--,No. of poles,FP,Instantaneous tripping,Type B,Rated current In [A],10A,Type of overcurrent release,Thermal-magnetic,Mounting,IEC 35mm rail,Rated insulation voltage,660,--,--,--,--,--,--,--,--,--,--,1710330912-Product-BHW-Four Pole.png,6240388581-BHW-T10-4P-B1,85362030,18%,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,--,--,--,72mm,92.6mm,44mm,0.52kg,1,1-2 Days,
248,"BHW-T10 4P B16, MCB, Four Pole Type B Miniature Circuit Breakers",Mitsubishi Electric,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,Four Pole Type B Miniature Circuit Breakers,BHW-T10 4P B16,BHW,BHW-T10 4P B16,--,2194,Piece,Each,1,"All models fully comply with IEC regulations,Compliance with IP2X protection rating (front surface) ,All models are compatible with reverse connection,Rated currents up to 125A for MCBs, 100A for RCCBs",--,--,--,--,--,No. of poles,FP,Instantaneous tripping,Type B,Rated current In [A],16A,Type of overcurrent release,Thermal-magnetic,Mounting,IEC 35mm rail,Rated insulation voltage,660,--,--,--,--,--,--,--,--,--,--,1710330912-Product-BHW-Four Pole.png,6418540824-BHW-T10-4P-B1,85362030,18%,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,--,--,--,72mm,92.6mm,44mm,0.52kg,1,1-2 Days,
249,"BHW-T10 4P B20, MCB,Four Pole Type B Miniature Circuit Breakers",Mitsubishi Electric,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,Four Pole Type B Miniature Circuit Breakers,BHW-T10 4P B20,BHW,BHW-T10 4P B20,--,2194,Piece,Each,1,"All models fully comply with IEC regulations,Compliance with IP2X protection rating (front surface) ,All models are compatible with reverse connection,Rated currents up to 125A for MCBs, 100A for RCCBs",--,--,--,--,--,No. of poles,FP,Instantaneous tripping,Type B,Rated current In [A],20A,Type of overcurrent release,Thermal-magnetic,Mounting,IEC 35mm rail,Rated insulation voltage,660,--,--,--,--,--,--,--,--,--,--,1710330912-Product-BHW-Four Pole.png,4648321809-BHW-T10-4P-B2,85362030,18%,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,--,--,--,72mm,92.6mm,44mm,0.52kg,1,1-2 Days,
250,"BHW-T10 4P B25, MCB, Four Pole Type B Miniature Circuit Breakers",Mitsubishi Electric,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,Four Pole Type B Miniature Circuit Breakers,BHW-T10 4P B25,BHW,BHW-T10 4P B25,--,2194,Piece,Each,1,"All models fully comply with IEC regulations,Compliance with IP2X protection rating (front surface) ,All models are compatible with reverse connection,Rated currents up to 125A for MCBs, 100A for RCCBs",--,--,--,--,--,No. of poles,FP,Instantaneous tripping,Type B,Rated current In [A],25A,Type of overcurrent release,Thermal-magnetic,Mounting,IEC 35mm rail,Rated insulation voltage,660,--,--,--,--,--,--,--,--,--,--,1710330912-Product-BHW-Four Pole.png,5639854769-BHW-T10-4P-B2,85362030,18%,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,--,--,--,72mm,92.6mm,44mm,0.52kg,1,1-2 Days,
251,"BHW-T10 4P B32, MCB, Four Pole Type B Miniature Circuit Breakers",Mitsubishi Electric,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,Four Pole Type B Miniature Circuit Breakers,BHW-T10 4P B32,BHW,BHW-T10 4P B32,--,2194,Piece,Each,1,"All models fully comply with IEC regulations,Compliance with IP2X protection rating (front surface) ,All models are compatible with reverse connection,Rated currents up to 125A for MCBs, 100A for RCCBs",--,--,--,--,--,No. of poles,FP,Instantaneous tripping,Type B,Rated current In [A],32A,Type of overcurrent release,Thermal-magnetic,Mounting,IEC 35mm rail,Rated insulation voltage,660,--,--,--,--,--,--,--,--,--,--,1710330912-Product-BHW-Four Pole.png,6903294660-BHW-T10-4P-B3,85362030,18%,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,--,--,--,72mm,92.6mm,44mm,0.52kg,1,1-2 Days,
252,"BHW-T10 4P B40, MCB, Four Pole Type B Miniature Circuit Breakers",Mitsubishi Electric,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,Four Pole Type B Miniature Circuit Breakers,BHW-T10 4P B40,BHW,BHW-T10 4P B40,--,3209,Piece,Each,1,"All models fully comply with IEC regulations,Compliance with IP2X protection rating (front surface) ,All models are compatible with reverse connection,Rated currents up to 125A for MCBs, 100A for RCCBs",--,--,--,--,--,No. of poles,FP,Instantaneous tripping,Type B,Rated current In [A],40A,Type of overcurrent release,Thermal-magnetic,Mounting,IEC 35mm rail,Rated insulation voltage,660,--,--,--,--,--,--,--,--,--,--,1710330912-Product-BHW-Four Pole.png,4846893758-BHW-T10-4P-B4,85362030,18%,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,--,--,--,72mm,92.6mm,44mm,0.52kg,1,1-2 Days,
253,"BHW-T10 4P B50, MCB, Four Pole Type B Miniature Circuit Breakers",Mitsubishi Electric,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,Four Pole Type B Miniature Circuit Breakers,BHW-T10 4P B50,BHW,BHW-T10 4P B50,--,3209,Piece,Each,1,"All models fully comply with IEC regulations,Compliance with IP2X protection rating (front surface) ,All models are compatible with reverse connection,Rated currents up to 125A for MCBs, 100A for RCCBs",--,--,--,--,--,No. of poles,FP,Instantaneous tripping,Type B,Rated current In [A],50A,Type of overcurrent release,Thermal-magnetic,Mounting,IEC 35mm rail,Rated insulation voltage,660,--,--,--,--,--,--,--,--,--,--,1710330912-Product-BHW-Four Pole.png,6783666966-BHW-T10-4P-B5,85362030,18%,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,--,--,--,72mm,92.6mm,44mm,0.52kg,1,1-2 Days,
254,"BHW-T10 4P B63, MCB, Four Pole Type B Miniature Circuit Breakers",Mitsubishi Electric,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,Four Pole Type B Miniature Circuit Breakers,BHW-T10 4P B63,BHW,BHW-T10 4P B63,--,3209,Piece,Each,1,"All models fully comply with IEC regulations,Compliance with IP2X protection rating (front surface) ,All models are compatible with reverse connection,Rated currents up to 125A for MCBs, 100A for RCCBs",--,--,--,--,--,No. of poles,FP,Instantaneous tripping,Type B,Rated current In [A],63A,Type of overcurrent release,Thermal-magnetic,Mounting,IEC 35mm rail,Rated insulation voltage,660,--,--,--,--,--,--,--,--,--,--,1710330912-Product-BHW-Four Pole.png,1177228716-BHW-T10-4P-B6,85362030,18%,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,--,--,--,72mm,92.6mm,44mm,0.52kg,1,1-2 Days,
255,"BHW-T10 4P C0.5, MCB, Four Pole Type C Miniature Circuit Breakers",Mitsubishi Electric,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,Four Pole Type C Miniature Circuit Breakers,BHW-T10 4P C0.5,BHW,BHW-T10 4P C0.5,--,3115,Piece,Each,1,"All models fully comply with IEC regulations,Compliance with IP2X protection rating (front surface) ,All models are compatible with reverse connection,Rated currents up to 125A for MCBs, 100A for RCCBs",--,--,--,--,--,No. of poles,FP,Instantaneous tripping,Type C,Rated current In [A],0.5A,Type of overcurrent release,Thermal-magnetic,Mounting,IEC 35mm rail,Rated insulation voltage,660,--,--,--,--,--,--,--,--,--,--,1710330912-Product-BHW-Four Pole.png,1645385290-BHW-T10-4P-C0,85362030,18%,http://dl.mitsubishielectric.com/dl/fa/document/catalog/lvcb/yn-c-0730/y0730b1803.pdf,--,--,--,72mm,92.6mm,44mm,0.52kg,1,1-2 Days,
