id,name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
6002,Comet CBW01SS-Double Compression Brass Cable Gland Weatherproof O.D: 8.0-12.0 MM,Comet,Panel & Panel Accessories,Glands,Double Compression Glands,Double Compression Brass Cable Gland Weatherproof(CBW),CBW01SS,CBW-Series,CBW01SS,565,,Piece,Each,1,CBW01SS-COMET Weatherproof Type Double Compression Cable Gland Suitable For Armoured Cables,1710913346-Product-Screenshot 2024-03-20 111132.png,1710913353-Product-Screenshot 2024-03-20 111122.png,,,,Cable Overall Diameter (mm),(8.0 -12.5),"Glands,Thread (ET)",(3/4),"Glands,Entry Thread (mm)-C",M20,"Glands,Entry Thread (Length mm)-D",15,"Glands,(Across Flatmm)-E",21.5,"Glands,(Across Corner mm)-F",24.5,Material,Brass,,,,,,,,,1712645527-Product-Screenshot 2024-04-09 103844.png,3456901754-Comet-CBW01SS,,18%,https://www.cometgland.com/wp-content/uploads/2021/10/glands-file.pdf,,,,,,,,1,1-2 Days,
6003,Comet CBF016-Double Compression Brass Cable Gland Flameproof O.D: 94.1 - 104.0 MM,Comet,Panel & Panel Accessories,Glands,Double Compression Glands,Double Compression Brass Cable Gland Flameproof (CBF),CBF016,CBF-Series,CBF016,21901,,Piece,Each,1,CBF016-COMET Flamerproof Type Double Compression Cable Gland Suitable For Armoured Cables,1710913474-Product-Screenshot 2024-03-20 111350.png,1710913482-Product-Screenshot 2024-03-20 111342.png,,,,Cable Overall Diameter (mm),(94.1 - 104.0),"Glands,Thread (ET)",(4-1/2),"Glands,Entry Thread (mm)-C",M110,"Glands,Entry Thread (Length mm)-D",25,"Glands,(Across Flatmm)-E",130,"Glands,(Across Corner mm)-F",149,Material,Brass,,,,,,,,,1712645527-Product-Screenshot 2024-04-09 103844.png,1575214481-Comet-CBF016,,18%,https://www.cometgland.com/wp-content/uploads/2021/10/glands-file.pdf,,,,,,,,1,1-2 Days,
6004,Comet CBW01S-Double Compression Brass Cable Gland Weatherproof O.D: 12.6-16.5 MM,Comet,Panel & Panel Accessories,Glands,Double Compression Glands,Double Compression Brass Cable Gland Weatherproof(CBW),CBW01S,CBW-Series,CBW01S,620,,Piece,Each,1,CBW01S-COMET Weatherproof Type Double Compression Cable Gland Suitable For Armoured Cables,1710913346-Product-Screenshot 2024-03-20 111132.png,1710913353-Product-Screenshot 2024-03-20 111122.png,,,,Cable Overall Diameter (mm),(12.6-16.5),"Glands,Thread (ET)",(3/4),"Glands,Entry Thread (mm)-C",M20,"Glands,Entry Thread (Length mm)-D",15,"Glands,(Across Flatmm)-E",25,"Glands,(Across Corner mm)-F",29,Material,Brass,,,,,,,,,1712645527-Product-Screenshot 2024-04-09 103844.png,7761658057-Comet-CBW01S,,18%,https://www.cometgland.com/wp-content/uploads/2021/10/glands-file.pdf,,,,,,,,1,1-2 Days,
6005,Comet CBW01-Double Compression Brass Cable Gland Weatherproof O.D: 16.6 - 18.0 MM,Comet,Panel & Panel Accessories,Glands,Double Compression Glands,Double Compression Brass Cable Gland Weatherproof(CBW),CBW01,CBW-Series,CBW01,687,,Piece,Each,1,CBW01-COMET Weatherproof Type Double Compression Cable Gland Suitable For Armoured Cables,1710913346-Product-Screenshot 2024-03-20 111132.png,1710913353-Product-Screenshot 2024-03-20 111122.png,,,,Cable Overall Diameter (mm),(16.6 - 18.0),"Glands,Thread (ET)",(3/4),"Glands,Entry Thread (mm)-C",M20,"Glands,Entry Thread (Length mm)-D",15,"Glands,(Across Flatmm)-E",28,"Glands,(Across Corner mm)-F",32,Material,Brass,,,,,,,,,1712645527-Product-Screenshot 2024-04-09 103844.png,7130509847-Comet-CBW01-D,,18%,https://www.cometgland.com/wp-content/uploads/2021/10/glands-file.pdf,,,,,,,,1,1-2 Days,
6006,Comet CBW01A-Double Compression Brass Cable Gland Weatherproof O.D: 16.6-18.0 MM,Comet,Panel & Panel Accessories,Glands,Double Compression Glands,Double Compression Brass Cable Gland Weatherproof(CBW),CBW01A,CBW-Series,CBW01A,775,,Piece,Each,1,CBW01A-COMET Weatherproof Type Double Compression Cable Gland Suitable For Armoured Cables,1710913346-Product-Screenshot 2024-03-20 111132.png,1710913353-Product-Screenshot 2024-03-20 111122.png,,,,Cable Overall Diameter (mm),(16.6-18.0),"Glands,Thread (ET)",1,"Glands,Entry Thread (mm)-C",M25,"Glands,Entry Thread (Length mm)-D",15,"Glands,(Across Flatmm)-E",28,"Glands,(Across Corner mm)-F",32,Material,Brass,,,,,,,,,1712645527-Product-Screenshot 2024-04-09 103844.png,7872210958-Comet-CBW01A,,18%,https://www.cometgland.com/wp-content/uploads/2021/10/glands-file.pdf,,,,,,,,1,1-2 Days,
6007,Comet CBW02-Double Compression Brass Cable Gland Weatherproof O.D: 18.1 - 20.0 MM,Comet,Panel & Panel Accessories,Glands,Double Compression Glands,Double Compression Brass Cable Gland Weatherproof(CBW),CBW02,CBW-Series,CBW02,916,,Piece,Each,1,CBW02-COMET Weatherproof Type Double Compression Cable Gland Suitable For Armoured Cables,1710913346-Product-Screenshot 2024-03-20 111132.png,1710913353-Product-Screenshot 2024-03-20 111122.png,,,,Cable Overall Diameter (mm),(18.1 - 20.0),"Glands,Thread (ET)",1,"Glands,Entry Thread (mm)-C",M25,"Glands,Entry Thread (Length mm)-D",15,"Glands,(Across Flatmm)-E",31.5,"Glands,(Across Corner mm)-F",36.5,Material,Brass,,,,,,,,,1712645527-Product-Screenshot 2024-04-09 103844.png,6756710728-Comet-CBW02-D,,18%,https://www.cometgland.com/wp-content/uploads/2021/10/glands-file.pdf,,,,,,,,1,1-2 Days,
6008,Comet CBW02A-Double Compression Brass Cable Gland Weatherproof O.D: 18.1 - 20.0 MM,Comet,Panel & Panel Accessories,Glands,Double Compression Glands,Double Compression Brass Cable Gland Weatherproof(CBW),CBW02A,CBW-Series,CBW02A,947,,Piece,Each,1,CBW02A-COMET Weatherproof Type Double Compression Cable Gland Suitable For Armoured Cables,1710913346-Product-Screenshot 2024-03-20 111132.png,1710913353-Product-Screenshot 2024-03-20 111122.png,,,,Cable Overall Diameter (mm),(18.1 - 20.0),"Glands,Thread (ET)",(3/4),"Glands,Entry Thread (mm)-C",M20,"Glands,Entry Thread (Length mm)-D",15,"Glands,(Across Flatmm)-E",31.5,"Glands,(Across Corner mm)-F",36.5,Material,Brass,,,,,,,,,1712645527-Product-Screenshot 2024-04-09 103844.png,1803633582-Comet-CBW02A,,18%,https://www.cometgland.com/wp-content/uploads/2021/10/glands-file.pdf,,,,,,,,1,1-2 Days,
6009,Comet CBW03-Double Compression Brass Cable Gland Weatherproof O.D: 20.1-23.0 MM,Comet,Panel & Panel Accessories,Glands,Double Compression Glands,Double Compression Brass Cable Gland Weatherproof(CBW),CBW03,CBW-Series,CBW03,983,,Piece,Each,1,CBW03-COMET Weatherproof Type Double Compression Cable Gland Suitable For Armoured Cables,1710913346-Product-Screenshot 2024-03-20 111132.png,1710913353-Product-Screenshot 2024-03-20 111122.png,,,,Cable Overall Diameter (mm),(20.1-23.0),"Glands,Thread (ET)",1,"Glands,Entry Thread (mm)-C",M25,"Glands,Entry Thread (Length mm)-D",15,"Glands,(Across Flatmm)-E",32,"Glands,(Across Corner mm)-F",37,Material,Brass,,,,,,,,,1712645527-Product-Screenshot 2024-04-09 103844.png,2360509994-Comet-CBW03-D,,18%,https://www.cometgland.com/wp-content/uploads/2021/10/glands-file.pdf,,,,,,,,1,1-2 Days,
6010,Comet CBW04-Double Compression Brass Cable Gland Weatherproof O.D: 23.1 - 26.0 MM,Comet,Panel & Panel Accessories,Glands,Double Compression Glands,Double Compression Brass Cable Gland Weatherproof(CBW),CBW04,CBW-Series,CBW04,1273,,Piece,Each,1,CBW04-COMET Weatherproof Type Double Compression Cable Gland Suitable For Armoured Cables,1710913346-Product-Screenshot 2024-03-20 111132.png,1710913353-Product-Screenshot 2024-03-20 111122.png,,,,Cable Overall Diameter (mm),(23.1 - 26.0),"Glands,Thread (ET)",1,"Glands,Entry Thread (mm)-C",M25,"Glands,Entry Thread (Length mm)-D",15,"Glands,(Across Flatmm)-E",38,"Glands,(Across Corner mm)-F",44,Material,Brass,,,,,,,,,1712645527-Product-Screenshot 2024-04-09 103844.png,6516454969-Comet-CBW04-D,,18%,https://www.cometgland.com/wp-content/uploads/2021/10/glands-file.pdf,,,,,,,,1,1-2 Days,
6011,Comet CBW04A-Double Compression Brass Cable Gland Weatherproof O.D: 23.1 - 26.0 MM,Comet,Panel & Panel Accessories,Glands,Double Compression Glands,Double Compression Brass Cable Gland Weatherproof(CBW),CBW04A,CBW-Series,CBW04A,1431,,Piece,Each,1,CBW04A-COMET Weatherproof Type Double Compression Cable Gland Suitable For Armoured Cables,1710913346-Product-Screenshot 2024-03-20 111132.png,1710913353-Product-Screenshot 2024-03-20 111122.png,,,,Cable Overall Diameter (mm),(23.1 - 26.0),"Glands,Thread (ET)",(1-1/4),"Glands,Entry Thread (mm)-C",M32,"Glands,Entry Thread (Length mm)-D",15,"Glands,(Across Flatmm)-E",38,"Glands,(Across Corner mm)-F",44,Material,Brass,,,,,,,,,1712645527-Product-Screenshot 2024-04-09 103844.png,1914769696-Comet-CBW04A,,18%,https://www.cometgland.com/wp-content/uploads/2021/10/glands-file.pdf,,,,,,,,1,1-2 Days,
6012,Comet CBW05-Double Compression Brass Cable Gland Weatherproof O.D: 26.1 - 30.0 MM,Comet,Panel & Panel Accessories,Glands,Double Compression Glands,Double Compression Brass Cable Gland Weatherproof(CBW),CBW05,CBW-Series,CBW05,1545,,Piece,Each,1,CBW05-COMET Weatherproof Type Double Compression Cable Gland Suitable For Armoured Cables,1710913346-Product-Screenshot 2024-03-20 111132.png,1710913353-Product-Screenshot 2024-03-20 111122.png,,,,Cable Overall Diameter (mm),(26.1 - 30.0),"Glands,Thread (ET)",1,"Glands,Entry Thread (mm)-C",M32,"Glands,Entry Thread (Length mm)-D",15,"Glands,(Across Flatmm)-E",41,"Glands,(Across Corner mm)-F",47,Material,Brass,,,,,,,,,1712645527-Product-Screenshot 2024-04-09 103844.png,1625687079-Comet-CBW05-D,,18%,https://www.cometgland.com/wp-content/uploads/2021/10/glands-file.pdf,,,,,,,,1,1-2 Days,
6013,Comet CBW05A-Double Compression Brass Cable Gland Weatherproof O.D: 26.1 - 30.0 MM,Comet,Panel & Panel Accessories,Glands,Double Compression Glands,Double Compression Brass Cable Gland Weatherproof(CBW),CBW05A,CBW-Series,CBW05A,1620,,Piece,Each,1,CBW05A-COMET Weatherproof Type Double Compression Cable Gland Suitable For Armoured Cables,1710913346-Product-Screenshot 2024-03-20 111132.png,1710913353-Product-Screenshot 2024-03-20 111122.png,,,,Cable Overall Diameter (mm),(26.1 - 30.0),"Glands,Thread (ET)",(1-1/2),"Glands,Entry Thread (mm)-C",M40,"Glands,Entry Thread (Length mm)-D",15,"Glands,(Across Flatmm)-E",41,"Glands,(Across Corner mm)-F",47,Material,Brass,,,,,,,,,1712645527-Product-Screenshot 2024-04-09 103844.png,3404506279-Comet-CBW05A,,18%,https://www.cometgland.com/wp-content/uploads/2021/10/glands-file.pdf,,,,,,,,1,1-2 Days,
6014,Comet CBW06-Double Compression Brass Cable Gland Weatherproof O.D: 30.1 - 33.0 MM,Comet,Panel & Panel Accessories,Glands,Double Compression Glands,Double Compression Brass Cable Gland Weatherproof(CBW),CBW06,CBW-Series,CBW06,2270,,Piece,Each,1,CBW06-COMET Weatherproof Type Double Compression Cable Gland Suitable For Armoured Cables,1710913346-Product-Screenshot 2024-03-20 111132.png,1710913353-Product-Screenshot 2024-03-20 111122.png,,,,Cable Overall Diameter (mm),(30.1 - 33.0),"Glands,Thread (ET)",(1-1/2),"Glands,Entry Thread (mm)-C",M40,"Glands,Entry Thread (Length mm)-D",15,"Glands,(Across Flatmm)-E",47,"Glands,(Across Corner mm)-F",54,Material,Brass,,,,,,,,,1712645527-Product-Screenshot 2024-04-09 103844.png,1404189316-Comet-CBW06-D,,18%,https://www.cometgland.com/wp-content/uploads/2021/10/glands-file.pdf,,,,,,,,1,1-2 Days,
6015,Comet CBW06A-Double Compression Brass Cable Gland Weatherproof O.D: 30.1 - 33.0 MM,Comet,Panel & Panel Accessories,Glands,Double Compression Glands,Double Compression Brass Cable Gland Weatherproof(CBW),CBW06A,CBW-Series,CBW06A,2356,,Piece,Each,1,CBW06A-COMET Weatherproof Type Double Compression Cable Gland Suitable For Armoured Cables,1710913346-Product-Screenshot 2024-03-20 111132.png,1710913353-Product-Screenshot 2024-03-20 111122.png,,,,Cable Overall Diameter (mm),(30.1 - 33.0),"Glands,Thread (ET)",1,"Glands,Entry Thread (mm)-C",M32,"Glands,Entry Thread (Length mm)-D",15,"Glands,(Across Flatmm)-E",47,"Glands,(Across Corner mm)-F",54,Material,Brass,,,,,,,,,1712645527-Product-Screenshot 2024-04-09 103844.png,3161039304-Comet-CBW06A,,18%,https://www.cometgland.com/wp-content/uploads/2021/10/glands-file.pdf,,,,,,,,1,1-2 Days,
6016,Comet CBW07-Double Compression Brass Cable Gland Weatherproof O.D: 33.1 - 37.0 MM,Comet,Panel & Panel Accessories,Glands,Double Compression Glands,Double Compression Brass Cable Gland Weatherproof(CBW),CBW07,CBW-Series,CBW07,2743,,Piece,Each,1,CBW07-COMET Weatherproof Type Double Compression Cable Gland Suitable For Armoured Cables,1710913346-Product-Screenshot 2024-03-20 111132.png,1710913353-Product-Screenshot 2024-03-20 111122.png,,,,Cable Overall Diameter (mm),(33.1 - 37.0),"Glands,Thread (ET)",(1-1/2),"Glands,Entry Thread (mm)-C",M40,"Glands,Entry Thread (Length mm)-D",15,"Glands,(Across Flatmm)-E",52,"Glands,(Across Corner mm)-F",58,Material,Brass,,,,,,,,,1712645527-Product-Screenshot 2024-04-09 103844.png,6275152704-Comet-CBW07-D,,18%,https://www.cometgland.com/wp-content/uploads/2021/10/glands-file.pdf,,,,,,,,1,1-2 Days,
6017,Comet CBW08-Double Compression Brass Cable Gland Weatherproof O.D: 37.1 - 41.0 MM,Comet,Panel & Panel Accessories,Glands,Double Compression Glands,Double Compression Brass Cable Gland Weatherproof(CBW),CBW08,CBW-Series,CBW08,3286,,Piece,Each,1,CBW08-COMET Weatherproof Type Double Compression Cable Gland Suitable For Armoured Cables,1710913346-Product-Screenshot 2024-03-20 111132.png,1710913353-Product-Screenshot 2024-03-20 111122.png,,,,Cable Overall Diameter (mm),(37.1 - 41.0),"Glands,Thread (ET)",2,"Glands,Entry Thread (mm)-C",M50,"Glands,Entry Thread (Length mm)-D",15,"Glands,(Across Flatmm)-E",56,"Glands,(Across Corner mm)-F",64,Material,Brass,,,,,,,,,1712645527-Product-Screenshot 2024-04-09 103844.png,3315277343-Comet-CBW08-D,,18%,https://www.cometgland.com/wp-content/uploads/2021/10/glands-file.pdf,,,,,,,,1,1-2 Days,
