c1_category,c2_category,leaf_category
Load Changeover Switch,Offload Changeover Switch,"Offload Changeover Switch- AC 20 (Side Handle) 415 Vac, 50 Hz, 4 Pole"
Load Changeover Switch,Offload Changeover Switch,"Offload Changeover Switch- AC 20 (Side Handle) 415 Vac, 50 Hz, 4 Pole"
Load Changeover Switch,Offload Changeover Switch,"Offload Changeover Switch- AC 20 (Side Handle) 415 Vac, 50 Hz, 4 Pole"
Load Changeover Switch,Offload Changeover Switch,"Offload Changeover Switch- AC 20 (Side Handle) 415 Vac, 50 Hz, 4 Pole"
Load Changeover Switch,Offload Changeover Switch,"Offload Changeover Switch- AC 20 (Side Handle) 415 Vac, 50 Hz, 4 Pole"
Load Changeover Switch,Offload Changeover Switch,"Offload Changeover Switch- AC 20 (Side Handle) 415 Vac, 50 Hz, 4 Pole"
Load Changeover Switch,Offload Changeover Switch,"Offload Changeover Switch- AC 20 (Side Handle) 415 Vac, 50 Hz, 4 Pole"
Load Changeover Switch,Offload Changeover Switch,"Offload Changeover Switch- AC 20 (Side Handle) 415 Vac, 50 Hz, 4 Pole"
Load Changeover Switch,Offload Changeover Switch,"Offload Changeover Switch- AC 20 (Side Handle) 415 Vac, 50 Hz, 4 Pole"
Load Changeover Switch,Onload Changeover Switch,"Offload Changeover Switch- AC 23 (Side Handle) 415 Vac, 50 Hz, 2 Pole"
Load Changeover Switch,Onload Changeover Switch,"Offload Changeover Switch- AC 23 (Side Handle) 415 Vac, 50 Hz, 2 Pole"
Load Changeover Switch,Onload Changeover Switch,"Offload Changeover Switch- AC 23 (Side Handle) 415 Vac, 50 Hz, 4 Pole"
Load Changeover Switch,Onload Changeover Switch,"Offload Changeover Switch- AC 23 (Side Handle) 415 Vac, 50 Hz, 4 Pole"
Load Changeover Switch,Onload Changeover Switch,"Offload Changeover Switch- AC 23 (Side Handle) 415 Vac, 50 Hz, 4 Pole"
