c1_category,c2_category,leaf_category
Variable Frequency Drive,Single Phase AC Drive,"1 Phase 1 Kw, 200 V,Variable Frequency Drive"
Variable Frequency Drive,Single Phase AC Drive,"1 Phase 0.2 Kw, 200 V,Variable Frequency Drive"
Variable Frequency Drive,Single Phase AC Drive,"1 Phase 0.4 Kw, 200 V,Variable Frequency Drive"
Variable Frequency Drive,Single Phase AC Drive,"1 Phase 0.75 Kw, 200 V,Variable Frequency Drive"
Variable Frequency Drive,Single Phase AC Drive,"1 Phase 1.5 Kw, 200 V,Variable Frequency Drive"
Variable Frequency Drive,Single Phase AC Drive,"1 Phase 2.2 Kw, 200 V,Variable Frequency Drive"
Variable Frequency Drive,Three Phase AC Drive,"3 Phase 0.4 Kw, 400 V, Variable Frequency Drive"
Variable Frequency Drive,Three Phase AC Drive,"3 Phase 0.75 Kw, 400 V, Variable Frequency Drive"
Variable Frequency Drive,Three Phase AC Drive,"3 Phase 1.5 Kw, 400 V, Variable Frequency Drive"
Variable Frequency Drive,Three Phase AC Drive,"3 Phase 2.2 Kw, 400 V, Variable Frequency Drive"
Variable Frequency Drive,Three Phase AC Drive,"3 Phase 3.7 Kw, 400 V, Variable Frequency Drive"
Variable Frequency Drive,Three Phase AC Drive,"3 Phase 5.5 Kw, 400 V,Variable Frequency Drive"
Variable Frequency Drive,Three Phase AC Drive,"3 Phase 7.5 Kw, 400 V, Variable Frequency Drive"
Variable Frequency Drive,Three Phase AC Drive,"3 Phase 11 Kw, 400 V, Variable Frequency Drive"
Variable Frequency Drive,Three Phase AC Drive,"3 Phase 15 Kw, 400 V,Variable Frequency Drive"
