name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Fuji Electric FRN0001C2S-7A- 1 Phase 1 Kw, 200 V,VFD, FRENIC-Mini Series",Fuji Electric,Factory Automation,Variable Frequency Drive,Single Phase AC Drive,"1 Phase 1 Kw, 200 V,Variable Frequency Drive",FRN0001C2S-7A,FRENIC-Mini Series,FRN0001C2S-7A,"17,000",8500,Piece,Each,1,"Fuji Electric FRN0001C2S-7A- 1 Phase 1 Kw, 200 V,VFD, FRENIC-Mini Series",,,,,,Type of Product,Variable Frequency Drive,Phase,Single Phase,Voltage Rating,200 V,Applicable Standard Motor,0.1 kw,Rated O/P Current,0.8 A,Color,Blue,Material,Plastic,Power Frequency,50/60 Hz,Protection Structure,IP20 Enclosed Type,,,,,1723014056-Product-1 pic.PNG,,,18%,,,,,,,,,1,6-8 Days,
"Fuji Electric FRN0002C2S-7A- 1 Phase 0.2 Kw, 200 V,VFD, FRENIC-Mini Series",Fuji Electric,Factory Automation,Variable Frequency Drive,Single Phase AC Drive,"1 Phase 0.2 Kw, 200 V,Variable Frequency Drive",FRN0002C2S-7A,FRENIC-Mini Series,FRN0002C2S-7A,"17,000",8500,Piece,Each,1,"Fuji Electric FRN0002C2S-7A- 1 Phase 0.2 Kw, 200 V,VFD, FRENIC-Mini Series",,,,,,Type of Product,Variable Frequency Drive,Phase,Single Phase,Voltage Rating,200 V,Applicable Standard Motor,0.2 kw,Rated O/P Current,1.5 A,Color,Blue,Material,Plastic,Power Frequency,50/60 Hz,,,,,,,1723014182-Product-frenic mini.PNG,,,18%,,,,,,,,,1,6-8 Days,
"Fuji Electric FRN0004C2S-7A- 1 Phase 0.4 Kw, 200 V,VFD, FRENIC-Mini Series",Fuji Electric,Factory Automation,Variable Frequency Drive,Single Phase AC Drive,"1 Phase 0.4 Kw, 200 V,Variable Frequency Drive",FRN0004C2S-7A,FRENIC-Mini Series,FRN0004C2S-7A,"17,500",8750,Piece,Each,1,"Fuji Electric FRN0004C2S-7A- 1 Phase 0.4 Kw, 200 V,VFD, FRENIC-Mini Series",,,,,,Type of Product,Variable Frequency Drive,Phase,Single Phase,Voltage Rating,200 V,Applicable Standard Motor,0.4 kw,Rated O/P Current,3.5 A,Color,Blue,Material,Plastic,Power Frequency,50/60 Hz,,,,,,,1723014182-Product-frenic mini.PNG,,,18%,,,,,,,,,1,6-8 Days,
"Fuji Electric FRN0006C2S-7A- 1 Phase 0.75 Kw, 200 V,VFD, FRENIC-Mini Series",Fuji Electric,Factory Automation,Variable Frequency Drive,Single Phase AC Drive,"1 Phase 0.75 Kw, 200 V,Variable Frequency Drive",FRN0006C2S-7A,FRENIC-Mini Series,FRN0006C2S-7A,"19,500",9750,Piece,Each,1,"Fuji Electric FRN0006C2S-7A- 1 Phase 0.75 Kw, 200 V,VFD, FRENIC-Mini Series",,,,,,Type of Product,Variable Frequency Drive,Phase,Single Phase,Voltage Rating,200 V,Applicable Standard Motor,0.75 kw,Rated O/P Current,5.5 A,Color,Blue,Material,Plastic,Power Frequency,50/60 Hz,,,,,,,1723014182-Product-frenic mini.PNG,,,18%,,,,,,,,,1,6-8 Days,
"Fuji Electric FRN0010C2S-7A- 1 Phase 1.5 Kw, 200 V,VFD, FRENIC-Mini Series",Fuji Electric,Factory Automation,Variable Frequency Drive,Single Phase AC Drive,"1 Phase 1.5 Kw, 200 V,Variable Frequency Drive",FRN0010C2S-7A,FRENIC-Mini Series,FRN0010C2S-7A,"24,200",12100,Piece,Each,1,"Fuji Electric FRN0010C2S-7A- 1 Phase 1.5 Kw, 200 V,VFD, FRENIC-Mini Series",,,,,,Type of Product,Variable Frequency Drive,Phase,Single Phase,Voltage Rating,200 V,Applicable Standard Motor,1.5 kw,Rated O/P Current,9.2 A,Color,Blue,Material,Plastic,Power Frequency,50/60 Hz,,,,,,,1723014182-Product-frenic mini.PNG,,,18%,,,,,,,,,1,6-8 Days,
"Fuji Electric FRN0012C2S-7A- 1 Phase 2.2 Kw, 200 V,VFD, FRENIC-Mini Series",Fuji Electric,Factory Automation,Variable Frequency Drive,Single Phase AC Drive,"1 Phase 2.2 Kw, 200 V,Variable Frequency Drive",FRN0012C2S-7A,FRENIC-Mini Series,FRN0012C2S-7A,"27,500",13750,Piece,Each,1,"Fuji Electric FRN0012C2S-7A- 1 Phase 2.2 Kw, 200 V,VFD, FRENIC-Mini Series",,,,,,Type of Product,Variable Frequency Drive,Phase,Single Phase,Voltage Rating,200 V,Applicable Standard Motor,2.2 kw,Rated O/P Current,(12 A),Color,Blue,Material,Plastic,Power Frequency,50/60 Hz,,,,,,,1723014182-Product-frenic mini.PNG,,,18%,,,,,,,,,1,6-8 Days,
"Fuji Electric FRN0002C2S-4A- 3 Phase 0.4 Kw, 400 V, VFD, FRENIC-Mini Series",Fuji Electric,Factory Automation,Variable Frequency Drive,Three Phase AC Drive,"3 Phase 0.4 Kw, 400 V, Variable Frequency Drive",FRN0002C2S-4A,FRENIC-Mini Series,FRN0002C2S-4A,"21,600",10800,Piece,Each,1,"Fuji Electric FRN0002C2S-4A- 3 Phase 0.4 Kw, 400 V, VFD, FRENIC-Mini Series",,,,,,Type of Product,Variable Frequency Drive,Phase,Three Phase,Voltage Rating,400 V,Applicable Standard Motor,0.4 kw,Rated O/P Current,1.8 A,Color,Blue,Material,Plastic,Power Frequency,50/60 Hz,,,,,,,1723014182-Product-frenic mini.PNG,,,18%,,,,,,,,,1,6-8 Days,
"Fuji Electric FRN0004C2S-4A- 3 Phase 0.75 Kw, 400 V, VFD, FRENIC-Mini Series",Fuji Electric,Factory Automation,Variable Frequency Drive,Three Phase AC Drive,"3 Phase 0.75 Kw, 400 V, Variable Frequency Drive",FRN0004C2S-4A,FRENIC-Mini Series,FRN0004C2S-4A,"22,600",11300,Piece,Each,1,"Fuji Electric FRN0004C2S-4A- 3 Phase 0.75 Kw, 400 V, VFD, FRENIC-Mini Series",,,,,,Type of Product,Variable Frequency Drive,Phase,Three Phase,Voltage Rating,400 V,Applicable Standard Motor,0.75 kw,Rated O/P Current,3.1 A,Color,Blue,Material,Plastic,Power Frequency,50/60 Hz,,,,,,,1723014182-Product-frenic mini.PNG,,,18%,,,,,,,,,1,6-8 Days,
"Fuji Electric FRN0005C2S-4A- 3 Phase 1.5 Kw, 400 V, VFD, FRENIC-Mini Series",Fuji Electric,Factory Automation,Variable Frequency Drive,Three Phase AC Drive,"3 Phase 1.5 Kw, 400 V, Variable Frequency Drive",FRN0005C2S-4A,FRENIC-Mini Series,FRN0005C2S-4A,"26,700",13350,Piece,Each,1,"Fuji Electric FRN0005C2S-4A- 3 Phase 1.5 Kw, 400 V, VFD, FRENIC-Mini Series",,,,,,Type of Product,Variable Frequency Drive,Phase,Three Phase,Voltage Rating,400 V,Applicable Standard Motor,1.5 kw,Rated O/P Current,4.3 A,Color,Blue,Material,Plastic,Power Frequency,50/60 Hz,,,,,,,1723014182-Product-frenic mini.PNG,,,18%,,,,,,,,,1,6-8 Days,
"Fuji Electric FRN0007C2S-4A- 3 Phase 2.2 Kw, 400 V, VFD, FRENIC-Mini Series",Fuji Electric,Factory Automation,Variable Frequency Drive,Three Phase AC Drive,"3 Phase 2.2 Kw, 400 V, Variable Frequency Drive",FRN0007C2S-4A,FRENIC-Mini Series,FRN0007C2S-4A,"34,000",17000,Piece,Each,1,"Fuji Electric FRN0007C2S-4A- 3 Phase 2.2 Kw, 400 V, VFD, FRENIC-Mini Series",,,,,,Type of Product,Variable Frequency Drive,Phase,Three Phase,Voltage Rating,400 V,Applicable Standard Motor,2.2 kw,Rated O/P Current,6.3 A,Color,Blue,Material,Plastic,Power Frequency,50/60 Hz,,,,,,,1723014326-Product-frenic 2-3.PNG,,,18%,,,,,,,,,1,6-8 Days,
