id,name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
7408,Polycab 0.5 sq.mm x 1 Core Copper Flexible FR Wire- 100Mtrs.,Polycab,Industrial Wires & Cables,Cables,Power Single Core Cables,1 Core Copper Flexible FR Wire,,FR-Series,,1310,681.2,Meter,( 1 Pack of 100 Mtr ),1,Polycab 0.5 sq.mm x 1 Core Copper Flexible FR Wire,,,,,,Type of Core,1 Core,Current Carrying Capacity,(5 A),Voltage Rating,1100 Volts,Cable Length,100 Mtr,,,,,,,,,,,,,,,1720787079-Product-single core.PNG,7508133239-Polycab-0.5-s,,18%,,,,,,,,,1,1-2 Days,
7409,Polycab 0.75 Sq.mm x 1 Core Copper Flexible FR Wire- 100Mtrs.,Polycab,Industrial Wires & Cables,Cables,Power Single Core Cables,1 Core Copper Flexible FR Wire,,FR-Series,,1835,954.2,Meter,( 1 Pack of 100 Mtr ),1,Polycab 0.75 Sq.mm x 1 Core Copper Flexible FR Wire,,,,,,Type of Core,1 Core,Current Carrying Capacity,(8 A),Voltage Rating,1100 Volts,Cable Length,100 Mtr,,,,,,,,,,,,,,,1720787079-Product-single core.PNG,8717954986-Polycab-0.75,,18%,,,,,,,,,1,1-2 Days,
7410,Polycab 1 Sq.mm x 1 Core Copper Flexible FR Wire- 100Mtrs.,Polycab,Industrial Wires & Cables,Cables,Power Single Core Cables,1 Core Copper Flexible FR Wire,,FR-Series,,2340,1216.8,Meter,( 1 Pack of 100 Mtr ),1,Polycab 1 Sq.mm x 1 Core Copper Flexible FR Wire,,,,,,Type of Core,1 Core,Current Carrying Capacity,(13 A),Voltage Rating,1100 Volts,Cable Length,100 Mtr,,,,,,,,,,,,,,,1720787079-Product-single core.PNG,1347735775-Polycab-1-Sq.,,18%,,,,,,,,,1,1-2 Days,
7411,Polycab 1.5 Sq.mm x 1 Core Copper Flexible FR Wire- 100Mtrs.,Polycab,Industrial Wires & Cables,Cables,Power Single Core Cables,1 Core Copper Flexible FR Wire,,FR-Series,,3375,1755,Meter,( 1 Pack of 100 Mtr ),1,Polycab 1.5 Sq.mm x 1 Core Copper Flexible FR Wire,,,,,,Type of Core,1 Core,Current Carrying Capacity,(17 A),Voltage Rating,1100 Volts,Cable Length,100 Mtr,,,,,,,,,,,,,,,1720787079-Product-single core.PNG,5376033080-Polycab-1.5-S,,18%,,,,,,,,,1,1-2 Days,
7412,Polycab 2.5 Sq.mm x 1 Core Copper Flexible FR Wire- 100Mtrs.,Polycab,Industrial Wires & Cables,Cables,Power Single Core Cables,1 Core Copper Flexible FR Wire,,FR-Series,,5555,2888.6,Meter,( 1 Pack of 100 Mtr ),1,Polycab 2.5 Sq.mm x 1 Core Copper Flexible FR Wire,,,,,,Type of Core,1 Core,Current Carrying Capacity,(24 A),Voltage Rating,1100 Volts,Cable Length,100 Mtr,,,,,,,,,,,,,,,1720787079-Product-single core.PNG,9921011319-Polycab-2.5-S,,18%,,,,,,,,,1,1-2 Days,
7413,Polycab 4 Sq.mm x 1 Core Copper Flexible FR Wire- 100Mtrs.,Polycab,Industrial Wires & Cables,Cables,Power Single Core Cables,1 Core Copper Flexible FR Wire,,FR-Series,,8620,4482.4,Meter,( 1 Pack of 100 Mtr ),1,Polycab 4 Sq.mm x 1 Core Copper Flexible FR Wire,,,,,,Type of Core,1 Core,Current Carrying Capacity,(30 A),Voltage Rating,1100 Volts,Cable Length,100 Mtr,,,,,,,,,,,,,,,1720787079-Product-single core.PNG,5552195303-Polycab-4-Sq.,,18%,,,,,,,,,1,1-2 Days,
7414,Polycab 6 Sq.mm x 1 Core Copper Flexible FR Wire- 100Mtrs.,Polycab,Industrial Wires & Cables,Cables,Power Single Core Cables,1 Core Copper Flexible FR Wire,,FR-Series,,12850,6682,Meter,( 1 Pack of 100 Mtr ),1,Polycab 6 Sq.mm x 1 Core Copper Flexible FR Wire,,,,,,Type of Core,1 Core,Current Carrying Capacity,(38 A),Voltage Rating,1100 Volts,Cable Length,100 Mtr,,,,,,,,,,,,,,,1720787079-Product-single core.PNG,6983827542-Polycab-6-Sq.,,18%,,,,,,,,,1,1-2 Days,
7415,Polycab 10 Sq.mm x 1 Core Copper Flexible FR Wire- 100Mtrs.,Polycab,Industrial Wires & Cables,Cables,Power Single Core Cables,1 Core Copper Flexible FR Wire,,FR-Series,,22525,11713,Meter,( 1 Pack of 100 Mtr ),1,Polycab 10 Sq.mm x 1 Core Copper Flexible FR Wire,,,,,,Type of Core,1 Core,Current Carrying Capacity,(52 A),Voltage Rating,1100 Volts,Cable Length,100 Mtr,,,,,,,,,,,,,,,1720787079-Product-single core.PNG,7756980079-Polycab-10-Sq,,18%,,,,,,,,,1,1-2 Days,
7416,Polycab 16 Sq.mm x 1 Core Copper Flexible FR Wire- 100Mtrs.,Polycab,Industrial Wires & Cables,Cables,Power Single Core Cables,1 Core Copper Flexible FR Wire,,FR-Series,,35200,18304,Meter,( 1 Pack of 100 Mtr ),1,Polycab 16 Sq.mm x 1 Core Copper Flexible FR Wire,,,,,,Type of Core,1 Core,Current Carrying Capacity,(70 A),Voltage Rating,1100 Volts,Cable Length,100 Mtr,,,,,,,,,,,,,,,1720787079-Product-single core.PNG,6339412681-Polycab-16-Sq,,18%,,,,,,,,,1,1-2 Days,
7417,Polycab 25 Sq.mm x 1 Core Copper Flexible FR Wire- 100Mtrs.,Polycab,Industrial Wires & Cables,Cables,Power Single Core Cables,1 Core Copper Flexible FR Wire,,FR-Series,,55400,28808,Meter,( 1 Pack of 100 Mtr ),1,Polycab 25 Sq.mm x 1 Core Copper Flexible FR Wire,,,,,,Type of Core,1 Core,Current Carrying Capacity,(88 A),Voltage Rating,1100 Volts,Cable Length,100 Mtr,,,,,,,,,,,,,,,1720787079-Product-single core.PNG,9103841539-Polycab-25-Sq,,18%,,,,,,,,,1,1-2 Days,
