c1_category,c2_category,leaf_category
Low Voltage Switch Gear,Power Contactors,"MO-9, 3 Pole Power Contactor, AC1-30A"
Low Voltage Switch Gear,Power Contactors,"MO-12, 3 Pole Power Contactor, AC1-32A"
Low Voltage Switch Gear,Power Contactors,"MO-18, 3 Pole Power Contactor, AC1-32A"
Low Voltage Switch Gear,Power Contactors,"MO-25, 3 Pole Power Contactor, AC1-45 A"
Low Voltage Switch Gear,Power Contactors,"MO-32, 3 Pole Power Contactor, AC1- 50 A"
Low Voltage Switch Gear,Power Contactors,"MO-40, 3 Pole Power Contactor, AC1- 50 A"
Low Voltage Switch Gear,Power Contactors,"MO-45, 3 Pole Power Contactor, AC1- 50 A"
Low Voltage Switch Gear,Power Contactors,"MO 50, 3 Poles Power Contactor, AC1- 100 A"
Low Voltage Switch Gear,Power Contactors,"MO 60, 3 Poles Power Contactor, AC1- 100 A"
Low Voltage Switch Gear,Power Contactors,"MO 70, 3 Poles Power Contactor, AC1- 100 A"
Low Voltage Switch Gear,Power Contactors,"MO-80, 3 Pole Power Contactor, AC1- 80 A"
Low Voltage Switch Gear,Power Contactors,"MO-95, 3 Pole Power Contactor, AC1- 95 A"
Low Voltage Switch Gear,Power Contactors,"MO-80, 3 Pole Power Contactor, AC1- 110 A"
Low Voltage Switch Gear,Power Contactors,"MO 140, 3 Poles Power Contactor, AC1- 250 A"
Low Voltage Switch Gear,Power Contactors,"MO 185, 3 Poles Power Contactor, AC1- 275 A"
Low Voltage Switch Gear,Power Contactors,"MO 225, 3 Poles Power Contactor, AC1- 275 A"
Low Voltage Switch Gear,Power Contactors,"MO 140, 3 Poles Power Contactor, AC1- 250 A"
Low Voltage Switch Gear,Power Contactors,"MO 185, 3 Poles Power Contactor, AC1- 275 A"
Low Voltage Switch Gear,Power Contactors,"MO 225, 3 Poles Power Contactor, AC1- 275 A"
Low Voltage Switch Gear,Power Contactors,"MO 250, 3 Poles Power Contactor, AC1- 400 A"
Low Voltage Switch Gear,Power Contactors,"MO 300, 3 Poles Power Contactor, AC1- 500 A"
Low Voltage Switch Gear,Power Contactors,"MO 250, 3 Poles Power Contactor, AC1- 400 A"
Low Voltage Switch Gear,Power Contactors,"MO 300, 3 Poles Power Contactor, AC1- 500 A"
