name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"L&T CS94833- MO-9, 3 Pole Power Contactor, AC1-30A, 2NO+2NC (Pack of 10)",L & T,Panel & Panel Accessories,Low Voltage Switch Gear,Power Contactors,"MO-9, 3 Pole Power Contactor, AC1-30A",CS94833,,CS94833,1700,17000,Piece,(Pack of 10),1,"L&T CS94833- MO-9, 3 Pole Power Contactor, AC1-30A, 2NO+2NC",,,,,,Contactors Type,Power Contactors,Size,Fr 0,AC 1 Rating,30 A,Type,MO 9,Auxilary Contact,1NO+1NC,,,,,,,,,,,,,1723009421-Product-001.PNG,,,18%,,,,,,,,,1,1-2 Days,
"L&T CS94834- MO-12, 3 Pole Power Contactor, AC1-32A, 2NO+2NC (Pack of 10)",L & T,Panel & Panel Accessories,Low Voltage Switch Gear,Power Contactors,"MO-12, 3 Pole Power Contactor, AC1-32A",CS94834,,CS94834,1920,19200,Piece,(Pack of 10),1,"L&T CS94834- MO-12, 3 Pole Power Contactor, AC1-32A, 2NO+2NC",,,,,,Contactors Type,Power Contactors,Size,Fr 0,AC 1 Rating,32 A,Type,MO 12,Auxilary Contact,1NO+1NC,,,,,,,,,,,,,1723009525-Product-002.PNG,,,18%,,,,,,,,,1,1-2 Days,
"L&T CS94835- MO-18, 3 Pole Power Contactor, AC1-32A, 2NO+2NC (Pack of 10)",L & T,Panel & Panel Accessories,Low Voltage Switch Gear,Power Contactors,"MO-18, 3 Pole Power Contactor, AC1-32A",CS94835,,CS94835,2150,21500,Piece,(Pack of 10),1,"L&T CS94835- MO-18, 3 Pole Power Contactor, AC1-32A, 2NO+2NC",,,,,,Contactors Type,Power Contactors,Size,Fr 0,AC 1 Rating,32 A,Type,MO 18,Auxilary Contact,1NO+1NC,,,,,,,,,,,,,1723009525-Product-002.PNG,,,18%,,,,,,,,,1,1-2 Days,
"L&T CS94567- MO-25, 3 Pole Power Contactor, AC1-45 A,(Pack of 10)",L & T,Panel & Panel Accessories,Low Voltage Switch Gear,Power Contactors,"MO-25, 3 Pole Power Contactor, AC1-45 A",CS94567,,CS94567,2410,24100,Piece,(Pack of 10),1,"L&T CS94567- MO-25, 3 Pole Power Contactor, AC1-45 A",,,,,,Contactors Type,Power Contactors,Size,Fr 1,AC 1 Rating,45 A,Type,MO 25,,,,,,,,,,,,,,,1723010127-Product-004.PNG,,,18%,,,,,,,,,1,1-2 Days,
"L&T CS94568-MO-32, 3 Pole Power Contactor, AC1- 50 A,(Pack of 10)",L & T,Panel & Panel Accessories,Low Voltage Switch Gear,Power Contactors,"MO-32, 3 Pole Power Contactor, AC1- 50 A",CS94568,,CS94568,5110,51100,Piece,(Pack of 10),1,"L&T CS94568-MO-32, 3 Pole Power Contactor, AC1- 50 A",,,,,,Contactors Type,Power Contactors,Size,Fr 1,AC 1 Rating,50 A,Type,MO 32,,,,,,,,,,,,,,,1723010226-Product-005.PNG,,,18%,,,,,,,,,1,1-2 Days,
"L&T CS94569-MO-40, 3 Pole Power Contactor, AC1- 50 A,(Pack of 10)",L & T,Panel & Panel Accessories,Low Voltage Switch Gear,Power Contactors,"MO-40, 3 Pole Power Contactor, AC1- 50 A",CS94569,,CS94569,7760,77600,Piece,(Pack of 10),1,"L&T CS94569-MO-40, 3 Pole Power Contactor, AC1- 50 A",,,,,,Contactors Type,Power Contactors,Size,Fr 1,AC 1 Rating,50 A,Type,MO 40,,,,,,,,,,,,,,,1723010329-Product-006.PNG,,,18%,,,,,,,,,1,1-2 Days,
"L&T CS94570-MO-45, 3 Pole Power Contactor, AC1- 50 A,(Pack of 10)",L & T,Panel & Panel Accessories,Low Voltage Switch Gear,Power Contactors,"MO-45, 3 Pole Power Contactor, AC1- 50 A",CS94570,,CS94570,9900,99000,Piece,(Pack of 10),1,"L&T CS94570-MO-45, 3 Pole Power Contactor, AC1- 50 A",,,,,,Contactors Type,Power Contactors,Size,Fr 1,AC 1 Rating,50 A,Type,MO 45,,,,,,,,,,,,,,,1723010402-Product-007.PNG,,,18%,,,,,,,,,1,1-2 Days,
"L&T CS94572- MO 50, 3 Poles Power Contactor, AC1- 100 A",L & T,Panel & Panel Accessories,Low Voltage Switch Gear,Power Contactors,"MO 50, 3 Poles Power Contactor, AC1- 100 A",CS94572,,CS94572,10500,10500,Piece,Each,1,"L&T CS94572- MO 50, 3 Poles Power Contactor, AC1- 100 A",,,,,,Contactors Type,Power Contactors,Size,Fr 2,AC 1 Rating,100 A,Type,MO 50,,,,,,,,,,,,,,,1723012108-Product-008.PNG,,,18%,,,,,,,,,1,1-2 Days,
"L&T CS94573- MO 60, 3 Poles Power Contactor, AC1- 100 A",L & T,Panel & Panel Accessories,Low Voltage Switch Gear,Power Contactors,"MO 60, 3 Poles Power Contactor, AC1- 100 A",CS94573,,CS94573,11300,11300,Piece,Each,1,"L&T CS94573- MO 60, 3 Poles Power Contactor, AC1- 100 A",,,,,,Contactors Type,Power Contactors,Size,Fr 2,AC 1 Rating,100 A,Type,MO 60,,,,,,,,,,,,,,,1723012152-Product-009.PNG,,,18%,,,,,,,,,1,1-2 Days,
"L&T CS94574- MO 70, 3 Poles Power Contactor, AC1- 100 A",L & T,Panel & Panel Accessories,Low Voltage Switch Gear,Power Contactors,"MO 70, 3 Poles Power Contactor, AC1- 100 A",CS94574,,CS94574,14100,14100,Piece,Each,1,"L&T CS94574- MO 70, 3 Poles Power Contactor, AC1- 100 A",,,,,,Contactors Type,Power Contactors,Size,Fr 2,AC 1 Rating,100 A,Type,MO 70,,,,,,,,,,,,,,,1723012197-Product-0010.PNG,,,18%,,,,,,,,,1,1-2 Days,
