name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"BCH BIL-A-MD-Shelves, Accessories for 19"" Racks, Modem Tray",BCH,Panel & Panel Accessories,Electric Enclosure Accessories,Shelves,"Accessories for 19"" Racks, Modem Tray",BIL-A-MD,BIL,BIL-A-MD,,1365,Piece,Each,1,"BCH BIL-A-MD-Shelves, Accessories for 19"" Racks, Modem Tray",,,,,,Features,Modem Tray,Size,"19"" Racks",,,,,,,,,,,,,,,,,,,1723025660-Product-SShelves.PNG,,8538,18%,,,,,,,,,1,10-15 Days,
"BCH BIL-A-KB-06-Shelves, Accessories for 19"" Racks, Key board tray (Sliding & Rotatory)",BCH,Panel & Panel Accessories,Electric Enclosure Accessories,Shelves,"Accessories for 19"" Racks, Key board tray (Sliding & Rotatory)",BIL-A-KB-06,BIL,BIL-A-KB-06,,4265,Piece,Each,1,"BCH BIL-A-KB-06-Shelves, Accessories for 19"" Racks, Key board tray (Sliding & Rotatory)",,,,,,Features,Key Board Tray (Sliding & Rotatory),Size,"19"" Racks",,,,,,,,,,,,,,,,,,,1723025660-Product-SShelves.PNG,,8538,18%,,,,,,,,,1,10-15 Days,
"BCH BIL-A-CS-1-Shelves, Accessories for 19"" Racks, Canteliver Shelf (1U)",BCH,Panel & Panel Accessories,Electric Enclosure Accessories,Shelves,"Accessories for 19"" Racks, Canteliver Shelf (1U)",BIL-A-CS-1,BIL,BIL-A-CS-1,,860,Piece,Each,1,"BCH BIL-A-CS-1-Shelves, Accessories for 19"" Racks, Canteliver Shelf (1U)",,,,,,Features,Canteliver Shelf (1U),Size,"19"" Racks",,,,,,,,,,,,,,,,,,,1723025660-Product-SShelves.PNG,,8538,18%,,,,,,,,,1,10-15 Days,
"BCH BIL-A-CS-2-Shelves, Accessories for 19"" Racks, Canteliver Shelf (2U)",BCH,Panel & Panel Accessories,Electric Enclosure Accessories,Shelves,"Accessories for 19"" Racks, Canteliver Shelf (2U)",BIL-A-CS-2,BIL,BIL-A-CS-2,,1280,Piece,Each,1,"BCH BIL-A-CS-2-Shelves, Accessories for 19"" Racks, Canteliver Shelf (2U)",,,,,,Features,Canteliver Shelf (2U),Size,"19"" Racks",,,,,,,,,,,,,,,,,,,1723025660-Product-SShelves.PNG,,8538,18%,,,,,,,,,1,10-15 Days,
"BCH BIL-A-ESA-06-Shelves, Accessories for 19"" Racks, Equipment Support Angle (600mmD)",BCH,Panel & Panel Accessories,Electric Enclosure Accessories,Shelves,"Accessories for 19"" Racks, Equipment Support Angle (600mmD)",BIL-A-ESA-06,BIL,BIL-A-ESA-06,,535,Piece,Each,1,"BCH BIL-A-ESA-06-Shelves, Accessories for 19"" Racks, Equipment Support Angle (600mmD)",,,,,,Features,Equipment Support Angle (600mmD),Size,"19"" Racks",,,,,,,,,,,,,,,,,,,1723025660-Product-SShelves.PNG,,8538,18%,,,,,,,,,1,10-15 Days,
"BCH BIL-A-ESA-08-Shelves, Accessories for 19"" Racks, Equipment Support Angle (800mmD)",BCH,Panel & Panel Accessories,Electric Enclosure Accessories,Shelves,"Accessories for 19"" Racks, Equipment Support Angle (800mmD)",BIL-A-ESA-08,BIL,BIL-A-ESA-08,,605,Piece,Each,1,"BCH BIL-A-ESA-08-Shelves, Accessories for 19"" Racks, Equipment Support Angle (800mmD)",,,,,,Features,Equipment Support Angle (800mmD),Size,"19"" Racks",,,,,,,,,,,,,,,,,,,1723025660-Product-SShelves.PNG,,8538,18%,,,,,,,,,1,10-15 Days,
"BCH BIL-A-ESA-09-Shelves, Accessories for 19"" Racks, Equipment Support Angle (900mmD)",BCH,Panel & Panel Accessories,Electric Enclosure Accessories,Shelves,"Accessories for 19"" Racks, Equipment Support Angle (900mmD)",BIL-A-ESA-09,BIL,BIL-A-ESA-09,,755,Piece,Each,1,"BCH BIL-A-ESA-09-Shelves, Accessories for 19"" Racks, Equipment Support Angle (900mmD)",,,,,,Features,Equipment Support Angle (900mmD),Size,"19"" Racks",,,,,,,,,,,,,,,,,,,1723025660-Product-SShelves.PNG,,8538,18%,,,,,,,,,1,10-15 Days,
"BCH BIL-A-ESA-10-Shelves, Accessories for 19"" Racks, Equipment Support Angle (1000mmD)",BCH,Panel & Panel Accessories,Electric Enclosure Accessories,Shelves,"Accessories for 19"" Racks, Equipment Support Angle (1000mmD)",BIL-A-ESA-10,BIL,BIL-A-ESA-10,,875,Piece,Each,1,"BCH BIL-A-ESA-10-Shelves, Accessories for 19"" Racks, Equipment Support Angle (1000mmD)",,,,,,Features,Equipment Support Angle (1000mmD),Size,"19"" Racks",,,,,,,,,,,,,,,,,,,1723025660-Product-SShelves.PNG,,8538,18%,,,,,,,,,1,10-15 Days,
"BCH BIL-A-SS-09-Shelves, Accessories for 19"" Racks, Sliding Shelf (900mmD)",BCH,Panel & Panel Accessories,Electric Enclosure Accessories,Shelves,"Accessories for 19"" Racks, Sliding Shelf (900mmD)",BIL-A-SS-09,BIL,BIL-A-SS-09,,4265,Piece,Each,1,"BCH BIL-A-SS-09-Shelves, Accessories for 19"" Racks, Sliding Shelf (900mmD)",,,,,,Features,Sliding Shelf (900mmD),Size,"19"" Racks",,,,,,,,,,,,,,,,,,,1723025660-Product-SShelves.PNG,,8538,18%,,,,,,,,,1,10-15 Days,
"BCH BIL-A-SS-10-Shelves, Accessories for 19"" Racks, Sliding Shelf (1000mmD)",BCH,Panel & Panel Accessories,Electric Enclosure Accessories,Shelves,"Accessories for 19"" Racks, Sliding Shelf (1000mmD)",BIL-A-SS-10,BIL,BIL-A-SS-10,,4430,Piece,Each,1,"BCH BIL-A-SS-10-Shelves, Accessories for 19"" Racks, Sliding Shelf (1000mmD)",,,,,,Features,Sliding Shelf (1000mmD),Size,"19"" Racks",,,,,,,,,,,,,,,,,,,1723025660-Product-SShelves.PNG,,8538,18%,,,,,,,,,1,10-15 Days,
