name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"L&T CS90232- MNX-9-2P, Double Pole Power Contactor, AC1-25 A, 1NO, (Pack of 10)",L&T,Panel & Panel Accessories,Low Voltage Switch Gear,Power Contactors,"MNX-9-2P, Double Pole Power Contactor, AC1-25 A",CS90232,,CS90232,,8500,Piece,(Pack of 10),1,"L&T CS90232- MNX-9-2P, Double Pole Power Contactor, AC1-25 A, 1NO",,,,,,Size,Fr 1,AC 1 Rating,25 A,Type,MNX 9-2P,Contactors Type,Power Contactors,Auxilary Contact,1 NO,Type of Pole,2 Pole,,,,,,,,,,,1723027943-Product-2 Pole 1.PNG,,,18%,,,,,,,,,1,8-10 Days,
"L&T CS90234- MNX-12-2P, Double Pole Power Contactor, AC1-30 A, 1NO, (Pack of 10)",L&T,Panel & Panel Accessories,Low Voltage Switch Gear,Power Contactors,"MNX-12-2P, Double Pole Power Contactor, AC1-30 A",CS90234,,CS90234,,9900,Piece,(Pack of 10),1,"L&T CS90234- MNX-12-2P, Double Pole Power Contactor, AC1-30 A, 1NO",,,,,,Size,Fr 1,AC 1 Rating,30 A,Type,MNX 12-2P,Contactors Type,Power Contactors,Auxilary Contact,1 NO,Type of Pole,2 Pole,,,,,,,,,,,1723027952-Product-2 Pole 2.PNG,,,18%,,,,,,,,,1,8-10 Days,
"L&T CS90236- MNX-18-2P, Double Pole Power Contactor, AC1-30 A, 1NO, (Pack of 10)",L&T,Panel & Panel Accessories,Low Voltage Switch Gear,Power Contactors,"MNX-18-2P, Double Pole Power Contactor, AC1-30 A",CS90236,,CS90236,,11600,Piece,(Pack of 10),1,"L&T CS90236- MNX-18-2P, Double Pole Power Contactor, AC1-30 A, 1NO",,,,,,Size,Fr 1,AC 1 Rating,30 A,Type,MNX 18-2P,Contactors Type,Power Contactors,Auxilary Contact,1 NO,Type of Pole,2 Pole,,,,,,,,,,,1723027961-Product-2 Pole 3.PNG,,,18%,,,,,,,,,1,8-10 Days,
"L&T CS90238- MNX-22-2P, 22A Double Pole Power Contactor, AC1-32 A, 1NO, (Pack of 10)",L&T,Panel & Panel Accessories,Low Voltage Switch Gear,Power Contactors,"MNX-22-2P, 22A Double Pole Power Contactor, AC1-32 A",CS90238,,CS90238,,13400,Piece,(Pack of 10),1,"L&T CS90238- MNX-22-2P, 22A Double Pole Power Contactor, AC1-32 A, 1NO",,,,,,Size,Fr 1,AC 1 Rating,32 A,Type,MNX 22-2P,Contactors Type,Power Contactors,Auxilary Contact,1 NO,Type of Pole,2 Pole,,,,,,,,,,,1723027969-Product-2 Pole 4.PNG,,,18%,,,,,,,,,1,8-10 Days,
"L&T CS90240- MNX-25-2P, Double Pole Power Contactor, AC1-45 A, (Pack of 10)",L&T,Panel & Panel Accessories,Low Voltage Switch Gear,Power Contactors,"MNX-25-2P, Double Pole Power Contactor, AC1-45 A",CS90240,,CS90240,,13900,Piece,(Pack of 10),1,"L&T CS90240- MNX-25-2P, Double Pole Power Contactor, AC1-45",,,,,,Size,Fr 2,AC 1 Rating,45 A,Type,MNX 25-2P,Contactors Type,Power Contactors,Type of Pole,2 Pole,,,,,,,,,,,,,1723027976-Product-2 Pole 5.PNG,,,18%,,,,,,,,,1,8-10 Days,
"L&T CS90241- MNX-32-2P, Double Pole Power Contactor, AC1- 55 A, (Pack of 10)",L&T,Panel & Panel Accessories,Low Voltage Switch Gear,Power Contactors,"MNX-32-2P, Double Pole Power Contactor, AC1- 55 A",CS90241,,CS90241,,29300,Piece,(Pack of 10),1,"L&T CS90241- MNX-32-2P, Double Pole Power Contactor, AC1- 55 A",,,,,,Size,Fr 2,AC 1 Rating,55 A,Type,MNX 32-2P,Contactors Type,Power Contactors,Type of Pole,2 Pole,,,,,,,,,,,,,1723027984-Product-2 Pole 6.PNG,,,18%,,,,,,,,,1,8-10 Days,
"L&T CS90242- MNX-40-2P, Double Pole Power Contactor, AC1- 55 A, (Pack of 10)",L&T,Panel & Panel Accessories,Low Voltage Switch Gear,Power Contactors,"MNX-40-2P, Double Pole Power Contactor, AC1- 55 A",CS90242,,CS90242,,45700,Piece,(Pack of 10),1,"L&T CS90242- MNX-40-2P, Double Pole Power Contactor, AC1- 55 A",,,,,,Size,Fr 2,AC 1 Rating,55 A,Type,MNX 40-2P,Contactors Type,Power Contactors,Type of Pole,2 Pole,,,,,,,,,,,,,1723027993-Product-2 Pole 7.PNG,,,18%,,,,,,,,,1,8-10 Days,
"L&T CS94061- MNX-50-2P, Double Pole Power Contactor, AC1- 85 A",L&T,Panel & Panel Accessories,Low Voltage Switch Gear,Power Contactors,"MNX-50-2P, Double Pole Power Contactor, AC1- 85 A",CS94061,,CS94061,,6150,Piece,Each,1,"L&T CS94061- MNX-50-2P, Double Pole Power Contactor, AC1- 85 A",,,,,,Size,Fr 3,AC 1 Rating,85 A,Type,MNX 50-2P,Contactors Type,Power Contactors,Type of Pole,2 Pole,,,,,,,,,,,,,1723028000-Product-2 Pole 8.PNG,,,18%,,,,,,,,,1,8-10 Days,
"L&T CS94062- MNX-70-2P, Double Pole Power Contactor, AC1- 100 A",L&T,Panel & Panel Accessories,Low Voltage Switch Gear,Power Contactors,"MNX-70-2P, Double Pole Power Contactor, AC1- 100 A",CS94062,,CS94062,,8590,Piece,Each,1,"L&T CS94062- MNX-70-2P, Double Pole Power Contactor, AC1- 100 A",,,,,,Size,Fr 3,AC 1 Rating,100 A,Type,MNX 70-2P,Contactors Type,Power Contactors,Type of Pole,2 Pole,,,,,,,,,,,,,1723028009-Product-2 Pole 9.PNG,,,18%,,,,,,,,,1,8-10 Days,
"L&T CS94063- MNX-80-2P, Double Pole Power Contactor, AC1- 100 A",L&T,Panel & Panel Accessories,Low Voltage Switch Gear,Power Contactors,"MNX-80-2P, Double Pole Power Contactor, AC1- 100 A",CS94063,,CS94063,,10600,Piece,Each,1,"L&T CS94063- MNX-80-2P, Double Pole Power Contactor, AC1- 100 A",,,,,,Size,Fr 3,AC 1 Rating,100 A,Type,MNX 80-2P,Contactors Type,Power Contactors,Type of Pole,2 Pole,,,,,,,,,,,,,1723028014-Product-2 Pole 10.PNG,,,18%,,,,,,,,,1,8-10 Days,
