name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"BCH BPX1PSS341-Polycarbonate Plug & Socket, Panel Mounted Straight Socket - IP44, 16Amp, 230V, 50-60Hz",BCH,Panel & Panel Accessories,Plug and Sockets,Polycarbonate Plug & Socket,"Panel Mounted Straight Socket - IP44, 16Amp, 230V, 50-60Hz",BPX1PSS341,BPX,BPX1PSS341,,665,Piece,Each,1,"BCH BPX1PSS341-Polycarbonate Plug & Socket, Panel Mounted Straight Socket - IP44, 16Amp, 230V, 50-60Hz",,,,,,Ampere,16Amp,Pole,3,Voltage,230V,IP Protection,IP44,Lot Size,10,Socket Type,Straight,Frequency,50-60 Hz,,,,,,,,,1723119487-Product-Panel Mounted Straight Socket.PNG,,,18%,,,,,,,,,1,07-08 Days,
"BCH BPX1PSS442-Polycarbonate Plug & Socket, Panel Mounted Straight Socket - IP44, 16Amp, 415V, 50-60Hz",BCH,Panel & Panel Accessories,Plug and Sockets,Polycarbonate Plug & Socket,"Panel Mounted Straight Socket - IP44, 16Amp, 415V, 50-60Hz",BPX1PSS442,BPX,BPX1PSS442,,1070,Piece,Each,1,"BCH BPX1PSS442-Polycarbonate Plug & Socket, Panel Mounted Straight Socket - IP44, 16Amp, 415V, 50-60Hz",,,,,,Ampere,16Amp,Pole,4,Voltage,415V,IP Protection,IP44,Lot Size,10,Socket Type,Straight,Frequency,50-60 Hz,,,,,,,,,1723119487-Product-Panel Mounted Straight Socket.PNG,,,18%,,,,,,,,,1,07-08 Days,
"BCH BPX1PSS542-Polycarbonate Plug & Socket, Panel Mounted Straight Socket - IP44, 16Amp, 415V, 50-60Hz",BCH,Panel & Panel Accessories,Plug and Sockets,Polycarbonate Plug & Socket,"Panel Mounted Straight Socket - IP44, 16Amp, 415V, 50-60Hz",BPX1PSS542,BPX,BPX1PSS542,,1085,Piece,Each,1,"BCH BPX1PSS542-Polycarbonate Plug & Socket, Panel Mounted Straight Socket - IP44, 16Amp, 415V, 50-60Hz",,,,,,Ampere,16Amp,Pole,5,Voltage,415V,IP Protection,IP44,Lot Size,10,Socket Type,Straight,Frequency,50-60 Hz,,,,,,,,,1723119487-Product-Panel Mounted Straight Socket.PNG,,,18%,,,,,,,,,1,07-08 Days,
"BCH BPX2PSS341-Polycarbonate Plug & Socket, Panel Mounted Straight Socket - IP44, 32Amp, 230V, 50-60Hz",BCH,Panel & Panel Accessories,Plug and Sockets,Polycarbonate Plug & Socket,"Panel Mounted Straight Socket - IP44, 32Amp, 230V, 50-60Hz",BPX2PSS341,BPX,BPX2PSS341,,1150,Piece,Each,1,"BCH BPX2PSS341-Polycarbonate Plug & Socket, Panel Mounted Straight Socket - IP44, 32Amp, 230V, 50-60Hz",,,,,,Ampere,32Amp,Pole,3,Voltage,230V,IP Protection,IP44,Lot Size,10,Socket Type,Straight,Frequency,50-60 Hz,,,,,,,,,1723119487-Product-Panel Mounted Straight Socket.PNG,,,18%,,,,,,,,,1,07-08 Days,
"BCH BPX2PSS442-Polycarbonate Plug & Socket, Panel Mounted Straight Socket - IP44, 32Amp, 415V, 50-60Hz",BCH,Panel & Panel Accessories,Plug and Sockets,Polycarbonate Plug & Socket,"Panel Mounted Straight Socket - IP44, 32Amp, 415V, 50-60Hz",BPX2PSS442,BPX,BPX2PSS442,,1310,Piece,Each,1,"BCH BPX2PSS442-Polycarbonate Plug & Socket, Panel Mounted Straight Socket - IP44, 32Amp, 415V, 50-60Hz",,,,,,Ampere,32Amp,Pole,4,Voltage,415V,IP Protection,IP44,Lot Size,10,Socket Type,Straight,Frequency,50-60 Hz,,,,,,,,,1723119487-Product-Panel Mounted Straight Socket.PNG,,,18%,,,,,,,,,1,07-08 Days,
"BCH BPX2PSS542-Polycarbonate Plug & Socket, Panel Mounted Straight Socket - IP44, 32Amp, 415V, 50-60Hz",BCH,Panel & Panel Accessories,Plug and Sockets,Polycarbonate Plug & Socket,"Panel Mounted Straight Socket - IP44, 32Amp, 415V, 50-60Hz",BPX2PSS542,BPX,BPX2PSS542,,1325,Piece,Each,1,"BCH BPX2PSS542-Polycarbonate Plug & Socket, Panel Mounted Straight Socket - IP44, 32Amp, 415V, 50-60Hz",,,,,,Ampere,32Amp,Pole,5,Voltage,415V,IP Protection,IP44,Lot Size,10,Socket Type,Straight,Frequency,50-60 Hz,,,,,,,,,1723119487-Product-Panel Mounted Straight Socket.PNG,,,18%,,,,,,,,,1,07-08 Days,
"BCH BPX3PSS341-Polycarbonate Plug & Socket, Panel Mounted Straight Socket - IP44, 63Amp, 230V, 50-60Hz",BCH,Panel & Panel Accessories,Plug and Sockets,Polycarbonate Plug & Socket,"Panel Mounted Straight Socket - IP44, 63Amp, 230V, 50-60Hz",BPX3PSS341,BPX,BPX3PSS341,,4585,Piece,Each,1,"BCH BPX3PSS341-Polycarbonate Plug & Socket, Panel Mounted Straight Socket - IP44, 63Amp, 230V, 50-60Hz",,,,,,Ampere,63Amp,Pole,3,Voltage,230V,IP Protection,IP44,Lot Size,5,Socket Type,Straight,Frequency,50-60 Hz,,,,,,,,,1723119487-Product-Panel Mounted Straight Socket.PNG,,,18%,,,,,,,,,1,07-08 Days,
"BCH BPX3PSS442-Polycarbonate Plug & Socket, Panel Mounted Straight Socket - IP44, 63Amp, 415V, 50-60Hz",BCH,Panel & Panel Accessories,Plug and Sockets,Polycarbonate Plug & Socket,"Panel Mounted Straight Socket - IP44, 63Amp, 415V, 50-60Hz",BPX3PSS442,BPX,BPX3PSS442,,4685,Piece,Each,1,"BCH BPX3PSS442-Polycarbonate Plug & Socket, Panel Mounted Straight Socket - IP44, 63Amp, 415V, 50-60Hz",,,,,,Ampere,63Amp,Pole,4,Voltage,415V,IP Protection,IP44,Lot Size,5,Socket Type,Straight,Frequency,50-60 Hz,,,,,,,,,1723119487-Product-Panel Mounted Straight Socket.PNG,,,18%,,,,,,,,,1,07-08 Days,
"BCH BPX3PSS542-Polycarbonate Plug & Socket, Panel Mounted Straight Socket - IP44, 63Amp, 415V, 50-60Hz",BCH,Panel & Panel Accessories,Plug and Sockets,Polycarbonate Plug & Socket,"Panel Mounted Straight Socket - IP44, 63Amp, 415V, 50-60Hz",BPX3PSS542,BPX,BPX3PSS542,,4715,Piece,Each,1,"BCH BPX3PSS542-Polycarbonate Plug & Socket, Panel Mounted Straight Socket - IP44, 63Amp, 415V, 50-60Hz",,,,,,Ampere,63Amp,Pole,5,Voltage,415V,IP Protection,IP44,Lot Size,5,Socket Type,Straight,Frequency,50-60 Hz,,,,,,,,,1723119487-Product-Panel Mounted Straight Socket.PNG,,,18%,,,,,,,,,1,07-08 Days,
"BCH BPX1PAS341-Polycarbonate Plug & Socket, Panel Mounted Angled Socket - IP44, 16Amp, 230V, 50-60Hz",BCH,Panel & Panel Accessories,Plug and Sockets,Polycarbonate Plug & Socket,"Panel Mounted Angled Socket - IP44, 16Amp, 230V, 50-60Hz",BPX1PAS341,BPX,BPX1PAS341,,665,Piece,Each,1,"BCH BPX1PAS341-Polycarbonate Plug & Socket, Panel Mounted Angled Socket - IP44, 16Amp, 230V, 50-60Hz",,,,,,Ampere,16Amp,Pole,3,Voltage,230V,IP Protection,IP44,Lot Size,10,Socket Type,Angled,Frequency,50-60 Hz,,,,,,,,,1723119506-Product-Angled Socket - IP44.PNG,,,18%,,,,,,,,,1,07-08 Days,
