name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"FTC OCS-63/00- 63 A, Four Pole, Cubicle Onload Changeover Switch With Sheet Steel Encloser",FTC,Panel & Panel Accessories,Changeover Switch,Onload Changeover Switch,Four Pole Cubicle Onload Changeover Switch With Sheet Steel Encloser,OCS-63/00,,OCS-63/00,,5143,Piece,Each,1,"FTC OCS-63/00- 63 A, Four Pole, Cubicle Onload Changeover Switch With Sheet Steel Encloser",1723108404-Product-changeover333.PNG,,,,,Current Rating,63 A,No of Pole,4 Pole,Auxillary Contact,2NO-2NC,Frequency,50 Hz,Voltage,415 V,,,,,,,,,,,,,1723108348-Product-chnageover load.PNG,,85365090,18%,,,,,,,,,1,8-10 Days,
"FTC OCS-63/01- 80 A, Four Pole, Cubicle Onload Changeover Switch With Sheet Steel Encloser",FTC,Panel & Panel Accessories,Changeover Switch,Onload Changeover Switch,Four Pole Cubicle Onload Changeover Switch With Sheet Steel Encloser,OCS-80/00,,OCS-80/00,,5990,Piece,Each,1,"FTC OCS-63/01- 80 A, Four Pole, Cubicle Onload Changeover Switch With Sheet Steel Encloser",1723108404-Product-changeover333.PNG,,,,,Current Rating,80 A,No of Pole,4 Pole,Auxillary Contact,2NO-2NC,Frequency,50 Hz,Voltage,415 V,,,,,,,,,,,,,1723108348-Product-chnageover load.PNG,,85365090,18%,,,,,,,,,1,8-10 Days,
"FTC OCS-63/02- 100 A, Four Pole, Cubicle Onload Changeover Switch With Sheet Steel Encloser",FTC,Panel & Panel Accessories,Changeover Switch,Onload Changeover Switch,Four Pole Cubicle Onload Changeover Switch With Sheet Steel Encloser,OCS- 100/00,,OCS- 100/00,,6335,Piece,Each,1,"FTC OCS-63/02- 100 A, Four Pole, Cubicle Onload Changeover Switch With Sheet Steel Encloser",1723108404-Product-changeover333.PNG,,,,,Current Rating,100 A,No of Pole,4 Pole,Auxillary Contact,2NO-2NC,Frequency,50 Hz,Voltage,415 V,,,,,,,,,,,,,1723108348-Product-chnageover load.PNG,,85365090,18%,,,,,,,,,1,8-10 Days,
"FTC OCS-63/03- 100 A, Four Pole, Cubicle Onload Changeover Switch With Sheet Steel Encloser",FTC,Panel & Panel Accessories,Changeover Switch,Onload Changeover Switch,Four Pole Cubicle Onload Changeover Switch With Sheet Steel Encloser,OCS-100/01,,OCS-100/01,,9783,Piece,Each,1,"FTC OCS-63/03- 100 A, Four Pole, Cubicle Onload Changeover Switch With Sheet Steel Encloser",1723108404-Product-changeover333.PNG,,,,,Current Rating,100 A,No of Pole,4 Pole,Auxillary Contact,2NO-2NC,Frequency,50 Hz,Voltage,415 V,,,,,,,,,,,,,1723108348-Product-chnageover load.PNG,,85365090,18%,,,,,,,,,1,8-10 Days,
"FTC OCS-63/04- 125 A, Four Pole, Cubicle Onload Changeover Switch With Sheet Steel Encloser",FTC,Panel & Panel Accessories,Changeover Switch,Onload Changeover Switch,Four Pole Cubicle Onload Changeover Switch With Sheet Steel Encloser,OCS-125/01,,OCS-125/01,,10515,Piece,Each,1,"FTC OCS-63/04- 125 A, Four Pole, Cubicle Onload Changeover Switch With Sheet Steel Encloser",1723108404-Product-changeover333.PNG,,,,,Current Rating,125 A,No of Pole,4 Pole,Auxillary Contact,2NO-2NC,Frequency,50 Hz,Voltage,415 V,,,,,,,,,,,,,1723108348-Product-chnageover load.PNG,,85365090,18%,,,,,,,,,1,8-10 Days,
"FTC OCS-63/05- 160 A, Four Pole, Cubicle Onload Changeover Switch With Sheet Steel Encloser",FTC,Panel & Panel Accessories,Changeover Switch,Onload Changeover Switch,Four Pole Cubicle Onload Changeover Switch With Sheet Steel Encloser,OCS-160/01,,OCS-160/01,,11979,Piece,Each,1,"FTC OCS-63/05- 160 A, Four Pole, Cubicle Onload Changeover Switch With Sheet Steel Encloser",1723108404-Product-changeover333.PNG,,,,,Current Rating,160 A,No of Pole,4 Pole,Auxillary Contact,2NO-2NC,Frequency,50 Hz,Voltage,415 V,,,,,,,,,,,,,1723108348-Product-chnageover load.PNG,,85365090,18%,,,,,,,,,1,8-10 Days,
"FTC OCS-63/06- 200 A, Four Pole, Cubicle Onload Changeover Switch With Sheet Steel Encloser",FTC,Panel & Panel Accessories,Changeover Switch,Onload Changeover Switch,Four Pole Cubicle Onload Changeover Switch With Sheet Steel Encloser,OCS-200/01,,OCS-200/01,,13008,Piece,Each,1,"FTC OCS-63/06- 200 A, Four Pole, Cubicle Onload Changeover Switch With Sheet Steel Encloser",1723108404-Product-changeover333.PNG,,,,,Current Rating,200 A,No of Pole,4 Pole,Auxillary Contact,2NO-2NC,Frequency,50 Hz,Voltage,415 V,,,,,,,,,,,,,1723108348-Product-chnageover load.PNG,,85365090,18%,,,,,,,,,1,8-10 Days,
"FTC OCS-63/07- 250 A, Four Pole, Cubicle Onload Changeover Switch With Sheet Steel Encloser",FTC,Panel & Panel Accessories,Changeover Switch,Onload Changeover Switch,Four Pole Cubicle Onload Changeover Switch With Sheet Steel Encloser,OCS-250/02,,OCS-250/02,,17835,Piece,Each,1,"FTC OCS-63/07- 250 A, Four Pole, Cubicle Onload Changeover Switch With Sheet Steel Encloser",1723108404-Product-changeover333.PNG,,,,,Current Rating,250 A,No of Pole,4 Pole,Auxillary Contact,2NO-2NC,Frequency,50 Hz,Voltage,415 V,,,,,,,,,,,,,1723108348-Product-chnageover load.PNG,,85365090,18%,,,,,,,,,1,8-10 Days,
"FTC OCS-63/08- 320 A, Four Pole, Cubicle Onload Changeover Switch With Sheet Steel Encloser",FTC,Panel & Panel Accessories,Changeover Switch,Onload Changeover Switch,Four Pole Cubicle Onload Changeover Switch With Sheet Steel Encloser,OCS-320/02,,OCS-320/02,,18876,Piece,Each,1,"FTC OCS-63/08- 320 A, Four Pole, Cubicle Onload Changeover Switch With Sheet Steel Encloser",1723108404-Product-changeover333.PNG,,,,,Current Rating,320 A,No of Pole,4 Pole,Auxillary Contact,2NO-2NC,Frequency,50 Hz,Voltage,415 V,,,,,,,,,,,,,1723108348-Product-chnageover load.PNG,,85365090,18%,,,,,,,,,1,8-10 Days,
"FTC OCS-63/09- 400 A, Four Pole, Cubicle Onload Changeover Switch With Sheet Steel Encloser",FTC,Panel & Panel Accessories,Changeover Switch,Onload Changeover Switch,Four Pole Cubicle Onload Changeover Switch With Sheet Steel Encloser,OCS-400/03,,OCS-400/03,,29194,Piece,Each,1,"FTC OCS-63/09- 400 A, Four Pole, Cubicle Onload Changeover Switch With Sheet Steel Encloser",1723108404-Product-changeover333.PNG,,,,,Current Rating,400 A,No of Pole,4 Pole,Auxillary Contact,2NO-2NC,Frequency,50 Hz,Voltage,415 V,,,,,,,,,,,,,1723108348-Product-chnageover load.PNG,,85365090,18%,,,,,,,,,1,8-10 Days,
