c1_category,c2_category,leaf_category
Main Switch,Triple Pole Side Handle Main Switch,TPN Side Handle Main Switch
Main Switch,Triple Pole Side Handle Main Switch,TPN Side Handle Main Switch
Main Switch,Triple Pole Side Handle Main Switch,TPN Side Handle Main Switch
Main Switch,Triple Pole Side Handle Main Switch,TPN Side Handle Main Switch
Bus Bar Chamber,Four Pole Bus Bar Chamber,32 A Four Pole Bus Bar Chamber
Bus Bar Chamber,Four Pole Bus Bar Chamber,63 A Four Pole Bus Bar Chamber
Bus Bar Chamber,Four Pole Bus Bar Chamber,100 A Four Pole Bus Bar Chamber
Bus Bar Chamber,Four Pole Bus Bar Chamber,200 A Four Pole Bus Bar Chamber
Bus Bar Chamber,Four Pole Bus Bar Chamber,315 A Four Pole Bus Bar Chamber
Bus Bar Chamber,Four Pole Bus Bar Chamber,400 A Four Pole Bus Bar Chamber
Bus Bar Chamber,Four Pole Bus Bar Chamber,630 A Four Pole Bus Bar Chamber
Main Switch,Double Break HRC Side Handle Main Switch,100 A Double Break HRC Side Handle Main Switch
Main Switch,Double Break HRC Side Handle Main Switch,200 A Double Break HRC Side Handle Main Switch
Main Switch,Double Break HRC Side Handle Main Switch,315 A Double Break HRC Side Handle Main Switch
Main Switch,Double Break HRC Side Handle Main Switch,400 A Double Break HRC Side Handle Main Switch
Main Switch,Double Break HRC Side Handle Main Switch,630 A Double Break HRC Side Handle Main Switch
Main Switch,Double Break HRC Side Handle Main Switch,100 A Double Break HRC Side Handle Main Switch
Main Switch,Double Break HRC Side Handle Main Switch,200 A Double Break HRC Side Handle Main Switch
Main Switch,Double Break HRC Side Handle Main Switch,315 A Double Break HRC Side Handle Main Switch
Main Switch,Double Break HRC Side Handle Main Switch,400 A Double Break HRC Side Handle Main Switch
Main Switch,Double Break HRC Side Handle Main Switch,630 A Double Break HRC Side Handle Main Switch
