name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"FTC MS-32- TPN Side Handle Main Switch, 32 A",FTC,Panel & Panel Accessories,Main Switch,Triple Pole Side Handle Main Switch,TPN Side Handle Main Switch,MS - 32,,MS - 32,,1742,Piece,Each,1,,,,,,,Number of Poles,TPN,Current Rating,32 A,Rated Voltage,415 V,Frequency,50 Hz,Type,Triple Pole Side Handle Main Switch,,,,,,,,,,,,,1723197612-Product-main switch 11111.PNG,,85365090,18%,,,,,,,,,1,8-10 Days,
"FTC MS - 63- TPN Side Handle Main Switch, 63 A",FTC,Panel & Panel Accessories,Main Switch,Triple Pole Side Handle Main Switch,TPN Side Handle Main Switch,MS - 63,,MS - 63,,3960,Piece,Each,1,,,,,,,Number of Poles,TPN,Current Rating,63 A,Rated Voltage,415 V,Frequency,50 Hz,Type,Triple Pole Side Handle Main Switch,,,,,,,,,,,,,1723197612-Product-main switch 11111.PNG,,85365090,18%,,,,,,,,,1,8-10 Days,
"FTC MS - 100- TPN Side Handle Main Switch, 100 A",FTC,Panel & Panel Accessories,Main Switch,Triple Pole Side Handle Main Switch,TPN Side Handle Main Switch,MS - 100,,MS - 100,,6512,Piece,Each,1,,,,,,,Number of Poles,TPN,Current Rating,100 A,Rated Voltage,415 V,Frequency,50 Hz,Type,Triple Pole Side Handle Main Switch,,,,,,,,,,,,,1723197612-Product-main switch 11111.PNG,,85365090,18%,,,,,,,,,1,8-10 Days,
"FTC MS - 200- TPN Side Handle Main Switch, 200 A",FTC,Panel & Panel Accessories,Main Switch,Triple Pole Side Handle Main Switch,TPN Side Handle Main Switch,MS - 200,,MS - 200,,10340,Piece,Each,1,,,,,,,Number of Poles,TPN,Current Rating,200 A,Rated Voltage,415 V,Frequency,50 Hz,Type,Triple Pole Side Handle Main Switch,,,,,,,,,,,,,1723197612-Product-main switch 11111.PNG,,85365090,18%,,,,,,,,,1,8-10 Days,
FTC BB - 32- Four Pole Bus Bar Chamber 32 A,FTC,Panel & Panel Accessories,Bus Bar Chamber,Four Pole Bus Bar Chamber,32 A Four Pole Bus Bar Chamber,BB - 32,,BB - 32,,2226,Piece,Each,1,,,,,,,Number of Poles,4 Pole,Current Rating,32 A,Rated Voltage,415 V,Frequency,50 Hz,Type,Four Pole Bus Bar Chamber,,,,,,,,,,,,,1723197543-Product-Bus Bar Chamber.PNG,,85365090,18%,,,,,,,,,1,8-10 Days,
FTC BB - 63- Four Pole Bus Bar Chamber 63 A,FTC,Panel & Panel Accessories,Bus Bar Chamber,Four Pole Bus Bar Chamber,63 A Four Pole Bus Bar Chamber,BB - 63,,BB - 63,,3300,Piece,Each,1,,,,,,,Number of Poles,4 Pole,Current Rating,63 A,Rated Voltage,415 V,Frequency,50 Hz,Type,Four Pole Bus Bar Chamber,,,,,,,,,,,,,1723197543-Product-Bus Bar Chamber.PNG,,85365090,18%,,,,,,,,,1,8-10 Days,
FTC BB - 100- Four Pole Bus Bar Chamber 100 A,FTC,Panel & Panel Accessories,Bus Bar Chamber,Four Pole Bus Bar Chamber,100 A Four Pole Bus Bar Chamber,BB - 100,,BB - 100,,4950,Piece,Each,1,,,,,,,Number of Poles,4 Pole,Current Rating,100 A,Rated Voltage,415 V,Frequency,50 Hz,Type,Four Pole Bus Bar Chamber,,,,,,,,,,,,,1723197543-Product-Bus Bar Chamber.PNG,,85365090,18%,,,,,,,,,1,8-10 Days,
FTC BB - 200- Four Pole Bus Bar Chamber 200 A,FTC,Panel & Panel Accessories,Bus Bar Chamber,Four Pole Bus Bar Chamber,200 A Four Pole Bus Bar Chamber,BB - 200,,BB - 200,,8085,Piece,Each,1,,,,,,,Number of Poles,4 Pole,Current Rating,200 A,Rated Voltage,415 V,Frequency,50 Hz,Type,Four Pole Bus Bar Chamber,,,,,,,,,,,,,1723197543-Product-Bus Bar Chamber.PNG,,85365090,18%,,,,,,,,,1,8-10 Days,
FTC BB - 315- Four Pole Bus Bar Chamber 315 A,FTC,Panel & Panel Accessories,Bus Bar Chamber,Four Pole Bus Bar Chamber,315 A Four Pole Bus Bar Chamber,BB - 315,,BB - 315,,9350,Piece,Each,1,,,,,,,Number of Poles,4 Pole,Current Rating,315 A,Rated Voltage,415 V,Frequency,50 Hz,Type,Four Pole Bus Bar Chamber,,,,,,,,,,,,,1723197543-Product-Bus Bar Chamber.PNG,,85365090,18%,,,,,,,,,1,8-10 Days,
FTC BB - 400- Four Pole Bus Bar Chamber 400 A,FTC,Panel & Panel Accessories,Bus Bar Chamber,Four Pole Bus Bar Chamber,400 A Four Pole Bus Bar Chamber,BB - 400,,BB - 400,,12245,Piece,Each,1,,,,,,,Number of Poles,4 Pole,Current Rating,400 A,Rated Voltage,415 V,Frequency,50 Hz,Type,Four Pole Bus Bar Chamber,,,,,,,,,,,,,1723197543-Product-Bus Bar Chamber.PNG,,85365090,18%,,,,,,,,,1,8-10 Days,
