name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"L&T CS94018- Series MX0, Auxiliary Contactors, 415V, AC Control Relays, 4 NO (Pack of 10)",L&T,Panel & Panel Accessories,Relay,Control Relay,"MX0, Auxiliary Contactors, 415V, AC Control Relays, 4 NO",CS94018,MX0,CS94018,,14600,Piece,(Pack of 10),1,"L&T CS94018- Series MX0, Auxiliary Contactors, 415V, AC Control Relays, 4 NO (Pack of 10)",,,,,,AC Voltage Coil,415 V,Frequency,50 Hz,Rated Current,4 Amp,Auxillary Contact,4 NO,,,,,,,,,,,,,,,1723180117-Product-Relay 1.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"L&T CS94019- Series MX0, Auxiliary Contactors, 415V, AC Control Relays, 3 NO + 1 NC (Pack of 10)",L&T,Panel & Panel Accessories,Relay,Control Relay,"MX0, Auxiliary Contactors, 415V, AC Control Relays, 3 NO + 1 NC",CS94019,MX0,CS94019,,14600,Piece,(Pack of 10),1,"L&T CS94019- Series MX0, Auxiliary Contactors, 415V, AC Control Relays, 3 NO + 1 NC (Pack of 10)",,,,,,AC Voltage Coil,415 V,Frequency,50 Hz,Rated Current,4 Amp,Auxillary Contact,3 NO + 1 NC,,,,,,,,,,,,,,,1723180910-Product-relay 2.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"L&T CS94020- Series MX0, Auxiliary Contactors, 415V, AC Control Relays, 2 NO + 2 NC (Pack of 10)",L&T,Panel & Panel Accessories,Relay,Control Relay,"MX0, Auxiliary Contactors, 415V, AC Control Relays, 2 NO + 2 NC",CS94020,MX0,CS94020,,14600,Piece,(Pack of 10),1,"L&T CS94020- Series MX0, Auxiliary Contactors, 415V, AC Control Relays, 2 NO + 2 NC (Pack of 10)",,,,,,AC Voltage Coil,415 V,Frequency,50 Hz,Rated Current,4 Amp,Auxillary Contact,2 NO + 2 NC,,,,,,,,,,,,,,,1723181163-Product-relay 3.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"L&T CS94041- Series MX0, Auxiliary Contactors, 415V, AC Control Relays, 1 NO + 3 NC (Pack of 10)",L&T,Panel & Panel Accessories,Relay,Control Relay,"MX0, Auxiliary Contactors, 415V, AC Control Relays, 1 NO + 3 NC",CS94041,MX0,CS94041,,14600,Piece,(Pack of 10),1,"L&T CS94041- Series MX0, Auxiliary Contactors, 415V, AC Control Relays, 1 NO + 3 NC (Pack of 10)",,,,,,AC Voltage Coil,415 V,Frequency,50 Hz,Rated Current,4 Amp,Auxillary Contact,1 NO + 3 NC,,,,,,,,,,,,,,,1723181273-Product-relay 4.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"L&T CS94042- Series MX0, Auxiliary Contactors, 415V, AC Control Relays, 4 NC (Pack of 10)",L&T,Panel & Panel Accessories,Relay,Control Relay,"MX0, Auxiliary Contactors, 415V, AC Control Relays, 4 NC",CS94042,MX0,CS94042,,14600,Piece,(Pack of 10),1,"L&T CS94042- Series MX0, Auxiliary Contactors, 415V, AC Control Relays, 4 NC (Pack of 10)",,,,,,AC Voltage Coil,415 V,Frequency,50 Hz,Rated Current,4 Amp,Auxillary Contact,4 NC,,,,,,,,,,,,,,,1723181433-Product-relay 5.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"L&T CS94027- Series MX0, Auxiliary Contactors, 220V, DC Control Relays, 4 NO (Pack of 10)",L&T,Panel & Panel Accessories,Relay,Control Relay,"MX0, Auxiliary Contactors, 220V, DC Control Relays, 4 NO",CS94027,MX0,CS94027,,19100,Piece,(Pack of 10),1,"L&T CS94027- Series MX0, Auxiliary Contactors, 220V, DC Control Relays, 4 NO (Pack of 10)",,,,,,AC Voltage Coil,415 V,Frequency,50 Hz,Rated Current,4 Amp,Auxillary Contact,4 NO,,,,,,,,,,,,,,,1723181605-Product-relay 6.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"L&T CS94028- Series MX0, Auxiliary Contactors, 220V, DC Control Relays, 3 NO + 1 NC (Pack of 10)",L&T,Panel & Panel Accessories,Relay,Control Relay,"MX0, Auxiliary Contactors, 220V, DC Control Relays, 3 NO + 1 NC",CS94028,MX0,CS94028,,19100,Piece,(Pack of 10),1,"L&T CS94028- Series MX0, Auxiliary Contactors, 220V, DC Control Relays, 3 NO + 1 NC (Pack of 10)",,,,,,AC Voltage Coil,415 V,Frequency,50 Hz,Rated Current,4 Amp,Auxillary Contact,3 NO + 1 NC,,,,,,,,,,,,,,,1723181789-Product-relay 7.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"L&T CS94029- Series MX0, Auxiliary Contactors, 220V, DC Control Relays, 2 NO + 2 NC (Pack of 10)",L&T,Panel & Panel Accessories,Relay,Control Relay,"MX0, Auxiliary Contactors, 220V, DC Control Relays, 2 NO + 2 NC",CS94029,MX0,CS94029,,19100,Piece,(Pack of 10),1,"L&T CS94029- Series MX0, Auxiliary Contactors, 220V, DC Control Relays, 2 NO + 2 NC (Pack of 10)",,,,,,AC Voltage Coil,415 V,Frequency,50 Hz,Rated Current,4 Amp,Auxillary Contact,2 NO + 2 NC,,,,,,,,,,,,,,,1723181966-Product-relay 8.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"L&T CS94043- Series MX0, Auxiliary Contactors, 220V, DC Control Relays, 1 NO + 3 NC (Pack of 10)",L&T,Panel & Panel Accessories,Relay,Control Relay,"MX0, Auxiliary Contactors, 220V, DC Control Relays, 1 NO + 3 NC",CS94043,MX0,CS94043,,19100,Piece,(Pack of 10),1,"L&T CS94043- Series MX0, Auxiliary Contactors, 220V, DC Control Relays, 1 NO + 3 NC (Pack of 10)",,,,,,AC Voltage Coil,415 V,Frequency,50 Hz,Rated Current,4 Amp,Auxillary Contact,1 NO + 3 NC,,,,,,,,,,,,,,,1723182175-Product-relay 9.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"L&T CS94044- Series MX0, Auxiliary Contactors, 220V, DC Control Relays, 4 NC (Pack of 10)",L&T,Panel & Panel Accessories,Relay,Control Relay,"MX0, Auxiliary Contactors, 220V, DC Control Relays, 4 NC",CS94044,MX0,CS94044,,19100,Piece,(Pack of 10),1,"L&T CS94044- Series MX0, Auxiliary Contactors, 220V, DC Control Relays, 4 NC (Pack of 10)",,,,,,AC Voltage Coil,415 V,Frequency,50 Hz,Rated Current,4 Amp,Auxillary Contact,4 NC,,,,,,,,,,,,,,,1723182260-Product-relay 10.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
