name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"L&T SS94141OOEO- Series MN 2, Thermal Overload Relay, Suitable for MNX Contactor 0.2 - 0.33 A (Pack of 10)",L&T,Panel & Panel Accessories,Low Voltage Switch Gear,Thermal Overload Relay,Type MN - Suitable for MNX Contactor 0.2 - 0.33 A,SS94141OOEO,MN 2,SS94141OOEO,,16900,Piece,(Pack of 10),1,"L&T SS94141OOEO- Series MN 2, Thermal Overload Relay, Suitable for MNX Contactor 0.2 - 0.33 A",,,,,,Type of Mounting,MN 2,Relay Range,0.2 - 0.33 A,Relay Type,Thermal Overload Relay,,,,,,,,,,,,,,,,,1723268764-Product-901.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"L&T SS94141OOGO- Series MN 2, Thermal Overload Relay, Suitable for MNX Contactor 0.3 - 0.5 A (Pack of 10)",L&T,Panel & Panel Accessories,Low Voltage Switch Gear,Thermal Overload Relay,Type MN - Suitable for MNX Contactor 0.3 - 0.5 A,SS94141OOGO,MN 2,SS94141OOGO,,16900,Piece,(Pack of 10),1,"L&T SS94141OOGO- Series MN 2, Thermal Overload Relay, Suitable for MNX Contactor 0.3 - 0.5 A",,,,,,Type of Mounting,MN 2,Relay Range,0.3 - 0.5 A,Relay Type,Thermal Overload Relay,,,,,,,,,,,,,,,,,1723269304-Product-903.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"L&T SS94141OOJO- Series MN 2, Thermal Overload Relay, Suitable for MNX Contactor 0.45 - 0.75 A (Pack of 10)",L&T,Panel & Panel Accessories,Low Voltage Switch Gear,Thermal Overload Relay,Type MN - Suitable for MNX Contactor 0.45 - 0.75 A,SS94141OOJO,MN 2,SS94141OOJO,,16900,Piece,(Pack of 10),1,"L&T SS94141OOJO- Series MN 2, Thermal Overload Relay, Suitable for MNX Contactor 0.45 - 0.75 A",,,,,,Type of Mounting,MN 2,Relay Range,0.45 - 0.75 A,Relay Type,Thermal Overload Relay,,,,,,,,,,,,,,,,,1723269091-Product-902.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"L&T SS94141OOKO- Series MN 2, Thermal Overload Relay, Suitable for MNX Contactor 0.6 - 1 A (Pack of 10)",L&T,Panel & Panel Accessories,Low Voltage Switch Gear,Thermal Overload Relay,Type MN - Suitable for MNX Contactor 0.6 - 1 A,SS94141OOKO,MN 2,SS94141OOKO,,16900,Piece,(Pack of 10),1,"L&T SS94141OOKO- Series MN 2, Thermal Overload Relay, Suitable for MNX Contactor 0.6 - 1 A",,,,,,Type of Mounting,MN 2,Relay Range,0.6 - 1 A,Relay Type,Thermal Overload Relay,,,,,,,,,,,,,,,,,1723269373-Product-904.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"L&T SS94141OOMO- Series MN 2, Thermal Overload Relay, Suitable for MNX Contactor 0.9 - 1.5 A (Pack of 10)",L&T,Panel & Panel Accessories,Low Voltage Switch Gear,Thermal Overload Relay,Type MN - Suitable for MNX Contactor 0.9 - 1.5 A,SS94141OOMO,MN 2,SS94141OOMO,,17000,Piece,(Pack of 10),1,"L&T SS94141OOMO- Series MN 2, Thermal Overload Relay, Suitable for MNX Contactor 0.9 - 1.5 A",,,,,,Type of Mounting,MN 2,Relay Range,0.9 - 1.5 A,Relay Type,Thermal Overload Relay,,,,,,,,,,,,,,,,,1723269549-Product-905.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"L&T SS94141OOPO- Series MN 2, Thermal Overload Relay, Suitable for MNX Contactor 1.4 - 2.3 A (Pack of 10)",L&T,Panel & Panel Accessories,Low Voltage Switch Gear,Thermal Overload Relay,Type MN - Suitable for MNX Contactor 1.4 - 2.3 A,SS94141OOPO,MN 2,SS94141OOPO,,17000,Piece,(Pack of 10),1,"L&T SS94141OOPO- Series MN 2, Thermal Overload Relay, Suitable for MNX Contactor 1.4 - 2.3 A",,,,,,Type of Mounting,MN 2,Relay Range,1.4 - 2.3 A,Relay Type,Thermal Overload Relay,,,,,,,,,,,,,,,,,1723269862-Product-906.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"L&T SS94141OOQO- Series MN 2, Thermal Overload Relay, Suitable for MNX Contactor 2 - 3.3 A (Pack of 10)",L&T,Panel & Panel Accessories,Low Voltage Switch Gear,Thermal Overload Relay,Type MN - Suitable for MNX Contactor 2 - 3.3 A,SS94141OOQO,MN 2,SS94141OOQO,,17000,Piece,(Pack of 10),1,"L&T SS94141OOQO- Series MN 2, Thermal Overload Relay, Suitable for MNX Contactor 2 - 3.3 A",,,,,,Type of Mounting,MN 2,Relay Range,2 - 3.3 A,Relay Type,Thermal Overload Relay,,,,,,,,,,,,,,,,,1723269963-Product-907.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"L&T SS94141OOSO- Series MN 2, Thermal Overload Relay, Suitable for MNX Contactor(3-5) A (Pack of 10)",L&T,Panel & Panel Accessories,Low Voltage Switch Gear,Thermal Overload Relay,Type MN - Suitable for MNX Contactor (3-5) A,SS94141OOSO,MN 2,SS94141OOSO,,17000,Piece,(Pack of 10),1,"L&T SS94141OOSO- Series MN 2, Thermal Overload Relay, Suitable for MNX Contactor(3-5) A",,,,,,Type of Mounting,MN 2,Relay Range,(3-5) A,Relay Type,Thermal Overload Relay,,,,,,,,,,,,,,,,,1723270169-Product-908.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"L&T SS94141OOUO- Series MN 2, Thermal Overload Relay, Suitable for MNX Contactor 4.5 - 7.5 A (Pack of 10)",L&T,Panel & Panel Accessories,Low Voltage Switch Gear,Thermal Overload Relay,Type MN - Suitable for MNX Contactor 4.5 - 7.5 A,SS94141OOUO,MN 2,SS94141OOUO,,17000,Piece,(Pack of 10),1,"L&T SS94141OOUO- Series MN 2, Thermal Overload Relay, Suitable for MNX Contactor 4.5 - 7.5 A",,,,,,Type of Mounting,MN 2,Relay Range,4.5 - 7.5 A,Relay Type,Thermal Overload Relay,,,,,,,,,,,,,,,,,1723272298-Product-909.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"L&T SS94142OOVO- Series MN 2, Thermal Overload Relay, Suitable for MNX Contactor (6-10) A (Pack of 10)",L&T,Panel & Panel Accessories,Low Voltage Switch Gear,Thermal Overload Relay,Type MN - Suitable for MNX Contactor (6-10) A,SS94142OOVO,MN 2,SS94142OOVO,,17000,Piece,(Pack of 10),1,"L&T SS94142OOVO- Series MN 2, Thermal Overload Relay, Suitable for MNX Contactor (6-10) A",,,,,,Type of Mounting,MN 2,Relay Range,(6-10) A,Relay Type,Thermal Overload Relay,,,,,,,,,,,,,,,,,1723272374-Product-911.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
