name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"BCH MP20-Metal Clad - Plug Type 'MP', 20 Amp, 250V, 2P+E-Pin",BCH,Panel & Panel Accessories,Plug and Sockets,Metal Clad,"Metal Clad - Plug Type 'MP', 20 Amp, 250V",MP20,,MP20,,305,Piece,Each,1,"BCH MP20-Metal Clad - Plug Type 'MP', 20 Amp, 250V, 2P+E-Pin",,,,,,Ampere,20 Amp,Pin,2P+E,Voltage,250V,,,,,,,,,,,,,,,,,1723451457-Product-Metal Clad.PNG,,8536,18%,,,,,,,,,1,07-08 Days,
"BCH Ms20-Metal Clad - Socket Type 'MS', 20 Amp, 250V, 2P+E-Pin",BCH,Panel & Panel Accessories,Plug and Sockets,Metal Clad,"Metal Clad - Socket Type 'MS', 20 Amp, 250V",Ms20,,Ms20,,340,Piece,Each,1,"BCH Ms20-Metal Clad - Socket Type 'MS', 20 Amp, 250V, 2P+E-Pin",,,,,,Ampere,20 Amp,Pin,2P+E,Voltage,250V,,,,,,,,,,,,,,,,,1723451457-Product-Metal Clad.PNG,,8536,18%,,,,,,,,,1,07-08 Days,
"BCH MP30-Metal Clad - Plug Type 'MP', 30 Amp, 440V, 3P+E-Pin",BCH,Panel & Panel Accessories,Plug and Sockets,Metal Clad,"Metal Clad - Plug Type 'MP', 30 Amp, 440V",MP30,,MP30,,705,Piece,Each,1,"BCH MP30-Metal Clad - Plug Type 'MP', 30 Amp, 440V, 3P+E-Pin",,,,,,Ampere,30 Amp,Pin,3P+E,Voltage,440V,,,,,,,,,,,,,,,,,1723451457-Product-Metal Clad.PNG,,8536,18%,,,,,,,,,1,07-08 Days,
"BCH Ms30-Metal Clad - Socket Type 'MS', 30 Amp, 440V, 3P+E-Pin",BCH,Panel & Panel Accessories,Plug and Sockets,Metal Clad,"Metal Clad - Socket Type 'MS', 30 Amp, 440V",Ms30,,Ms30,,745,Piece,Each,1,"BCH Ms30-Metal Clad - Socket Type 'MS', 30 Amp, 440V, 3P+E-Pin",,,,,,Ampere,30 Amp,Pin,3P+E,Voltage,440V,,,,,,,,,,,,,,,,,1723451457-Product-Metal Clad.PNG,,8536,18%,,,,,,,,,1,07-08 Days,
"BCH PS16AA7-Plastic Plug Type 'PS', 20 Amp, 250V, 3P -Pin",BCH,Panel & Panel Accessories,Plug and Sockets,Plastic Plugs & Socket,"Plastic Plug Type 'PS', 20 Amp, 250V",PS16AA7,,PS16AA7,,335,Piece,Each,1,"BCH PS16AA7-Plastic Plug Type 'PS', 20 Amp, 250V, 3P -Pin",,,,,,Ampere,20 Amp,Pin,3P,Voltage,250V,,,,,,,,,,,,,,,,,1723451473-Product-Plastic Plugs & Socket.PNG,,8536,18%,,,,,,,,,1,07-08 Days,
"BCH PS16BA7-Plastic Flush Mounting Socket Type 'PS', 20 Amp, 250V, 3P -Pin",BCH,Panel & Panel Accessories,Plug and Sockets,Plastic Plugs & Socket,"Plastic Flush Mounting Socket Type 'PS', 20 Amp, 250V",PS16BA7,,PS16BA7,,475,Piece,Each,1,"BCH PS16BA7-Plastic Flush Mounting Socket Type 'PS', 20 Amp, 250V, 3P -Pin",,,,,,Ampere,20 Amp,Pin,3P,Voltage,250V,,,,,,,,,,,,,,,,,1723451473-Product-Plastic Plugs & Socket.PNG,,8536,18%,,,,,,,,,1,07-08 Days,
"BCH PS16DA7-Plastic Socket with Wall Mounting Box Type 'PS', 20 Amp, 250V, 3P -Pin",BCH,Panel & Panel Accessories,Plug and Sockets,Plastic Plugs & Socket,"Plastic Socket with Wall Mounting Box Type 'PS', 20 Amp, 250V",PS16DA7,,PS16DA7,,590,Piece,Each,1,"BCH PS16DA7-Plastic Socket with Wall Mounting Box Type 'PS', 20 Amp, 250V, 3P -Pin",,,,,,Ampere,20 Amp,Pin,3P,Voltage,250V,,,,,,,,,,,,,,,,,1723451473-Product-Plastic Plugs & Socket.PNG,,8536,18%,,,,,,,,,1,07-08 Days,
"BCH PS16AA1-Plastic Plug Type 'PS', 20 Amp, 415V, 4P-Pin",BCH,Panel & Panel Accessories,Plug and Sockets,Plastic Plugs & Socket,"Plastic Plug Type 'PS', 20 Amp, 415V",PS16AA1,,PS16AA1,,410,Piece,Each,1,"BCH PS16AA1-Plastic Plug Type 'PS', 20 Amp, 415V, 4P-Pin",,,,,,Ampere,20 Amp,Pin,4P,Voltage,415V,,,,,,,,,,,,,,,,,1723451473-Product-Plastic Plugs & Socket.PNG,,8536,18%,,,,,,,,,1,07-08 Days,
"BCH PS16BA1-Plastic Flush Mounting Socket Type 'PS', 20 Amp, 415V, 4P-Pin",BCH,Panel & Panel Accessories,Plug and Sockets,Plastic Plugs & Socket,"Plastic Flush Mounting Socket Type 'PS', 20 Amp, 415V",PS16BA1,,PS16BA1,,620,Piece,Each,1,"BCH PS16BA1-Plastic Flush Mounting Socket Type 'PS', 20 Amp, 415V, 4P-Pin",,,,,,Ampere,20 Amp,Pin,4P,Voltage,415V,,,,,,,,,,,,,,,,,1723451473-Product-Plastic Plugs & Socket.PNG,,8536,18%,,,,,,,,,1,07-08 Days,
"BCH PS16DA1-Plastic Socket with Wall Mounting Box Type 'PS', 20 Amp, 415V, 4P-Pin",BCH,Panel & Panel Accessories,Plug and Sockets,Plastic Plugs & Socket,"Plastic Socket with Wall Mounting Box Type 'PS', 20 Amp, 415V",PS16DA1,,PS16DA1,,725,Piece,Each,1,"BCH PS16DA1-Plastic Socket with Wall Mounting Box Type 'PS', 20 Amp, 415V, 4P-Pin",,,,,,Ampere,20 Amp,Pin,4P,Voltage,415V,,,,,,,,,,,,,,,,,1723451473-Product-Plastic Plugs & Socket.PNG,,8536,18%,,,,,,,,,1,07-08 Days,
