id,name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
1063,"Balluff, BES03JH-Inductive Ring and Tube Sensors, Range 25.1mm, PNP (NO)",Balluff,Sensors,Proximity Sensors,Inductive Sensor,Inductive Ring and Tube Sensors,BES03JH,BES,BES03JH,,27436.66,Piece,Piece,1,"Balluff, BES03JH-Inductive Ring and Tube Sensors, Range 25.1mm, PNP (NO)",,,,,,Dimension,60 x 35 x 20 mm,Style,block style,Range,25.1mm,Target size min.,Ball D = 4 mm,Switching output,PNP normally open (NO),Switching frequency,16 Hz,Housing material,Plastic,Material sensing surface,Plastic,Connection,"Connector, M12x1-Male, 4-pin",Operating voltage Ub,10...30 VDC,Ambient temperature,(-25-70 deg C),1712292432-Product-Screenshot 2024-04-05 101559.png,1802706743-Balluff--BES0,85365000,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=170884&con=en&ws=appoval,7 Days,,,,,,,1,08-10 Days,
1064,"Balluff, BES03JA-Inductive Ring and Tube Sensors, Range 10.1mm, PNP (NO)",Balluff,Sensors,Proximity Sensors,Inductive Sensor,Inductive Ring and Tube Sensors,BES03JA,BES,BES03JA,,27436.66,Piece,Each,1,"Balluff, BES03JA-Inductive Ring and Tube Sensors, Range 10.1mm, PNP (NO)",,,,,,Dimension,60 x 35 x 20 mm,Style,block style,Range,10.1mm,Target size min.,Ball D = 2 mm,Switching output,PNP normally open (NO),Switching frequency,16 Hz,Housing material,Plastic,Material sensing surface,Plastic,Connection,"Connector, M12x1-Male, 4-pin",Operating voltage Ub,10...30 VDC,Ambient temperature,(-25-70 deg C),1712292552-Product-Screenshot 2024-04-05 101900.png,6288548641-Balluff--BES0,85365000,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=170882&con=en&ws=appoval,7 Days,,,,,,,1,08-10 Days,
1065,"Balluff, BES02TY-Inductive Ring and Tube Sensors, Range 45mm, PNP (NO)",Balluff,Sensors,Proximity Sensors,Inductive Sensor,Inductive Ring and Tube Sensors,BES02TY,BES,BES02TY,,36674.87,Piece,Each,1,"Balluff, BES02TY-Inductive Ring and Tube Sensors, Range 45mm, PNP (NO)",,,,,,Dimension,115 x 80 x 30 mm,Style,block style,Range,45mm,Target size min.,,Switching output,PNP normally open (NO),Switching frequency,,Housing material,Plastic,Material sensing surface,Plastic,Connection,"Connector, M12x1-Male, 4-pin",Operating voltage Ub,10...30 VDC,Ambient temperature,(-25-70 deg C),1712292644-Product-Screenshot 2024-04-05 102029.png,4012483323-Balluff--BES0,85365000,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=123389&con=en&ws=appoval,7 Days,,,,,,,1,08-10 Days,
1066,"Balluff, BES0429-Inductive Ring and Tube Sensors, Range 16mm, PNP (NO)",Balluff,Sensors,Proximity Sensors,Inductive Sensor,Inductive Ring and Tube Sensors,BES0429,BES,BES0429,,16226.88,Piece,Each,1,"Balluff, BES0429-Inductive Ring and Tube Sensors, Range 16mm, PNP (NO)",,,,,,Dimension,78.5 x 17 x 11.9 mm,Style,block style,Range,16 mm,Target size min.,M3x5 screw,Switching output,PNP normally open (NO),Switching frequency,10 Hz,Housing material,PA 6.6,Material sensing surface,,Connection,"Cable with connector, M12x1-Male, 4-pin, 0.10 m, PUR",Operating voltage Ub,10...30 VDC,Ambient temperature,(-25-70 deg C),1712292697-Product-Screenshot 2024-04-05 102128.png,3461431454-Balluff--BES0,85365000,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=188830&con=en&ws=appoval,7 Days,,,,,,,1,08-10 Days,
1067,"Balluff, BES03JC-Inductive Ring and Tube Sensors, Range 15.1mm, PNP (NO)",Balluff,Sensors,Proximity Sensors,Inductive Sensor,Inductive Ring and Tube Sensors,BES03JC,BES,BES03JC,,27436.65,Piece,Each,1,"Balluff, BES03JC-Inductive Ring and Tube Sensors, Range 15.1mm, PNP (NO)",,,,,,Dimension,60 x 35 x 20 mm,Style,block style,Range,15.1mm,Target size min.,Ball D = 3 mm,Switching output,PNP normally open (NO),Switching frequency,16 Hz,Housing material,Plastic,Material sensing surface,Plastic,Connection,"Connector, M12x1-Male, 4-pin",Operating voltage Ub,10...30 VDC,Ambient temperature,(-25-70 deg C),1712292733-Product-Screenshot 2024-04-05 102201.png,6522770943-Balluff--BES0,85365000,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=170883&con=en&ws=appoval,7 Days,,,,,,,1,08-10 Days,
1068,"Balluff, BES0428-Inductive Ring and Tube Sensors, Range 16mm, PNP (NO)",Balluff,Sensors,Proximity Sensors,Inductive Sensor,Inductive Ring and Tube Sensors,BES0428,BES,BES0428,,16226.88,Piece,Each,1,"Balluff, BES0428-Inductive Ring and Tube Sensors, Range 16mm, PNP (NO)",,,,,,Dimension,78.5 x 17 x 11.9 mm,Style,block style,Range,16 mmmm,Target size min.,M3x5 screw,Switching output,PNP normally open (NO),Switching frequency,10 Hz,Housing material,PA 6.6,Material sensing surface,,Connection,"Connector, M8x1-Male, 3-pin",Operating voltage Ub,10...30 VDC,Ambient temperature,(-25-70 deg C),1712292769-Product-Screenshot 2024-04-05 102238.png,5290876538-Balluff--BES0,85365000,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=188829&con=en&ws=appoval,7 Days,,,,,,,1,08-10 Days,
1069,"Balluff, BES02TW-Inductive Ring and Tube Sensors, Range 25mm, PNP (NO)",Balluff,Sensors,Proximity Sensors,Inductive Sensor,Inductive Ring and Tube Sensors,BES02TW,BES,BES02TW,,36674.87,Piece,Each,1,"Balluff, BES02TW-Inductive Ring and Tube Sensors, Range 25mm, PNP (NO)",,,,,,Dimension,80 x 45 x 20 mm,Style,block style,Range,25mm,Target size min.,Ball D = 4 mm,Switching output,PNP normally open (NO),Switching frequency,,Housing material,Plastic,Material sensing surface,Plastic,Connection,"Connector, M12x1-Male, 4-pin",Operating voltage Ub,10...30 VDC,Ambient temperature,(-25-70 deg C),1712292804-Product-Screenshot 2024-04-05 102314.png,2469245831-Balluff--BES0,85365000,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=8329&con=en&ws=appoval,7 Days,,,,,,,1,08-10 Days,
1070,"Balluff, BES0443-Hygienic Inductive Sensors, Range 4mm, PNP (NO)",Balluff,Sensors,Proximity Sensors,Inductive Sensor,Hygienic Inductive Sensors,BES0443,BES,BES0443,,7342.56,Piece,Each,1,"Balluff, BES0443-Hygienic Inductive Sensors, Range 4mm, PNP (NO)",,,,,,Dimension,12 x 54.5 mm,Style,M12x1,Installation,non-flush,Range,4 mm,Switching output,PNP normally open (NO),Switching frequency,400 Hz,Housing material,1.4571 stainless steel,Material sensing surface,PEEK,Connection,"Connector, M12x1-Male, 4-pin",Operating voltage Ub,10...30 VDC,Ambient temperature,(-40-105 deg C),1712296205-Product-Screenshot 2024-04-05 111747.png,3557627692-Balluff--BES0,85365000,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=272636&con=en&ws=appoval,7 Days,,,,,,,1,08-10 Days,
1071,"Balluff, BES0438-Hygienic Inductive Sensors, Range 8mm, PNP (NC)",Balluff,Sensors,Proximity Sensors,Inductive Sensor,Hygienic Inductive Sensors,BES0438,BES,BES0438,,9301.42,Piece,Each,1,"Balluff, BES0438-Hygienic Inductive Sensors, Range 8mm, PNP (NC)",,,,,,Dimension,18 x 65 mm,Style,M18x1,Installation,for flush mounting,Range,8 mm,Switching output,PNP normally closed (NC),Switching frequency,700 Hz,Housing material,1.4404 stainless steel,Material sensing surface,PEEK,Connection,"Connector, M12x1-Male, 4-pin",Operating voltage Ub,10...30 VDC,Ambient temperature,(-40-85 deg C),1712296481-Product-Screenshot 2024-04-05 112431.png,2204289786-Balluff--BES0,85365000,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=279151&con=en&ws=appoval,7 Days,,,,,,,1,08-10 Days,
1072,"Balluff, BES0435-Hygienic Inductive Sensors, Range 4mm, PNP (NO)",Balluff,Sensors,Proximity Sensors,Inductive Sensor,Hygienic Inductive Sensors,BES0435,BES,BES0435,,7772.24,Piece,Each,1,"Balluff, BES0435-Hygienic Inductive Sensors, Range 4mm, PNP (NO)",,,,,,Dimension,12 x 65 mm,Style,M12x1,Installation,for flush mounting,Range,4 mm,Switching output,PNP normally open (NO),Switching frequency,1000 Hz,Housing material,1.4404 stainless steel,Material sensing surface,LCP,Connection,"Connector, M12x1-Male, 4-pin",Operating voltage Ub,10...30 VDC,Ambient temperature,(-40-85 deg C),1712296542-Product-Screenshot 2024-04-05 112531.png,3536512920-Balluff--BES0,85365000,18%,https://publications.balluff.com/pdfengine/pdf?type=pdb&id=279149&con=en&ws=appoval,7 Days,,,,,,,1,08-10 Days,
