name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Fuji Electric FRN0001C2S-2A- 3 Phase 0.1 kw, 200 V, VFD, Frenic Mini Series",Fuji Electric,Factory Automation,Variable Frequency Drive,Three Phase AC Drive,"3 Phase 0.1 kw, 200 V, Variable Frequency Drive",FRN0001C2S-2A,Frenic Mini Series,FRN0001C2S-2A,,,Piece,Each,1,"Fuji Electric FRN0001C2S-2A- 3 Phase 0.1 kw, 200 V, VFD, Frenic Mini Series",,,,,,Type of Product,Variable Frequency Drive,Phase,Three Phase,Voltage Rating,200 V,Applicable Standard Motor,0.1 kw,Rated O/P Current,0.8 A,Color,Blue,Material,Plastic,Power Frequency,50/60 Hz,,,,,,,1723531857-Product-fuji 1.PNG,,,18%,,7 Days,,,80 mm,120 mm,80 mm,,1,4-6 Days,
"Fuji Electric FRN0002C2S-2A- 3 Phase 0.2 kw, 200 V, VFD, Frenic Mini Series",Fuji Electric,Factory Automation,Variable Frequency Drive,Three Phase AC Drive,"3 Phase 0.2 kw, 200 V, Variable Frequency Drive",FRN0002C2S-2A,Frenic Mini Series,FRN0002C2S-2A,,,Piece,Each,1,"Fuji Electric FRN0002C2S-2A- 3 Phase 0.2 kw, 200 V, VFD, Frenic Mini Series",,,,,,Type of Product,Variable Frequency Drive,Phase,Three Phase,Voltage Rating,200 V,Applicable Standard Motor,0.2 kw,Rated O/P Current,1.5 A,Color,Blue,Material,Plastic,Power Frequency,50/60 Hz,,,,,,,1723531910-Product-fuji 2.PNG,,,18%,,7 Days,,,80 mm,120 mm,80 mm,,1,4-6 Days,
"Fuji Electric FRN0004C2S-2A- 3 Phase 0.4 kw, 200 V, VFD, Frenic Mini Series",Fuji Electric,Factory Automation,Variable Frequency Drive,Three Phase AC Drive,"3 Phase 0.4 kw, 200 V, Variable Frequency Drive",FRN0004C2S-2A,Frenic Mini Series,FRN0004C2S-2A,,,Piece,Each,1,"Fuji Electric FRN0004C2S-2A- 3 Phase 0.4 kw, 200 V, VFD, Frenic Mini Series",,,,,,Type of Product,Variable Frequency Drive,Phase,Three Phase,Voltage Rating,200 V,Applicable Standard Motor,0.4 kw,Rated O/P Current,3.5 A,Color,Blue,Material,Plastic,Power Frequency,50/60 Hz,,,,,,,1723531970-Product-fuji 3.PNG,,,18%,,7 Days,,,80 mm,120 mm,95 mm,,1,4-6 Days,
"Fuji Electric FRN0010C2S-2A- 3 Phase 1.5 kw, 200 V, VFD, Frenic Mini Series",Fuji Electric,Factory Automation,Variable Frequency Drive,Three Phase AC Drive,"3 Phase 1.5 kw, 200 V, Variable Frequency Drive",FRN0010C2S-2A,Frenic Mini Series,FRN0010C2S-2A,29000,14500,Piece,Each,1,"Fuji Electric FRN0010C2S-2A- 3 Phase 1.5 kw, 200 V, VFD, Frenic Mini Series",,,,,,Type of Product,Variable Frequency Drive,Phase,Three Phase,Voltage Rating,200 V,Applicable Standard Motor,1.5 kw,Rated O/P Current,9.2 A,Color,Blue,Material,Plastic,Power Frequency,50/60 Hz,,,,,,,1723532032-Product-fuji 4.PNG,,,18%,,7 Days,,,110 mm,130 mm,139 mm,,1,4-6 Days,
"Fuji Electric FRN0012C2S-2A- 3 Phase 2.2 kw, 200 V, VFD, Frenic Mini Series",Fuji Electric,Factory Automation,Variable Frequency Drive,Three Phase AC Drive,"3 Phase 2.2 kw, 200 V, Variable Frequency Drive",FRN0012C2S-2A,Frenic Mini Series,FRN0012C2S-2A,32000,16000,Piece,Each,1,"Fuji Electric FRN0012C2S-2A- 3 Phase 2.2 kw, 200 V, VFD, Frenic Mini Series",,,,,,Type of Product,Variable Frequency Drive,Phase,Three Phase,Voltage Rating,200 V,Applicable Standard Motor,2.2 kw,Rated O/P Current,12A,Color,Blue,Material,Plastic,Power Frequency,50/60 Hz,,,,,,,1723532032-Product-fuji 4.PNG,,,18%,,7 Days,,,110 mm,130 mm,139 mm,,1,4-6 Days,
"Fuji Electric FRN0020C2S-2A- 3 Phase 3.7 kw, 200 V, VFD, Frenic Mini Series",Fuji Electric,Factory Automation,Variable Frequency Drive,Three Phase AC Drive,"3 Phase 3.7 kw, 200 V, Variable Frequency Drive",FRN0020C2S-2A,Frenic Mini Series,FRN0020C2S-2A,43000,21500,Piece,Each,1,"Fuji Electric FRN0020C2S-2A- 3 Phase 3.7 kw, 200 V, VFD, Frenic Mini Series",,,,,,Type of Product,Variable Frequency Drive,Phase,Three Phase,Voltage Rating,200 V,Applicable Standard Motor,3.7 kw,Rated O/P Current,19.1 A,Color,Blue,Material,Plastic,Power Frequency,50/60 Hz,,,,,,,1723532032-Product-fuji 4.PNG,,,18%,,7 Days,,,140 mm,180 mm,139 mm,,1,4-6 Days,
"Fuji Electric FRN0025C2S-2A- 3 Phase 5.5 kw, 200 V, VFD, Frenic Mini Series",Fuji Electric,Factory Automation,Variable Frequency Drive,Three Phase AC Drive,"3 Phase 5.5 kw, 200 V, Variable Frequency Drive",FRN0025C2S-2A,Frenic Mini Series,FRN0025C2S-2A,56000,28000,Piece,Each,1,"Fuji Electric FRN0025C2S-2A- 3 Phase 5.5 kw, 200 V, VFD, Frenic Mini Series",,,,,,Type of Product,Variable Frequency Drive,Phase,Three Phase,Voltage Rating,200 V,Applicable Standard Motor,5.5 kw,Rated O/P Current,25 A,Color,Blue,Material,Plastic,Power Frequency,50/60 Hz,,,,,,,1723532032-Product-fuji 4.PNG,,,18%,,7 Days,,,180 mm,220 mm,158 mm,,1,4-6 Days,
"Fuji Electric FRN0033C2S-2A- 3 Phase 7.5 kw, 200 V, VFD, Frenic Mini Series",Fuji Electric,Factory Automation,Variable Frequency Drive,Three Phase AC Drive,"3 Phase 7.5 kw, 200 V, Variable Frequency Drive",FRN0033C2S-2A,Frenic Mini Series,FRN0033C2S-2A,70000,35000,Piece,Each,1,"Fuji Electric FRN0033C2S-2A- 3 Phase 7.5 kw, 200 V, VFD, Frenic Mini Series",,,,,,Type of Product,Variable Frequency Drive,Phase,Three Phase,Voltage Rating,200 V,Applicable Standard Motor,7.5 kw,Rated O/P Current,33 A,Color,Blue,Material,Plastic,Power Frequency,50/60 Hz,,,,,,,1723532032-Product-fuji 4.PNG,,,18%,,7 Days,,,180 mm,220 mm,158 mm,,1,4-6 Days,
"Fuji Electric FRN0047C2S-2A- 3 Phase 11 kw, 200 V, VFD, Frenic Mini Series",Fuji Electric,Factory Automation,Variable Frequency Drive,Three Phase AC Drive,"3 Phase 11 kw, 200 V, Variable Frequency Drive",FRN0047C2S-2A,Frenic Mini Series,FRN0047C2S-2A,80000,40000,Piece,Each,1,"Fuji Electric FRN0047C2S-2A- 3 Phase 11 kw, 200 V, VFD, Frenic Mini Series",,,,,,Type of Product,Variable Frequency Drive,Phase,Three Phase,Voltage Rating,200 V,Applicable Standard Motor,11 kw,Rated O/P Current,47 A,Color,Blue,Material,Plastic,Power Frequency,50/60 Hz,,,,,,,1723532032-Product-fuji 4.PNG,,,18%,,7 Days,,,220 mm,260 mm,190 mm,,1,4-6 Days,
"Fuji Electric FRN0060C2S-2A- 3 Phase 15 kw, 200 V, VFD, Frenic Mini Series",Fuji Electric,Factory Automation,Variable Frequency Drive,Three Phase AC Drive,"3 Phase 15 kw, 200 V, Variable Frequency Drive",FRN0060C2S-2A,Frenic Mini Series,FRN0060C2S-2A,90000,45000,Piece,Each,1,"Fuji Electric FRN0060C2S-2A- 3 Phase 15 kw, 200 V, VFD, Frenic Mini Series",,,,,,Type of Product,Variable Frequency Drive,Phase,Three Phase,Voltage Rating,200 V,Applicable Standard Motor,15 kw,Rated O/P Current,60 A,Color,Blue,Material,Plastic,Power Frequency,50/60 Hz,,,,,,,1723532032-Product-fuji 4.PNG,,,18%,,7 Days,,,220 mm,260 mm,190 mm,,1,4-6 Days,
