name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"L&T ST41889OOOO- 3 Phase Motor Protection Circuit Breakers 0.16 A, 415 V",L&T,Panel & Panel Accessories,Low voltage Switch Gear,MPCB,3 Phase Motor Protection Circuit Breakers 0.16 A,ST41889OOOO,MOG-S1,ST41889OOOO,,2870,Piece,Each,1,"L&T ST41889OOOO- 3 Phase Motor Protection Circuit Breakers, 0.16 A, 415 V",,,,,,Overload Release Range,0.1-0.16 A,Rated Current,0.16 A,Voltage Rating,415 V,Frequency,50 Hz,Phase,3 Phase,,,,,,,,,,,,,1723617603-Product-L&T Motor 1.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"L&T ST41890OOOO- 3 Phase Motor Protection Circuit Breakers 0.25 A, 415 V",L&T,Panel & Panel Accessories,Low voltage Switch Gear,MPCB,3 Phase Motor Protection Circuit Breakers 0.25 A,ST41890OOOO,MOG-S1,ST41890OOOO,,2870,Piece,Each,1,"L&T ST41890OOOO- 3 Phase Motor Protection Circuit Breakers, 0.25 A, 415 V",,,,,,Overload Release Range,0.16-0.25 A,Rated Current,0.25 A,Voltage Rating,415 V,Frequency,50 Hz,Phase,3 Phase,,,,,,,,,,,,,1723617603-Product-L&T Motor 1.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"L&T ST41891OOOO- 3 Phase Motor Protection Circuit Breakers 0.4 A, 415 V",L&T,Panel & Panel Accessories,Low voltage Switch Gear,MPCB,3 Phase Motor Protection Circuit Breakers 0.4 A,ST41891OOOO,MOG-S1,ST41891OOOO,,2870,Piece,Each,1,"L&T ST41891OOOO- 3 Phase Motor Protection Circuit Breakers, 0.4 A, 415 V",,,,,,Overload Release Range,0.25-0.40 A,Rated Current,0.4 A,Voltage Rating,415 V,Frequency,50 Hz,Phase,3 Phase,,,,,,,,,,,,,1723617603-Product-L&T Motor 1.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"L&T ST41892OOOO- 3 Phase Motor Protection Circuit Breakers 0.63 A, 415 V",L&T,Panel & Panel Accessories,Low voltage Switch Gear,MPCB,3 Phase Motor Protection Circuit Breakers 0.63 A,ST41892OOOO,MOG-S1,ST41892OOOO,,3260,Piece,Each,1,"L&T ST41892OOOO- 3 Phase Motor Protection Circuit Breakers, 0.63 A, 415 V",,,,,,Overload Release Range,0.40-0.63 A,Rated Current,0.63 A,Voltage Rating,415 V,Frequency,50 Hz,Phase,3 Phase,,,,,,,,,,,,,1723617603-Product-L&T Motor 1.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"L&T ST41893OOOO- 3 Phase Motor Protection Circuit Breakers 1 A, 415 V",L&T,Panel & Panel Accessories,Low voltage Switch Gear,MPCB,3 Phase Motor Protection Circuit Breakers 1 A,ST41893OOOO,MOG-S1,ST41893OOOO,,3260,Piece,Each,1,"L&T ST41893OOOO- 3 Phase Motor Protection Circuit Breakers, 1 A, 415 V",,,,,,Overload Release Range,0.63-1.00 A,Rated Current,1 A,Voltage Rating,415 V,Frequency,50 Hz,Phase,3 Phase,,,,,,,,,,,,,1723617603-Product-L&T Motor 1.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"L&T ST41894OOOO- 3 Phase Motor Protection Circuit Breakers 1.6 A, 415 V",L&T,Panel & Panel Accessories,Low voltage Switch Gear,MPCB,3 Phase Motor Protection Circuit Breakers 1.6 A,ST41894OOOO,MOG-S1,ST41894OOOO,,3280,Piece,Each,1,"L&T ST41894OOOO- 3 Phase Motor Protection Circuit Breakers, 1.6 A, 415 V",,,,,,Overload Release Range,1.00-1.60 A,Rated Current,1.6 A,Voltage Rating,415 V,Frequency,50 Hz,Phase,3 Phase,,,,,,,,,,,,,1723617603-Product-L&T Motor 1.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"L&T ST41895OOOO- 3 Phase Motor Protection Circuit Breakers 2.5 A, 415 V",L&T,Panel & Panel Accessories,Low voltage Switch Gear,MPCB,3 Phase Motor Protection Circuit Breakers 2.5 A,ST41895OOOO,MOG-S1,ST41895OOOO,,3280,Piece,Each,1,"L&T ST41895OOOO- 3 Phase Motor Protection Circuit Breakers, 2.5 A, 415 V",,,,,,Overload Release Range,1.60-2.50 A,Rated Current,2.5 A,Voltage Rating,415 V,Frequency,50 Hz,Phase,3 Phase,,,,,,,,,,,,,1723617603-Product-L&T Motor 1.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"L&T ST41896OOOO- 3 Phase Motor Protection Circuit Breakers 4 A, 415 V",L&T,Panel & Panel Accessories,Low voltage Switch Gear,MPCB,3 Phase Motor Protection Circuit Breakers 4 A,ST41896OOOO,MOG-S1,ST41896OOOO,,3400,Piece,Each,1,"L&T ST41896OOOO- 3 Phase Motor Protection Circuit Breakers, 4 A, 415 V",,,,,,Overload Release Range,2.50-4.00 A,Rated Current,4 A,Voltage Rating,415 V,Frequency,50 Hz,Phase,3 Phase,,,,,,,,,,,,,1723617603-Product-L&T Motor 1.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"L&T ST41897OOOO- 3 Phase Motor Protection Circuit Breakers 6.3 A, 415 V",L&T,Panel & Panel Accessories,Low voltage Switch Gear,MPCB,3 Phase Motor Protection Circuit Breakers 6.3 A,ST41897OOOO,MOG-S1,ST41897OOOO,,3400,Piece,Each,1,"L&T ST41897OOOO- 3 Phase Motor Protection Circuit Breakers, 6.3 A, 415 V",,,,,,Overload Release Range,4.00-6.30 A,Rated Current,6.3 A,Voltage Rating,415 V,Frequency,50 Hz,Phase,3 Phase,,,,,,,,,,,,,1723617603-Product-L&T Motor 1.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"L&T ST41898OOOO- 3 Phase Motor Protection Circuit Breakers 10 A, 415 V",L&T,Panel & Panel Accessories,Low voltage Switch Gear,MPCB,3 Phase Motor Protection Circuit Breakers 10 A,ST41898OOOO,MOG-S1,ST41898OOOO,,3630,Piece,Each,1,"L&T ST41898OOOO- 3 Phase Motor Protection Circuit Breakers, 10 A, 415 V",,,,,,Overload Release Range,6.30-10.00 A,Rated Current,10 A,Voltage Rating,415 V,Frequency,50 Hz,Phase,3 Phase,,,,,,,,,,,,,1723617603-Product-L&T Motor 1.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
