c1_category,c2_category,leaf_category
Variable Frequency Drive,Single Phase AC Drive,"1 Phase 0.1 kw, 230V AC, Variable Frequency Drive"
Variable Frequency Drive,Single Phase AC Drive,"1 Phase 0.2 kw, 230V AC, Variable Frequency Drive"
Variable Frequency Drive,Single Phase AC Drive,"1 Phase 0.4 kw, 230V AC, Variable Frequency Drive"
Variable Frequency Drive,Single Phase AC Drive,"1 Phase 0.75 kw, 230V AC, Variable Frequency Drive"
Variable Frequency Drive,Single Phase AC Drive,"1 Phase 1.5 kw, 230V AC, Variable Frequency Drive"
Variable Frequency Drive,Single Phase AC Drive,"1 Phase 2.2 kw, 230V AC, Variable Frequency Drive"
Variable Frequency Drive,Three Phase AC Drive,"3 Phase 0.1 kw, 230V AC, Variable Frequency Drive"
Variable Frequency Drive,Three Phase AC Drive,"3 Phase 0.2 kw, 230V AC, Variable Frequency Drive"
Variable Frequency Drive,Three Phase AC Drive,"3 Phase 0.4 kw, 230V AC, Variable Frequency Drive"
Variable Frequency Drive,Three Phase AC Drive,"3 Phase 0.75 kw, 230V AC, Variable Frequency Drive"
Variable Frequency Drive,Three Phase AC Drive,"3 Phase 1.5 kw, 230V AC, Variable Frequency Drive"
Variable Frequency Drive,Three Phase AC Drive,"3 Phase 2.2 kw, 230V AC, Variable Frequency Drive"
Variable Frequency Drive,Three Phase AC Drive,"3 Phase 3.7 kw, 230V AC, Variable Frequency Drive"
Variable Frequency Drive,Three Phase AC Drive,"3 Phase 5.5 kw, 230V AC, Variable Frequency Drive"
Variable Frequency Drive,Three Phase AC Drive,"3 Phase 7.5 kw, 230V AC, Variable Frequency Drive"
Variable Frequency Drive,Three Phase AC Drive,"3 Phase 11 kw, 230V AC, Variable Frequency Drive"
Variable Frequency Drive,Three Phase AC Drive,"3 Phase 15 kw, 230V AC, Variable Frequency Drive"
Variable Frequency Drive,Three Phase AC Drive,"3 Phase 18.5 kw, 230V AC, Variable Frequency Drive"
Variable Frequency Drive,Three Phase AC Drive,"3 Phase 22 kw, 230V AC, Variable Frequency Drive"
