name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Mitsubishi GT2507-WTBD-Graphic Touch Terminal, 7"" Wide Screen , Display Size (Inch)-7, 24 V, DC",Mitsubishi,Factory Automation,Display Unit,Human Machine Interface (HMI),"Graphic Touch Terminal, 7"" Wide Screen",GT2507-WTBD,GOT2000,GT2507-WTBD,"1,76,400.00",79380,Piece,Each,1,,,,,,,Display,TFT,Display Size (Inch),7,Resolution (Pixels),800X480,Power Supply (V),24 V,Current Type,DC,Protection Class,IP67F,Internal Memory Capacity (MB),32,Memory Card Slot,SD,USB,2,Ethernet Port,2,Network Options,"MODBUS, CCLINK, ETHERNET",,,,18%,,7 Days,,,,,,,1,08-10 Days,
"Mitsubishi GT2507T-WTSD-Graphic Touch Terminal, 7"" Wide Screen , Display Size (Inch)-7, 24 V, DC",Mitsubishi,Factory Automation,Display Unit,Human Machine Interface (HMI),"Graphic Touch Terminal, 7"" Wide Screen",GT2507T-WTSD,GOT2000,GT2507T-WTSD,"2,64,600.00",119070,Piece,Each,1,,,,,,,Display,TFT,Display Size (Inch),7,Resolution (Pixels),800X480,Power Supply (V),24 V,Current Type,DC,Protection Class,IP67F,Internal Memory Capacity (MB),32,Memory Card Slot,SD,USB,2,Ethernet Port,2,Network Options,"MODBUS, CCLINK, ETHERNET",,,,18%,,7 Days,,,,,,,1,08-10 Days,
"Mitsubishi GT2510-WXTBD-Graphic Touch Terminal, 10.1"" Wide Screen , Display Size (Inch)-10, 24 V, DC",Mitsubishi,Factory Automation,Display Unit,Human Machine Interface (HMI),"Graphic Touch Terminal, 10.1"" Wide Screen",GT2510-WXTBD,GOT2000,GT2510-WXTBD,"2,15,000.00",96750,Piece,Each,1,,,,,,,Display,TFT,Display Size (Inch),10,Resolution (Pixels),1280X800,Power Supply (V),24 V,Current Type,DC,Protection Class,IP67F,Internal Memory Capacity (MB),32,Memory Card Slot,SD,USB,2,Ethernet Port,2,Network Options,"MODBUS, CCLINK, ETHERNET",,,,18%,,7 Days,,,,,,,1,08-10 Days,
"Mitsubishi GT2512-WXTBD-Graphic Touch Terminal, 12.1"" Wide Screen , Display Size (Inch)-12,1, 24 V, DC",Mitsubishi,Factory Automation,Display Unit,Human Machine Interface (HMI),"Graphic Touch Terminal, 12.1"" Wide Screen",GT2512-WXTBD,GOT2000,GT2512-WXTBD,"2,36,250.00",106312.5,Piece,Each,1,,,,,,,Display,TFT,Display Size (Inch),"12,1",Resolution (Pixels),1280X800,Power Supply (V),24 V,Current Type,DC,Protection Class,IP67F,Internal Memory Capacity (MB),32,Memory Card Slot,SD,USB,2,Ethernet Port,2,Network Options,"MODBUS, ETHERNET",,,,18%,,7 Days,,,,,,,1,08-10 Days,
"Mitsubishi GT2705-VTBD-Graphic Touch Terminal, 5.7"" Wide Screen , Display Size (Inch)-5,7, 24 V, DC",Mitsubishi,Factory Automation,Display Unit,Human Machine Interface (HMI),"Graphic Touch Terminal, 5.7"" Wide Screen",GT2705-VTBD,GOT2000,GT2705-VTBD,"2,00,650.00",90292.5,Piece,Each,1,,,,,,,Display,TFT,Display Size (Inch),"5,7",Resolution (Pixels),640X480,Power Supply (V),24 V,Current Type,DC,Protection Class,IP67F,Internal Memory Capacity (MB),80,Memory Card Slot,SD,USB,3,Ethernet Port,1,Network Options,"MODBUS, PROFIBUS, MELSECNET, ETHERNET, CCLINK",,,,18%,,7 Days,,,,,,,1,08-10 Days,
"Mitsubishi GT2708-STBA-Graphic Touch Terminal, 8.4"" Wide Screen , Display Size (Inch)-8,4, 100-240 V, AC",Mitsubishi,Factory Automation,Display Unit,Human Machine Interface (HMI),"Graphic Touch Terminal, 8.4"" Wide Screen",GT2708-STBA,GOT2000,GT2708-STBA,"2,31,250.00",104062.5,Piece,Each,1,,,,,,,Display,TFT,Display Size (Inch),"8,4",Resolution (Pixels),800X600,Power Supply (V),100-240 V,Current Type,AC,Protection Class,IP67F,Internal Memory Capacity (MB),256,Memory Card Slot,SD,USB,3,Ethernet Port,1,Network Options,"MODBUS, PROFIBUS, MELSECNET, ETHERNET, CCLINK",,,,18%,,7 Days,,,,,,,1,08-10 Days,
"Mitsubishi GT2708-STBA-GF-Graphic Touch Terminal, 8.4"" Wide Screen , Display Size (Inch)-8,4, 100-240 V,AC",Mitsubishi,Factory Automation,Display Unit,Human Machine Interface (HMI),"Graphic Touch Terminal, 8.4"" Wide Screen",GT2708-STBA-GF,GOT2000,GT2708-STBA-GF,"2,54,950.00",114727.5,Piece,Each,1,,,,,,,Display,TFT,Display Size (Inch),"8,4",Resolution (Pixels),800X600,Power Supply (V),100-240 V,Current Type,AC,Protection Class,IP67F,Internal Memory Capacity (MB),256,Memory Card Slot,SD,USB,3,Ethernet Port,1,Network Options,"MODBUS,CCLINK,M'NET,ETH,BUS",,,,18%,,7 Days,,,,,,,1,08-10 Days,
"Mitsubishi GT2708-STBD-Graphic Touch Terminal, 8.4"" Wide Screen , Display Size (Inch)-8,4, 24 V, DC",Mitsubishi,Factory Automation,Display Unit,Human Machine Interface (HMI),"Graphic Touch Terminal, 8.4"" Wide Screen",GT2708-STBD,GOT2000,GT2708-STBD,"2,40,350.00",108157.5,Piece,Each,1,,,,,,,Display,TFT,Display Size (Inch),"8,4",Resolution (Pixels),800X600,Power Supply (V),24 V,Current Type,DC,Protection Class,IP67F,Internal Memory Capacity (MB),128,Memory Card Slot,SD,USB,3,Ethernet Port,1,Network Options,"MODBUS, PROFIBUS, MELSECNET, ETHERNET, CCLINK",,,,18%,,7 Days,,,,,,,1,08-10 Days,
"Mitsubishi GT2708-VTBA-Graphic Touch Terminal, 8.4"" Wide Screen , Display Size (Inch)-8,4, 100-240 V, AC",Mitsubishi,Factory Automation,Display Unit,Human Machine Interface (HMI),"Graphic Touch Terminal, 8.4"" Wide Screen",GT2708-VTBA,GOT2000,GT2708-VTBA,"2,03,250.00",91462.5,Piece,Each,1,,,,,,,Display,TFT,Display Size (Inch),"8,4",Resolution (Pixels),640X480,Power Supply (V),100-240 V,Current Type,AC,Protection Class,IP67F,Internal Memory Capacity (MB),256,Memory Card Slot,SD,USB,3,Ethernet Port,1,Network Options,"MODBUS, PROFIBUS, MELSECNET, ETHERNET, CCLINK",,,,18%,,7 Days,,,,,,,1,08-10 Days,
"Mitsubishi GT2708-VTBA-GF-Graphic Touch Terminal, 8.4"" Wide Screen , Display Size (Inch)-8,4, 100-240 V, AC",Mitsubishi,Factory Automation,Display Unit,Human Machine Interface (HMI),"Graphic Touch Terminal, 8.4"" Wide Screen",GT2708-VTBA-GF,GOT2000,GT2708-VTBA-GF,"2,13,600.00",96120,Piece,Each,1,,,,,,,Display,TFT,Display Size (Inch),"8,4",Resolution (Pixels),640X480,Power Supply (V),100-240 V,Current Type,AC,Protection Class,IP67F,Internal Memory Capacity (MB),256,Memory Card Slot,SD,USB,3,Ethernet Port,1,Network Options,"MODBUS,CCLINK,M'NET,ETH,BUS",,,,18%,,7 Days,,,,,,,1,08-10 Days,
