c1_category,c2_category,leaf_category
Variable Frequency Drive,Three Phase AC Drive,0.75 Kw 3-Phase AC Drive
Variable Frequency Drive,Three Phase AC Drive,1.5 Kw 3-Phase AC Drive
Variable Frequency Drive,Three Phase AC Drive,2.2 Kw 3-Phase AC Drive
Variable Frequency Drive,Three Phase AC Drive,3 Kw 3-Phase AC Drive
Variable Frequency Drive,Three Phase AC Drive,5.5 Kw 3-Phase AC Drive
Variable Frequency Drive,Three Phase AC Drive,7.5 Kw 3-Phase AC Drive
Variable Frequency Drive,Three Phase AC Drive,11 Kw 3-Phase AC Drive
Variable Frequency Drive,Three Phase AC Drive,15 Kw 3-Phase AC Drive
Variable Frequency Drive,Three Phase AC Drive,18.5 Kw 3-Phase AC Drive
Variable Frequency Drive,Three Phase AC Drive,22 Kw 3-Phase AC Drive
Variable Frequency Drive,Three Phase AC Drive,30 Kw 3-Phase AC Drive
Variable Frequency Drive,Three Phase AC Drive,0.75 Kw 3-Phase AC Drive
Variable Frequency Drive,Three Phase AC Drive,1.5 Kw 3-Phase AC Drive
Variable Frequency Drive,Three Phase AC Drive,2.2 Kw 3-Phase AC Drive
Variable Frequency Drive,Three Phase AC Drive,3 Kw 3-Phase AC Drive
Variable Frequency Drive,Three Phase AC Drive,5.5 Kw 3-Phase AC Drive
Variable Frequency Drive,Three Phase AC Drive,7.5 Kw 3-Phase AC Drive
Variable Frequency Drive,Three Phase AC Drive,11 Kw 3-Phase AC Drive
Variable Frequency Drive,Three Phase AC Drive,15 Kw 3-Phase AC Drive
Variable Frequency Drive,Three Phase AC Drive,18.5 Kw 3-Phase AC Drive
Variable Frequency Drive,Three Phase AC Drive,22 Kw 3-Phase AC Drive
Variable Frequency Drive,Three Phase AC Drive,30 Kw 3-Phase AC Drive
Variable Frequency Drive,Three Phase AC Drive,0.75 Kw 3-Phase AC Drive
Variable Frequency Drive,Three Phase AC Drive,1.5 Kw 3-Phase AC Drive
Variable Frequency Drive,Three Phase AC Drive,2.2 Kw 3-Phase AC Drive
Variable Frequency Drive,Three Phase AC Drive,3 Kw 3-Phase AC Drive
Variable Frequency Drive,Three Phase AC Drive,5.5 Kw 3-Phase AC Drive
Variable Frequency Drive,Three Phase AC Drive,7.5 Kw 3-Phase AC Drive
Variable Frequency Drive,Three Phase AC Drive,11 Kw 3-Phase AC Drive
Variable Frequency Drive,Three Phase AC Drive,15 Kw 3-Phase AC Drive
Variable Frequency Drive,Three Phase AC Drive,18.5 Kw 3-Phase AC Drive
Variable Frequency Drive,Three Phase AC Drive,22 Kw 3-Phase AC Drive
Variable Frequency Drive,Three Phase AC Drive,30 Kw 3-Phase AC Drive
Variable Frequency Drive,Three Phase AC Drive,0.75 Kw 3-Phase AC Drive
Variable Frequency Drive,Three Phase AC Drive,1.5 Kw 3-Phase AC Drive
Variable Frequency Drive,Three Phase AC Drive,2.2 Kw 3-Phase AC Drive
Variable Frequency Drive,Three Phase AC Drive,3 Kw 3-Phase AC Drive
Variable Frequency Drive,Three Phase AC Drive,5.5 Kw 3-Phase AC Drive
Variable Frequency Drive,Three Phase AC Drive,7.5 Kw 3-Phase AC Drive
Variable Frequency Drive,Three Phase AC Drive,11 Kw 3-Phase AC Drive
Variable Frequency Drive,Three Phase AC Drive,15 Kw 3-Phase AC Drive
Variable Frequency Drive,Three Phase AC Drive,18.5 Kw 3-Phase AC Drive
Variable Frequency Drive,Three Phase AC Drive,30 Kw 3-Phase AC Drive
Variable Frequency Drive,Three Phase AC Drive,0.75 Kw 3-Phase AC Drive
Variable Frequency Drive,Three Phase AC Drive,1.5 Kw 3-Phase AC Drive
Variable Frequency Drive,Three Phase AC Drive,2.2 Kw 3-Phase AC Drive
Variable Frequency Drive,Three Phase AC Drive,2.2 Kw 3-Phase AC Drive
Variable Frequency Drive,Three Phase AC Drive,5.5 Kw 3-Phase AC Drive
Variable Frequency Drive,Three Phase AC Drive,7.5 Kw 3-Phase AC Drive
Variable Frequency Drive,Three Phase AC Drive,11 Kw 3-Phase AC Drive
Variable Frequency Drive,Three Phase AC Drive,15 Kw 3-Phase AC Drive
Variable Frequency Drive,Three Phase AC Drive,18.5 Kw 3-Phase AC Drive
Variable Frequency Drive,Three Phase AC Drive,30 Kw 3-Phase AC Drive
Variable Frequency Drive,Single Phase AC Drive,0.1 kw Single Phase AC Drive
Variable Frequency Drive,Single Phase AC Drive,0.2 kw Single Phase AC Drive
Variable Frequency Drive,Single Phase AC Drive,0.4 kw Single Phase AC Drive
Variable Frequency Drive,Single Phase AC Drive,0.75 kw Single Phase AC Drive
Variable Frequency Drive,Single Phase AC Drive,1.5 kw Single Phase AC Drive
Variable Frequency Drive,Single Phase AC Drive,0.1 kw Single Phase AC Drive
Variable Frequency Drive,Single Phase AC Drive,0.2 kw Single Phase AC Drive
Variable Frequency Drive,Single Phase AC Drive,0.4 kw Single Phase AC Drive
Variable Frequency Drive,Single Phase AC Drive,0.75 kw Single Phase AC Drive
Variable Frequency Drive,Single Phase AC Drive,1.5 kw Single Phase AC Drive
