name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Siemens 5SL6105-7RC- MCB 0.5A, 1-Pole, C characteristic,7.5 kA",Siemens,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 0.5A 1-Pole, C characteristic,7.5 kA",5SL6105-7RC,5SL,5SL6105-7RC,,523,Piece,1 Pack of 12,1,"Siemens 5SL6105-7RC- MCB 0.5A, 1-Pole, C characteristic,7.5 kA",,,,,,Current Rating,0.5A,No of Pole,1 Pole,Type,C-Curve,Switching Capacity Current,7.5 kA,Supply Voltage,240/415V AC,Frequency,50…60Hz,Protection Class IP,"IP20, With Connected Conductors",Degree of Pollution,2,Overvoltage Category,III,,,,,1724133228-Product-seimens single pole.PNG,,,18%,,,,,18 mm,90 mm,76 mm,,1,8-10 Days,
"Siemens 5SL6101-7RC- MCB 1A, 1-Pole, C characteristic,7.5 kA",Siemens,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 1A 1-Pole, C characteristic,7.5 kA",5SL6101-7RC,5SL,5SL6101-7RC,,523,Piece,1 Pack of 12,1,"Siemens 5SL6101-7RC- MCB 1A, 1-Pole, C characteristic,7.5 kA",,,,,,Current Rating,1A,No of Pole,1 Pole,Type,C-Curve,Switching Capacity Current,7.5 kA,Supply Voltage,240/415V AC,Frequency,50…60Hz,Protection Class IP,"IP20, With Connected Conductors",Degree of Pollution,2,Overvoltage Category,III,,,,,1724133228-Product-seimens single pole.PNG,,,18%,,,,,,,,,1,8-10 Days,
"Siemens 5SL6102-7RC- MCB 2A, 1-Pole, C characteristic,7.5 kA",Siemens,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 2A 1-Pole, C characteristic,7.5 kA",5SL6102-7RC,5SL,5SL6102-7RC,,523,Piece,1 Pack of 12,1,"Siemens 5SL6102-7RC- MCB 2A, 1-Pole, C characteristic,7.5 kA",,,,,,Current Rating,2A,No of Pole,1 Pole,Type,C-Curve,Switching Capacity Current,7.5 kA,Supply Voltage,240/415V AC,Frequency,50…60Hz,Protection Class IP,"IP20, With Connected Conductors",Degree of Pollution,2,Overvoltage Category,III,,,,,1724133228-Product-seimens single pole.PNG,,,18%,,,,,,,,,1,8-10 Days,
"Siemens 5SL6103-7RC- MCB 3A, 1-Pole, C characteristic,7.5 kA",Siemens,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 3A 1-Pole, C characteristic,7.5 kA",5SL6103-7RC,5SL,5SL6103-7RC,,523,Piece,1 Pack of 12,1,"Siemens 5SL6103-7RC- MCB 3A, 1-Pole, C characteristic,7.5 kA",,,,,,Current Rating,3A,No of Pole,1 Pole,Type,C-Curve,Switching Capacity Current,7.5 kA,Supply Voltage,240/415V AC,Frequency,50…60Hz,Protection Class IP,"IP20, With Connected Conductors",Degree of Pollution,2,Overvoltage Category,III,,,,,1724133228-Product-seimens single pole.PNG,,,18%,,,,,,,,,1,8-10 Days,
"Siemens 5SL6104-7RC- MCB 4A, 1-Pole, C characteristic,7.5 kA",Siemens,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 4A 1-Pole, C characteristic,7.5 kA",5SL6104-7RC,5SL,5SL6104-7RC,,523,Piece,1 Pack of 12,1,"Siemens 5SL6104-7RC- MCB 4A, 1-Pole, C characteristic,7.5 kA",,,,,,Current Rating,4A,No of Pole,1 Pole,Type,C-Curve,Switching Capacity Current,7.5 kA,Supply Voltage,240/415V AC,Frequency,50…60Hz,Protection Class IP,"IP20, With Connected Conductors",Degree of Pollution,2,Overvoltage Category,III,,,,,1724133228-Product-seimens single pole.PNG,,,18%,,,,,,,,,1,8-10 Days,
"Siemens 5SL6106-7RC- MCB 6A, 1-Pole, C characteristic,7.5 kA",Siemens,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 6A 1-Pole, C characteristic,7.5 kA",5SL6106-7RC,5SL,5SL6106-7RC,,324,Piece,1 Pack of 12,1,"Siemens 5SL6106-7RC- MCB 6A, 1-Pole, C characteristic,7.5 kA",,,,,,Current Rating,6A,No of Pole,1 Pole,Type,C-Curve,Switching Capacity Current,7.5 kA,Supply Voltage,240/415V AC,Frequency,50…60Hz,Protection Class IP,"IP20, With Connected Conductors",Degree of Pollution,2,Overvoltage Category,III,,,,,1724133228-Product-seimens single pole.PNG,,,18%,,,,,,,,,1,8-10 Days,
"Siemens 5SL6108-7RC- MCB 8A, 1-Pole, C characteristic,7.5 kA",Siemens,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 8A 1-Pole, C characteristic,7.5 kA",5SL6108-7RC,5SL,5SL6108-7RC,,324,Piece,1 Pack of 12,1,"Siemens 5SL6108-7RC- MCB 8A, 1-Pole, C characteristic,7.5 kA",,,,,,Current Rating,8A,No of Pole,1 Pole,Type,C-Curve,Switching Capacity Current,7.5 kA,Supply Voltage,240/415V AC,Frequency,50…60Hz,Protection Class IP,"IP20, With Connected Conductors",Degree of Pollution,2,Overvoltage Category,III,,,,,1724133228-Product-seimens single pole.PNG,,,18%,,,,,,,,,1,8-10 Days,
"Siemens 5SL6110-7RC- MCB 10A, 1-Pole, C characteristic,7.5 kA",Siemens,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 10A 1-Pole, C characteristic,7.5 kA",5SL6110-7RC,5SL,5SL6110-7RC,,324,Piece,1 Pack of 12,1,"Siemens 5SL6110-7RC- MCB 10A, 1-Pole, C characteristic,7.5 kA",,,,,,Current Rating,10A,No of Pole,1 Pole,Type,C-Curve,Switching Capacity Current,7.5 kA,Supply Voltage,240/415V AC,Frequency,50…60Hz,Protection Class IP,"IP20, With Connected Conductors",Degree of Pollution,2,Overvoltage Category,III,,,,,1724133228-Product-seimens single pole.PNG,,,18%,,,,,,,,,1,8-10 Days,
"Siemens 5SL6113-7RC- MCB 13A, 1-Pole, C characteristic,7.5 kA",Siemens,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 13A 1-Pole, C characteristic,7.5 kA",5SL6113-7RC,5SL,5SL6113-7RC,,324,Piece,1 Pack of 12,1,"Siemens 5SL6113-7RC- MCB 13A, 1-Pole, C characteristic,7.5 kA",,,,,,Current Rating,13A,No of Pole,1 Pole,Type,C-Curve,Switching Capacity Current,7.5 kA,Supply Voltage,240/415V AC,Frequency,50…60Hz,Protection Class IP,"IP20, With Connected Conductors",Degree of Pollution,2,Overvoltage Category,III,,,,,1724133228-Product-seimens single pole.PNG,,,18%,,,,,,,,,1,8-10 Days,
"Siemens 5SL6116-7RC- MCB 16A, 1-Pole, C characteristic,7.5 kA",Siemens,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 16A 1-Pole, C characteristic,7.5 kA",5SL6116-7RC,5SL,5SL6116-7RC,,324,Piece,1 Pack of 12,1,"Siemens 5SL6116-7RC- MCB 16A, 1-Pole, C characteristic,7.5 kA",,,,,,Current Rating,16A,No of Pole,1 Pole,Type,C-Curve,Switching Capacity Current,7.5 kA,Supply Voltage,240/415V AC,Frequency,50…60Hz,Protection Class IP,"IP20, With Connected Conductors",Degree of Pollution,2,Overvoltage Category,III,,,,,1724133228-Product-seimens single pole.PNG,,,18%,,,,,,,,,1,8-10 Days,
