c1_category,c2_category,leaf_category
Display Unit,HMI Accessories,GOT Protection Sheet
Display Unit,HMI Accessories,GOT Protection Sheet
Display Unit,HMI Accessories,CF Card with 1GB Memory
Display Unit,HMI Accessories,CF Card with 2GB Memory
Display Unit,HMI Accessories,CF Card with 1GB Memory
Display Unit,HMI Accessories,CF Card with 512GB Memory
Display Unit,HMI Accessories,GOT Connector Box
Display Unit,HMI Accessories,GOT Protection Sheet
Display Unit,HMI Accessories,GOT Protection Sheet
Display Unit,HMI Accessories,GOT Protection Sheet
Display Unit,HMI Accessories,GOT Protection Sheet
Display Unit,HMI Accessories,GOT Protection Sheet
Display Unit,HMI Accessories,GOT Protection Sheet
Display Unit,HMI Accessories,"Extra Mounting Clips for GT27/25 10"" ATEX Models"
Display Unit,HMI Accessories,GOT Protection Sheet
Display Unit,HMI Accessories,GOT Protection Sheet
Display Unit,HMI Accessories,GOT Protection Sheet
Display Unit,HMI Accessories,"Extra Mounting Clips for GT27/25 12"" ATEX Models"
Display Unit,HMI Accessories,GOT Protection Sheet
Display Unit,HMI Accessories,GOT Protection Sheet
Display Unit,HMI Accessories,GOT Protection Sheet
Display Unit,HMI Accessories,GOT Protection Sheet
Display Unit,HMI Accessories,Ethernet Option Unit for GT27/GT25
Display Unit,HMI Accessories,GOT USB Cover
Display Unit,HMI Accessories,GOT Protection Sheet
Display Unit,HMI Accessories,GOT Protection Sheet
Display Unit,HMI Accessories,GOT Protection Sheet
Display Unit,HMI Accessories,GOT Protection Sheet
Display Unit,HMI Accessories,GOT Protection Sheet
Display Unit,HMI Accessories,GOT Protection Sheet
Display Unit,HMI Accessories,GOT Protection Sheet
Display Unit,HMI Accessories,GOT Protection Sheet
Display Unit,HMI Accessories,"Multimedia Unit, Video Input(NTSC/PAL)"
Display Unit,HMI Accessories,"Video Output Unit, 1x RGB"
Display Unit,HMI Accessories,"Video Input Unit, 4x NTSC/PAL"
Display Unit,HMI Accessories,"Video Input Unit, 4x NTSC/PAL"
Display Unit,HMI Accessories,"Video Output Unit, 1xHDMI"
Display Unit,HMI Accessories,GOT Connection Cable for CPU (MELSEC FX series) and GOT1000-Series HMIs
Display Unit,HMI Accessories,GOT RS-422 Connection Cable to MELSEC iQ-R
Display Unit,HMI Accessories,GOT Protection Sheet
Display Unit,HMI Accessories,USB Dongle for GT Soft GOT
Display Unit,HMI Accessories,"MES Functionality, 1 Licence"
