name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Mitsubishi FR-CS-82S-025-60 - Single Phase AC Drive, Capacity-0.4 kw(0.5Hp), O/P Current-2.5 Amp",Mitsubishi,Factory Automation,Variable Frequency Drive,Single Phase AC Drive,"Single Phase AC Drive, Capacity-0.4 kw(0.5Hp), O/P Current-2.5 Amp",FR-CS-82S-025-60,FR-CS80,FR-CS-82S-025-60,"18,000.00",8100,Piece,Each,1,,,,,,,Type,FR-CS82 Compact Inverter,Current Type,AC,Phase,Single,Rated Current,2.5 Amp,Rated Power,0.4 kw,Motor Type,Induction Motor,Display,FR-LU08,PLC Function,NO,USB,NO,Ethernet Port,NO,Built-In Network,MODBUS-RTU,1724235409-Product-VFD.PNG,,,18%,,7Days,,,,,,,1,08-10 Days,
"Mitsubishi FR-CS-82S-042-60 - Single Phase AC Drive, Capacity-0.75 kw(1Hp), O/P Current-4.2 Amp",Mitsubishi,Factory Automation,Variable Frequency Drive,Single Phase AC Drive,"Single Phase AC Drive, Capacity-0.75 kw(1Hp), O/P Current-4.2 Amp",FR-CS-82S-042-60,FR-CS80,FR-CS-82S-042-60,"19,700.00",8865,Piece,Each,1,,,,,,,Type,FR-CS82 Compact Inverter,Current Type,AC,Phase,Single,Rated Current,4.2 Amp,Rated Power,0.75 kw,Motor Type,Induction Motor,Display,FR-LU08,PLC Function,NO,USB,NO,Ethernet Port,NO,Built-In Network,MODBUS-RTU,1724235409-Product-VFD.PNG,,,18%,,7Days,,,,,,,1,08-10 Days,
"Mitsubishi FR-CS-82S-070-60 - Single Phase AC Drive, Capacity-1.5 kw(2Hp), O/P Current-7 Amp",Mitsubishi,Factory Automation,Variable Frequency Drive,Single Phase AC Drive,"Single Phase AC Drive, Capacity-1.5 kw(2Hp), O/P Current-7 Amp",FR-CS-82S-070-60,FR-CS80,FR-CS-82S-070-60,"28,350.00",12757.5,Piece,Each,1,,,,,,,Type,FR-CS82 Compact Inverter,Current Type,AC,Phase,Single,Rated Current,7 Amp,Rated Power,1.5 kw,Motor Type,Induction Motor,Display,FR-LU08,PLC Function,NO,USB,NO,Ethernet Port,NO,Built-In Network,MODBUS-RTU,1724235409-Product-VFD.PNG,,,18%,,7Days,,,,,,,1,08-10 Days,
"Mitsubishi FR-CS-82S-100-60 - Single Phase AC Drive, Capacity-2.2 kw(3Hp), O/P Current-10 Amp",Mitsubishi,Factory Automation,Variable Frequency Drive,Single Phase AC Drive,"Single Phase AC Drive, Capacity-2.2 kw(3Hp), O/P Current-10 Amp",FR-CS-82S-100-60,FR-CS80,FR-CS-82S-100-60,"33,350.00",15007.5,Piece,Each,1,,,,,,,Type,FR-CS82 Compact Inverter,Current Type,AC,Phase,Single,Rated Current,10 Amp,Rated Power,2.2 kw,Motor Type,Induction Motor,Display,FR-LU08,PLC Function,NO,USB,NO,Ethernet Port,NO,Built-In Network,MODBUS-RTU,1724235409-Product-VFD.PNG,,,18%,,7Days,,,,,,,1,08-10 Days,
"Mitsubishi FR-CS84-012-60 - Three Phase AC Drive, Capacity-0.4 kw(0.5Hp), O/P Current-1.2 Amp",Mitsubishi,Factory Automation,Variable Frequency Drive,Three Phase AC Drive,"Three Phase AC Drive, Capacity-0.4 kw(0.5Hp), O/P Current-1.2 Amp",FR-CS84-012-60,FR-CS80,FR-CS84-012-60,"25,600.00",11520,Piece,Each,1,,,,,,,Type,FR-CS84 Compact Inverter,Current Type,AC,Phase,Three,Rated Current,1.2 Amp,Rated Power,0.4 kw,Motor Type,Induction Motor,Display,FR-LU08,PLC Function,NO,USB,NO,Ethernet Port,NO,Built-In Network,MODBUS-RTU,1724235409-Product-VFD.PNG,,,18%,,7Days,,,,,,,1,08-10 Days,
"Mitsubishi FR-CS84-022-60 - Three Phase AC Drive, Capacity-0.75 kw(1Hp), O/P Current-2.2 Amp",Mitsubishi,Factory Automation,Variable Frequency Drive,Three Phase AC Drive,"Three Phase AC Drive, Capacity-0.75 kw(1Hp), O/P Current-2.2 Amp",FR-CS84-022-60,FR-CS80,FR-CS84-022-60,"27,300.00",12285,Piece,Each,1,,,,,,,Type,FR-CS84 Compact Inverter,Current Type,AC,Phase,Three,Rated Current,2.2 Amp,Rated Power,0.75 kw,Motor Type,Induction Motor,Display,FR-LU08,PLC Function,NO,USB,NO,Ethernet Port,NO,Built-In Network,MODBUS-RTU,1724235409-Product-VFD.PNG,,,18%,,7Days,,,,,,,1,08-10 Days,
"Mitsubishi FR-CS84-036-60 - Three Phase AC Drive, Capacity-1.5 kw(2Hp), O/P Current-3.6 Amp",Mitsubishi,Factory Automation,Variable Frequency Drive,Three Phase AC Drive,"Three Phase AC Drive, Capacity-1.5 kw(2Hp), O/P Current-3.6 Amp",FR-CS84-036-60,FR-CS80,FR-CS84-036-60,"32,300.00",14535,Piece,Each,1,,,,,,,Type,FR-CS84 Compact Inverter,Current Type,AC,Phase,Three,Rated Current,3.6 Amp,Rated Power,1.5 kw,Motor Type,Induction Motor,Display,FR-LU08,PLC Function,NO,USB,NO,Ethernet Port,NO,Built-In Network,MODBUS-RTU,1724235409-Product-VFD.PNG,,,18%,,7Days,,,,,,,1,08-10 Days,
"Mitsubishi FR-CS84-050-60 - Three Phase AC Drive, Capacity-2.2 kw(3Hp), O/P Current-5.0 Amp",Mitsubishi,Factory Automation,Variable Frequency Drive,Three Phase AC Drive,"Three Phase AC Drive, Capacity-2.2 kw(3Hp), O/P Current-5.0 Amp",FR-CS84-050-60,FR-CS80,FR-CS84-050-60,"38,250.00",17212.5,Piece,Each,1,,,,,,,Type,FR-CS84 Compact Inverter,Current Type,AC,Phase,Three,Rated Current,5.0 Amp,Rated Power,2.2 kw,Motor Type,Induction Motor,Display,FR-LU08,PLC Function,NO,USB,NO,Ethernet Port,NO,Built-In Network,MODBUS-RTU,1724235409-Product-VFD.PNG,,,18%,,7Days,,,,,,,1,08-10 Days,
"Mitsubishi FR-CS84-080-60 - Three Phase AC Drive, Capacity-3.7 kw(5Hp), O/P Current-8 Amp",Mitsubishi,Factory Automation,Variable Frequency Drive,Three Phase AC Drive,"Three Phase AC Drive, Capacity-3.7 kw(5Hp), O/P Current-8 Amp",FR-CS84-080-60,FR-CS80,FR-CS84-080-60,"47,500.00",21375,Piece,Each,1,,,,,,,Type,FR-CS84 Compact Inverter,Current Type,AC,Phase,Three,Rated Current,8 Amp,Rated Power,3.7 kw,Motor Type,Induction Motor,Display,FR-LU08,PLC Function,NO,USB,NO,Ethernet Port,NO,Built-In Network,MODBUS-RTU,1724235409-Product-VFD.PNG,,,18%,,7Days,,,,,,,1,08-10 Days,
"Mitsubishi FR-CS84-120-60 - Three Phase AC Drive, Capacity-5.5 kw(7.5Hp), O/P Current-12 Amp",Mitsubishi,Factory Automation,Variable Frequency Drive,Three Phase AC Drive,"Three Phase AC Drive, Capacity-5.5 kw(7.5Hp), O/P Current-12 Amp",FR-CS84-120-60,FR-CS80,FR-CS84-120-60,"54,400.00",24480,Piece,Each,1,,,,,,,Type,FR-CS84 Compact Inverter,Current Type,AC,Phase,Three,Rated Current,12 Amp,Rated Power,5.5 kw,Motor Type,Induction Motor,Display,FR-LU08,PLC Function,NO,USB,NO,Ethernet Port,NO,Built-In Network,MODBUS-RTU,1724235409-Product-VFD.PNG,,,18%,,7Days,,,,,,,1,08-10 Days,
