c1_category,c2_category,leaf_category
Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 0.4 kW
Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 0.75 kW
Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 1.5 kW
Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 2.2 kW
Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 3.7 kW
Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 5.5 kW
Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 7.5 kW
Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 11 kW
Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 15 kW
Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 18.5 kW
Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 22 kW
Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 30 kW
Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 37 kW
Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 45 kW
Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 55 kW
Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 75 kW
Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 90 kW
Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 110 kW
Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 132 kW
Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 160 kW
Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 185 kW
Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 220 kW
Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 250 kW
Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 280 kW
Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 315 kW
Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 355 kW
Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 400 kw
Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 450 kW
Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 500 kW
Variable Frequency Drive,Rectifier,AC/DC Rectifier
Variable Frequency Drive,Rectifier,AC/DC Rectifier
Variable Frequency Drive,Rectifier,AC/DC Rectifier
Variable Frequency Drive,Rectifier,AC/DC Rectifier
Variable Frequency Drive,Rectifier,AC/DC Rectifier
Variable Frequency Drive,Rectifier,AC/DC Rectifier
Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 0.75 kW
Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 1.5 kW
Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 2.2 kW
Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 3.7 kW
Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 5.5 kW
Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 7.5 kW
Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 11 kW
Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 15 kW
Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 18.5 kW
Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 22 kW
Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 30 kW
Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 37 kW
Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 45 kW
Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 55 kW
Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 90 kW
Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 110 kW
Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 132 kW
Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 160 kW
Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 185 kW
Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 220 kW
Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 250 kW
Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 280 kW
Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 315 kW
Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 355 kW
