name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Mitsubishi FR-A840-00023-2-60 Series A800 3- Phase, 0.4kW, 1.5A, 400/415 VAC, IP20, Constant Torque",Mitsubishi Electric,Factory Automation,Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 0.4 kW,FR-A840-00023-2-60,A800,FR-A840-00023-2-60,"69,450",31252.5,Piece,Each,1,"Mitsubishi FR-A840-00023-2-60 Series A800 3- Phase, 0.4kW, 1.5A, 400/415 VAC, IP20, Constant Torque",,,,,,No of Phase,3-Phase,Supply Voltage,400/415 VAC,Type of Product,Inverter (VFD),Power Rating,0.4 kW,IP Rating,IP20,Duty,Constant Torque,Current Rating,1.5 A,,,,,,,,,1724226196-Product-vfd 6.PNG,,,18%,,7 Days,,,150 mm,260 mm,140 mm,2.8 kg,1,8-10 Days,
"Mitsubish FR-A840-00038-2-60 Series A800 3-Phase, 0.75 kW, 2.5 A, 400/415 VAC, IP20, Constant Torque",Mitsubishi Electric,Factory Automation,Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 0.75 kW,FR-A840-00038-2-60,A800,FR-A840-00038-2-60,"72,200",32490,Piece,Each,1,"Mitsubish FR-A840-00038-2-60 Series A800 3-Phase, 0.75 kW, 2.5 A, 400/415 VAC, IP20, Constant Torque",,,,,,No of Phase,3-Phase,Supply Voltage,400/415 VAC,Type of Product,Inverter (VFD),Power Rating,0.75 kW,IP Rating,IP20,Duty,Constant Torque,Current Rating,2.5 A,,,,,,,,,1724226196-Product-vfd 6.PNG,,,18%,,7 Days,,,150 mm,260 mm,140 mm,2.8 kg,1,8-10 Days,
"Mitsubish FR-A840-00052-2-60 Series A800 3-Phase, 1.5 kW, 4 A, 400/415 VAC, IP20, Constant Torque",Mitsubishi Electric,Factory Automation,Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 1.5 kW,FR-A840-00052-2-60,A800,FR-A840-00052-2-60,"76,050",34222.5,Piece,Each,1,"Mitsubish FR-A840-00052-2-60 Series A800 3-Phase, 1.5 kW, 4 A, 400/415 VAC, IP20, Constant Torque",,,,,,No of Phase,3-Phase,Supply Voltage,400/415 VAC,Type of Product,Inverter (VFD),Power Rating,1.5 kW,IP Rating,IP20,Duty,Constant Torque,Current Rating,4:00 AM,,,,,,,,,1724226196-Product-vfd 6.PNG,,,18%,,7 Days,,,150 mm,260 mm,140 mm,2.8 kg,1,8-10 Days,
"Mitsubish FR-A840-00083-2-60 Series A800 3-Phase, 2.2 kW, 6 A, 400/415 VAC, IP20, Constant Torque",Mitsubishi Electric,Factory Automation,Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 2.2 kW,FR-A840-00083-2-60,A800,FR-A840-00083-2-60,"87,650",39442.5,Piece,Each,1,"Mitsubish FR-A840-00083-2-60 Series A800 3-Phase, 2.2 kW, 6 A, 400/415 VAC, IP20, Constant Torque",,,,,,No of Phase,3-Phase,Supply Voltage,400/415 VAC,Type of Product,Inverter (VFD),Power Rating,2.2 kW,IP Rating,IP20,Duty,Constant Torque,Current Rating,6:00 AM,,,,,,,,,1724226196-Product-vfd 6.PNG,,,18%,,7 Days,,,150 mm,260 mm,140 mm,3.3 kg,1,8-10 Days,
"Mitsubish FR-A840-00126-2-60 Series A800 3-Phase, 3.7 kW, 9 A, 400/415 VAC, IP20, Constant Torque",Mitsubishi Electric,Factory Automation,Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 3.7 kW,FR-A840-00126-2-60,A800,FR-A840-00126-2-60,"91,500",41175,Piece,Each,1,"Mitsubish FR-A840-00126-2-60 Series A800 3-Phase, 3.7 kW, 9 A, 400/415 VAC, IP20, Constant Torque",,,,,,No of Phase,3-Phase,Supply Voltage,400/415 VAC,Type of Product,Inverter (VFD),Power Rating,3.7 kW,IP Rating,IP20,Duty,Constant Torque,Current Rating,9:00 AM,,,,,,,,,1724226196-Product-vfd 6.PNG,,,18%,,7 Days,,,150 mm,260 mm,140 mm,3.3 kg,1,8-10 Days,
"Mitsubish FR-A840-00170-2-60 Series A800 3-Phase, 5.5 kW, 12 A, 400/415 VAC, IP20, Constant Torque",Mitsubishi Electric,Factory Automation,Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 5.5 kW,FR-A840-00170-2-60,A800,FR-A840-00170-2-60,"1,09,150",49117.5,Piece,Each,1,"Mitsubish FR-A840-00170-2-60 Series A800 3-Phase, 5.5 kW, 12 A, 400/415 VAC, IP20, Constant Torque",,,,,,No of Phase,3-Phase,Supply Voltage,400/415 VAC,Type of Product,Inverter (VFD),Power Rating,5.5 kW,IP Rating,IP20,Duty,Constant Torque,Current Rating,12:00 AM,,,,,,,,,1724226196-Product-vfd 6.PNG,,,18%,,7 Days,,,220 mm,260 mm,170 mm,6.7 kg,1,8-10 Days,
"Mitsubish FR-A840-00250-2-60 Series A800 3-Phase, 7.5 kW, 17 A, 400/415 VAC, IP20, Constant Torque",Mitsubishi Electric,Factory Automation,Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 7.5 kW,FR-A840-00250-2-60,A800,FR-A840-00250-2-60,"1,18,500",53325,Piece,Each,1,"Mitsubish FR-A840-00250-2-60 Series A800 3-Phase, 7.5 kW, 17 A, 400/415 VAC, IP20, Constant Torque",,,,,,No of Phase,3-Phase,Supply Voltage,400/415 VAC,Type of Product,Inverter (VFD),Power Rating,7.5 kW,IP Rating,IP20,Duty,Constant Torque,Current Rating,17 A,,,,,,,,,1724226196-Product-vfd 6.PNG,,,18%,,7 Days,,,220 mm,260 mm,170 mm,6.7 kg,1,8-10 Days,
"Mitsubish FR-A840-00310-2-60 Series A800 3-Phase, 11 kW, 23 A, 400/415 VAC, IP20, Constant Torque",Mitsubishi Electric,Factory Automation,Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 11 kW,FR-A840-00310-2-60,A800,FR-A840-00310-2-60,"1,21,150",54517.5,Piece,Each,1,"Mitsubish FR-A840-00310-2-60 Series A800 3-Phase, 11 kW, 23 A, 400/415 VAC, IP20, Constant Torque",,,,,,No of Phase,3-Phase,Supply Voltage,400/415 VAC,Type of Product,Inverter (VFD),Power Rating,11 kW,IP Rating,IP20,Duty,Constant Torque,Current Rating,23 A,,,,,,,,,1724226196-Product-vfd 6.PNG,,,18%,,7 Days,,,220 mm,300 mm,190 mm,8.3 kg,1,8-10 Days,
"Mitsubish FR-A840-00380-2-60 Series A800 3-Phase, 15 kW, 31 A, 400/415 VAC, IP20, Constant Torque",Mitsubishi Electric,Factory Automation,Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 15 kW,FR-A840-00380-2-60,A800,FR-A840-00380-2-60,"1,34,950",60727.5,Piece,Each,1,"Mitsubish FR-A840-00380-2-60 Series A800 3-Phase, 15 kW, 31 A, 400/415 VAC, IP20, Constant Torque",,,,,,No of Phase,3-Phase,Supply Voltage,400/415 VAC,Type of Product,Inverter (VFD),Power Rating,15 kW,IP Rating,IP20,Duty,Constant Torque,Current Rating,31 A,,,,,,,,,1724226196-Product-vfd 6.PNG,,,18%,,7 Days,,,220 mm,300 mm,190 mm,8.3 kg,1,8-10 Days,
"Mitsubish FR-A840-00470-2-60 Series A800 3-Phase, 18.5 kW, 38 A, 400/415 VAC, IP20, Constant Torque",Mitsubishi Electric,Factory Automation,Variable Frequency Drive,Three Phase AC Drive,Three Phase AC Drive 18.5 kW,FR-A840-00470-2-60,A800,FR-A840-00470-2-60,"1,74,250",78412.5,Piece,Each,1,"Mitsubish FR-A840-00470-2-60 Series A800 3-Phase, 18.5 kW, 38 A, 400/415 VAC, IP20, Constant Torque",,,,,,No of Phase,3-Phase,Supply Voltage,400/415 VAC,Type of Product,Inverter (VFD),Power Rating,18.5 kW,IP Rating,IP20,Duty,Constant Torque,Current Rating,38 A,,,,,,,,,1724226196-Product-vfd 6.PNG,,,18%,,7 Days,,,250 mm,400 mm,190 mm,15 kg,1,8-10 Days,
