c1_category,c2_category,leaf_category
Variable Frequency Drive,Single Phase AC Drive,0.1 kw Single Phase AC Drive
Variable Frequency Drive,Single Phase AC Drive,0.2 kw Single Phase AC Drive
Variable Frequency Drive,Single Phase AC Drive,0.4 kw Single Phase AC Drive
Variable Frequency Drive,Single Phase AC Drive,0.75 kw Single Phase AC Drive
Variable Frequency Drive,Single Phase AC Drive,1.5 kw Single Phase AC Drive
Variable Frequency Drive,Single Phase AC Drive,0.1 kw Single Phase AC Drive
Variable Frequency Drive,Single Phase AC Drive,0.2 kw Single Phase AC Drive
Variable Frequency Drive,Single Phase AC Drive,0.4 kw Single Phase AC Drive
Variable Frequency Drive,Single Phase AC Drive,0.75 kw Single Phase AC Drive
Variable Frequency Drive,Single Phase AC Drive,1.5 kw Single Phase AC Drive
Variable Frequency Drive,Single Phase AC Drive,0.1 kw Single Phase AC Drive
Variable Frequency Drive,Single Phase AC Drive,0.2 kw Single Phase AC Drive
Variable Frequency Drive,Single Phase AC Drive,0.4 kw Single Phase AC Drive
Variable Frequency Drive,Single Phase AC Drive,0.75 kw Single Phase AC Drive
Variable Frequency Drive,Single Phase AC Drive,1.5 kw Single Phase AC Drive
