name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Mitsubishi FR-E820S-0008EPB-60- Series- FR-E800, 0.1 kw Single Phase AC Drive, 240 V",Mitsubishi Electric,Factory Automation,Variable Frequency Drive,Single Phase AC Drive,0.1 kw Single Phase AC Drive,FR-E820S-0008EPB-60,FR-E800,FR-E820S-0008EPB-60,"44,550",20047.5,Piece,Each,1,"Mitsubishi FR-E820S-0008EPB-60- Series- FR-E800, 0.1 kw Single Phase AC Drive, 240 V",,,,,,Phases,1,Program Memory,2K,Program Memory Unit,STEPS,Integrated Digital Inputs,2,Leakage Current,1.2 mA,Digital Outputs,1 Relay,Ethernet Port,2,Built-In Network,"CC-LINK IE TSN, PROFINET, MODBUS/TCP, CC-LINK IE FIELD BASIC",Frequency Range,0.2-590 Hz,Protection Class,IP20,USB,1 (MINI B),1724216759-Product-vfd 1.PNG,,,18%,,7 Days,,,68 mm,128 mm,80.5 mm,0.5 kg,1,8-10 Days,
"Mitsubishi FR-E820S-0015EPB-60- Series- FR-E800, 0.2 kw Single Phase AC Drive, 240 V",Mitsubishi Electric,Factory Automation,Variable Frequency Drive,Single Phase AC Drive,0.2 kw Single Phase AC Drive,FR-E820S-0015EPB-60,FR-E800,FR-E820S-0015EPB-60,"48,800",21960,Piece,Each,1,"Mitsubishi FR-E820S-0015EPB-60- Series- FR-E800, 0.2 kw Single Phase AC Drive, 240 V",,,,,,Phases,1,Program Memory,2K,Program Memory Unit,STEPS,Integrated Digital Inputs,2,Leakage Current,1.2 mA,Digital Outputs,1 Relay,Ethernet Port,2,Built-In Network,"CC-LINK IE TSN, PROFINET, MODBUS/TCP, CC-LINK IE FIELD BASIC",Frequency Range,0.2-590 Hz,Protection Class,IP20,USB,1 (MINI B),1724217167-Product-vfd 2.PNG,,,18%,,7 Days,,,68 mm,128 mm,80.5 mm,0.5 kg,1,8-10 Days,
"Mitsubishi FR-E820S-0030EPB-60- Series- FR-E800, 0.4 kw Single Phase AC Drive, 240 V",Mitsubishi Electric,Factory Automation,Variable Frequency Drive,Single Phase AC Drive,0.4 kw Single Phase AC Drive,FR-E820S-0030EPB-60,FR-E800,FR-E820S-0030EPB-60,"51,550",23197.5,Piece,Each,1,"Mitsubishi FR-E820S-0030EPB-60- Series- FR-E800, 0.4 kw Single Phase AC Drive, 240 V",,,,,,Phases,1,Program Memory,2K,Program Memory Unit,STEPS,Integrated Digital Inputs,2,Leakage Current,1.2 mA,Digital Outputs,1 Relay,Ethernet Port,2,Built-In Network,"CC-LINK IE TSN, PROFINET, MODBUS/TCP, CC-LINK IE FIELD BASIC",Frequency Range,0.2-590 Hz,Protection Class,IP20,USB,1 (MINI B),1724217167-Product-vfd 2.PNG,,,18%,,7 Days,,,68 mm,128 mm,142.5 mm,0.8 kg,1,8-10 Days,
"Mitsubishi FR-E820S-0050EPB-60- Series- FR-E800, 0.75 kw Single Phase AC Drive, 240 V",Mitsubishi Electric,Factory Automation,Variable Frequency Drive,Single Phase AC Drive,0.75 kw Single Phase AC Drive,FR-E820S-0050EPB-60,FR-E800,FR-E820S-0050EPB-60,"57,250",25762.5,Piece,Each,1,"Mitsubishi FR-E820S-0050EPB-60- Series- FR-E800, 0.75 kw Single Phase AC Drive, 240 V",,,,,,Phases,1,Program Memory,2K,Program Memory Unit,STEPS,Integrated Digital Inputs,2,Leakage Current,1.2 mA,Digital Outputs,1 Relay,Ethernet Port,2,Built-In Network,"CC-LINK IE TSN, PROFINET, MODBUS/TCP, CC-LINK IE FIELD BASIC",Frequency Range,0.2-590 Hz,Protection Class,IP20,USB,1 (MINI B),1724217326-Product-vfd 3.PNG,,,18%,,7 Days,,,108 mm,128 mm,135 mm,1.3 kg,1,8-10 Days,
"Mitsubishi FR-E820S-0080EPB-60- Series- FR-E800, 1.5 kw Single Phase AC Drive, 240 V",Mitsubishi Electric,Factory Automation,Variable Frequency Drive,Single Phase AC Drive,1.5 kw Single Phase AC Drive,FR-E820S-0080EPB-60,FR-E800,FR-E820S-0080EPB-60,"72,550",32647.5,Piece,Each,1,"Mitsubishi FR-E820S-0080EPB-60- Series- FR-E800, 1.5 kw Single Phase AC Drive, 240 V",,,,,,Phases,1,Program Memory,2K,Program Memory Unit,STEPS,Integrated Digital Inputs,2,Leakage Current,1.2 mA,Digital Outputs,1 Relay,Ethernet Port,2,Built-In Network,"CC-LINK IE TSN, PROFINET, MODBUS/TCP, CC-LINK IE FIELD BASIC",Frequency Range,0.2-590 Hz,Protection Class,IP20,USB,1 (MINI B),1724217326-Product-vfd 3.PNG,,,18%,,7 Days,,,108 mm,128 mm,161 mm,1.4 kg,1,8-10 Days,
"Mitsubishi FR-E820S-0008SCEPA-60- Series- FR-E800, 0.1 kw Single Phase AC Drive, 240 V",Mitsubishi Electric,Factory Automation,Variable Frequency Drive,Single Phase AC Drive,0.1 kw Single Phase AC Drive,FR-E820S-0008SCEPA-60,FR-E800,FR-E820S-0008SCEPA-60,"50,350.00",22657.5,Piece,Each,1,"Mitsubishi FR-E820S-0008SCEPA-60- Series- FR-E800, 0.1 kw Single Phase AC Drive, 240 V",,,,,,Phases,1,Program Memory,2K,Program Memory Unit,STEPS,Leakage Current,1.2 mA,Digital Outputs,1 Relay,Ethernet Port,2,Built-In Network,"MODBUS/TCP, ETHERNET/IP, CC-LINK IE TSN, CC-LINK IE FIELD BASIC, BACNET/IP, Leakage Current (mA) 1,2",Frequency Range,0.2-590 Hz,Protection Class,IP20,USB,1 (MINI B),Current Type,AC,1724219236-Product-vfd 4.PNG,,,18%,,7 Days,,,68 mm,128 mm,80.5 mm,0.5 kg,1,8-10 Days,
"Mitsubishi FR-E820S-0015SCEPA-60- Series- FR-E800, 0.2 kw Single Phase AC Drive, 240 V",Mitsubishi Electric,Factory Automation,Variable Frequency Drive,Single Phase AC Drive,0.2 kw Single Phase AC Drive,FR-E820S-0015SCEPA-60,FR-E800,FR-E820S-0015SCEPA-60,"55,150.00",24817.5,Piece,Each,1,"Mitsubishi FR-E820S-0015SCEPA-60- Series- FR-E800, 0.2 kw Single Phase AC Drive, 240 V",,,,,,Phases,1,Program Memory,2K,Program Memory Unit,STEPS,Leakage Current,1.2 mA,Digital Outputs,1 Relay,Ethernet Port,2,Built-In Network,"MODBUS/TCP, ETHERNET/IP, CC-LINK IE TSN, CC-LINK IE FIELD BASIC, BACNET/IP, Leakage Current (mA) 1,3",Frequency Range,0.2-590 Hz,Protection Class,IP20,USB,1 (MINI B),Current Type,AC,1724219236-Product-vfd 4.PNG,,,18%,,7 Days,,,68 mm,128 mm,80.5 mm,0.5 kg,1,8-10 Days,
"Mitsubishi FR-E820S-0030SCEPA-60- Series- FR-E800, 0.4 kw Single Phase AC Drive, 240 V",Mitsubishi Electric,Factory Automation,Variable Frequency Drive,Single Phase AC Drive,0.4 kw Single Phase AC Drive,FR-E820S-0030SCEPA-60,FR-E800,FR-E820S-0030SCEPA-60,"58,850.00",26482.5,Piece,Each,1,"Mitsubishi FR-E820S-0030SCEPA-60- Series- FR-E800, 0.4 kw Single Phase AC Drive, 240 V",,,,,,Phases,1,Program Memory,2K,Program Memory Unit,STEPS,Leakage Current,1.2 mA,Digital Outputs,1 Relay,Ethernet Port,2,Built-In Network,"MODBUS/TCP, ETHERNET/IP, CC-LINK IE TSN, CC-LINK IE FIELD BASIC, BACNET/IP, Leakage Current (mA) 1,4",Frequency Range,0.2-590 Hz,Protection Class,IP20,USB,1 (MINI B),Current Type,AC,1724219236-Product-vfd 4.PNG,,,18%,,7 Days,,,68 mm,128 mm,142.5 mm,0.8 kg,1,8-10 Days,
"Mitsubishi FR-E820S-0050SCEPA-60- Series- FR-E800, 0.75 kw Single Phase AC Drive, 240 V",Mitsubishi Electric,Factory Automation,Variable Frequency Drive,Single Phase AC Drive,0.75 kw Single Phase AC Drive,FR-E820S-0050SCEPA-60,FR-E800,FR-E820S-0050SCEPA-60,"65,200.00",29340,Piece,Each,1,"Mitsubishi FR-E820S-0050SCEPA-60- Series- FR-E800, 0.75 kw Single Phase AC Drive, 240 V",,,,,,Phases,1,Program Memory,2K,Program Memory Unit,STEPS,Leakage Current,1.2 mA,Digital Outputs,1 Relay,Ethernet Port,2,Built-In Network,"MODBUS/TCP, ETHERNET/IP, CC-LINK IE TSN, CC-LINK IE FIELD BASIC, BACNET/IP, Leakage Current (mA) 1,5",Frequency Range,0.2-590 Hz,Protection Class,IP20,USB,1 (MINI B),Current Type,AC,1724219409-Product-vfd 5.PNG,,,18%,,7 Days,,,108 mm,128 mm,135 mm,1.3 kg,1,8-10 Days,
"Mitsubishi FR-E820S-0080SCEPA-60- Series- FR-E800, 1.5 kw Single Phase AC Drive, 240 V",Mitsubishi Electric,Factory Automation,Variable Frequency Drive,Single Phase AC Drive,1.5 kw Single Phase AC Drive,FR-E820S-0080SCEPA-60,FR-E800,FR-E820S-0080SCEPA-60,"82,700.00",37215,Piece,Each,1,"Mitsubishi FR-E820S-0080SCEPA-60- Series- FR-E800, 1.5 kw Single Phase AC Drive, 240 V",,,,,,Phases,1,Program Memory,2K,Program Memory Unit,STEPS,Leakage Current,1.2 mA,Digital Outputs,1 Relay,Ethernet Port,2,Built-In Network,"MODBUS/TCP, ETHERNET/IP, CC-LINK IE TSN, CC-LINK IE FIELD BASIC, BACNET/IP, Leakage Current (mA) 1,6",Frequency Range,0.2-590 Hz,Protection Class,IP20,USB,1 (MINI B),Current Type,AC,1724219409-Product-vfd 5.PNG,,,18%,,7 Days,,,108 mm,128 mm,161 mm,1.4 kg,1,8-10 Days,
