c1_category,c2_category,leaf_category
Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 2A 1-Pole, K-Curve, 15 kA"
Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 4A 1-Pole, K-Curve, 15 kA"
Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 6A 1-Pole, K-Curve, 15 kA"
Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 10A 1-Pole, K-Curve, 15 kA"
Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 16A 1-Pole, K-Curve, 15 kA"
Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 20A 1-Pole, K-Curve, 15 kA"
Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 25A 1-Pole, K-Curve, 15 kA"
Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 32A 1-Pole, K-Curve, 15 kA"
Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 40A 1-Pole, K-Curve, 15 kA"
Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 63A 1-Pole, K-Curve, 15 kA"
Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 2A 2-Pole, K-Curve, 15 kA"
Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 4A 2-Pole, K-Curve, 15 kA"
Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 6A 2-Pole, K-Curve, 15 kA"
Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 10A 2-Pole, K-Curve, 15 kA"
Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 16A 2-Pole, K-Curve, 15 kA"
Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 20A 2-Pole, K-Curve, 15 kA"
Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 25A 2-Pole, K-Curve, 15 kA"
Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 32A 2-Pole, K-Curve, 15 kA"
Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 40A 2-Pole, K-Curve, 15 kA"
Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 63A 2-Pole, K-Curve, 15 kA"
Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 2A 3-Pole, K-Curve, 15 kA"
Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 4A 3-Pole, K-Curve, 15 kA"
Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 6A 3-Pole, K-Curve, 15 kA"
Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 10A 3-Pole, K-Curve, 15 kA"
Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 16A 3-Pole, K-Curve, 15 kA"
Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 20A 3-Pole, K-Curve, 15 kA"
Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 25A 3-Pole, K-Curve, 15 kA"
Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 32A 3-Pole, K-Curve, 15 kA"
Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 40A 3-Pole, K-Curve, 15 kA"
Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 63A 3-Pole, K-Curve, 15 kA"
Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 2A 4-Pole, K-Curve, 15 kA"
Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 4A 4-Pole, K-Curve, 15 kA"
Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 6A 4-Pole, K-Curve, 15 kA"
Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 10A 4-Pole, K-Curve, 15 kA"
Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 16A 4-Pole, K-Curve, 15 kA"
Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 20A 4-Pole, K-Curve, 15 kA"
Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 25A 4-Pole, K-Curve, 15 kA"
Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 32A 4-Pole, K-Curve, 15 kA"
Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 40A 4-Pole, K-Curve, 15 kA"
Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 63A 4-Pole, K-Curve, 15 kA"
Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 2A 1-Pole, Z-Curve, 10 kA"
Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 4A 1-Pole, Z-Curve, 10 kA"
Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 6A 1-Pole, Z-Curve, 10 kA"
Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 10A 1-Pole, Z-Curve, 10 kA"
Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 16A 1-Pole, Z-Curve, 10 kA"
Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 20A 1-Pole, Z-Curve, 10 kA"
Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 25A 1-Pole, Z-Curve, 10 kA"
Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 32A 1-Pole, Z-Curve, 10 kA"
