name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Siemens 5SL7102-3RC-Miniature Circuit Breaker 2A 1-Pole, K-Curve, 15 kA",Siemens,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 2A 1-Pole, K-Curve, 15 kA",5SL7102-3RC,5SL7,5SL7102-3RC,,582,Piece,1 Pack of 12,1,"Siemens 5SL7102-3RC-Miniature Circuit Breaker 2A 1-Pole, K-Curve, 15 kA",,,,,,Current Rating,2A,No of Pole,1-Pole,Type,K-Curve,Breaking Capacity,15 kA,Supply Voltage,240/415V AC,Frequency,50...60Hz,Module Width,18 mm,,,,,,,,,1724230498-Product-seimens single pole.PNG,,,18%,,,,,,,,,1,8-10 Days,
"Siemens 5SL7104-3RC-Miniature Circuit Breaker 4A 1-Pole, K-Curve, 15 kA",Siemens,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 4A 1-Pole, K-Curve, 15 kA",5SL7104-3RC,5SL7,5SL7104-3RC,,582,Piece,1 Pack of 12,1,"Siemens 5SL7104-3RC-Miniature Circuit Breaker 4A 1-Pole, K-Curve, 15 kA",,,,,,Current Rating,4A,No of Pole,1-Pole,Type,K-Curve,Breaking Capacity,15 kA,Supply Voltage,240/415V AC,Frequency,50...60Hz,Module Width,18 mm,,,,,,,,,1724230498-Product-seimens single pole.PNG,,,18%,,,,,,,,,1,8-10 Days,
"Siemens 5SL7106-3RC-Miniature Circuit Breaker 6A 1-Pole, K-Curve, 15 kA",Siemens,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 6A 1-Pole, K-Curve, 15 kA",5SL7106-3RC,5SL7,5SL7106-3RC,,520,Piece,1 Pack of 12,1,"Siemens 5SL7106-3RC-Miniature Circuit Breaker 6A 1-Pole, K-Curve, 15 kA",,,,,,Current Rating,6A,No of Pole,1-Pole,Type,K-Curve,Breaking Capacity,15 kA,Supply Voltage,240/415V AC,Frequency,50...60Hz,Module Width,18 mm,,,,,,,,,1724230498-Product-seimens single pole.PNG,,,18%,,,,,,,,,1,8-10 Days,
"Siemens 5SL7110-3RC-Miniature Circuit Breaker 10A 1-Pole, K-Curve, 15 kA",Siemens,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 10A 1-Pole, K-Curve, 15 kA",5SL7110-3RC,5SL7,5SL7110-3RC,,515,Piece,1 Pack of 12,1,"Siemens 5SL7110-3RC-Miniature Circuit Breaker 10A 1-Pole, K-Curve, 15 kA",,,,,,Current Rating,10A,No of Pole,1-Pole,Type,K-Curve,Breaking Capacity,15 kA,Supply Voltage,240/415V AC,Frequency,50...60Hz,Module Width,18 mm,,,,,,,,,1724230498-Product-seimens single pole.PNG,,,18%,,,,,,,,,1,8-10 Days,
"Siemens 5SL7116-3RC-Miniature Circuit Breaker 16A 1-Pole, K-Curve, 15 kA",Siemens,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 16A 1-Pole, K-Curve, 15 kA",5SL7116-3RC,5SL7,5SL7116-3RC,,520,Piece,1 Pack of 12,1,"Siemens 5SL7116-3RC-Miniature Circuit Breaker 16A 1-Pole, K-Curve, 15 kA",,,,,,Current Rating,16A,No of Pole,1-Pole,Type,K-Curve,Breaking Capacity,15 kA,Supply Voltage,240/415V AC,Frequency,50...60Hz,Module Width,18 mm,,,,,,,,,1724230498-Product-seimens single pole.PNG,,,18%,,,,,,,,,1,8-10 Days,
"Siemens 5SL7120-3RC-Miniature Circuit Breaker 20A 1-Pole, K-Curve, 15 kA",Siemens,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 20A 1-Pole, K-Curve, 15 kA",5SL7120-3RC,5SL7,5SL7120-3RC,,515,Piece,1 Pack of 12,1,"Siemens 5SL7120-3RC-Miniature Circuit Breaker 20A 1-Pole, K-Curve, 15 kA",,,,,,Current Rating,20A,No of Pole,1-Pole,Type,K-Curve,Breaking Capacity,15 kA,Supply Voltage,240/415V AC,Frequency,50...60Hz,Module Width,18 mm,,,,,,,,,1724230498-Product-seimens single pole.PNG,,,18%,,,,,,,,,1,8-10 Days,
"Siemens 5SL7125-3RC-Miniature Circuit Breaker 25A 1-Pole, K-Curve, 15 kA",Siemens,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 25A 1-Pole, K-Curve, 15 kA",5SL7125-3RC,5SL7,5SL7125-3RC,,520,Piece,1 Pack of 12,1,"Siemens 5SL7125-3RC-Miniature Circuit Breaker 25A 1-Pole, K-Curve, 15 kA",,,,,,Current Rating,25A,No of Pole,1-Pole,Type,K-Curve,Breaking Capacity,15 kA,Supply Voltage,240/415V AC,Frequency,50...60Hz,Module Width,18 mm,,,,,,,,,1724230498-Product-seimens single pole.PNG,,,18%,,,,,,,,,1,8-10 Days,
"Siemens 5SL7132-3RC-Miniature Circuit Breaker 32A 1-Pole, K-Curve, 15 kA",Siemens,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 32A 1-Pole, K-Curve, 15 kA",5SL7132-3RC,5SL7,5SL7132-3RC,,520,Piece,1 Pack of 12,1,"Siemens 5SL7132-3RC-Miniature Circuit Breaker 32A 1-Pole, K-Curve, 15 kA",,,,,,Current Rating,32A,No of Pole,1-Pole,Type,K-Curve,Breaking Capacity,15 kA,Supply Voltage,240/415V AC,Frequency,50...60Hz,Module Width,18 mm,,,,,,,,,1724230498-Product-seimens single pole.PNG,,,18%,,,,,,,,,1,8-10 Days,
"Siemens 5SL7140-3RC-Miniature Circuit Breaker 40A 1-Pole, K-Curve, 15 kA",Siemens,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 40A 1-Pole, K-Curve, 15 kA",5SL7140-3RC,5SL7,5SL7140-3RC,,915,Piece,1 Pack of 12,1,"Siemens 5SL7140-3RC-Miniature Circuit Breaker 40A 1-Pole, K-Curve, 15 kA",,,,,,Current Rating,40A,No of Pole,1-Pole,Type,K-Curve,Breaking Capacity,15 kA,Supply Voltage,240/415V AC,Frequency,50...60Hz,Module Width,18 mm,,,,,,,,,1724230498-Product-seimens single pole.PNG,,,18%,,,,,,,,,1,8-10 Days,
"Siemens 5SL7163-3RC-Miniature Circuit Breaker 63A 1-Pole, K-Curve, 15 kA",Siemens,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 63A 1-Pole, K-Curve, 15 kA",5SL7163-3RC,5SL7,5SL7163-3RC,,1071,Piece,1 Pack of 12,1,"Siemens 5SL7163-3RC-Miniature Circuit Breaker 63A 1-Pole, K-Curve, 15 kA",,,,,,Current Rating,63A,No of Pole,1-Pole,Type,K-Curve,Breaking Capacity,15 kA,Supply Voltage,240/415V AC,Frequency,50...60Hz,Module Width,18 mm,,,,,,,,,1724230498-Product-seimens single pole.PNG,,,18%,,,,,,,,,1,8-10 Days,
"Siemens 5SL7202-3RC-Miniature Circuit Breaker 2A 2-Pole, K-Curve, 15 kA",Siemens,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 2A 2-Pole, K-Curve, 15 kA",5SL7202-3RC,5SL7,5SL7202-3RC,,1752,Piece,1 Pack of 6,1,"Siemens 5SL7202-3RC-Miniature Circuit Breaker 2A 2-Pole, K-Curve, 15 kA",,,,,,Current Rating,2A,No of Pole,2-Pole,Type,K-Curve,Breaking Capacity,15 kA,Supply Voltage,415V AC,Frequency,50...60Hz,Module Width,18 mm,,,,,,,,,1724230441-Product-2 pole sheet.PNG,,,18%,,,,,,,,,1,8-10 Days,
"Siemens 5SL7204-3RC-Miniature Circuit Breaker 4A 2-Pole, K-Curve, 15 kA",Siemens,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 4A 2-Pole, K-Curve, 15 kA",5SL7204-3RC,5SL7,5SL7204-3RC,,1752,Piece,1 Pack of 6,1,"Siemens 5SL7204-3RC-Miniature Circuit Breaker 4A 2-Pole, K-Curve, 15 kA",,,,,,Current Rating,4A,No of Pole,2-Pole,Type,K-Curve,Breaking Capacity,15 kA,Supply Voltage,415V AC,Frequency,50...60Hz,Module Width,18 mm,,,,,,,,,1724230441-Product-2 pole sheet.PNG,,,18%,,,,,,,,,1,8-10 Days,
"Siemens 5SL7206-3RC-Miniature Circuit Breaker 6A 2-Pole, K-Curve, 15 kA",Siemens,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 6A 2-Pole, K-Curve, 15 kA",5SL7206-3RC,5SL7,5SL7206-3RC,,1622,Piece,1 Pack of 6,1,"Siemens 5SL7206-3RC-Miniature Circuit Breaker 6A 2-Pole, K-Curve, 15 kA",,,,,,Current Rating,6A,No of Pole,2-Pole,Type,K-Curve,Breaking Capacity,15 kA,Supply Voltage,415V AC,Frequency,50...60Hz,Module Width,18 mm,,,,,,,,,1724230441-Product-2 pole sheet.PNG,,,18%,,,,,,,,,1,8-10 Days,
"Siemens 5SL7210-3RC-Miniature Circuit Breaker 10A 2-Pole, K-Curve, 15 kA",Siemens,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 10A 2-Pole, K-Curve, 15 kA",5SL7210-3RC,5SL7,5SL7210-3RC,,1591,Piece,1 Pack of 6,1,"Siemens 5SL7210-3RC-Miniature Circuit Breaker 10A 2-Pole, K-Curve, 15 kA",,,,,,Current Rating,10A,No of Pole,2-Pole,Type,K-Curve,Breaking Capacity,15 kA,Supply Voltage,415V AC,Frequency,50...60Hz,Module Width,18 mm,,,,,,,,,1724230441-Product-2 pole sheet.PNG,,,18%,,,,,,,,,1,8-10 Days,
"Siemens 5SL7216-3RC-Miniature Circuit Breaker 16A 2-Pole, K-Curve, 15 kA",Siemens,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 16A 2-Pole, K-Curve, 15 kA",5SL7216-3RC,5SL7,5SL7216-3RC,,1622,Piece,1 Pack of 6,1,"Siemens 5SL7216-3RC-Miniature Circuit Breaker 16A 2-Pole, K-Curve, 15 kA",,,,,,Current Rating,16A,No of Pole,2-Pole,Type,K-Curve,Breaking Capacity,15 kA,Supply Voltage,415V AC,Frequency,50...60Hz,Module Width,18 mm,,,,,,,,,1724230441-Product-2 pole sheet.PNG,,,18%,,,,,,,,,1,8-10 Days,
"Siemens 5SL7220-3RC-Miniature Circuit Breaker 20A 2-Pole, K-Curve, 15 kA",Siemens,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 20A 2-Pole, K-Curve, 15 kA",5SL7220-3RC,5SL7,5SL7220-3RC,,1591,Piece,1 Pack of 6,1,"Siemens 5SL7220-3RC-Miniature Circuit Breaker 20A 2-Pole, K-Curve, 15 kA",,,,,,Current Rating,20A,No of Pole,2-Pole,Type,K-Curve,Breaking Capacity,15 kA,Supply Voltage,415V AC,Frequency,50...60Hz,Module Width,18 mm,,,,,,,,,1724230441-Product-2 pole sheet.PNG,,,18%,,,,,,,,,1,8-10 Days,
"Siemens 5SL7225-3RC-Miniature Circuit Breaker 25A 2-Pole, K-Curve, 15 kA",Siemens,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 25A 2-Pole, K-Curve, 15 kA",5SL7225-3RC,5SL7,5SL7225-3RC,,1622,Piece,1 Pack of 6,1,"Siemens 5SL7225-3RC-Miniature Circuit Breaker 25A 2-Pole, K-Curve, 15 kA",,,,,,Current Rating,25A,No of Pole,2-Pole,Type,K-Curve,Breaking Capacity,15 kA,Supply Voltage,415V AC,Frequency,50...60Hz,Module Width,18 mm,,,,,,,,,1724230441-Product-2 pole sheet.PNG,,,18%,,,,,,,,,1,8-10 Days,
"Siemens 5SL7232-3RC-Miniature Circuit Breaker 32A 2-Pole, K-Curve, 15 kA",Siemens,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 32A 2-Pole, K-Curve, 15 kA",5SL7232-3RC,5SL7,5SL7232-3RC,,1622,Piece,1 Pack of 6,1,"Siemens 5SL7232-3RC-Miniature Circuit Breaker 32A 2-Pole, K-Curve, 15 kA",,,,,,Current Rating,32A,No of Pole,2-Pole,Type,K-Curve,Breaking Capacity,15 kA,Supply Voltage,415V AC,Frequency,50...60Hz,Module Width,18 mm,,,,,,,,,1724230441-Product-2 pole sheet.PNG,,,18%,,,,,,,,,1,8-10 Days,
"Siemens 5SL7240-3RC-Miniature Circuit Breaker 40A 2-Pole, K-Curve, 15 kA",Siemens,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 40A 2-Pole, K-Curve, 15 kA",5SL7240-3RC,5SL7,5SL7240-3RC,,1960,Piece,1 Pack of 6,1,"Siemens 5SL7240-3RC-Miniature Circuit Breaker 40A 2-Pole, K-Curve, 15 kA",,,,,,Current Rating,40A,No of Pole,2-Pole,Type,K-Curve,Breaking Capacity,15 kA,Supply Voltage,415V AC,Frequency,50...60Hz,Module Width,18 mm,,,,,,,,,1724230441-Product-2 pole sheet.PNG,,,18%,,,,,,,,,1,8-10 Days,
"Siemens 5SL7263-3RC-Miniature Circuit Breaker 63A 2-Pole, K-Curve, 15 kA",Siemens,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 63A 2-Pole, K-Curve, 15 kA",5SL7263-3RC,5SL7,5SL7263-3RC,,2257,Piece,1 Pack of 6,1,"Siemens 5SL7263-3RC-Miniature Circuit Breaker 63A 2-Pole, K-Curve, 15 kA",,,,,,Current Rating,63A,No of Pole,2-Pole,Type,K-Curve,Breaking Capacity,15 kA,Supply Voltage,415V AC,Frequency,50...60Hz,Module Width,18 mm,,,,,,,,,1724230441-Product-2 pole sheet.PNG,,,18%,,,,,,,,,1,8-10 Days,
"Siemens 5SL7302-3RC-Miniature Circuit Breaker 2A 3-Pole, K-Curve, 15 kA",Siemens,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 2A 3-Pole, K-Curve, 15 kA",5SL7302-3RC,5SL7,5SL7302-3RC,,2720,Piece,1 Pack of 4,1,"Siemens 5SL7302-3RC-Miniature Circuit Breaker 2A 3-Pole, K-Curve, 15 kA",,,,,,Current Rating,2A,No of Pole,3-Pole,Type,K-Curve,Breaking Capacity,15 kA,Supply Voltage,415V AC,Frequency,50...60Hz,Module Width,18 mm,,,,,,,,,1724230416-Product-3 pole sheet.PNG,,,18%,,,,,,,,,1,8-10 Days,
"Siemens 5SL7304-3RC-Miniature Circuit Breaker 4A 3-Pole, K-Curve, 15 kA",Siemens,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 4A 3-Pole, K-Curve, 15 kA",5SL7304-3RC,5SL7,5SL7304-3RC,,2720,Piece,1 Pack of 4,1,"Siemens 5SL7304-3RC-Miniature Circuit Breaker 4A 3-Pole, K-Curve, 15 kA",,,,,,Current Rating,4A,No of Pole,3-Pole,Type,K-Curve,Breaking Capacity,15 kA,Supply Voltage,415V AC,Frequency,50...60Hz,Module Width,18 mm,,,,,,,,,1724230416-Product-3 pole sheet.PNG,,,18%,,,,,,,,,1,8-10 Days,
"Siemens 5SL7306-3RC-Miniature Circuit Breaker 6A 3-Pole, K-Curve, 15 kA",Siemens,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 6A 3-Pole, K-Curve, 15 kA",5SL7306-3RC,5SL7,5SL7306-3RC,,2491,Piece,1 Pack of 4,1,"Siemens 5SL7306-3RC-Miniature Circuit Breaker 6A 3-Pole, K-Curve, 15 kA",,,,,,Current Rating,6A,No of Pole,3-Pole,Type,K-Curve,Breaking Capacity,15 kA,Supply Voltage,415V AC,Frequency,50...60Hz,Module Width,18 mm,,,,,,,,,1724230416-Product-3 pole sheet.PNG,,,18%,,,,,,,,,1,8-10 Days,
"Siemens 5SL7310-3RC-Miniature Circuit Breaker 10A 3-Pole, K-Curve, 15 kA",Siemens,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 10A 3-Pole, K-Curve, 15 kA",5SL7310-3RC,5SL7,5SL7310-3RC,,2439,Piece,1 Pack of 4,1,"Siemens 5SL7310-3RC-Miniature Circuit Breaker 10A 3-Pole, K-Curve, 15 kA",,,,,,Current Rating,10A,No of Pole,3-Pole,Type,K-Curve,Breaking Capacity,15 kA,Supply Voltage,415V AC,Frequency,50...60Hz,Module Width,18 mm,,,,,,,,,1724230416-Product-3 pole sheet.PNG,,,18%,,,,,,,,,1,8-10 Days,
"Siemens 5SL7316-3RC-Miniature Circuit Breaker 16A 3-Pole, K-Curve, 15 kA",Siemens,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 16A 3-Pole, K-Curve, 15 kA",5SL7316-3RC,5SL7,5SL7316-3RC,,2491,Piece,1 Pack of 4,1,"Siemens 5SL7316-3RC-Miniature Circuit Breaker 16A 3-Pole, K-Curve, 15 kA",,,,,,Current Rating,16A,No of Pole,3-Pole,Type,K-Curve,Breaking Capacity,15 kA,Supply Voltage,415V AC,Frequency,50...60Hz,Module Width,18 mm,,,,,,,,,1724230416-Product-3 pole sheet.PNG,,,18%,,,,,,,,,1,8-10 Days,
"Siemens 5SL7320-3RC-Miniature Circuit Breaker 20A 3-Pole, K-Curve, 15 kA",Siemens,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 20A 3-Pole, K-Curve, 15 kA",5SL7320-3RC,5SL7,5SL7320-3RC,,2439,Piece,1 Pack of 4,1,"Siemens 5SL7320-3RC-Miniature Circuit Breaker 20A 3-Pole, K-Curve, 15 kA",,,,,,Current Rating,20A,No of Pole,3-Pole,Type,K-Curve,Breaking Capacity,15 kA,Supply Voltage,415V AC,Frequency,50...60Hz,Module Width,18 mm,,,,,,,,,1724230416-Product-3 pole sheet.PNG,,,18%,,,,,,,,,1,8-10 Days,
"Siemens 5SL7325-3RC-Miniature Circuit Breaker 25A 3-Pole, K-Curve, 15 kA",Siemens,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 25A 3-Pole, K-Curve, 15 kA",5SL7325-3RC,5SL7,5SL7325-3RC,,2491,Piece,1 Pack of 4,1,"Siemens 5SL7325-3RC-Miniature Circuit Breaker 25A 3-Pole, K-Curve, 15 kA",,,,,,Current Rating,25A,No of Pole,3-Pole,Type,K-Curve,Breaking Capacity,15 kA,Supply Voltage,415V AC,Frequency,50...60Hz,Module Width,18 mm,,,,,,,,,1724230416-Product-3 pole sheet.PNG,,,18%,,,,,,,,,1,8-10 Days,
"Siemens 5SL7332-3RC-Miniature Circuit Breaker 32A 3-Pole, K-Curve, 15 kA",Siemens,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 32A 3-Pole, K-Curve, 15 kA",5SL7332-3RC,5SL7,5SL7332-3RC,,2491,Piece,1 Pack of 4,1,"Siemens 5SL7332-3RC-Miniature Circuit Breaker 32A 3-Pole, K-Curve, 15 kA",,,,,,Current Rating,32A,No of Pole,3-Pole,Type,K-Curve,Breaking Capacity,15 kA,Supply Voltage,415V AC,Frequency,50...60Hz,Module Width,18 mm,,,,,,,,,1724230416-Product-3 pole sheet.PNG,,,18%,,,,,,,,,1,8-10 Days,
"Siemens 5SL7340-3RC-Miniature Circuit Breaker 40A 3-Pole, K-Curve, 15 kA",Siemens,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,"Miniature Circuit Breaker 40A 3-Pole, K-Curve, 15 kA",5SL7340-3RC,5SL7,5SL7340-3RC,,2772,Piece,1 Pack of 4,1,"Siemens 5SL7340-3RC-Miniature Circuit Breaker 40A 3-Pole, K-Curve, 15 kA",,,,,,Current Rating,40A,No of Pole,3-Pole,Type,K-Curve,Breaking Capacity,15 kA,Supply Voltage,415V AC,Frequency,50...60Hz,Module Width,18 mm,,,,,,,,,1724230416-Product-3 pole sheet.PNG,,,18%,,,,,,,,,1,8-10 Days,
