c1_category,c2_category,leaf_category
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverter-Roll to Roll Ethernet, Capacity-0.4 kw, 400V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverter-Roll to Roll Ethernet, Capacity-0.75 kw, 400V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverter-Roll to Roll Ethernet, Capacity-1.5 kw, 400V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverter-Roll to Roll Ethernet, Capacity-2.2 kw, 400V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverter-Roll to Roll Ethernet, Capacity-3.7 kw, 400V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverter-Roll to Roll Ethernet, Capacity-5.5 kw, 400V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverter-Roll to Roll Ethernet, Capacity-7.5 kw, 400V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverter-Roll to Roll Ethernet, Capacity-11 kw, 400V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverter-Roll to Roll Ethernet, Capacity-15 kw, 400V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverter-Roll to Roll Ethernet, Capacity-18.5 kw, 400V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverter-Roll to Roll Ethernet, Capacity-22 kw, 400V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverter-Roll to Roll Ethernet, Capacity-30 kw, 400V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverter-Roll to Roll Ethernet, Capacity-37 kw, 400V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverter-Roll to Roll Ethernet, Capacity-45 kw, 400V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverter-Roll to Roll Ethernet, Capacity-55 kw, 400V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverter-Roll to Roll Ethernet, Capacity-75 kw, 400V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverter-Roll to Roll Ethernet, Capacity-90 kw, 400V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverter-Roll to Roll Ethernet, Capacity-110 kw, 400V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverter-Roll to Roll Ethernet, Capacity-132 kw, 400V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverter-Roll to Roll Ethernet, Capacity-160 kw, 400V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverter-Roll to Roll Ethernet, Capacity-185 kw, 400V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverter-Roll to Roll Ethernet, Capacity-220 kw, 400V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverter-Roll to Roll Ethernet, Capacity-250 kw, 400V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverter-Roll to Roll Ethernet, Capacity-280 kw, 400V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverters, Capacity-0.4 kw, 200V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverters, Capacity-0.75 kw, 200V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverters, Capacity-1.5 kw, 200V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverters, Capacity-2.2 kw, 200V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverters, Capacity-3.7 kw, 200V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverters, Capacity-5.5 kw, 200V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverters, Capacity-7.5 kw, 200V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverters, Capacity-11 kw, 200V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverters, Capacity-15 kw, 200V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverters, Capacity-18.5 kw, 200V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverters, Capacity-22 kw, 200V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverters, Capacity-30 kw, 200V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverters, Capacity-37 kw, 200V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverters, Capacity-45 kw, 200V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverters, Capacity-55 kw, 200V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverters, Capacity-75 kw, 200V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverters, Capacity-90 kw, 200V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverters with 3C2/3S2 Coating, Capacity-0.75 kw, 400V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverters with 3C2/3S2 Coating, Capacity-2.2 kw, 400V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverters with 3C2/3S2 Coating, Capacity-3.7 kw, 400V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverters with 3C2/3S2 Coating, Capacity-5.5 kw, 400V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverters with 3C2/3S2 Coating, Capacity-7.5 kw, 400V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverters with 3C2/3S2 Coating, Capacity-11 kw, 400V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverters with 3C2/3S2 Coating, Capacity-15 kw, 400V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverters with 3C2/3S2 Coating, Capacity-18.5 kw, 400V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverters with 3C2/3S2 Coating, Capacity-22 kw, 400V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverters with 3C2/3S2 Coating, Capacity-30 kw, 400V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverters with 3C2/3S2 Coating, Capacity-37 kw, 400V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverters with 3C2/3S2 Coating, Capacity-45 kw, 400V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverters with 3C2/3S2 Coating, Capacity-55 kw, 400V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverters with 3C2/3S2 Coating, Capacity-75 kw, 400V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverters with 3C2/3S2 Coating, Capacity-90 kw, 400V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverters with 3C2/3S2 Coating, Capacity-110 kw, 400V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverters with 3C2/3S2 Coating, Capacity-132 kw, 400V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverters with 3C2/3S2 Coating, Capacity-160 kw, 400V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverters with 3C2/3S2 Coating, Capacity-185 kw, 400V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverters with 3C2/3S2 Coating, Capacity-220 kw, 400V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverters with 3C2/3S2 Coating, Capacity-250 kw, 400V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverters with 3C2/3S2 Coating, Capacity-280 kw, 400V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverters with 3C2/3S2 Coating, Capacity-315 kw, 400V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverter, Capacity-0.75 kw, 400V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverter, Capacity-1.5 kw, 400V"
Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverter, Capacity-2.2 kw, 400V"
