name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Mitsubishi Electric FRA84000023E260R2R-Three Phase Inverter-Roll to Roll Ethernet, Capacity-0.4 kw, 400V",Mitsubishi Electric,Factory Automation,Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverter-Roll to Roll Ethernet, Capacity-0.4 kw, 400V",FRA84000023E260R2R,FR-A800,FRA84000023E260R2R,"1,00,600.00",45270,Piece,Each,1,"Mitsubishi Electric FRA84000023E260R2R-Three Phase Inverter-Roll to Roll Ethernet, Capacity-0.4 kw, 400V",,,,,,Phase,Three,Rated Power,0.4 kw,Supply Voltage,400 V,,,,,,,,,,,,,,,,,1724325735-Product-2.png,,85044090,18%,,7 Days,,,,,,,1,03-04 Month,
"Mitsubishi Electric FRA84000038E260R2R-Three Phase Inverter-Roll to Roll Ethernet, Capacity-0.75 kw, 400V",Mitsubishi Electric,Factory Automation,Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverter-Roll to Roll Ethernet, Capacity-0.75 kw, 400V",FRA84000038E260R2R,FR-A800,FRA84000038E260R2R,"1,00,950.00",45427.5,Piece,Each,1,"Mitsubishi Electric FRA84000038E260R2R-Three Phase Inverter-Roll to Roll Ethernet, Capacity-0.75 kw, 400V",,,,,,Phase,Three,Rated Power,0.75 kw,Supply Voltage,400 V,,,,,,,,,,,,,,,,,1724325735-Product-2.png,,85044090,18%,,7 Days,,,,,,,1,03-04 Month,
"Mitsubishi Electric FRA84000052E260R2R-Three Phase Inverter-Roll to Roll Ethernet, Capacity-1.5 kw, 400V",Mitsubishi Electric,Factory Automation,Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverter-Roll to Roll Ethernet, Capacity-1.5 kw, 400V",FRA84000052E260R2R,FR-A800,FRA84000052E260R2R,"1,08,650.00",48892.5,Piece,Each,1,"Mitsubishi Electric FRA84000052E260R2R-Three Phase Inverter-Roll to Roll Ethernet, Capacity-1.5 kw, 400V",,,,,,Phase,Three,Rated Power,1.5 kw,Supply Voltage,400 V,,,,,,,,,,,,,,,,,1724325735-Product-2.png,,85044090,18%,,7 Days,,,,,,,1,03-04 Month,
"Mitsubishi Electric FRA84000083E260R2R-Three Phase Inverter-Roll to Roll Ethernet, Capacity-2.2 kw, 400V",Mitsubishi Electric,Factory Automation,Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverter-Roll to Roll Ethernet, Capacity-2.2 kw, 400V",FRA84000083E260R2R,FR-A800,FRA84000083E260R2R,"1,25,650.00",56542.5,Piece,Each,1,"Mitsubishi Electric FRA84000083E260R2R-Three Phase Inverter-Roll to Roll Ethernet, Capacity-2.2 kw, 400V",,,,,,Phase,Three,Rated Power,2.2 kw,Supply Voltage,400 V,,,,,,,,,,,,,,,,,1724325735-Product-2.png,,85044090,18%,,7 Days,,,,,,,1,03-04 Month,
"Mitsubishi Electric FRA84000126E260R2R-Three Phase Inverter-Roll to Roll Ethernet, Capacity-3.7 kw, 400V",Mitsubishi Electric,Factory Automation,Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverter-Roll to Roll Ethernet, Capacity-3.7 kw, 400V",FRA84000126E260R2R,FR-A800,FRA84000126E260R2R,"1,27,450.00",57352.5,Piece,Each,1,"Mitsubishi Electric FRA84000126E260R2R-Three Phase Inverter-Roll to Roll Ethernet, Capacity-3.7 kw, 400V",,,,,,Phase,Three,Rated Power,3.7 kw,Supply Voltage,400 V,,,,,,,,,,,,,,,,,1724325735-Product-2.png,,85044090,18%,,7 Days,,,,,,,1,03-04 Month,
"Mitsubishi Electric FRA84000170E260R2R-Three Phase Inverter-Roll to Roll Ethernet, Capacity-5.5 kw, 400V",Mitsubishi Electric,Factory Automation,Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverter-Roll to Roll Ethernet, Capacity-5.5 kw, 400V",FRA84000170E260R2R,FR-A800,FRA84000170E260R2R,"1,60,200.00",72090,Piece,Each,1,"Mitsubishi Electric FRA84000170E260R2R-Three Phase Inverter-Roll to Roll Ethernet, Capacity-5.5 kw, 400V",,,,,,Phase,Three,Rated Power,5.5 kw,Supply Voltage,400 V,,,,,,,,,,,,,,,,,1724325735-Product-2.png,,85044090,18%,,7 Days,,,,,,,1,03-04 Month,
"Mitsubishi Electric FRA84000250E260R2R-Three Phase Inverter-Roll to Roll Ethernet, Capacity-7.5 kw, 400V",Mitsubishi Electric,Factory Automation,Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverter-Roll to Roll Ethernet, Capacity-7.5 kw, 400V",FRA84000250E260R2R,FR-A800,FRA84000250E260R2R,"1,67,800.00",75510,Piece,Each,1,"Mitsubishi Electric FRA84000250E260R2R-Three Phase Inverter-Roll to Roll Ethernet, Capacity-7.5 kw, 400V",,,,,,Phase,Three,Rated Power,7.5 kw,Supply Voltage,400 V,,,,,,,,,,,,,,,,,1724325735-Product-2.png,,85044090,18%,,7 Days,,,,,,,1,03-04 Month,
"Mitsubishi Electric FRA84000310E260R2R-Three Phase Inverter-Roll to Roll Ethernet, Capacity-11 kw, 400V",Mitsubishi Electric,Factory Automation,Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverter-Roll to Roll Ethernet, Capacity-11 kw, 400V",FRA84000310E260R2R,FR-A800,FRA84000310E260R2R,"1,72,500.00",77625,Piece,Each,1,"Mitsubishi Electric FRA84000310E260R2R-Three Phase Inverter-Roll to Roll Ethernet, Capacity-11 kw, 400V",,,,,,Phase,Three,Rated Power,11 kw,Supply Voltage,400 V,,,,,,,,,,,,,,,,,1724325735-Product-2.png,,85044090,18%,,7 Days,,,,,,,1,03-04 Month,
"Mitsubishi Electric FRA84000380E260R2R-Three Phase Inverter-Roll to Roll Ethernet, Capacity-15 kw, 400V",Mitsubishi Electric,Factory Automation,Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverter-Roll to Roll Ethernet, Capacity-15 kw, 400V",FRA84000380E260R2R,FR-A800,FRA84000380E260R2R,"1,76,250.00",79312.5,Piece,Each,1,"Mitsubishi Electric FRA84000380E260R2R-Three Phase Inverter-Roll to Roll Ethernet, Capacity-15 kw, 400V",,,,,,Phase,Three,Rated Power,15 kw,Supply Voltage,400 V,,,,,,,,,,,,,,,,,1724325735-Product-2.png,,85044090,18%,,7 Days,,,,,,,1,03-04 Month,
"Mitsubishi Electric FRA84000470E260R2R-Three Phase Inverter-Roll to Roll Ethernet, Capacity-18.5 kw, 400V",Mitsubishi Electric,Factory Automation,Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverter-Roll to Roll Ethernet, Capacity-18.5 kw, 400V",FRA84000470E260R2R,FR-A800,FRA84000470E260R2R,"1,78,700.00",80415,Piece,Each,1,"Mitsubishi Electric FRA84000470E260R2R-Three Phase Inverter-Roll to Roll Ethernet, Capacity-18.5 kw, 400V",,,,,,Phase,Three,Rated Power,18.5 kw,Supply Voltage,400 V,,,,,,,,,,,,,,,,,1724325735-Product-2.png,,85044090,18%,,7 Days,,,,,,,1,03-04 Month,
"Mitsubishi Electric FRA84000620E260R2R-Three Phase Inverter-Roll to Roll Ethernet, Capacity-22 kw, 400V",Mitsubishi Electric,Factory Automation,Variable Frequency Drive,Three Phase AC Drive,"Three Phase Inverter-Roll to Roll Ethernet, Capacity-22 kw, 400V",FRA84000620E260R2R,FR-A800,FRA84000620E260R2R,"2,03,850.00",91732.5,Piece,Each,1,"Mitsubishi Electric FRA84000620E260R2R-Three Phase Inverter-Roll to Roll Ethernet, Capacity-22 kw, 400V",,,,,,Phase,Three,Rated Power,22 kw,Supply Voltage,400 V,,,,,,,,,,,,,,,,,1724325735-Product-2.png,,85044090,18%,,7 Days,,,,,,,1,03-04 Month,
