name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Mitsubishi Electric FR-HEL-0.4k-DC Reactor (For Inverter) 200 V, Capacity- 0.4kw",Mitsubishi Electric,Factory Automation,Variable Frequency Drive,VFD Accessories,"DC Reactor (For Inverter) 200 V, Capacity- 0.4kw",FR-HEL-0.4k,FR-A800,FR-HEL-0.4k,9400,4230,Piece,Each,1,"Mitsubishi Electric FR-HEL-0.4k-DC Reactor (For Inverter) 200 V, Capacity- 0.4kw",,,,,,Type,DC Reactor,Rated Power,0.4k,Supply Voltage,200V,,,,,,,,,,,,,,,,,1724328920-Product-vfd Access.PNG,,,18%,,7 Days,,,,,,,1,3-4 Month,
"Mitsubishi Electric FR-HEL-0.75k-DC Reactor (For Inverter) 200 V, Capacity- 0.75kw",Mitsubishi Electric,Factory Automation,Variable Frequency Drive,VFD Accessories,"DC Reactor (For Inverter) 200 V, Capacity- 0.75kw",FR-HEL-0.75k,FR-A800,FR-HEL-0.75k,10650,4792.5,Piece,Each,1,"Mitsubishi Electric FR-HEL-0.75k-DC Reactor (For Inverter) 200 V, Capacity- 0.75kw",,,,,,Type,DC Reactor,Rated Power,0.75k,Supply Voltage,200V,,,,,,,,,,,,,,,,,1724328920-Product-vfd Access.PNG,,,18%,,7 Days,,,,,,,1,3-4 Month,
"Mitsubishi Electric FR-HEL-1.5k-DC Reactor (For Inverter) 200 V, Capacity- 1.5kw",Mitsubishi Electric,Factory Automation,Variable Frequency Drive,VFD Accessories,"DC Reactor (For Inverter) 200 V, Capacity- 1.5kw",FR-HEL-1.5k,FR-A800,FR-HEL-1.5k,11800,5310,Piece,Each,1,"Mitsubishi Electric FR-HEL-1.5k-DC Reactor (For Inverter) 200 V, Capacity- 1.5kw",,,,,,Type,DC Reactor,Rated Power,1.5k,Supply Voltage,200V,,,,,,,,,,,,,,,,,1724328920-Product-vfd Access.PNG,,,18%,,7 Days,,,,,,,1,3-4 Month,
"Mitsubishi Electric FR-HEL-2.2k-DC Reactor (For Inverter) 200 V, Capacity- 2.2kw",Mitsubishi Electric,Factory Automation,Variable Frequency Drive,VFD Accessories,"DC Reactor (For Inverter) 200 V, Capacity- 2.2kw",FR-HEL-2.2k,FR-A800,FR-HEL-2.2k,13050,5872.5,Piece,Each,1,"Mitsubishi Electric FR-HEL-2.2k-DC Reactor (For Inverter) 200 V, Capacity- 2.2kw",,,,,,Type,DC Reactor,Rated Power,2.2k,Supply Voltage,200V,,,,,,,,,,,,,,,,,1724328920-Product-vfd Access.PNG,,,18%,,7 Days,,,,,,,1,3-4 Month,
"Mitsubishi Electric FR-HEL-3.7k-DC Reactor (For Inverter) 200 V, Capacity- 3.7kw",Mitsubishi Electric,Factory Automation,Variable Frequency Drive,VFD Accessories,"DC Reactor (For Inverter) 200 V, Capacity- 3.7kw",FR-HEL-3.7k,FR-A800,FR-HEL-3.7k,14100,6345,Piece,Each,1,"Mitsubishi Electric FR-HEL-3.7k-DC Reactor (For Inverter) 200 V, Capacity- 3.7kw",,,,,,Type,DC Reactor,Rated Power,3.7k,Supply Voltage,200V,,,,,,,,,,,,,,,,,1724328920-Product-vfd Access.PNG,,,18%,,7 Days,,,,,,,1,3-4 Month,
"Mitsubishi Electric FR-HEL-5.5k-DC Reactor (For Inverter) 200 V, Capacity- 5.5kw",Mitsubishi Electric,Factory Automation,Variable Frequency Drive,VFD Accessories,"DC Reactor (For Inverter) 200 V, Capacity- 5.5kw",FR-HEL-5.5k,FR-A800,FR-HEL-5.5k,17000,7650,Piece,Each,1,"Mitsubishi Electric FR-HEL-5.5k-DC Reactor (For Inverter) 200 V, Capacity- 5.5kw",,,,,,Type,DC Reactor,Rated Power,5.5k,Supply Voltage,200V,,,,,,,,,,,,,,,,,1724328920-Product-vfd Access.PNG,,,18%,,7 Days,,,,,,,1,3-4 Month,
"Mitsubishi Electric FR-HEL-7.5k-DC Reactor (For Inverter) 200 V, Capacity- 7.5kw",Mitsubishi Electric,Factory Automation,Variable Frequency Drive,VFD Accessories,"DC Reactor (For Inverter) 200 V, Capacity- 7.5kw",FR-HEL-7.5k,FR-A800,FR-HEL-7.5k,20650,9292.5,Piece,Each,1,"Mitsubishi Electric FR-HEL-7.5k-DC Reactor (For Inverter) 200 V, Capacity- 7.5kw",,,,,,Type,DC Reactor,Rated Power,7.5k,Supply Voltage,200V,,,,,,,,,,,,,,,,,1724328920-Product-vfd Access.PNG,,,18%,,7 Days,,,,,,,1,3-4 Month,
"Mitsubishi Electric FR-HEL-11k-DC Reactor (For Inverter) 200 V, Capacity- 11kw",Mitsubishi Electric,Factory Automation,Variable Frequency Drive,VFD Accessories,"DC Reactor (For Inverter) 200 V, Capacity- 11kw",FR-HEL-11k,FR-A800,FR-HEL-11k,24600,11070,Piece,Each,1,"Mitsubishi Electric FR-HEL-11k-DC Reactor (For Inverter) 200 V, Capacity- 11kw",,,,,,Type,DC Reactor,Rated Power,11k,Supply Voltage,200V,,,,,,,,,,,,,,,,,1724328920-Product-vfd Access.PNG,,,18%,,7 Days,,,,,,,1,3-4 Month,
"Mitsubishi Electric FR-HEL-15k-DC Reactor (For Inverter) 200 V, Capacity- 15kw",Mitsubishi Electric,Factory Automation,Variable Frequency Drive,VFD Accessories,"DC Reactor (For Inverter) 200 V, Capacity- 15kw",FR-HEL-15k,FR-A800,FR-HEL-15k,29350,13207.5,Piece,Each,1,"Mitsubishi Electric FR-HEL-15k-DC Reactor (For Inverter) 200 V, Capacity- 15kw",,,,,,Type,DC Reactor,Rated Power,15k,Supply Voltage,200V,,,,,,,,,,,,,,,,,1724328920-Product-vfd Access.PNG,,,18%,,7 Days,,,,,,,1,3-4 Month,
"Mitsubishi Electric FR-HEL-18.5k-DC Reactor (For Inverter) 200 V, Capacity- 18.5kw",Mitsubishi Electric,Factory Automation,Variable Frequency Drive,VFD Accessories,"DC Reactor (For Inverter) 200 V, Capacity- 18.5kw",FR-HEL-18.5k,FR-A800,FR-HEL-18.5k,35150,15817.5,Piece,Each,1,"Mitsubishi Electric FR-HEL-18.5k-DC Reactor (For Inverter) 200 V, Capacity- 18.5kw",,,,,,Type,DC Reactor,Rated Power,18.5k,Supply Voltage,200V,,,,,,,,,,,,,,,,,1724328920-Product-vfd Access.PNG,,,18%,,7 Days,,,,,,,1,3-4 Month,
