Name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Teknic 2AF1- Metallic Series Momentary Push Button Actuator 22.5 mm, White, Flush Type",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,Momentory Actuators,Metallic Series Momentary Push Button Actuator,2AF1,Metallic Series,2AF1,,80.5,Piece,Each,1,"Teknic 2AF1- Metallic Series Momentary Push Button Actuator 22.5 mm, White, Flush Type",,,,,,Type,Flush,Colour,White,,,,,,,,,,,,,,,,,,,1724826321-Product-tec white.PNG,,,18%,,7 Days,,,,,,,5,8-10 Days,
"Teknic 2AF2- Metallic Series Momentary Push Button Actuator 22.5 mm, White, Flush Type",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,Momentory Actuators,Metallic Series Momentary Push Button Actuator,2AF2,Metallic Series,2AF2,,80.5,Piece,Each,1,"Teknic 2AF2- Metallic Series Momentary Push Button Actuator 22.5 mm, White, Flush Type",,,,,,Type,Flush,Colour,Black,,,,,,,,,,,,,,,,,,,1724826438-Product-tec black.PNG,,,18%,,7 Days,,,,,,,5,8-10 Days,
"Teknic 2AF3- Metallic Series Momentary Push Button Actuator 22.5 mm, White, Flush Type",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,Momentory Actuators,Metallic Series Momentary Push Button Actuator,2AF3,Metallic Series,2AF3,,80.5,Piece,Each,1,"Teknic 2AF3- Metallic Series Momentary Push Button Actuator 22.5 mm, White, Flush Type",,,,,,Type,Flush,Colour,Green,,,,,,,,,,,,,,,,,,,1724826478-Product-tec green.PNG,,,18%,,7 Days,,,,,,,5,8-10 Days,
"Teknic 2AF4- Metallic Series Momentary Push Button Actuator 22.5 mm, White, Flush Type",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,Momentory Actuators,Metallic Series Momentary Push Button Actuator,2AF4,Metallic Series,2AF4,,80.5,Piece,Each,1,"Teknic 2AF4- Metallic Series Momentary Push Button Actuator 22.5 mm, White, Flush Type",,,,,,Type,Flush,Colour,Red,,,,,,,,,,,,,,,,,,,1724826541-Product-tec red.PNG,,,18%,,7 Days,,,,,,,5,8-10 Days,
"Teknic 2AF6- Metallic Series Momentary Push Button Actuator 22.5 mm, White, Flush Type",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,Momentory Actuators,Metallic Series Momentary Push Button Actuator,2AF6,Metallic Series,2AF6,,80.5,Piece,Each,1,"Teknic 2AF6- Metallic Series Momentary Push Button Actuator 22.5 mm, White, Flush Type",,,,,,Type,Flush,Colour,Blue,,,,,,,,,,,,,,,,,,,1724826584-Product-tec blue.PNG,,,18%,,7 Days,,,,,,,5,8-10 Days,
"Teknic 2AF8- Metallic Series Momentary Push Button Actuator 22.5 mm, White, Flush Type",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,Momentory Actuators,Metallic Series Momentary Push Button Actuator,2AF8,Metallic Series,2AF8,,80.5,Piece,Each,1,"Teknic 2AF8- Metallic Series Momentary Push Button Actuator 22.5 mm, White, Flush Type",,,,,,Type,Flush,Colour,Yellow,,,,,,,,,,,,,,,,,,,1724826775-Product-tec yellow.PNG,,,18%,,7 Days,,,,,,,5,8-10 Days,
"Teknic 2AP1- Metallic Series Momentary Push Button Actuator 22.5 mm, White, Projecting Type",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,Momentory Actuators,Metallic Series Momentary Push Button Actuator,2AP1,Metallic Series,2AP1,,80.5,Piece,Each,1,"Teknic 2AP1- Metallic Series Momentary Push Button Actuator 22.5 mm, White, Projecting Type",,,,,,Type,Projecting,Colour,White,,,,,,,,,,,,,,,,,,,1724826855-Product-tec white 1.PNG,,,18%,,7 Days,,,,,,,5,8-10 Days,
"Teknic 2AP2- Metallic Series Momentary Push Button Actuator 22.5 mm, White, Projecting Type",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,Momentory Actuators,Metallic Series Momentary Push Button Actuator,2AP2,Metallic Series,2AP2,,80.5,Piece,Each,1,"Teknic 2AP2- Metallic Series Momentary Push Button Actuator 22.5 mm, White, Projecting Type",,,,,,Type,Projecting,Colour,Black,,,,,,,,,,,,,,,,,,,1724826939-Product-tec black 1.PNG,,,18%,,7 Days,,,,,,,5,8-10 Days,
"Teknic 2AP3- Metallic Series Momentary Push Button Actuator 22.5 mm, White, Projecting Type",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,Momentory Actuators,Metallic Series Momentary Push Button Actuator,2AP3,Metallic Series,2AP3,,80.5,Piece,Each,1,"Teknic 2AP3- Metallic Series Momentary Push Button Actuator 22.5 mm, White, Projecting Type",,,,,,Type,Projecting,Colour,Green,,,,,,,,,,,,,,,,,,,1724826775-Product-tec yellow.PNG,,,18%,,7 Days,,,,,,,5,8-10 Days,
"Teknic 2AP4- Metallic Series Momentary Push Button Actuator 22.5 mm, White, Projecting Type",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,Momentory Actuators,Metallic Series Momentary Push Button Actuator,2AP4,Metallic Series,2AP4,,80.5,Piece,Each,1,"Teknic 2AP4- Metallic Series Momentary Push Button Actuator 22.5 mm, White, Projecting Type",,,,,,Type,Projecting,Colour,Red,,,,,,,,,,,,,,,,,,,1724826775-Product-tec yellow.PNG,,,18%,,7 Days,,,,,,,5,8-10 Days,
"Teknic 2AP6- Metallic Series Momentary Push Button Actuator 22.5 mm, White, Projecting Type",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,Momentory Actuators,Metallic Series Momentary Push Button Actuator,2AP6,Metallic Series,2AP6,,80.5,Piece,Each,1,"Teknic 2AP6- Metallic Series Momentary Push Button Actuator 22.5 mm, White, Projecting Type",,,,,,Type,Projecting,Colour,Blue,,,,,,,,,,,,,,,,,,,1724827013-Product-tec blue 1.PNG,,,18%,,7 Days,,,,,,,5,8-10 Days,
"Teknic 2AP8- Metallic Series Momentary Push Button Actuator 22.5 mm, White, Projecting Type",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,Momentory Actuators,Metallic Series Momentary Push Button Actuator,2AP8,Metallic Series,2AP8,,80.5,Piece,Each,1,"Teknic 2AP8- Metallic Series Momentary Push Button Actuator 22.5 mm, White, Projecting Type",,,,,,Type,Projecting,Colour,Yellow,,,,,,,,,,,,,,,,,,,1724827053-Product-tec yellow 1.PNG,,,18%,,7 Days,,,,,,,5,8-10 Days,
"Teknic 2AF1RR- Metallic Series Momentary Push Button Actuator 22.5 mm, White, Flush Relay Reset Type",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,Momentory Actuators,Metallic Series Momentary Push Button Actuator,2AF1RR,Metallic Series,2AF1RR,,110,Piece,Each,1,"Teknic 2AF1RR- Metallic Series Momentary Push Button Actuator 22.5 mm, White, Flush Relay Reset Type",,,,,,Type,Flush Relay Reset,Colour,White,,,,,,,,,,,,,,,,,,,1724827340-Product-tec common.PNG,,,18%,,7 Days,,,,,,,5,8-10 Days,
"Teknic 2AF2RR- Metallic Series Momentary Push Button Actuator 22.5 mm, White, Flush Relay Reset Type",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,Momentory Actuators,Metallic Series Momentary Push Button Actuator,2AF2RR,Metallic Series,2AF2RR,,110,Piece,Each,1,"Teknic 2AF2RR- Metallic Series Momentary Push Button Actuator 22.5 mm, White, Flush Relay Reset Type",,,,,,Type,Flush Relay Reset,Colour,Black,,,,,,,,,,,,,,,,,,,1724827340-Product-tec common.PNG,,,18%,,7 Days,,,,,,,5,8-10 Days,
"Teknic 2AF3RR- Metallic Series Momentary Push Button Actuator 22.5 mm, White, Flush Relay Reset Type",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,Momentory Actuators,Metallic Series Momentary Push Button Actuator,2AF3RR,Metallic Series,2AF3RR,,110,Piece,Each,1,"Teknic 2AF3RR- Metallic Series Momentary Push Button Actuator 22.5 mm, White, Flush Relay Reset Type",,,,,,Type,Flush Relay Reset,Colour,Green,,,,,,,,,,,,,,,,,,,1724827299-Product-tec green 2.PNG,,,18%,,7 Days,,,,,,,5,8-10 Days,
"Teknic 2AF4RR- Metallic Series Momentary Push Button Actuator 22.5 mm, White, Flush Relay Reset Type",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,Momentory Actuators,Metallic Series Momentary Push Button Actuator,2AF4RR,Metallic Series,2AF4RR,,110,Piece,Each,1,"Teknic 2AF4RR- Metallic Series Momentary Push Button Actuator 22.5 mm, White, Flush Relay Reset Type",,,,,,Type,Flush Relay Reset,Colour,Red,,,,,,,,,,,,,,,,,,,1724827340-Product-tec common.PNG,,,18%,,7 Days,,,,,,,5,8-10 Days,
"Teknic 2AF6RR- Metallic Series Momentary Push Button Actuator 22.5 mm, White, Flush Relay Reset Type",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,Momentory Actuators,Metallic Series Momentary Push Button Actuator,2AF6RR,Metallic Series,2AF6RR,,110,Piece,Each,1,"Teknic 2AF6RR- Metallic Series Momentary Push Button Actuator 22.5 mm, White, Flush Relay Reset Type",,,,,,Type,Flush Relay Reset,Colour,Blue,,,,,,,,,,,,,,,,,,,1724827340-Product-tec common.PNG,,,18%,,7 Days,,,,,,,5,8-10 Days,
