c1_category,c2_category,leaf_category
Servo System,Servo Motor,"Servo Motor, Capacity (kW)-0.5, Rated Speed (rpm)-3000, 200 V, IP67"
Servo System,Servo Motor,"Servo Motor, Capacity (kW)-0.1, Rated Speed (rpm)-3000, 200 V, IP67"
Servo System,Servo Motor,"Servo Motor, Capacity (kW)-0.15, Rated Speed (rpm)-3000, 200 V, IP67"
Servo System,Servo Motor,"Servo Motor, Capacity (kW)-0.1, Rated Speed (rpm)-3000, 200 V, IP67"
Servo System,Servo Motor,"Servo Motor, Capacity (kW)-0.2, Rated Speed (rpm)-3000, 200 V, IP67"
Servo System,Servo Motor,"Servo Motor, Capacity (kW)-0.4, Rated Speed (rpm)-3000, 200 V, IP67"
Servo System,Servo Motor,"Servo Motor, Capacity (kW)-0.6, Rated Speed (rpm)-3000, 200 V, IP67"
Servo System,Servo Motor,"Servo Motor, Capacity (kW)-0.2, Rated Speed (rpm)-3000, 200 V, IP67"
Servo System,Servo Motor,"Servo Motor, Capacity (kW)-0.4, Rated Speed (rpm)-3000, 200 V, IP67"
Servo System,Servo Motor,"Servo Motor, Capacity (kW)-0.75, Rated Speed (rpm)-3000, 200 V, IP67"
Servo System,Servo Motor,"Servo Motor, Capacity (kW)-1, Rated Speed (rpm)-3000, 200 V, IP67"
Servo System,Servo Motor,"Servo Motor, Capacity (kW)-0.75, Rated Speed (rpm)-3000, 200 V, IP67"
Servo System,Servo Motor,"Servo Motor, Capacity (kW)-1, Rated Speed (rpm)-3000, 200 V, IP67"
Servo System,Servo Motor,"Servo Motor, Capacity (kW)-1.5, Rated Speed (rpm)-3000, 200 V, IP67"
Servo System,Servo Motor,"Servo Motor, Capacity (kW)-2, Rated Speed (rpm)-3000, 200 V, IP67"
Servo System,Servo Motor,"Servo Motor, Capacity (kW)-2, Rated Speed (rpm)-2000, 200 V, IP67"
Servo System,Servo Motor,"Servo Motor, Capacity (kW)-0.5, Rated Speed (rpm)-3000, 200 V, IP67"
Servo System,Servo Motor,"Servo Motor, Capacity (kW)-0.1, Rated Speed (rpm)-3000, 200 V, IP67"
Servo System,Servo Motor,"Servo Motor, Capacity (kW)-0.15, Rated Speed (rpm)-3000, 200 V, IP67"
Servo System,Servo Motor,"Servo Motor, Capacity (kW)-0.1, Rated Speed (rpm)-3000, 200 V, IP67"
Servo System,Servo Motor,"Servo Motor, Capacity (kW)-0.2, Rated Speed (rpm)-3000, 200 V, IP67"
Servo System,Servo Motor,"Servo Motor, Capacity (kW)-0.4, Rated Speed (rpm)-3000, 200 V, IP67"
Servo System,Servo Motor,"Servo Motor, Capacity (kW)-0.6, Rated Speed (rpm)-3000, 200 V, IP67"
Servo System,Servo Motor,"Servo Motor, Capacity (kW)-0.2, Rated Speed (rpm)-3000, 200 V, IP67"
Servo System,Servo Motor,"Servo Motor, Capacity (kW)-0.4, Rated Speed (rpm)-3000, 200 V, IP67"
Servo System,Servo Motor,"Servo Motor, Capacity (kW)-0.75, Rated Speed (rpm)-3000, 200 V, IP67"
Servo System,Servo Motor,"Servo Motor, Capacity (kW)-1, Rated Speed (rpm)-3000, 200 V, IP67"
Servo System,Servo Motor,"Servo Motor, Capacity (kW)-0.75, Rated Speed (rpm)-3000, 200 V, IP67"
Servo System,Servo Motor,"Servo Motor, Capacity (kW)-1, Rated Speed (rpm)-3000, 200 V, IP67"
Servo System,Servo Motor,"Servo Motor, Capacity (kW)-1.5, Rated Speed (rpm)-3000, 200 V, IP67"
Servo System,Servo Motor,"Servo Motor, Capacity (kW)-2, Rated Speed (rpm)-3000, 200 V, IP67"
Servo System,Servo Motor,"Servo Motor, Capacity (kW)-2, Rated Speed (rpm)-2000, 200 V, IP67"
Servo System,Servo Motor,"Servo Motor, Capacity (kW)-0.5, Rated Speed (rpm)-3000, 200 V, IP67"
Servo System,Servo Motor,"Servo Motor, Capacity (kW)-0.1, Rated Speed (rpm)-3000, 200 V, IP67"
Servo System,Servo Motor,"Servo Motor, Capacity (kW)-0.15, Rated Speed (rpm)-3000, 200 V, IP67"
