Name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Teknic 2ALRF1L(S)- Illuminated Flush Actuator, Momentary, Colour- White, 230 V",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,llluminated Flush Actuator with LED/ LED Bulb,"Illuminated Flush Actuator, Momentary",2ALRF1L(S),Metallic Series,2ALRF1L(S),,450,Piece,Each,1,"Teknic 2ALRF1L(S)- Illuminated Flush Actuator, Momentary, Colour- White",,,,,,Colour,White,Voltage Rating,230 V,,,,,,,,,,,,,,,,,,,1724910499-Product-200.1.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Teknic 2ALRF3L- Illuminated Flush Actuator, Momentary, Colour- Green, 230 V",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,llluminated Flush Actuator with LED/ LED Bulb,"Illuminated Flush Actuator, Momentary",2ALRF3L,Metallic Series,2ALRF3L,,285,Piece,Each,1,"Teknic 2ALRF3L- Illuminated Flush Actuator, Momentary, Colour- Green",,,,,,Colour,Green,Voltage Rating,230 V,,,,,,,,,,,,,,,,,,,1724910499-Product-200.1.PNG,,,18%,,7 Days,,,,,,,2,8-10 Days,
"Teknic 2ALRF4L- Illuminated Flush Actuator, Momentary, Colour- Red, 230 V",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,llluminated Flush Actuator with LED/ LED Bulb,"Illuminated Flush Actuator, Momentary",2ALRF4L,Metallic Series,2ALRF4L,,285,Piece,Each,1,"Teknic 2ALRF4L- Illuminated Flush Actuator, Momentary, Colour- Red",,,,,,Colour,Red,Voltage Rating,230 V,,,,,,,,,,,,,,,,,,,1724910499-Product-200.1.PNG,,,18%,,7 Days,,,,,,,2,8-10 Days,
"Teknic 2ALRF5L- Illuminated Flush Actuator, Momentary, Colour- Amber, 230 V",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,llluminated Flush Actuator with LED/ LED Bulb,"Illuminated Flush Actuator, Momentary",2ALRF5L,Metallic Series,2ALRF5L,,285,Piece,Each,1,"Teknic 2ALRF5L- Illuminated Flush Actuator, Momentary, Colour- Amber",,,,,,Colour,Amber,Voltage Rating,230 V,,,,,,,,,,,,,,,,,,,1724910499-Product-200.1.PNG,,,18%,,7 Days,,,,,,,2,8-10 Days,
"Teknic 2ALRF6L- Illuminated Flush Actuator, Momentary, Colour- Blue, 230 V",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,llluminated Flush Actuator with LED/ LED Bulb,"Illuminated Flush Actuator, Momentary",2ALRF6L,Metallic Series,2ALRF6L,,580,Piece,Each,1,"Teknic 2ALRF6L- Illuminated Flush Actuator, Momentary, Colour- Blue",,,,,,Colour,Blue,Voltage Rating,230 V,,,,,,,,,,,,,,,,,,,1724910499-Product-200.1.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Teknic 2ALRF7L(S)- Illuminated Flush Actuator, Momentary, Colour- White, 230 V",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,llluminated Flush Actuator with LED/ LED Bulb,"Illuminated Flush Actuator, Momentary",2ALRF7L(S),Metallic Series,2ALRF7L(S),,450,Piece,Each,1,"Teknic 2ALRF7L(S)- Illuminated Flush Actuator, Momentary, Colour- White",,,,,,Colour,White,Voltage Rating,230 V,,,,,,,,,,,,,,,,,,,1724910499-Product-200.1.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Teknic 2ALRF8L- Illuminated Flush Actuator, Momentary, Colour- Yellow, 230 V",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,llluminated Flush Actuator with LED/ LED Bulb,"Illuminated Flush Actuator, Momentary",2ALRF8L,Metallic Series,2ALRF8L,,285,Piece,Each,1,"Teknic 2ALRF8L- Illuminated Flush Actuator, Momentary, Colour- Yellow",,,,,,Colour,Yellow,Voltage Rating,230 V,,,,,,,,,,,,,,,,,,,1724910499-Product-200.1.PNG,,,18%,,7 Days,,,,,,,2,8-10 Days,
"Teknic 2ALF1LB(S)- Illuminated Flush Actuator, Momentary, Colour- White, 230 V",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,llluminated Flush Actuator with LED/ LED Bulb,"Illuminated Flush Actuator, Momentary",2ALF1LB(S),Metallic Series,2ALF1LB(S),,510,Piece,Each,1,"Teknic 2ALF1LB(S)- Illuminated Flush Actuator, Momentary, Colour- White",,,,,,Colour,White,Voltage Rating,230 V,,,,,,,,,,,,,,,,,,,1724910627-Product-200.2.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Teknic 2ALF3LB- Illuminated Flush Actuator, Momentary, Colour- Green, 230 V",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,llluminated Flush Actuator with LED/ LED Bulb,"Illuminated Flush Actuator, Momentary",2ALF3LB,Metallic Series,2ALF3LB,,280,Piece,Each,1,"Teknic 2ALF3LB- Illuminated Flush Actuator, Momentary, Colour- Green",,,,,,Colour,Green,Voltage Rating,230 V,,,,,,,,,,,,,,,,,,,1724910627-Product-200.2.PNG,,,18%,,7 Days,,,,,,,2,8-10 Days,
"Teknic 2ALF4LB- Illuminated Flush Actuator, Momentary, Colour- Red, 230 V",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,llluminated Flush Actuator with LED/ LED Bulb,"Illuminated Flush Actuator, Momentary",2ALF4LB,Metallic Series,2ALF4LB,,280,Piece,Each,1,"Teknic 2ALF4LB- Illuminated Flush Actuator, Momentary, Colour- Red",,,,,,Colour,Red,Voltage Rating,230 V,,,,,,,,,,,,,,,,,,,1724910627-Product-200.2.PNG,,,18%,,7 Days,,,,,,,2,8-10 Days,
