Name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Teknic 2ASLR1L(S)-3P- 3 Position Illuminated Selector Actuator, Colour- White, 6-48 V",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,Illuminated Selector with LED,3 Position Illuminated Selector Actuator,2ASLR1L(S)-3P,Metallic Series,2ASLR1L(S)-3P,,635,Piece,Each,1,"Teknic 2ASLR1L(S)-3P- 3 Position Illuminated Selector Actuator, Colour- White, 6-48 V",,,,,,Colour,White,Voltage Rating,6-48 V,,,,,,,,,,,,,,,,,,,1724994133-Product-600.1.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Teknic 2ASLR3L-3P- 3 Position Illuminated Selector Actuator, Colour- Green, 6-48 V",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,Illuminated Selector with LED,3 Position Illuminated Selector Actuator,2ASLR3L-3P,Metallic Series,2ASLR3L-3P,,490,Piece,Each,1,"Teknic 2ASLR3L-3P- 3 Position Illuminated Selector Actuator, Colour- Green, 6-48 V",,,,,,Colour,Green,Voltage Rating,6-48 V,,,,,,,,,,,,,,,,,,,1724994133-Product-600.1.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Teknic 2ASLR4L-3P- 3 Position Illuminated Selector Actuator, Colour- Red, 6-48 V",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,Illuminated Selector with LED,3 Position Illuminated Selector Actuator,2ASLR4L-3P,Metallic Series,2ASLR4L-3P,,490,Piece,Each,1,"Teknic 2ASLR4L-3P- 3 Position Illuminated Selector Actuator, Colour- Red, 6-48 V",,,,,,Colour,Red,Voltage Rating,6-48 V,,,,,,,,,,,,,,,,,,,1724994133-Product-600.1.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Teknic 2ASLR5L-3P- 3 Position Illuminated Selector Actuator, Colour- Amber, 6-48 V",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,Illuminated Selector with LED,3 Position Illuminated Selector Actuator,2ASLR5L-3P,Metallic Series,2ASLR5L-3P,,490,Piece,Each,1,"Teknic 2ASLR5L-3P- 3 Position Illuminated Selector Actuator, Colour- Amber, 6-48 V",,,,,,Colour,Amber,Voltage Rating,6-48 V,,,,,,,,,,,,,,,,,,,1724994133-Product-600.1.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Teknic 2ASLR6L-3P- 3 Position Illuminated Selector Actuator, Colour- Blue, 6-48 V",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,Illuminated Selector with LED,3 Position Illuminated Selector Actuator,2ASLR6L-3P,Metallic Series,2ASLR6L-3P,,740,Piece,Each,1,"Teknic 2ASLR6L-3P- 3 Position Illuminated Selector Actuator, Colour- Blue, 6-48 V",,,,,,Colour,Blue,Voltage Rating,6-48 V,,,,,,,,,,,,,,,,,,,1724994133-Product-600.1.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Teknic 2ASLR7L(S)-3P- 3 Position Illuminated Selector Actuator, Colour- White, 6-48 V",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,Illuminated Selector with LED,3 Position Illuminated Selector Actuator,2ASLR7L(S)-3P,Metallic Series,2ASLR7L(S)-3P,,635,Piece,Each,1,"Teknic 2ASLR7L(S)-3P- 3 Position Illuminated Selector Actuator, Colour- White, 6-48 V",,,,,,Colour,White,Voltage Rating,6-48 V,,,,,,,,,,,,,,,,,,,1724994133-Product-600.1.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Teknic 2ASLR8L-3P- 3 Position Illuminated Selector Actuator, Colour- Yellow, 6-48 V",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,Illuminated Selector with LED,3 Position Illuminated Selector Actuator,2ASLR8L-3P,Metallic Series,2ASLR8L-3P,,490,Piece,Each,1,"Teknic 2ASLR8L-3P- 3 Position Illuminated Selector Actuator, Colour- Yellow, 6-48 V",,,,,,Colour,Yellow,Voltage Rating,6-48 V,,,,,,,,,,,,,,,,,,,1724994133-Product-600.1.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Teknic 2ASLR1L(S)-3PSR- 3 Position Illuminated Selector Actuator, Colour- White, 6-48 V",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,Illuminated Selector with LED,3 Position Illuminated Selector Actuator,2ASLR1L(S)-3PSR,Metallic Series,2ASLR1L(S)-3PSR,,775,Piece,Each,1,"Teknic 2ASLR1L(S)-3PSR- 3 Position Illuminated Selector Actuator, Colour- White, 6-48 V",,,,,,Colour,White,Voltage Rating,6-48 V,,,,,,,,,,,,,,,,,,,1724994133-Product-600.1.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Teknic 2ASLR3L-3PSR- 3 Position Illuminated Selector Actuator, Colour- Green, 6-48 V",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,Illuminated Selector with LED,3 Position Illuminated Selector Actuator,2ASLR3L-3PSR,Metallic Series,2ASLR3L-3PSR,,605,Piece,Each,1,"Teknic 2ASLR3L-3PSR- 3 Position Illuminated Selector Actuator, Colour- Green, 6-48 V",,,,,,Colour,Green,Voltage Rating,6-48 V,,,,,,,,,,,,,,,,,,,1724994133-Product-600.1.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Teknic 2ASLR4L-3PSR- 3 Position Illuminated Selector Actuator, Colour- Red, 6-48 V",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,Illuminated Selector with LED,3 Position Illuminated Selector Actuator,2ASLR4L-3PSR,Metallic Series,2ASLR4L-3PSR,,605,Piece,Each,1,"Teknic 2ASLR4L-3PSR- 3 Position Illuminated Selector Actuator, Colour- Red, 6-48 V",,,,,,Colour,Red,Voltage Rating,6-48 V,,,,,,,,,,,,,,,,,,,1724994133-Product-600.1.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
