c1_category,c2_category,leaf_category
Servo System,Servo System Accessories,"Regenerative Option, 200VAC/100VAC, 30W, 40 ohm"
Servo System,Servo System Accessories,"Regenerative Option, 200VAC/100VAC, 100W, 40 ohm"
Servo System,Servo System Accessories,"Regenerative Option, 200VAC/100VAC, 300W, 13 ohm"
Servo System,Servo System Accessories,"Regenerative Option, 200VAC/100VAC, 300W, 9 ohm"
Servo System,Servo System Accessories,"Regenerative Option, 200VAC/100VAC, 300W, 6.7 ohm"
Servo System,Servo System Accessories,"Regenerative Option, 200VAC/100VAC, 300W, 40 ohm"
Servo System,Servo System Accessories,"Regenerative Option, 200VAC/100VAC, 500W, 13 ohm"
Servo System,Servo System Accessories,"Regenerative Option, 200VAC/100VAC, 500W, 9 ohm"
Servo System,Servo System Accessories,"Regenerative Option, 200VAC/100VAC, 500W, 6.7 ohm"
Servo System,Servo System Accessories,"Regenerative Option, 200VAC/100VAC, 500 (800)W, 3.2 ohm"
Servo System,Servo System Accessories,"Regenerative Option, 200VAC/100VAC, 850 (1300)W, 40 ohm"
Servo System,Servo System Accessories,"Regenerative Option, 200VAC/100VAC, 850 (1300)W, 40 ohm"
Servo System,Servo System Accessories,"Regenerative Option, 200VAC/100VAC, 100W, 26 ohm"
Servo System,Servo System Accessories,"Regenerative Option, 200VAC/100VAC, 300W, 26 ohm"
Servo System,Servo System Accessories,"Regenerative Option, 200VAC/100VAC, 1300W, 1.3 ohm"
Servo System,Servo System Accessories,"Regenerative Option, 200VAC/100VAC, 3900W, 1.3 ohm"
Servo System,Servo System Accessories,"Regenerative Option, 400VAC, 100W, 82 ohm"
Servo System,Servo System Accessories,"Regenerative Option, 400VAC, 300W, 120 ohm"
Servo System,Servo System Accessories,"Regenerative Option, 400VAC, 300W, 47 ohm"
Servo System,Servo System Accessories,"Regenerative Option, 400VAC, 300W, 26 ohm"
Servo System,Servo System Accessories,"Regenerative Option, 400VAC, 300W, 22 ohm"
