c1_category,c2_category,leaf_category
PLC,Micro Modular PLC,3.5 inch Resistive Touch Display
PLC,Micro Modular PLC,4 lines LCD text Display
PLC,Micro Modular PLC,2 line LCD text Displayent Display
PLC,Micro Modular PLC,Independent Display
PLC,PLC Accessories,Miniature IO card
PLC,PLC Accessories,Miniature IO card
PLC,PLC Accessories,Miniature IO card
PLC,PLC Accessories,Miniature IO card
PLC,PLC Accessories,Miniature IO card
PLC,PLC Accessories,Miniature IO card
PLC,PLC Accessories,Miniature IO card
PLC,PLC Accessories,Miniature IO card
PLC,PLC Accessories,Miniature IO card
PLC,PLC Accessories,Miniature IO card
PLC,PLC Accessories,Miniature IO card
PLC,PLC Accessories,Miniature IO card
PLC,PLC Accessories,Miniature IO card
PLC,PLC Accessories,Miniature IO card
PLC,PLC Accessories,Miniature IO card
PLC,PLC Accessories,Miniature IO card
PLC,PLC Accessories,Miniature IO card
PLC,PLC Accessories,Miniature IO card
PLC,PLC Accessories,Miniature IO card
PLC,PLC Accessories,Miniature IO card
PLC,PLC Accessories,Miniature IO card
PLC,PLC Accessories,Miniature IO card
PLC,PLC Accessories,Miniature IO card
PLC,PLC Accessories,Miniature IO card
PLC,PLC Accessories,Miniature IO card
PLC,PLC Accessories,Miniature IO card
PLC,PLC Accessories,Miniature IO card
PLC,PLC Accessories,Miniature IO card
PLC,PLC Accessories,Miniature IO card
PLC,PLC Accessories,Miniature IO card
PLC,PLC Accessories,Miniature IO card
PLC,PLC Accessories,Flexys Graphic - 3.5 Resistive Touch Screen
PLC,PLC Accessories,"Flexys Graphic - Logic card - RTC, MODBUS Expansion"
PLC,PLC Accessories,"Flexys Graphic - Power Supply Card - 230VAC, 4 Digital Inputs"
PLC,PLC Accessories,"Flexys Graphic - Power Supply Card - 24VDC, 4 Digital Inputs"
PLC,PLC Accessories,"Logic card RTC, MODBUS"
PLC,PLC Accessories,"Power Supply Card - 24VDC, 4 Digital Inputs"
PLC,PLC Accessories,"Power Supply Card 24VDC, 4 Digital Inputs"
PLC,PLC Accessories,"Logic Card RTC, MODBUS"
PLC,PLC Accessories,Base Card
PLC,PLC Accessories,Power Supply Card 230VAC
PLC,PLC Accessories,10 Digital Inputs Card
PLC,PLC Accessories,14 Digital Inputs Card
PLC,PLC Accessories,8 Channel Relay Output Card
PLC,PLC Accessories,8 Channel Transistor Output Card
PLC,PLC Accessories,"4 Digital Input, 4 Digital Output Card"
PLC,PLC Accessories,6 Channel Analog Input Card Voltage
PLC,PLC Accessories,6 Channel Analog Input Card Current
PLC,PLC Accessories,4 Channel Analog Input Card RTD (PT-100)
PLC,PLC Accessories,4 Channel Analog Input Card Thermocouple
PLC,PLC Accessories,"3 Channel Analog Input NTC, 3 Channel Analog Input Current Card"
PLC,PLC Accessories,4 Channel Analog Output Card Voltage
PLC,PLC Accessories,4 Channel Analog Output Card Current
PLC,PLC Accessories,"3 Channel Analog Input Universal, 2 Channel Analog Output Universal Card"
PLC,PLC Accessories,4 Channel Loadcell Input Card
PLC,PLC Accessories,Expansion Slot Flexys IO Cards
PLC,PLC Accessories,Independent Remote IO base card
PLC,Compact PLC,"Rail Mount- PLC 8DI, 5RO & 230VAC"
PLC,Compact PLC,"Rail Mount- PLC 8DI, 5RO & 230VAC RTC and MODBUS Expansion"
PLC,Compact PLC,"Rail Mount- PLC 10DI, 8RO, 2AI-V/2DI & 24VDC MODBUS Expansion"
PLC,Compact PLC,"Rail Mount- PLC 10DI, 6TO & 24VDC RTC and MODBUS Expansion"
PLC,Compact PLC,"Panel Mount- PLC 3DI, 2RO, 2TO, 3AI (1TC/RTD, 1I, 1V/1DI) & 230VAC"
PLC,Compact PLC,"Panel Mount- PLC 6DI, 4RO, 1AI (TC/RTD) & 230VAC"
PLC,Compact PLC,"Panel Mount- PLC 6DI, 5RO, 6AI (2TC/RTD, 2I, 2V/2DI), 1AO(V/I) & 230VAC"
PLC,Compact PLC,"Panel Mount- PLC 8DI, 6DO, 1AI (TC/RTD) & 24VDC"
PLC,Compact PLC,Compact PLC- Panel & Rail Mount
PLC,Compact PLC,Compact PLC-Panel & Rail Mount
