c1_category,c2_category,leaf_category
Low Voltage Switch Gear,RCCB,"Acti 9 Residual Current Circuit Breaker 25 A, 2 Pole, 30 mA, AC Class"
Low Voltage Switch Gear,RCCB,"Acti 9 Residual Current Circuit Breaker 25 A, 2 Pole, 100 mA, AC Class"
Low Voltage Switch Gear,RCCB,"Acti 9 Residual Current Circuit Breaker 25 A, 2 Pole, 300 mA, AC Class"
Low Voltage Switch Gear,RCCB,"Acti 9 Residual Current Circuit Breaker 40 A, 2 Pole, 30 mA, AC Class"
Low Voltage Switch Gear,RCCB,"Acti 9 Residual Current Circuit Breaker 40 A, 2 Pole, 100 mA, AC Class"
Low Voltage Switch Gear,RCCB,"Acti 9 Residual Current Circuit Breaker 40 A, 2 Pole, 300 mA, AC Class"
Low Voltage Switch Gear,RCCB,"Acti 9 Residual Current Circuit Breaker 63 A, 2 Pole, 30 mA, AC Class"
Low Voltage Switch Gear,RCCB,"Acti 9 Residual Current Circuit Breaker 63 A, 2 Pole, 100 mA, AC Class"
Low Voltage Switch Gear,RCCB,"Acti 9 Residual Current Circuit Breaker 63 A, 2 Pole, 300 mA, AC Class"
Low Voltage Switch Gear,RCCB,"Acti 9 Residual Current Circuit Breaker 80 A, 2 Pole, 30 mA, AC Class"
Low Voltage Switch Gear,RCCB,"Acti 9 Residual Current Circuit Breaker 80 A, 2 Pole, 100 mA, AC Class"
Low Voltage Switch Gear,RCCB,"Acti 9 Residual Current Circuit Breaker 80 A, 2 Pole, 300 mA, AC Class"
Low Voltage Switch Gear,RCCB,"Acti 9 Residual Current Circuit Breaker 25 A, 4 Pole, 30 mA, AC Class"
Low Voltage Switch Gear,RCCB,"Acti 9 Residual Current Circuit Breaker 25 A, 4 Pole, 100 mA, AC Class"
Low Voltage Switch Gear,RCCB,"Acti 9 Residual Current Circuit Breaker 25 A, 4 Pole, 300 mA, AC Class"
Low Voltage Switch Gear,RCCB,"Acti 9 Residual Current Circuit Breaker 40 A, 4 Pole, 30 mA, AC Class"
Low Voltage Switch Gear,RCCB,"Acti 9 Residual Current Circuit Breaker 40 A, 4 Pole, 100 mA, AC Class"
Low Voltage Switch Gear,RCCB,"Acti 9 Residual Current Circuit Breaker 40 A, 4 Pole, 300 mA, AC Class"
Low Voltage Switch Gear,RCCB,"Acti 9 Residual Current Circuit Breaker 63 A, 4 Pole, 30 mA, AC Class"
Low Voltage Switch Gear,RCCB,"Acti 9 Residual Current Circuit Breaker 63 A, 4 Pole, 100 mA, AC Class"
Low Voltage Switch Gear,RCCB,"Acti 9 Residual Current Circuit Breaker 63 A, 4 Pole, 300 mA, AC Class"
Low Voltage Switch Gear,RCCB,"Acti 9 Residual Current Circuit Breaker 80 A, 4 Pole, 30 mA, AC Class"
Low Voltage Switch Gear,RCCB,"Acti 9 Residual Current Circuit Breaker 80 A, 4 Pole, 100 mA, AC Class"
Low Voltage Switch Gear,RCCB,"Acti 9 Residual Current Circuit Breaker 80 A, 4 Pole, 300 mA, AC Class"
