name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"A9N16201, Schneider Electric Acti 9 RCCB 25 A, 2 Pole, 30 mA, AC Class",Schneider Electric,Panel & Panel Accessories,Low Voltage Switch Gear,RCCB,"Acti 9 Residual Current Circuit Breaker 25 A, 2 Pole, 30 mA, AC Class",A9N16201,,A9N16201,,2421.36,Piece,Each,1,"A9N16201, Schneider Electric Acti 9 RCCB 25 A, 2 Pole, 30 mA, AC Class |",,,,,,Numbers of Pole,2 Pole,Rated Current,25 A,Network frequency,50 Hz,Mounting Support,DIN rail,Tripping Sensitivity,30 mA,Colour,White,,,,,,,,,,,1725431526-Product-sch 2 pole.PNG,,,18%,,,,,36 mm,81 mm,75 mm,210 g,1,10-12 Days,
"A9N16203, Schneider Electric Acti 9 RCCB 25 A, 2 Pole, 100 mA, AC Class",Schneider Electric,Panel & Panel Accessories,Low Voltage Switch Gear,RCCB,"Acti 9 Residual Current Circuit Breaker 25 A, 2 Pole, 100 mA, AC Class",A9N16203,,A9N16203,,2687.391,Piece,Each,1,"A9N16203, Schneider Electric Acti 9 RCCB 25 A, 2 Pole, 100 mA, AC Class",,,,,,Numbers of Pole,2 Pole,Rated Current,25 A,Network frequency,50 Hz,Mounting Support,DIN rail,Tripping Sensitivity,100 mA,Colour,White,,,,,,,,,,,1725431526-Product-sch 2 pole.PNG,,,18%,,,,,36 mm,81 mm,75 mm,210 g,1,10-12 Days,
"A9N16202, Schneider Electric Acti 9 RCCB 25 A, 2 Pole, 300 mA, AC Class",Schneider Electric,Panel & Panel Accessories,Low Voltage Switch Gear,RCCB,"Acti 9 Residual Current Circuit Breaker 25 A, 2 Pole, 300 mA, AC Class",A9N16202,,A9N16202,,2769.165,Piece,Each,1,"A9N16202, Schneider Electric Acti 9 RCCB 25 A, 2 Pole, 300 mA, AC Class",,,,,,Numbers of Pole,2 Pole,Rated Current,25 A,Network frequency,50 Hz,Mounting Support,DIN rail,Tripping Sensitivity,300 mA,Colour,White,,,,,,,,,,,1725431526-Product-sch 2 pole.PNG,,,18%,,,,,36 mm,81 mm,75 mm,210 g,1,10-12 Days,
"A9N16204, Schneider Electric Acti 9 RCCB 40 A, 2 Pole, 30 mA, AC Class",Schneider Electric,Panel & Panel Accessories,Low Voltage Switch Gear,RCCB,"Acti 9 Residual Current Circuit Breaker 40 A, 2 Pole, 30 mA, AC Class",A9N16204,,A9N16204,,2849.877,Piece,Each,1,"A9N16204, Schneider Electric Acti 9 RCCB 40 A, 2 Pole, 30 mA, AC Class",,,,,,Numbers of Pole,2 Pole,Rated Current,40 A,Network frequency,50 Hz,Mounting Support,DIN rail,Tripping Sensitivity,30 mA,Colour,White,,,,,,,,,,,1725431526-Product-sch 2 pole.PNG,,,18%,,,,,36 mm,81 mm,75 mm,210 g,1,10-12 Days,
"A9N16205, Schneider Electric Acti 9 RCCB 40 A, 2 Pole, 100 mA, AC Class",Schneider Electric,Panel & Panel Accessories,Low Voltage Switch Gear,RCCB,"Acti 9 Residual Current Circuit Breaker 40 A, 2 Pole, 100 mA, AC Class",A9N16205,,A9N16205,,3072.897,Piece,Each,1,"A9N16205, Schneider Electric Acti 9 RCCB 40 A, 2 Pole, 100 mA, AC Class",,,,,,Numbers of Pole,2 Pole,Rated Current,40 A,Network frequency,50 Hz,Mounting Support,DIN rail,Tripping Sensitivity,100 mA,Colour,White,,,,,,,,,,,1725431526-Product-sch 2 pole.PNG,,,18%,,,,,36 mm,81 mm,75 mm,210 g,1,10-12 Days,
"A9N16206, Schneider Electric Acti 9 RCCB 40 A, 2 Pole, 300 mA, AC Class",Schneider Electric,Panel & Panel Accessories,Low Voltage Switch Gear,RCCB,"Acti 9 Residual Current Circuit Breaker 40 A, 2 Pole, 300 mA, AC Class",A9N16206,,A9N16206,,3222.639,Piece,Each,1,"A9N16206, Schneider Electric Acti 9 RCCB 40 A, 2 Pole, 300 mA, AC Class",,,,,,Numbers of Pole,2 Pole,Rated Current,40 A,Network frequency,50 Hz,Mounting Support,DIN rail,Tripping Sensitivity,300 mA,Colour,White,,,,,,,,,,,1725431526-Product-sch 2 pole.PNG,,,18%,,,,,36 mm,81 mm,75 mm,210 g,1,10-12 Days,
"A9N16208, Schneider Electric Acti 9 RCCB 63 A, 2 Pole, 30 mA, AC Class",Schneider Electric,Panel & Panel Accessories,Low Voltage Switch Gear,RCCB,"Acti 9 Residual Current Circuit Breaker 63 A, 2 Pole, 30 mA, AC Class",A9N16208,,A9N16208,,3431.853,Piece,Each,1,"A9N16208, Schneider Electric Acti 9 RCCB 63 A, 2 Pole, 30 mA, AC Class",,,,,,Numbers of Pole,2 Pole,Rated Current,63 A,Network frequency,50 Hz,Mounting Support,DIN rail,Tripping Sensitivity,30 mA,Colour,White,,,,,,,,,,,1725431526-Product-sch 2 pole.PNG,,,18%,,,,,36 mm,81 mm,75 mm,210 g,1,10-12 Days,
"A9N16209, Schneider Electric Acti 9 RCCB 63 A, 2 Pole, 100 mA, AC Class",Schneider Electric,Panel & Panel Accessories,Low Voltage Switch Gear,RCCB,"Acti 9 Residual Current Circuit Breaker 63 A, 2 Pole, 100 mA, AC Class",A9N16209,,A9N16209,,3690.981,Piece,Each,1,"A9N16209, Schneider Electric Acti 9 RCCB 63 A, 2 Pole, 100 mA, AC Class",,,,,,Numbers of Pole,2 Pole,Rated Current,63 A,Network frequency,50 Hz,Mounting Support,DIN rail,Tripping Sensitivity,100 mA,Colour,White,,,,,,,,,,,1725431526-Product-sch 2 pole.PNG,,,18%,,,,,36 mm,81 mm,75 mm,210 g,1,10-12 Days,
"A9N16210, Schneider Electric Acti 9 RCCB 63 A, 2 Pole, 300 mA, AC Class",Schneider Electric,Panel & Panel Accessories,Low Voltage Switch Gear,RCCB,"Acti 9 Residual Current Circuit Breaker 63 A, 2 Pole, 300 mA, AC Class",A9N16210,,A9N16210,,3765.321,Piece,Each,1,"A9N16210, Schneider Electric Acti 9 RCCB 63 A, 2 Pole, 300 mA, AC Class",,,,,,Numbers of Pole,2 Pole,Rated Current,63 A,Network frequency,50 Hz,Mounting Support,DIN rail,Tripping Sensitivity,300 mA,Colour,White,,,,,,,,,,,1725431526-Product-sch 2 pole.PNG,,,18%,,,,,36 mm,81 mm,75 mm,210 g,1,10-12 Days,
"A9N16212, Schneider Electric Acti 9 RCCB 80 A, 2 Pole, 30 mA, AC Class",Schneider Electric,Panel & Panel Accessories,Low Voltage Switch Gear,RCCB,"Acti 9 Residual Current Circuit Breaker 80 A, 2 Pole, 30 mA, AC Class",A9N16212,,A9N16212,,5769.846,Piece,Each,1,"A9N16212, Schneider Electric Acti 9 RCCB 80 A, 2 Pole, 30 mA, AC Class",,,,,,Numbers of Pole,2 Pole,Rated Current,80 A,Network frequency,50 Hz,Mounting Support,DIN rail,Tripping Sensitivity,30 mA,Colour,White,,,,,,,,,,,1725431526-Product-sch 2 pole.PNG,,,18%,,,,,36 mm,81 mm,75 mm,210 g,1,10-12 Days,
"A9N16213, Schneider Electric Acti 9 RCCB 80 A, 2 Pole, 100 mA, AC Class",Schneider Electric,Panel & Panel Accessories,Low Voltage Switch Gear,RCCB,"Acti 9 Residual Current Circuit Breaker 80 A, 2 Pole, 100 mA, AC Class",A9N16213,,A9N16213,,5865.957,Piece,Each,1,"A9N16213, Schneider Electric Acti 9 RCCB 80 A, 2 Pole, 100 mA, AC Class",,,,,,Numbers of Pole,2 Pole,Rated Current,80 A,Network frequency,50 Hz,Mounting Support,DIN rail,Tripping Sensitivity,100 mA,Colour,White,,,,,,,,,,,1725431526-Product-sch 2 pole.PNG,,,18%,,,,,36 mm,81 mm,75 mm,210 g,1,10-12 Days,
"A9N16214, Schneider Electric Acti 9 RCCB 80 A, 2 Pole, 300 mA, AC Class",Schneider Electric,Panel & Panel Accessories,Low Voltage Switch Gear,RCCB,"Acti 9 Residual Current Circuit Breaker 80 A, 2 Pole, 300 mA, AC Class",A9N16214,,A9N16214,,5975.343,Piece,Each,1,"A9N16214, Schneider Electric Acti 9 RCCB 80 A, 2 Pole, 300 mA, AC Class",,,,,,Numbers of Pole,2 Pole,Rated Current,80 A,Network frequency,50 Hz,Mounting Support,DIN rail,Tripping Sensitivity,300 mA,Colour,White,,,,,,,,,,,1725431526-Product-sch 2 pole.PNG,,,18%,,,,,36 mm,81 mm,75 mm,210 g,1,10-12 Days,
"A9N16251, Schneider Electric-Acti 9 RCCB 25 A, 4 Pole, 30 mA, AC Class",Schneider Electric,Panel & Panel Accessories,Low Voltage Switch Gear,RCCB,"Acti 9 Residual Current Circuit Breaker 25 A, 4 Pole, 30 mA, AC Class",A9N16251,,A9N16251,,3398.931,Piece,Each,1,"A9N16251, Schneider Electric-Acti 9 RCCB 25 A, 4 Pole, 30 mA, AC Class",,,,,,Numbers of Pole,4 Pole,Rated Current,25 A,Network frequency,50 Hz,Mounting Support,DIN rail,Tripping Sensitivity,30 mA,Colour,White,,,,,,,,,,,1725431913-Product-sch 4 pole.PNG,,,18%,,,,,72 mm,81 mm,75 mm,370 g,1,10-12 Days,
"A9N16253, Schneider Electric-Acti 9 RCCB 25 A, 4 Pole, 100 mA, AC Class",Schneider Electric,Panel & Panel Accessories,Low Voltage Switch Gear,RCCB,"Acti 9 Residual Current Circuit Breaker 25 A, 4 Pole, 100 mA, AC Class",A9N16253,,A9N16253,,3611.862,Piece,Unit,1,"A9N16253, Schneider Electric-Acti 9 RCCB 25 A, 4 Pole, 100 mA, AC Class",,,,,,Numbers of Pole,4 Pole,Rated Current,25 A,Network frequency,50 Hz,Mounting Support,DIN rail,Tripping Sensitivity,100 mA,Colour,White,,,,,,,,,,,1725431913-Product-sch 4 pole.PNG,,,18%,,,,,72 mm,81 mm,75 mm,370 g,1,10-12 Days,
"A9N16252, Schneider Electric-Acti 9 RCCB 25 A, 4 Pole, 300 mA, AC Class",Schneider Electric,Panel & Panel Accessories,Low Voltage Switch Gear,RCCB,"Acti 9 Residual Current Circuit Breaker 25 A, 4 Pole, 300 mA, AC Class",A9N16252,,A9N16252,,3718.062,Piece,Unit,1,"A9N16252, Schneider Electric-Acti 9 RCCB 25 A, 4 Pole, 300 mA, AC Class",,,,,,Numbers of Pole,4 Pole,Rated Current,25 A,Network frequency,50 Hz,Mounting Support,DIN rail,Tripping Sensitivity,300 mA,Colour,White,,,,,,,,,,,1725431913-Product-sch 4 pole.PNG,,,18%,,,,,72 mm,81 mm,75 mm,370 g,1,10-12 Days,
"A9N16254, Schneider Electric-Acti 9 RCCB 40 A, 4 Pole, 30 mA, AC Class",Schneider Electric,Panel & Panel Accessories,Low Voltage Switch Gear,RCCB,"Acti 9 Residual Current Circuit Breaker 40 A, 4 Pole, 30 mA, AC Class",A9N16254,,A9N16254,,3345.831,Piece,Unit,1,"A9N16254, Schneider Electric-Acti 9 RCCB 40 A, 4 Pole, 30 mA, AC Class",,,,,,Numbers of Pole,4 Pole,Rated Current,40 A,Network frequency,50 Hz,Mounting Support,DIN rail,Tripping Sensitivity,30 mA,Colour,White,,,,,,,,,,,1725431913-Product-sch 4 pole.PNG,,,18%,,,,,72 mm,81 mm,75 mm,370 g,1,10-12 Days,
