c1_category,c2_category,leaf_category
Power Monitoring and Control,Basic Energy Metering,PowerLogic™ PowerTag
Power Monitoring and Control,Basic Energy Metering,PowerLogic™ PowerTag
Power Monitoring and Control,Basic Energy Metering,PowerLogic™ PowerTag
Power Monitoring and Control,Basic Energy Metering,PowerLogic™ PowerTag
Power Monitoring and Control,Basic Energy Metering,PowerLogic™ PowerTag
Power Monitoring and Control,Basic Energy Metering,PowerLogic™ PowerTag
Power Monitoring and Control,Basic Energy Metering,PowerLogic™ PowerTag
Power Monitoring and Control,Basic Energy Metering,PowerLogic™ PowerTag
Power Monitoring and Control,Basic Energy Metering,PowerLogic™ PowerTag
Power Monitoring and Control,Basic Energy Metering,PowerLogic™ PowerTag
Power Monitoring and Control,Basic Energy Metering,PowerLogic™ PowerTag
Power Monitoring and Control,Basic Energy Metering,PowerLogic™ PowerTag
Power Monitoring and Control,Basic Energy Metering,PowerLogic™ PowerTag
Power Monitoring and Control,Basic Energy Metering,PowerLogic™ PowerTag
Power Monitoring and Control,Basic Energy Metering,PowerLogic™ PowerTag
Power Monitoring and Control,Basic Energy Metering,PowerLogic™ PowerTag
Power Monitoring and Control,Basic Energy Metering,PowerLogic™ PowerTag
Power Monitoring and Control,Basic Energy Metering,PowerLogic™ PowerTag
Power Monitoring and Control,Smartlink,Smartlink Modbus
Power Monitoring and Control,Smartlink,PowerTag Link
Power Monitoring and Control,Smartlink,Smartlink SI-B
Electrical Protection and Control,Communication Auxiliaries,Mounting Kit for Din Rail
Electrical Protection and Control,Communication Auxiliaries,Prefabricated Cables M
Electrical Protection and Control,Communication Auxiliaries,Locking Clips for Multiclip 80
Electrical Protection and Control,Communication Auxiliaries,Connectors 5 Pin
Electrical Protection and Control,Communication Auxiliaries,Prefabricated Cables L
Electrical Protection and Control,Communication Auxiliaries,Prefabricated Cables S
Electrical Protection and Control,Communication Auxiliaries,SEMI - Prefabricated Cables U
Power Monitoring and Control,Basic Energy Metering,"PowerLogic™ PM3200 Series, Power Meter + 2 DIDO"
Power Monitoring and Control,Basic Energy Metering,"PowerLogic™ PM3200 Series, Power Meter With RS-485 Port"
Power Monitoring and Control,Basic Energy Metering,"PowerLogic™ PM3200 Series, Power Meter With Pulse Output"
Power Monitoring and Control,Basic Energy Metering,Power And Energy Meter
Power Monitoring and Control,Basic Energy Metering,Power And Energy Meter
Power Monitoring and Control,Basic Energy Metering,Energy Meter With Pulse Output
Power Monitoring and Control,Basic Energy Metering,"Energy Meter, RS-485"
Power Monitoring and Control,Basic Energy Metering,"Advanced Multi-Tariff Energy Meter, RS-485"
Power Monitoring and Control,Basic Energy Metering,"Advanced Multi-Tariff Energy Meter, BACnet MS/TP"
Power Monitoring and Control,Basic Energy Metering,Basic Energy Meter
Power Monitoring and Control,Basic Energy Metering,Energy Meter With Pulse Output
Power Monitoring and Control,Basic Energy Metering,"Advanced Multi-Tariff Energy Meter, M-Bus"
Power Monitoring and Control,Basic Energy Metering,"Energy Meter, RS-485"
Power Monitoring and Control,Basic Energy Metering,"Advanced Multi-Tariff Energy Meter, RS-485"
Power Monitoring and Control,Basic Energy Metering,"Advanced Multi-Tariff Energy Meter, BACnet MS/TP"
Power Monitoring and Control,Basic Energy Metering,Basic Energy Meter
Power Monitoring and Control,Basic Energy Metering,Energy Meter With Pulse Output
Power Monitoring and Control,Basic Energy Metering,"Energy Meter, RS-485"
Power Monitoring and Control,Basic Energy Metering,"Advanced Multi-Tariff Energy Meter, RS-485"
Power Monitoring and Control,Basic Energy Metering,"Advanced Multi-Tariff Energy Meter, BACnet MS/TP"
