name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
Schneider PAS600L-Panel Server Universal with 24V DC Power Supply,Schneider,Panel & Panel Accessories,Power Monitoring and Control,Ethernet Communication Gateway,Panel Server Universal with 24V DC Power Supply,PAS600L,,PAS600L,,41924,Piece,Each,1,Schneider PAS600L-Panel Server Universal with 24V DC Power Supply,,,,,,Range,EcoStruxure,Product Name,Panel Server Universal,Component Type,Gateway,Rated Supply Voltage,24 VDC,,,,,,,,,,,,,,,1725532059-Product-Panel Server.PNG,,,18%,,,,,,,,,1,08-10 Days,
Schneider PAS600-Panel Server Universal with 100-277 V AC/DC Power Supply,Schneider,Panel & Panel Accessories,Power Monitoring and Control,Ethernet Communication Gateway,Panel Server Universal with 100-277 V AC/DC Power Supply,PAS600,,PAS600,,41924,Piece,Each,1,Schneider PAS600-Panel Server Universal with 100-277 V AC/DC Power Supply,,,,,,Range,EcoStruxure,Product Name,Panel Server Universal,Component Type,Gateway,Rated Supply Voltage,110...277 VAC,,,,,,,,,,,,,,,1725532059-Product-Panel Server.PNG,,,18%,,,,,,,,,1,08-10 Days,
Schneider PAS400-Panel Server Entry with 110-277VACDC,Schneider,Panel & Panel Accessories,Power Monitoring and Control,Ethernet Communication Gateway,Panel Server Entry with 110-277VACDC,PAS400,,PAS400,,25900,Piece,Each,1,Schneider PAS400-Panel Server Entry with 110-277VACDC,,,,,,Range,EcoStruxure,Product Name,Panel Server Universal,Component Type,Gateway,Rated Supply Voltage,110...277 VAC,,,,,,,,,,,,,,,1725532059-Product-Panel Server.PNG,,,18%,,,,,,,,,1,08-10 Days,
Schneider PAS800-Panel Server Advanced with 110-277VACDC,Schneider,Panel & Panel Accessories,Power Monitoring and Control,Ethernet Communication Gateway,Panel Server Advanced with 110-277VACDC,PAS800,,PAS800,,77700,Piece,Each,1,Schneider PAS800-Panel Server Advanced with 110-277VACDC,,,,,,Range,EcoStruxure,Product Name,Panel Server Universal,Component Type,Gateway,Rated Supply Voltage,110...277 VAC,,,,,,,,,,,,,,,1725532059-Product-Panel Server.PNG,,,18%,,,,,,,,,1,08-10 Days,
Schneider PAS800L-Panel Server Advanced with 24VDC,Schneider,Panel & Panel Accessories,Power Monitoring and Control,Ethernet Communication Gateway,Panel Server Advanced with 24VDC,PAS800L,,PAS800L,,77700,Piece,Each,1,Schneider PAS800L-Panel Server Advanced with 24VDC,,,,,,Range,EcoStruxure,Product Name,Panel Server Universal,Component Type,Gateway,Rated Supply Voltage,24 VDC,,,,,,,,,,,,,,,1725532059-Product-Panel Server.PNG,,,18%,,,,,,,,,1,08-10 Days,
"Schneider 30002572-EM1200 CI0.5 RS, Power & Energy Meter for Electrical Load & Energy Monitoring",Schneider,Panel & Panel Accessories,Power Monitoring and Control,Easylogic Energy Meters,"EM1200 CI0.5 RS, Power & Energy Meter for Electrical Load & Energy Monitoring",30002572,,30002572,,5629,Piece,Each,1,"Schneider 30002572-EM1200 CI0.5 RS, Power & Energy Meter for Electrical Load & Energy Monitoring",,,,,,Range,EasyLogic,Product Name,EasyLogic EM7200,Component Type,Smart Demand Controller,,,,,,,,,,,,,,,,,1725532080-Product-Power & Energy.PNG,,,18%,,,,,,,,,1,08-10 Days,
"Schneider 30002571-EM1000 CI0.5 POP, Power & Energy Meter for Electrical Load & Energy Monitoring",Schneider,Panel & Panel Accessories,Power Monitoring and Control,Easylogic Energy Meters,"EM1000 CI0.5 POP, Power & Energy Meter for Electrical Load & Energy Monitoring",30002571,,30002571,,4832,Piece,Each,1,"Schneider 30002571-EM1000 CI0.5 POP, Power & Energy Meter for Electrical Load & Energy Monitoring",,,,,,Range,EasyLogic,Product Name,EasyLogic EM7200,Component Type,Smart Demand Controller,,,,,,,,,,,,,,,,,1725532080-Product-Power & Energy.PNG,,,18%,,,,,,,,,1,08-10 Days,
"Schneider 30002565-EM1200 CI1.0 RS, Power & Energy Meter for Electrical Load & Energy Monitoring",Schneider,Panel & Panel Accessories,Power Monitoring and Control,Easylogic Energy Meters,"EM1200 CI1.0 RS, Power & Energy Meter for Electrical Load & Energy Monitoring",30002565,,30002565,,4639,Piece,Each,1,"Schneider 30002565-EM1200 CI1.0 RS, Power & Energy Meter for Electrical Load & Energy Monitoring",,,,,,Range,EasyLogic,Product Name,EasyLogic EM7200,Component Type,Smart Demand Controller,,,,,,,,,,,,,,,,,1725532080-Product-Power & Energy.PNG,,,18%,,,,,,,,,1,08-10 Days,
"Schneider 30002568-EM1000 CI1.0 POP, Power & Energy Meter for Electrical Load & Energy Monitoring",Schneider,Panel & Panel Accessories,Power Monitoring and Control,Easylogic Energy Meters,"EM1000 CI1.0 POP, Power & Energy Meter for Electrical Load & Energy Monitoring",30002568,,30002568,,3822,Piece,Each,1,"Schneider 30002568-EM1000 CI1.0 POP, Power & Energy Meter for Electrical Load & Energy Monitoring",,,,,,Range,EasyLogic,Product Name,EasyLogic EM7200,Component Type,Smart Demand Controller,,,,,,,,,,,,,,,,,1725532080-Product-Power & Energy.PNG,,,18%,,,,,,,,,1,08-10 Days,
"Schneider 30002570-DM6300 CI0.5 RS, High Durability, Sleek LCD Display VAF+PF Meters",Schneider,Panel & Panel Accessories,Power Monitoring and Control,Easylogic Energy Meters,"DM6300 CI0.5 RS, High Durability, Sleek LCD Display VAF+PF Meters",30002570,,30002570,,4660,Piece,Each,1,"Schneider 30002570-DM6300 CI0.5 RS, High Durability, Sleek LCD Display VAF+PF Meters",,,,,,Range,EasyLogic,Product Name,EasyLogic EM7200,Component Type,Smart Demand Controller,,,,,,,,,,,,,,,,,1725532080-Product-Power & Energy.PNG,,,18%,,,,,,,,,1,08-10 Days,
