c1_category,c2_category,leaf_category
Low Voltage Switch Gear,MCB,"MCB, B Curve, 6 Amp-32 Amp, Single Pole, 240 V"
Low Voltage Switch Gear,MCB,"MCB, B Curve, 40 Amp, Single Pole, 240 V"
Low Voltage Switch Gear,MCB,"MCB, C Curve, 0.5 Amp-5 Amp, Single Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, C Curve, 6 Amp-32 Amp, Single Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, C Curve, 40 Amp, Single Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, C Curve, 50 Amp, Single Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, C Curve, 63 Amp, Single Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, C Curve, 0.5 Amp-5 Amp, Three Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, C Curve, 6 Amp-32 Amp, Three Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, C Curve, 40 Amp, Three Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, C Curve, 50 Amp, Three Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, C Curve, 63 Amp, Three Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, C Curve, 0.5 Amp-5 Amp, Single Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, C Curve, 6 Amp-32 Amp, Single Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, C Curve, 40 Amp, Single Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, C Curve, 50 Amp, Single Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, C Curve, 63 Amp, Single Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, C Curve, 0.5 Amp-5 Amp, Three Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, C Curve, 6 Amp-32 Amp, Three Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, C Curve, 40 Amp, Three Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, C Curve, 50 Amp, Three Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, C Curve, 63 Amp, Three Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, C Curve, 0.5 Amp-5 Amp, Double Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, C Curve, 6 Amp-32 Amp, Double Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, C Curve, 40 Amp, Double Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, C Curve, 50 Amp, Double Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, C Curve, 63 Amp, Double Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, C Curve, 0.5 Amp-5 Amp, Four Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, C Curve, 6 Amp-32 Amp, Four Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, C Curve, 40 Amp, Four Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, C Curve, 50 Amp, Four Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, C Curve, 63 Amp, Four Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, C Curve, 80 Amp, Single Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, C Curve, 100 Amp, Single Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, C Curve, 125 Amp, Single Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, C Curve, 80 Amp, Double Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, C Curve, 100 Amp, Double Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, C Curve, 125 Amp, Double Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, C Curve, 80 Amp, Three Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, C Curve, 100 Amp, Three Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, C Curve, 125 Amp, Three Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, C Curve, 80 Amp, Four Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, C Curve, 100 Amp, Four Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, C Curve, 125 Amp, Four Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, DC Curve, 0.5 Amp-5 Amp, Single Pole, 220 V"
Low Voltage Switch Gear,MCB,"MCB, DC Curve, 6 Amp-32 Amp, Single Pole, 220 V"
Low Voltage Switch Gear,MCB,"MCB, DC Curve, 40 Amp, Single Pole, 220 V"
Low Voltage Switch Gear,MCB,"MCB, DC Curve, 50 Amp-63 Amp, Single Pole, 220 V"
Low Voltage Switch Gear,MCB,"MCB, DC Curve, 0.5 Amp-5 Amp, Double Pole, 220 V"
Low Voltage Switch Gear,MCB,"MCB, DC Curve, 6 Amp-32 Amp, Double Pole, 220 V"
Low Voltage Switch Gear,MCB,"MCB, DC Curve, 40 Amp, Double Pole, 220 V"
Low Voltage Switch Gear,MCB,"MCB, DC Curve, 50 Amp-63 Amp, Double Pole, 220 V"
Low Voltage Switch Gear,MCB,"MCB, DC Curve, 0.5 Amp-5 Amp, Single Pole"
Low Voltage Switch Gear,MCB,"MCB, DC Curve, 6 Amp-32 Amp, Single Pole"
Low Voltage Switch Gear,MCB,"MCB, DC Curve, 40 Amp, Single Pole"
Low Voltage Switch Gear,MCB,"MCB, DC Curve, 50 Amp-63 Amp, Single Pole"
Low Voltage Switch Gear,MCB,"MCB, C Curve, 6 Amp-32 Amp, Single Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, C Curve, 6 Amp-32 Amp, Double Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, 40 Amp, Single Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, 63 Amp, Single Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, 40 Amp, Three Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, 63 Amp, Three Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, 80 Amp, Three Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, 100 Amp, Three Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, 125 Amp, Three Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, 40 Amp, Double Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, 63 Amp, Double Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, 80 Amp, Double Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, 100 Amp, Double Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, 125 Amp, Double Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, 40 Amp, Four Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, 63 Amp, Four Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, 80 Amp, Four Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, 100 Amp, Four Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, 125 Amp, Four Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, 40 Amp, Double Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, Two Way Centre Off, 25 Amp, Double Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, Two Way Centre Off, 40 Amp, Double Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, Two Way Centre Off, 63 Amp, Double Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, Two Way Centre Off, 25 Amp, Four Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, Two Way Centre Off, 40 Amp, Four Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, Two Way Centre Off, 63 Amp, Four Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, AC Type, 16 Amp, Double Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, AC Type, 25 Amp, Double Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, AC Type, 32 Amp, Double Pole, 240 V/415V"
Low Voltage Switch Gear,MCB,"MCB, AC Type, 40 Amp, Double Pole, 240 V/415V"
