c1_category,c2_category,leaf_category
Connectors,Terminal Blocks,Touch-Down Terminals with Spring-loaded Captive Screws
Connectors,Terminal Blocks,Touch-Down Terminals with Spring-loaded Captive Screws
Connectors,Terminal Blocks,Touch-Down Terminals with Spring-loaded Captive Screws
Connectors,Terminal Blocks,Touch-Down Terminals with Spring-loaded Captive Screws
Fastners,Plain Washer,Stainless Steel 304 Plain Washers
Hose Clamp,Screw Hose Clamp,66 -76 mm Double Wire Screw Hose Clamp - Galvanised
Pneumatic Component,Fittings,"Alumina Aluminium Inline Connector, 2.5 sq. mm, 300 MHz"
Relay,Industrial Relays Thin Phase Sequence/Loss,Three-phase Phase-sequence Phase-loss Relay Using Voltage Detection Method
Pneumatic Component,Fitting,"Brass Threaded Hexagon Bush 1.1/4"" BSP PM x 1"" BSP PF"
Harmony,Miniature Plug-in Relay,Miniature plug-in relay - Harmony RXM2L - 2 C/O - 120 V AC - 5 A - with LED
Fastners,Nut Bolt,M3 GI Hex Nut ET6133
Copper & Brass Fitting,Copper Fittings,"Copper Reducer Coupling 3/4"" x 5/8"""
Copper & Brass Fitting,Copper Fittings,"Copper Reducer Coupling 7/8"" x 3/4"" CXC"
Copper & Brass Fitting,Copper Fittings,"Copper Reducing Coupling 1-3/8"" X 1-1/8"", C X C"
Copper & Brass Fitting,Copper Fittings,"Copper Reducer Coupling 1/2"" x 3/8"""
Copper & Brass Fitting,Copper Fittings,Copper Reducer Coupling – 1 3/8 x 3/4
