Name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Teknic AML2- Mushroom Head Actuators Latching Type, Black",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,Non Illuminated Actuators,Mushroom Head Actuators Latching Type,AML2,,AML2,,220,Piece,Each,1,"Teknic AML2- Mushroom Head Actuators Latching Type, Black",,,,,,Colour,Black,Type,Mushroom Latching,,,,,,,,,,,,,,,,,,,1725861547-Product-ni 1.PNG,,,18%,,,,,,,,,2,8-10 Days,
"Teknic AML4- Mushroom Head Actuators Latching Type, Red",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,Non Illuminated Actuators,Mushroom Head Actuators Latching Type,AML4,,AML4,,220,Piece,Each,1,"Teknic AML4- Mushroom Head Actuators Latching Type, Red",,,,,,Colour,Red,Type,Mushroom Latching,,,,,,,,,,,,,,,,,,,1725861547-Product-ni 1.PNG,,,18%,,,,,,,,,2,8-10 Days,
"Teknic AMLJ2- Mushroom Head Actuators Jumbo Mushroom Latching Type, Black",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,Non Illuminated Actuators,Mushroom Head Actuators Jumbo Mushroom Latching Type,AMLJ2,,AMLJ2,,310,Piece,Each,1,"Teknic AMLJ2- Mushroom Head Actuators Jumbo Mushroom Latching Type, Black",,,,,,Colour,Black,Type,Jumbo Mushroom Latching,,,,,,,,,,,,,,,,,,,1725861555-Product-ni 2.PNG,,,18%,,,,,,,,,1,8-10 Days,
"Teknic AMLJ4- Mushroom Head Actuators Jumbo Mushroom Latching Type, Red",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,Non Illuminated Actuators,Mushroom Head Actuators Jumbo Mushroom Latching Type,AMLJ4,,AMLJ4,,310,Piece,Each,1,"Teknic AMLJ4- Mushroom Head Actuators Jumbo Mushroom Latching Type, Red",,,,,,Colour,Red,Type,Jumbo Mushroom Latching,,,,,,,,,,,,,,,,,,,1725861555-Product-ni 2.PNG,,,18%,,,,,,,,,1,8-10 Days,
"Teknic AMLKB4- Mushroom Head Actuators Key Mushroom Latching Type, Red",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,Non Illuminated Actuators,Mushroom Head Actuators Key Mushroom Latching Type,AMLKB4,,AMLKB4,,425,Piece,Each,1,"Teknic AMLKB4- Mushroom Head Actuators Key Mushroom Latching Type, Red",,,,,,Colour,Red,Type,Key Mushroom Latching,,,,,,,,,,,,,,,,,,,1725861560-Product-ni 3.PNG,,,18%,,,,,,,,,1,8-10 Days,
"Teknic AS2-2P- 2 Position Stayput Selector Actuators, Black",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,Non Illuminated Actuators,2 Position Stayput Selector Actuators,AS2-2P,,AS2-2P,,275,Piece,Each,1,"Teknic AS2-2P- 2 Position Stayput Selector Actuators, Black",,,,,,Colour,Black,Type,2 Position Stayput,,,,,,,,,,,,,,,,,,,1725861565-Product-ni 4.PNG,,,18%,,,,,,,,,2,8-10 Days,
"Teknic AS2-2PSR- 2 Position Momentary Selector Actuators, Black",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,Non Illuminated Actuators,2 Position Momentary Selector Actuators,AS2-2PSR,,AS2-2PSR,,275,Piece,Each,1,"Teknic AS2-2PSR- 2 Position Momentary Selector Actuators, Black",,,,,,Colour,Black,Type,2 Position Momentary,,,,,,,,,,,,,,,,,,,1725861565-Product-ni 4.PNG,,,18%,,,,,,,,,2,8-10 Days,
"Teknic AS2-3P- 3 Position Stayput Selector Actuators, Black",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,Non Illuminated Actuators,3 Position Stayput Selector Actuators,AS2-3P,,AS2-3P,,275,Piece,Each,1,"Teknic AS2-3P- 3 Position Stayput Selector Actuators, Black",,,,,,Colour,Black,Type,3 Position Stayput,,,,,,,,,,,,,,,,,,,1725861565-Product-ni 4.PNG,,,18%,,,,,,,,,2,8-10 Days,
"Teknic AK-2PB- 2 Position Stayput Key Selector, 2 Position Stayput",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,Non Illuminated Actuators,2 Position Stayput Key Selector,AK-2PB,,AK-2PB,,410,Piece,Each,1,"Teknic AK-2PB- 2 Position Stayput Key Selector, 2 Position Stayput",,,,,,Colour,Black,Type,2 Position Stayput,,,,,,,,,,,,,,,,,,,1725862555-Product-wes1.PNG,,,18%,,,,,,,,,1,8-10 Days,
"Teknic AK-2PO- 2 Position Stayput Key Selector, 2 Position Stayput",Teknic Electric,Panel & Panel Accessories,Control & Signalling Devices,Non Illuminated Actuators,2 Position Stayput Key Selector,AK-2PO,,AK-2PO,,410,Piece,Each,1,"Teknic AK-2PO- 2 Position Stayput Key Selector, 2 Position Stayput",,,,,,Colour,Black,Type,2 Position Stayput,,,,,,,,,,,,,,,,,,,1725862555-Product-wes1.PNG,,,18%,,,,,,,,,1,8-10 Days,
