Name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Teknic 2PLL1- Lens for Pilot Lights with Filament Bulb, TransWhite",Teknic Electric,Panel & Panel Accessories,Accessories for Control & Signalling Devices,Indicator Lights,Lens for Pilot Lights with Filament Bulb,2PLL1,,2PLL1,,36,Piece,Each,1,"Teknic 2PLL1- Lens for Pilot Lights with Filament Bulb, TransWhite",,,,,,Colour,TransWhite,,,,,,,,,,,,,,,,,,,,,1725947941-Product-ki1.PNG,,,18%,,,,,,,,,10,8-10 Days,
"Teknic 2PLL3- Lens for Pilot Lights with Filament Bulb, Green",Teknic Electric,Panel & Panel Accessories,Accessories for Control & Signalling Devices,Indicator Lights,Lens for Pilot Lights with Filament Bulb,2PLL3,,2PLL3,,36,Piece,Each,1,"Teknic 2PLL3- Lens for Pilot Lights with Filament Bulb, Green",,,,,,Colour,Green,,,,,,,,,,,,,,,,,,,,,1725947941-Product-ki1.PNG,,,18%,,,,,,,,,10,8-10 Days,
"Teknic 2PLL4- Lens for Pilot Lights with Filament Bulb, Red",Teknic Electric,Panel & Panel Accessories,Accessories for Control & Signalling Devices,Indicator Lights,Lens for Pilot Lights with Filament Bulb,2PLL4,,2PLL4,,36,Piece,Each,1,"Teknic 2PLL4- Lens for Pilot Lights with Filament Bulb, Red",,,,,,Colour,Red,,,,,,,,,,,,,,,,,,,,,1725947941-Product-ki1.PNG,,,18%,,,,,,,,,10,8-10 Days,
"Teknic 2PLL5- Lens for Pilot Lights with Filament Bulb, Amber",Teknic Electric,Panel & Panel Accessories,Accessories for Control & Signalling Devices,Indicator Lights,Lens for Pilot Lights with Filament Bulb,2PLL5,,2PLL5,,36,Piece,Each,1,"Teknic 2PLL5- Lens for Pilot Lights with Filament Bulb, Amber",,,,,,Colour,Amber,,,,,,,,,,,,,,,,,,,,,1725947941-Product-ki1.PNG,,,18%,,,,,,,,,10,8-10 Days,
"Teknic 2PLL6- Lens for Pilot Lights with Filament Bulb, Blue",Teknic Electric,Panel & Panel Accessories,Accessories for Control & Signalling Devices,Indicator Lights,Lens for Pilot Lights with Filament Bulb,2PLL6,,2PLL6,,36,Piece,Each,1,"Teknic 2PLL6- Lens for Pilot Lights with Filament Bulb, Blue",,,,,,Colour,Blue,,,,,,,,,,,,,,,,,,,,,1725947941-Product-ki1.PNG,,,18%,,,,,,,,,10,8-10 Days,
"Teknic 2PLL7- Lens for Pilot Lights with Filament Bulb, Clear",Teknic Electric,Panel & Panel Accessories,Accessories for Control & Signalling Devices,Indicator Lights,Lens for Pilot Lights with Filament Bulb,2PLL7,,2PLL7,,36,Piece,Each,1,"Teknic 2PLL7- Lens for Pilot Lights with Filament Bulb, Clear",,,,,,Colour,Clear,,,,,,,,,,,,,,,,,,,,,1725947941-Product-ki1.PNG,,,18%,,,,,,,,,10,8-10 Days,
"Teknic 2PLL8- Lens for Pilot Lights with Filament Bulb, Yellow",Teknic Electric,Panel & Panel Accessories,Accessories for Control & Signalling Devices,Indicator Lights,Lens for Pilot Lights with Filament Bulb,2PLL8,,2PLL8,,36,Piece,Each,1,"Teknic 2PLL8- Lens for Pilot Lights with Filament Bulb, Yellow",,,,,,Colour,Yellow,,,,,,,,,,,,,,,,,,,,,1725947941-Product-ki1.PNG,,,18%,,,,,,,,,10,8-10 Days,
"Teknic 2PLL1L- Lens for Pilot lights with LED, TransWhite",Teknic Electric,Panel & Panel Accessories,Accessories for Control & Signalling Devices,Indicator Lights,Lens for Pilot lights with LED,2PLL1L,,2PLL1L,,36,Piece,Each,1,"Teknic 2PLL1L- Lens for Pilot lights with LED, TransWhite",,,,,,Colour,TransWhite,,,,,,,,,,,,,,,,,,,,,1725947948-Product-ki2.PNG,,,18%,,,,,,,,,10,8-10 Days,
"Teknic 2PLL3L- Lens for Pilot lights with LED, Green",Teknic Electric,Panel & Panel Accessories,Accessories for Control & Signalling Devices,Indicator Lights,Lens for Pilot lights with LED,2PLL3L,,2PLL3L,,36,Piece,Each,1,"Teknic 2PLL3L- Lens for Pilot lights with LED, Green",,,,,,Colour,Green,,,,,,,,,,,,,,,,,,,,,1725947948-Product-ki2.PNG,,,18%,,,,,,,,,10,8-10 Days,
"Teknic 2PLL4L- Lens for Pilot lights with LED, Red",Teknic Electric,Panel & Panel Accessories,Accessories for Control & Signalling Devices,Indicator Lights,Lens for Pilot lights with LED,2PLL4L,,2PLL4L,,36,Piece,Each,1,"Teknic 2PLL4L- Lens for Pilot lights with LED, Red",,,,,,Colour,Red,,,,,,,,,,,,,,,,,,,,,1725947948-Product-ki2.PNG,,,18%,,,,,,,,,10,8-10 Days,
"Teknic 2PLL5L- Lens for Pilot lights with LED, Amber",Teknic Electric,Panel & Panel Accessories,Accessories for Control & Signalling Devices,Indicator Lights,Lens for Pilot lights with LED,2PLL5L,,2PLL5L,,36,Piece,Each,1,"Teknic 2PLL5L- Lens for Pilot lights with LED, Amber",,,,,,Colour,Amber,,,,,,,,,,,,,,,,,,,,,1725947948-Product-ki2.PNG,,,18%,,,,,,,,,10,8-10 Days,
"Teknic 2PLL6L- Lens for Pilot lights with LED, Blue",Teknic Electric,Panel & Panel Accessories,Accessories for Control & Signalling Devices,Indicator Lights,Lens for Pilot lights with LED,2PLL6L,,2PLL6L,,36,Piece,Each,1,"Teknic 2PLL6L- Lens for Pilot lights with LED, Blue",,,,,,Colour,Blue,,,,,,,,,,,,,,,,,,,,,1725947948-Product-ki2.PNG,,,18%,,,,,,,,,10,8-10 Days,
"Teknic 2PLL7L- Lens for Pilot lights with LED, Clear",Teknic Electric,Panel & Panel Accessories,Accessories for Control & Signalling Devices,Indicator Lights,Lens for Pilot lights with LED,2PLL7L,,2PLL7L,,36,Piece,Each,1,"Teknic 2PLL7L- Lens for Pilot lights with LED, Clear",,,,,,Colour,Clear,,,,,,,,,,,,,,,,,,,,,1725947948-Product-ki2.PNG,,,18%,,,,,,,,,10,8-10 Days,
"Teknic 2PLL8L- Lens for Pilot lights with LED, Yellow",Teknic Electric,Panel & Panel Accessories,Accessories for Control & Signalling Devices,Indicator Lights,Lens for Pilot lights with LED,2PLL8L,,2PLL8L,,36,Piece,Each,1,"Teknic 2PLL8L- Lens for Pilot lights with LED, Yellow",,,,,,Colour,Yellow,,,,,,,,,,,,,,,,,,,,,1725947948-Product-ki2.PNG,,,18%,,,,,,,,,10,8-10 Days,
"Teknic 2LAL1- Lens For Illuminated Actuator with Filament Bulb, TransWhite",Teknic Electric,Panel & Panel Accessories,Accessories for Control & Signalling Devices,Indicator Lights,Lens For Illuminated Actuator with Filament Bulb,2LAL1,,2LAL1,,36,Piece,Each,1,"Teknic 2LAL1- Lens For Illuminated Actuator with Filament Bulb, TransWhite",,,,,,Colour,TransWhite,,,,,,,,,,,,,,,,,,,,,1725947955-Product-ki3.PNG,,,18%,,,,,,,,,10,8-10 Days,
"Teknic 2LAL3- Lens For Illuminated Actuator with Filament Bulb, Green",Teknic Electric,Panel & Panel Accessories,Accessories for Control & Signalling Devices,Indicator Lights,Lens For Illuminated Actuator with Filament Bulb,2LAL3,,2LAL3,,36,Piece,Each,1,"Teknic 2LAL3- Lens For Illuminated Actuator with Filament Bulb, Green",,,,,,Colour,Green,,,,,,,,,,,,,,,,,,,,,1725947955-Product-ki3.PNG,,,18%,,,,,,,,,10,8-10 Days,
"Teknic 2LAL4- Lens For Illuminated Actuator with Filament Bulb, Red",Teknic Electric,Panel & Panel Accessories,Accessories for Control & Signalling Devices,Indicator Lights,Lens For Illuminated Actuator with Filament Bulb,2LAL4,,2LAL4,,36,Piece,Each,1,"Teknic 2LAL4- Lens For Illuminated Actuator with Filament Bulb, Red",,,,,,Colour,Red,,,,,,,,,,,,,,,,,,,,,1725947955-Product-ki3.PNG,,,18%,,,,,,,,,10,8-10 Days,
"Teknic 2LAL5- Lens For Illuminated Actuator with Filament Bulb, Amber",Teknic Electric,Panel & Panel Accessories,Accessories for Control & Signalling Devices,Indicator Lights,Lens For Illuminated Actuator with Filament Bulb,2LAL5,,2LAL5,,36,Piece,Each,1,"Teknic 2LAL5- Lens For Illuminated Actuator with Filament Bulb, Amber",,,,,,Colour,Amber,,,,,,,,,,,,,,,,,,,,,1725947955-Product-ki3.PNG,,,18%,,,,,,,,,10,8-10 Days,
