name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Havells DHDSCHDRZ04040-Horizontal - 4 Quadrant, with Rotary Switches, Duly Wired), 40 Amp",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Phase Selector,"Horizontal - 4 Quadrant, with Rotary Switches, Duly Wired)",DHDSCHDRZ04040,,DHDSCHDRZ04040,,8623,Piece,Each,1,"Havells DHDSCHDRZ04040-Horizontal - 4 Quadrant, with Rotary Switches, Duly Wired), 40 Amp",,,,,,Rated Current In [A],40 Amp,No. of Ways,4,Execution pole,Three Pole & Neutral (TPN),Type,Manual,Color,Regal Grey,,,,,,,,,,,,,1726057171-Product-DHDSCHDRZ04040.PNG,,8537,18%,,,,,,,,,1,08-10 Days,
"Havells DHDSCHDRZ04063-Horizontal - 4 Quadrant, with Rotary Switches, Duly Wired), 63 Amp",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Phase Selector,"Horizontal - 4 Quadrant, with Rotary Switches, Duly Wired)",DHDSCHDRZ04063,,DHDSCHDRZ04063,,11733,Piece,Each,1,"Havells DHDSCHDRZ04063-Horizontal - 4 Quadrant, with Rotary Switches, Duly Wired), 63 Amp",,,,,,Rated Current In [A],63 Amp,No. of Ways,4,Execution pole,Three Pole & Neutral (TPN),Type,Manual,Color,Regal Grey,,,,,,,,,,,,,1726057171-Product-DHDSCHDRZ04040.PNG,,8537,18%,,,,,,,,,1,08-10 Days,
"Havells DHDSCHDRZ06040-Horizontal - 4 Quadrant, with Rotary Switches, Duly Wired), 40 Amp",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Phase Selector,"Horizontal - 4 Quadrant, with Rotary Switches, Duly Wired)",DHDSCHDRZ06040,,DHDSCHDRZ06040,,9613,Piece,Each,1,"Havells DHDSCHDRZ06040-Horizontal - 4 Quadrant, with Rotary Switches, Duly Wired), 40 Amp",,,,,,Rated Current In [A],40 Amp,No. of Ways,6,Execution pole,Three Pole & Neutral (TPN),Type,Manual,Color,Regal Grey,,,,,,,,,,,,,1726057171-Product-DHDSCHDRZ04040.PNG,,8537,18%,,,,,,,,,1,08-10 Days,
"Havells DHDSCHDRZ06063-Horizontal - 4 Quadrant, with Rotary Switches, Duly Wired), 63 Amp",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Phase Selector,"Horizontal - 4 Quadrant, with Rotary Switches, Duly Wired)",DHDSCHDRZ06063,,DHDSCHDRZ06063,,12153,Piece,Each,1,"Havells DHDSCHDRZ06063-Horizontal - 4 Quadrant, with Rotary Switches, Duly Wired), 63 Amp",,,,,,Rated Current In [A],63 Amp,No. of Ways,6,Execution pole,Three Pole & Neutral (TPN),Type,Manual,Color,Regal Grey,,,,,,,,,,,,,1726057171-Product-DHDSCHDRZ04040.PNG,,8537,18%,,,,,,,,,1,08-10 Days,
"Havells DHDSCHDRZ08040-Horizontal - 4 Quadrant, with Rotary Switches, Duly Wired), 40 Amp",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Phase Selector,"Horizontal - 4 Quadrant, with Rotary Switches, Duly Wired)",DHDSCHDRZ08040,,DHDSCHDRZ08040,,10494,Piece,Each,1,"Havells DHDSCHDRZ08040-Horizontal - 4 Quadrant, with Rotary Switches, Duly Wired), 40 Amp",,,,,,Rated Current In [A],40 Amp,No. of Ways,8,Execution pole,Three Pole & Neutral (TPN),Type,Manual,Color,Regal Grey,,,,,,,,,,,,,1726057171-Product-DHDSCHDRZ04040.PNG,,8537,18%,,,,,,,,,1,08-10 Days,
"Havells DHDSCHDRZ08063-Horizontal - 4 Quadrant, with Rotary Switches, Duly Wired), 63 Amp",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Phase Selector,"Horizontal - 4 Quadrant, with Rotary Switches, Duly Wired)",DHDSCHDRZ08063,,DHDSCHDRZ08063,,13684,Piece,Each,1,"Havells DHDSCHDRZ08063-Horizontal - 4 Quadrant, with Rotary Switches, Duly Wired), 63 Amp",,,,,,Rated Current In [A],63 Amp,No. of Ways,8,Execution pole,Three Pole & Neutral (TPN),Type,Manual,Color,Regal Grey,,,,,,,,,,,,,1726057171-Product-DHDSCHDRZ04040.PNG,,8537,18%,,,,,,,,,1,08-10 Days,
"Havells DHDSNVDRZ04040-Vertical, with Rotary Switches, Duly Wired , 40 Amp",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Phase Selector,"Vertical, with Rotary Switches, Duly Wired",DHDSNVDRZ04040,,DHDSNVDRZ04040,,11508,Piece,Each,1,"Havells DHDSNVDRZ04040-Vertical, with Rotary Switches, Duly Wired , 40 Amp",,,,,,Rated Current In [A],40 Amp,No. of Ways,4,Door,Double Door,Type,Manual,Color,Regal Grey,,,,,,,,,,,,,1726057190-Product-DHDSNVDRZ04040.PNG,,8537,18%,,,,,,,,,1,08-10 Days,
"Havells DHDSNVDRZ04063-Vertical, with Rotary Switches, Duly Wired , 63 Amp",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Phase Selector,"Vertical, with Rotary Switches, Duly Wired",DHDSNVDRZ04063,,DHDSNVDRZ04063,,13684,Piece,Each,1,"Havells DHDSNVDRZ04063-Vertical, with Rotary Switches, Duly Wired , 63 Amp",,,,,,Rated Current In [A],63 Amp,No. of Ways,4,Door,Double Door,Type,Manual,Color,Regal Grey,,,,,,,,,,,,,1726057190-Product-DHDSNVDRZ04040.PNG,,8537,18%,,,,,,,,,1,08-10 Days,
"Havells DHDSNVDRZ06040-Vertical, with Rotary Switches, Duly Wired , 40 Amp",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Phase Selector,"Vertical, with Rotary Switches, Duly Wired",DHDSNVDRZ06040,,DHDSNVDRZ06040,,11654,Piece,Each,1,"Havells DHDSNVDRZ06040-Vertical, with Rotary Switches, Duly Wired , 40 Amp",,,,,,Rated Current In [A],40 Amp,No. of Ways,6,Door,Double Door,Type,Manual,Color,Regal Grey,,,,,,,,,,,,,1726057190-Product-DHDSNVDRZ04040.PNG,,8537,18%,,,,,,,,,1,08-10 Days,
"Havells DHDSNVDRZ06063-Vertical, with Rotary Switches, Duly Wired , 63 Amp",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Phase Selector,"Vertical, with Rotary Switches, Duly Wired",DHDSNVDRZ06063,,DHDSNVDRZ06063,,13829,Piece,Each,1,"Havells DHDSNVDRZ06063-Vertical, with Rotary Switches, Duly Wired , 63 Amp",,,,,,Rated Current In [A],63 Amp,No. of Ways,6,Door,Double Door,Type,Manual,Color,Regal Grey,,,,,,,,,,,,,1726057190-Product-DHDSNVDRZ04040.PNG,,8537,18%,,,,,,,,,1,08-10 Days,
"Havells DHDSNVDRZ08040-Vertical, with Rotary Switches, Duly Wired , 40 Amp",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Phase Selector,"Vertical, with Rotary Switches, Duly Wired",DHDSNVDRZ08040,,DHDSNVDRZ08040,,12954,Piece,Each,1,"Havells DHDSNVDRZ08040-Vertical, with Rotary Switches, Duly Wired , 40 Amp",,,,,,Rated Current In [A],40 Amp,No. of Ways,8,Door,Double Door,Type,Manual,Color,Regal Grey,,,,,,,,,,,,,1726057190-Product-DHDSNVDRZ04040.PNG,,8537,18%,,,,,,,,,1,08-10 Days,
"Havells DHDSNVDRZ08063-Vertical, with Rotary Switches, Duly Wired , 63 Amp",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Phase Selector,"Vertical, with Rotary Switches, Duly Wired",DHDSNVDRZ08063,,DHDSNVDRZ08063,,14553,Piece,Each,1,"Havells DHDSNVDRZ08063-Vertical, with Rotary Switches, Duly Wired , 63 Amp",,,,,,Rated Current In [A],63 Amp,No. of Ways,8,Door,Double Door,Type,Manual,Color,Regal Grey,,,,,,,,,,,,,1726057190-Product-DHDSNVDRZ04040.PNG,,8537,18%,,,,,,,,,1,08-10 Days,
"Havells DHDSNVDPZ04040-Vertical, with Rotary Switches, Duly Wired , 40 Amp",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Phase Selector,"Vertical, with Rotary Switches, Duly Wired",DHDSNVDPZ04040,,DHDSNVDPZ04040,,11508,Piece,Each,1,"Havells DHDSNVDPZ04040-Vertical, with Rotary Switches, Duly Wired , 40 Amp",,,,,,Rated Current In [A],40 Amp,No. of Ways,4,Door,Double Door,Type,Manual,Color,Pearl Ivory,,,,,,,,,,,,,1726057190-Product-DHDSNVDRZ04040.PNG,,8537,18%,,,,,,,,,1,08-10 Days,
"Havells DHDSNVDPZ04063-Vertical, with Rotary Switches, Duly Wired , 63 Amp",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Phase Selector,"Vertical, with Rotary Switches, Duly Wired",DHDSNVDPZ04063,,DHDSNVDPZ04063,,13684,Piece,Each,1,"Havells DHDSNVDPZ04063-Vertical, with Rotary Switches, Duly Wired , 63 Amp",,,,,,Rated Current In [A],63 Amp,No. of Ways,4,Door,Double Door,Type,Manual,Color,Pearl Ivory,,,,,,,,,,,,,1726057190-Product-DHDSNVDRZ04040.PNG,,8537,18%,,,,,,,,,1,08-10 Days,
"Havells DHDSNVDPZ06040-Vertical, with Rotary Switches, Duly Wired , 40 Amp",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Phase Selector,"Vertical, with Rotary Switches, Duly Wired",DHDSNVDPZ06040,,DHDSNVDPZ06040,,11654,Piece,Each,1,"Havells DHDSNVDPZ06040-Vertical, with Rotary Switches, Duly Wired , 40 Amp",,,,,,Rated Current In [A],40 Amp,No. of Ways,6,Door,Double Door,Type,Manual,Color,Pearl Ivory,,,,,,,,,,,,,1726057190-Product-DHDSNVDRZ04040.PNG,,8537,18%,,,,,,,,,1,08-10 Days,
"Havells DHDSNVDPZ06063-Vertical, with Rotary Switches, Duly Wired , 63 Amp",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Phase Selector,"Vertical, with Rotary Switches, Duly Wired",DHDSNVDPZ06063,,DHDSNVDPZ06063,,13829,Piece,Each,1,"Havells DHDSNVDPZ06063-Vertical, with Rotary Switches, Duly Wired , 63 Amp",,,,,,Rated Current In [A],63 Amp,No. of Ways,6,Door,Double Door,Type,Manual,Color,Pearl Ivory,,,,,,,,,,,,,1726057190-Product-DHDSNVDRZ04040.PNG,,8537,18%,,,,,,,,,1,08-10 Days,
"Havells DHDSNVDPZ08040-Vertical, with Rotary Switches, Duly Wired , 40 Amp",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Phase Selector,"Vertical, with Rotary Switches, Duly Wired",DHDSNVDPZ08040,,DHDSNVDPZ08040,,12954,Piece,Each,1,"Havells DHDSNVDPZ08040-Vertical, with Rotary Switches, Duly Wired , 40 Amp",,,,,,Rated Current In [A],40 Amp,No. of Ways,8,Door,Double Door,Type,Manual,Color,Pearl Ivory,,,,,,,,,,,,,1726057190-Product-DHDSNVDRZ04040.PNG,,8537,18%,,,,,,,,,1,08-10 Days,
"Havells DHDSNVDPZ08063-Vertical, with Rotary Switches, Duly Wired , 63 Amp",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Phase Selector,"Vertical, with Rotary Switches, Duly Wired",DHDSNVDPZ08063,,DHDSNVDPZ08063,,14553,Piece,Each,1,"Havells DHDSNVDPZ08063-Vertical, with Rotary Switches, Duly Wired , 63 Amp",,,,,,Rated Current In [A],63 Amp,No. of Ways,8,Door,Double Door,Type,Manual,Color,Pearl Ivory,,,,,,,,,,,,,1726057190-Product-DHDSNVDRZ04040.PNG,,8537,18%,,,,,,,,,1,08-10 Days,
