name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Havells DHDASHOS04-Accessories For Mounting on Top or Bottom of Distribution Box for Extra Wire & Cables, 4 Way, Single Pole & Neutral (SPN)",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Distribution Box Cable End Box,Accessories For Mounting on Top or Bottom of Distribution Box for Extra Wire & Cables,DHDASHOS04,,DHDASHOS04,,596,Piece,Each,1,"Havells DHDASHOS04-Accessories For Mounting on Top or Bottom of Distribution Box for Extra Wire & Cables, 4 Way, Single Pole & Neutral (SPN)",,,,,,No. of Ways,4 Way,Execution Pole,Single Pole & Neutral (SPN),Type,Single Door,,,,,,,,,,,,,,,,,1726213783-Product-DHDASHOS04.PNG,,8537,18%,,,,,,,,,1,08-10 Days,
"Havells DHDASHOS06-Accessories For Mounting on Top or Bottom of Distribution Box for Extra Wire & Cables, 6 Way, Single Pole & Neutral (SPN)",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Distribution Box Cable End Box,Accessories For Mounting on Top or Bottom of Distribution Box for Extra Wire & Cables,DHDASHOS06,,DHDASHOS06,,730,Piece,Each,1,"Havells DHDASHOS06-Accessories For Mounting on Top or Bottom of Distribution Box for Extra Wire & Cables, 6 Way, Single Pole & Neutral (SPN)",,,,,,No. of Ways,6 Way,Execution Pole,Single Pole & Neutral (SPN),Type,Single Door,,,,,,,,,,,,,,,,,1726213783-Product-DHDASHOS04.PNG,,8537,18%,,,,,,,,,1,08-10 Days,
"Havells DHDASHOS08-Accessories For Mounting on Top or Bottom of Distribution Box for Extra Wire & Cables, 8 Way, Single Pole & Neutral (SPN)",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Distribution Box Cable End Box,Accessories For Mounting on Top or Bottom of Distribution Box for Extra Wire & Cables,DHDASHOS08,,DHDASHOS08,,769,Piece,Each,1,"Havells DHDASHOS08-Accessories For Mounting on Top or Bottom of Distribution Box for Extra Wire & Cables, 8 Way, Single Pole & Neutral (SPN)",,,,,,No. of Ways,8 Way,Execution Pole,Single Pole & Neutral (SPN),Type,Single Door,,,,,,,,,,,,,,,,,1726213783-Product-DHDASHOS04.PNG,,8537,18%,,,,,,,,,1,08-10 Days,
"Havells DHDASHOS12-Accessories For Mounting on Top or Bottom of Distribution Box for Extra Wire & Cables, 12 Way, Single Pole & Neutral (SPN)",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Distribution Box Cable End Box,Accessories For Mounting on Top or Bottom of Distribution Box for Extra Wire & Cables,DHDASHOS12,,DHDASHOS12,,942,Piece,Each,1,"Havells DHDASHOS12-Accessories For Mounting on Top or Bottom of Distribution Box for Extra Wire & Cables, 12 Way, Single Pole & Neutral (SPN)",,,,,,No. of Ways,12 Way,Execution Pole,Single Pole & Neutral (SPN),Type,Single Door,,,,,,,,,,,,,,,,,1726213783-Product-DHDASHOS04.PNG,,8537,18%,,,,,,,,,1,08-10 Days,
"Havells DHDASHOS16-Accessories For Mounting on Top or Bottom of Distribution Box for Extra Wire & Cables, 16 Way, Single Pole & Neutral (SPN)",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Distribution Box Cable End Box,Accessories For Mounting on Top or Bottom of Distribution Box for Extra Wire & Cables,DHDASHOS16,,DHDASHOS16,,1108,Piece,Each,1,"Havells DHDASHOS16-Accessories For Mounting on Top or Bottom of Distribution Box for Extra Wire & Cables, 16 Way, Single Pole & Neutral (SPN)",,,,,,No. of Ways,16 Way,Execution Pole,Single Pole & Neutral (SPN),Type,Single Door,,,,,,,,,,,,,,,,,1726213783-Product-DHDASHOS04.PNG,,8537,18%,,,,,,,,,1,08-10 Days,
"Havells DHDATHOS04-Accessories For Mounting on Top or Bottom of Distribution Box for Extra Wire & Cables, 4 Way, Three Pole & Neutral (TPN)-Horizontal",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Distribution Box Cable End Box,Accessories For Mounting on Top or Bottom of Distribution Box for Extra Wire & Cables,DHDATHOS04,,DHDATHOS04,,1171,Piece,Each,1,"Havells DHDATHOS04-Accessories For Mounting on Top or Bottom of Distribution Box for Extra Wire & Cables, 4 Way, Three Pole & Neutral (TPN)-Horizontal",,,,,,No. of Ways,4 Way,Execution Pole,Three Pole & Neutral (TPN)-Horizontal,Type,Single Door,,,,,,,,,,,,,,,,,1726213783-Product-DHDASHOS04.PNG,,8537,18%,,,,,,,,,1,08-10 Days,
"Havells DHDATHOS06-Accessories For Mounting on Top or Bottom of Distribution Box for Extra Wire & Cables, 6 Way, Three Pole & Neutral (TPN)-Horizontal",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Distribution Box Cable End Box,Accessories For Mounting on Top or Bottom of Distribution Box for Extra Wire & Cables,DHDATHOS06,,DHDATHOS06,,1344,Piece,Each,1,"Havells DHDATHOS06-Accessories For Mounting on Top or Bottom of Distribution Box for Extra Wire & Cables, 6 Way, Three Pole & Neutral (TPN)-Horizontal",,,,,,No. of Ways,6 Way,Execution Pole,Three Pole & Neutral (TPN)-Horizontal,Type,Single Door,,,,,,,,,,,,,,,,,1726213783-Product-DHDASHOS04.PNG,,8537,18%,,,,,,,,,1,08-10 Days,
"Havells DHDATHOS08-Accessories For Mounting on Top or Bottom of Distribution Box for Extra Wire & Cables, 8 Way, Three Pole & Neutral (TPN)-Horizontal",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Distribution Box Cable End Box,Accessories For Mounting on Top or Bottom of Distribution Box for Extra Wire & Cables,DHDATHOS08,,DHDATHOS08,,1676,Piece,Each,1,"Havells DHDATHOS08-Accessories For Mounting on Top or Bottom of Distribution Box for Extra Wire & Cables, 8 Way, Three Pole & Neutral (TPN)-Horizontal",,,,,,No. of Ways,8 Way,Execution Pole,Three Pole & Neutral (TPN)-Horizontal,Type,Single Door,,,,,,,,,,,,,,,,,1726213783-Product-DHDASHOS04.PNG,,8537,18%,,,,,,,,,1,08-10 Days,
"Havells DHDATHOS12-Accessories For Mounting on Top or Bottom of Distribution Box for Extra Wire & Cables, 12 Way, Three Pole & Neutral (TPN)-Horizontal",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Distribution Box Cable End Box,Accessories For Mounting on Top or Bottom of Distribution Box for Extra Wire & Cables,DHDATHOS12,,DHDATHOS12,,2182,Piece,Each,1,"Havells DHDATHOS12-Accessories For Mounting on Top or Bottom of Distribution Box for Extra Wire & Cables, 12 Way, Three Pole & Neutral (TPN)-Horizontal",,,,,,No. of Ways,12 Way,Execution Pole,Three Pole & Neutral (TPN)-Horizontal,Type,Single Door,,,,,,,,,,,,,,,,,1726213783-Product-DHDASHOS04.PNG,,8537,18%,,,,,,,,,1,08-10 Days,
"Havells DHDATVOS04-Accessories For Mounting on Top or Bottom of Distribution Box for Extra Wire & Cables, 4/8/12 Way, Three Pole & Neutral (TPN)-Vertical",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Distribution Box Cable End Box,Accessories For Mounting on Top or Bottom of Distribution Box for Extra Wire & Cables,DHDATVOS04,,DHDATVOS04,,1850,Piece,Each,1,"Havells DHDATVOS04-Accessories For Mounting on Top or Bottom of Distribution Box for Extra Wire & Cables, 4/8/12 Way, Three Pole & Neutral (TPN)-Vertical",,,,,,No. of Ways,4/8/12 Way,Execution Pole,Three Pole & Neutral (TPN)-Vertical,Type,Single Door,,,,,,,,,,,,,,,,,1726213783-Product-DHDASHOS04.PNG,,8537,18%,,,,,,,,,1,08-10 Days,
