name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Havells IHPHA009110-Magnetic Contactor, 3 Pole Power Contactors, 25 Amp, HGS 9-Type",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Magnetic Contactor,3 Pole Power Contactors,IHPHA009110,,IHPHA009110,,1116,Piece,Each,1,"Havells IHPHA009110-Magnetic Contactor, 3 Pole Power Contactors, 25 Amp, HGS 9-Type",,,,,,Rated Current In [A],25 Amp,Pole,3,Rated Voltage In [V],415 V,Frequency,50 Hz,Type,HGS 9,,,,,,,,,,,,,1726313312-Product-IHPHA009110.PNG,,8536,18%,,,,,,,,,1,08-10 Days,
"Havells IHPHA009101-Magnetic Contactor, 3 Pole Power Contactors, 25 Amp, HGS 9-Type",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Magnetic Contactor,3 Pole Power Contactors,IHPHA009101,,IHPHA009101,,1116,Piece,Each,1,"Havells IHPHA009101-Magnetic Contactor, 3 Pole Power Contactors, 25 Amp, HGS 9-Type",,,,,,Rated Current In [A],25 Amp,Pole,3,Rated Voltage In [V],415 V,Frequency,50 Hz,Type,HGS 9,,,,,,,,,,,,,1726313312-Product-IHPHA009110.PNG,,8536,18%,,,,,,,,,1,08-10 Days,
"Havells IHPHA012110-Magnetic Contactor, 3 Pole Power Contactors, 30 Amp, HGS 12-Type",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Magnetic Contactor,3 Pole Power Contactors,IHPHA012110,,IHPHA012110,,1300,Piece,Each,1,"Havells IHPHA012110-Magnetic Contactor, 3 Pole Power Contactors, 30 Amp, HGS 12-Type",,,,,,Rated Current In [A],30 Amp,Pole,3,Rated Voltage In [V],415 V,Frequency,50 Hz,Type,HGS 12,,,,,,,,,,,,,1726313312-Product-IHPHA009110.PNG,,8536,18%,,,,,,,,,1,08-10 Days,
"Havells IHPHA012101-Magnetic Contactor, 3 Pole Power Contactors, 30 Amp, HGS 12-Type",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Magnetic Contactor,3 Pole Power Contactors,IHPHA012101,,IHPHA012101,,1300,Piece,Each,1,"Havells IHPHA012101-Magnetic Contactor, 3 Pole Power Contactors, 30 Amp, HGS 12-Type",,,,,,Rated Current In [A],30 Amp,Pole,3,Rated Voltage In [V],415 V,Frequency,50 Hz,Type,HGS 12,,,,,,,,,,,,,1726313312-Product-IHPHA009110.PNG,,8536,18%,,,,,,,,,1,08-10 Days,
"Havells IHPHA018110-Magnetic Contactor, 3 Pole Power Contactors, 40 Amp, HGS 18-Type",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Magnetic Contactor,3 Pole Power Contactors,IHPHA018110,,IHPHA018110,,1504,Piece,Each,1,"Havells IHPHA018110-Magnetic Contactor, 3 Pole Power Contactors, 40 Amp, HGS 18-Type",,,,,,Rated Current In [A],40 Amp,Pole,3,Rated Voltage In [V],415 V,Frequency,50 Hz,Type,HGS 18,,,,,,,,,,,,,1726313312-Product-IHPHA009110.PNG,,8536,18%,,,,,,,,,1,08-10 Days,
"Havells IHPHA018101-Magnetic Contactor, 3 Pole Power Contactors, 40 Amp, HGS 18-Type",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Magnetic Contactor,3 Pole Power Contactors,IHPHA018101,,IHPHA018101,,1504,Piece,Each,1,"Havells IHPHA018101-Magnetic Contactor, 3 Pole Power Contactors, 40 Amp, HGS 18-Type",,,,,,Rated Current In [A],40 Amp,Pole,3,Rated Voltage In [V],415 V,Frequency,50 Hz,Type,HGS 18,,,,,,,,,,,,,1726313312-Product-IHPHA009110.PNG,,8536,18%,,,,,,,,,1,08-10 Days,
"Havells IHPHA022110-Magnetic Contactor, 3 Pole Power Contactors, 40 Amp, HGS 22-Type",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Magnetic Contactor,3 Pole Power Contactors,IHPHA022110,,IHPHA022110,,1620,Piece,Each,1,"Havells IHPHA022110-Magnetic Contactor, 3 Pole Power Contactors, 40 Amp, HGS 22-Type",,,,,,Rated Current In [A],40 Amp,Pole,3,Rated Voltage In [V],415 V,Frequency,50 Hz,Type,HGS 22,,,,,,,,,,,,,1726313312-Product-IHPHA009110.PNG,,8536,18%,,,,,,,,,1,08-10 Days,
"Havells IHPHA022101-Magnetic Contactor, 3 Pole Power Contactors, 40 Amp, HGS 22-Type",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Magnetic Contactor,3 Pole Power Contactors,IHPHA022101,,IHPHA022101,,1620,Piece,Each,1,"Havells IHPHA022101-Magnetic Contactor, 3 Pole Power Contactors, 40 Amp, HGS 22-Type",,,,,,Rated Current In [A],40 Amp,Pole,3,Rated Voltage In [V],415 V,Frequency,50 Hz,Type,HGS 22,,,,,,,,,,,,,1726313312-Product-IHPHA009110.PNG,,8536,18%,,,,,,,,,1,08-10 Days,
"Havells IHPHA025210-Magnetic Contactor, 3 Pole Power Contactors, 45 Amp, HGS 25-Type",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Magnetic Contactor,3 Pole Power Contactors,IHPHA025210,,IHPHA025210,,1887,Piece,Each,1,"Havells IHPHA025210-Magnetic Contactor, 3 Pole Power Contactors, 45 Amp, HGS 25-Type",,,,,,Rated Current In [A],45 Amp,Pole,3,Rated Voltage In [V],415 V,Frequency,50 Hz,Type,HGS 25,,,,,,,,,,,,,1726313312-Product-IHPHA009110.PNG,,8536,18%,,,,,,,,,1,08-10 Days,
"Havells IHPHA025201-Magnetic Contactor, 3 Pole Power Contactors, 45 Amp, HGS 25-Type",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Magnetic Contactor,3 Pole Power Contactors,IHPHA025201,,IHPHA025201,,1887,Piece,Each,1,"Havells IHPHA025201-Magnetic Contactor, 3 Pole Power Contactors, 45 Amp, HGS 25-Type",,,,,,Rated Current In [A],45 Amp,Pole,3,Rated Voltage In [V],415 V,Frequency,50 Hz,Type,HGS 25,,,,,,,,,,,,,1726313312-Product-IHPHA009110.PNG,,8536,18%,,,,,,,,,1,08-10 Days,
