name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Havells ISSPCU1969-Accessories for Contactor, Aux. Contact Block (Side Mounting), Suitable for-HGS 9-HGS 40, 1NO + 1NC",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Accessories for Contactor,Aux. Contact Block (Side Mounting),ISSPCU1969,,ISSPCU1969,,697,Piece,Each,1,"Havells ISSPCU1969-Accessories for Contactor, Aux. Contact Block (Side Mounting), Suitable for-HGS 9-HGS 40, 1NO + 1NC",,,,,,Suitable for,HGS 9-HGS 40,Configuraton,1NO + 1NC,,,,,,,,,,,,,,,,,,,1726480644-Product-ISSPCU1969.PNG,,8536,18%,,,,,,,,,1,08-10 Days,
"Havells ISSPCU1970-Accessories for Contactor, Aux. Contact Block (Side Mounting), Suitable for-HGS50-HGS 100, 1NO + 1NC",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Accessories for Contactor,Aux. Contact Block (Side Mounting),ISSPCU1970,,ISSPCU1970,,697,Piece,Each,1,"Havells ISSPCU1970-Accessories for Contactor, Aux. Contact Block (Side Mounting), Suitable for-HGS50-HGS 100, 1NO + 1NC",,,,,,Suitable for,HGS50-HGS 100,Configuraton,1NO + 1NC,,,,,,,,,,,,,,,,,,,1726480644-Product-ISSPCU1969.PNG,,8536,18%,,,,,,,,,1,08-10 Days,
"Havells ISSPCU1971-Accessories for Contactor, Aux. Contact Block (Side Mounting), Suitable for-HGS115- HGS 800, 1NO + 1NC",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Accessories for Contactor,Aux. Contact Block (Side Mounting),ISSPCU1971,,ISSPCU1971,,825,Piece,Each,1,"Havells ISSPCU1971-Accessories for Contactor, Aux. Contact Block (Side Mounting), Suitable for-HGS115- HGS 800, 1NO + 1NC",,,,,,Suitable for,HGS115- HGS 800,Configuraton,1NO + 1NC,,,,,,,,,,,,,,,,,,,1726480644-Product-ISSPCU1969.PNG,,8536,18%,,,,,,,,,1,08-10 Days,
"Havells ISSPCU1961-Accessories for Contactor, Aux. Contact Block (Top Mounting), Suitable for-HGS9-HGS100, 2NC",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Accessories for Contactor,Aux. Contact Block (Top Mounting),ISSPCU1961,,ISSPCU1961,,436,Piece,Each,1,"Havells ISSPCU1961-Accessories for Contactor, Aux. Contact Block (Top Mounting), Suitable for-HGS9-HGS100, 2NC",,,,,,Suitable for,HGS9-HGS100,Configuraton,2NC,,,,,,,,,,,,,,,,,,,1726480644-Product-ISSPCU1969.PNG,,8536,18%,,,,,,,,,1,08-10 Days,
"Havells ISSPCU1962-Accessories for Contactor, Aux. Contact Block (Top Mounting), Suitable for-HGS9-HGS100, 1NO + 1NC",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Accessories for Contactor,Aux. Contact Block (Top Mounting),ISSPCU1962,,ISSPCU1962,,436,Piece,Each,1,"Havells ISSPCU1962-Accessories for Contactor, Aux. Contact Block (Top Mounting), Suitable for-HGS9-HGS100, 1NO + 1NC",,,,,,Suitable for,HGS9-HGS100,Configuraton,1NO + 1NC,,,,,,,,,,,,,,,,,,,1726480644-Product-ISSPCU1969.PNG,,8536,18%,,,,,,,,,1,08-10 Days,
"Havells ISSPCU1963-Accessories for Contactor, Aux. Contact Block (Top Mounting), Suitable for-HGS9-HGS100, 2NO",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Accessories for Contactor,Aux. Contact Block (Top Mounting),ISSPCU1963,,ISSPCU1963,,436,Piece,Each,1,"Havells ISSPCU1963-Accessories for Contactor, Aux. Contact Block (Top Mounting), Suitable for-HGS9-HGS100, 2NO",,,,,,Suitable for,HGS9-HGS100,Configuraton,2NO,,,,,,,,,,,,,,,,,,,1726480644-Product-ISSPCU1969.PNG,,8536,18%,,,,,,,,,1,08-10 Days,
"Havells ISSPCU1964-Accessories for Contactor, Aux. Contact Block (Top Mounting), Suitable for-HGS9-HGS100, 4NC",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Accessories for Contactor,Aux. Contact Block (Top Mounting),ISSPCU1964,,ISSPCU1964,,720,Piece,Each,1,"Havells ISSPCU1964-Accessories for Contactor, Aux. Contact Block (Top Mounting), Suitable for-HGS9-HGS100, 4NC",,,,,,Suitable for,HGS9-HGS100,Configuraton,4NC,,,,,,,,,,,,,,,,,,,1726480644-Product-ISSPCU1969.PNG,,8536,18%,,,,,,,,,1,08-10 Days,
"Havells ISSPCU1965-Accessories for Contactor, Aux. Contact Block (Top Mounting), Suitable for-HGS9-HGS100, 1NO + 3NC",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Accessories for Contactor,Aux. Contact Block (Top Mounting),ISSPCU1965,,ISSPCU1965,,720,Piece,Each,1,"Havells ISSPCU1965-Accessories for Contactor, Aux. Contact Block (Top Mounting), Suitable for-HGS9-HGS100, 1NO + 3NC",,,,,,Suitable for,HGS9-HGS100,Configuraton,1NO + 3NC,,,,,,,,,,,,,,,,,,,1726480644-Product-ISSPCU1969.PNG,,8536,18%,,,,,,,,,1,08-10 Days,
"Havells ISSPCU1966-Accessories for Contactor, Aux. Contact Block (Top Mounting), Suitable for-HGS9-HGS100, 2NO + 2NC",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Accessories for Contactor,Aux. Contact Block (Top Mounting),ISSPCU1966,,ISSPCU1966,,720,Piece,Each,1,"Havells ISSPCU1966-Accessories for Contactor, Aux. Contact Block (Top Mounting), Suitable for-HGS9-HGS100, 2NO + 2NC",,,,,,Suitable for,HGS9-HGS100,Configuraton,2NO + 2NC,,,,,,,,,,,,,,,,,,,1726480644-Product-ISSPCU1969.PNG,,8536,18%,,,,,,,,,1,08-10 Days,
"Havells ISSPCU1967-Accessories for Contactor, Aux. Contact Block (Top Mounting), Suitable for-HGS9-HGS100, 3NO + 1NC",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Accessories for Contactor,Aux. Contact Block (Top Mounting),ISSPCU1967,,ISSPCU1967,,720,Piece,Each,1,"Havells ISSPCU1967-Accessories for Contactor, Aux. Contact Block (Top Mounting), Suitable for-HGS9-HGS100, 3NO + 1NC",,,,,,Suitable for,HGS9-HGS100,Configuraton,3NO + 1NC,,,,,,,,,,,,,,,,,,,1726480644-Product-ISSPCU1969.PNG,,8536,18%,,,,,,,,,1,08-10 Days,
